美城常務,ふむ、全員……集まったようだな……。では……今月の……会議を……、くっ……
神谷奈緒,あれ、どうかしたのか……？
鷺沢文香,常務……お気持ちは……わかりますが……
渋谷凛,？
大槻唯,……
速水奏,失ったものは返ってはこないわ、前を向くのがあの娘のため……でしょう？
常務,……ああ、速水の言う通りだ。すまない、少し現実が受け入れられなくてな
橘ありす,あ、あの……、何かあったんですか……？
塩見周子,あれ？ありすちゃんは知らない感じ……？
常務,私も信じたくはない……。耳を疑った。だが、起きてしまった事実は変えられない
宮本フレデリカ,……
常務,まさか……。北条が海で果てるとは……
北条加蓮,えっ！？私！？！？！？
常務,……！？北条……！？
加蓮,その“なぜいるんだ”みたいな顔やめてくれない！？
文香,常務、お盆ですから
常務,……ああ！
加蓮,“ああ”じゃないでしょ！？
常務,誰か、ナスときゅうりを用意してくれ
加蓮,還すな！！！
？？,ナスじゃなくてカコですよー♪
ありす,侵入者ーーー！！！
常務,こういう時はどうすれば……
奈緒,何もしなくていいから
フレデリカ,ふふふー！この霊媒師フレちゃんにお任せを！
唯,ふ、フレちゃん、あの霊をどうにかできるの！？
加蓮,とうとう三人称が“あの霊”になってるんだけど！？
フレデリカ,まずは定番のお塩をお願い！(大さじ２)
凛,料理番組っぽい
文香,すみませんフレデリカさん、さとうしかありませんでした……
フレデリカ,それでもいいや！
文香,アナタのはぁとをシュガシュガスウィート☆
ありす,文香さん！？
常務,飽きたな。会議を始めよう
みんな,はーい
奈緒,切り替え能力エグいな
加蓮,始まる前から疲れたんだけど……
常務,すまないな、政子
加蓮,疲れたって聞こえなかった！？
凛,今日は加蓮が大変そう……
常務,……
凛,！？
常務,……
凛,“お前はまた後で”みたいな顔しなかった！？
常務,ではそろそろ始めるが、何か質問はあるか
周子,アーニャちゃんのサボりの理由はー？
凛,もうサボりは共通認識なんだ
常務,“暑いから”らしい
ありす,もう誤魔化す気すらありませんよね！？
常務,まあロシア出身で暑さには弱いのだろう。ゆっくり休んでもらうとする
奏,アーニャ、Twitterでプールなうって呟いてるわよ
ありす,ええ……
常務,……会議なう
加蓮,なんで対抗してるの
フレデリカ,会議をしたくてもできない人の気持ちは考えないんですか！
奈緒,クソリプを送るな！
常務,まずは大槻、イベント、ご苦労だった
唯,楽しかったよー！
常務,やはりマツケンサンバは良い曲だな
凛,雰囲気似てるけども
常務,そういえば、相葉は元気か？
唯,果てたよ？
ありす,当然のように！？
奏,前回すでに危険信号が出ていたのに、イベントをリーダーとしてこなしながらSSRとしての撮影……。さながらオーバーロードね
奈緒,全然うまくないからな！！！
常務,大槻は海での撮影もあったようだが、そちらはどうだった？
唯,もっちろん！楽しかったよ！
常務,なによりだ。次は人数を増やすのも良いかもしれないな
唯,そうだねー！夕美ちゃんとか
奈緒,お前らは鬼か！？
フレデリカ,ナナちゃんとか！
ありす,それは普通にやめてあげてください
常務,そういえば、前回の会議から今回までの間に塩見、宮本、大槻がSSR昇格を果たした。歓迎するべき事態だ
周子,これでこの部屋の全員だね
常務,私以外はな
加蓮,狙ってるの！？
常務,今年のエイプリルフールでは千川事務員がダンスを披露した。つまり来年は……
凛,嘘でしょ？
常務,今西部長が踊るらしい
凛,嘘でしょ！？！？
常務,では宮本
フレデリカ,わっしょい！
常務,橘氏とー？
フレデリカ,立ち話！
2人,ﾄﾞﾔｧ……
ありす,こっち見ないでください
常務,ブラデリカは非常に良い企画だったな。次回も検討しておこう
フレデリカ,わーい！
常務,次のメンバーはどうする？誰か希望はあるか？
フレデリカ,ありすちゃんは確定でー
ありす,なぜ
常務,この世はツッコミがいないと成り立たない。それくらいは君も理解しているだろう
ありす,なんで偉そうなんですか！
文香,大変な役割でしょう……。私も同じですからわかります……
ありす,文香さんは自分の立ち位置がボケではないと！？
奏,真面目なキャラも疲れてしまうわよね……
ありす,少なくとも私の視界に真面目な人は映っていませんが
唯,ええ！？
加蓮,みんな自分を客観視するのヘタすぎるでしょ！？
常務,私を見習ってほしいものだ
奈緒,親玉がこれだからな
常務,次は塩見だが、最近はそこまで大きな仕事は入っていないな
周子,わりかし休ませてもらってるよー
常務,何かやりたい仕事はあるか？
周子,あたしにもわからない
奈緒,それじゃダメだろ
周子,強いて言うなら……、お菓子作りとか？……あ、和菓子じゃなくってね
常務,なるほど、洋菓子か。何ラミスが作りたい？
ありす,ティラミス以外の選択肢を排除した意味
周子,ラミレス
ありす,か、会話をしてください！
常務,この時点で3位につけるとは
ありす,なんの話ですか！？
常務,アメをやろう
凛,また！？
常務,しかし塩見は肌が白いな
周子,んー？そうかな？
常務,ああ、まるで、塩のような白さだ
フレデリカ,……
奏,……
唯,……
りんなおかれん,……
常務,塩のようだ
ありす,メンタル
