一ノ瀬志希,さてさて！みんな！今日は集まってくれてありがとー！
二宮飛鳥,やれやれ……
三村かな子,……
浅利七海,れす～
八神マキノ,面白いわね……
十時愛梨,ここ、熱くないですか～？
五十嵐響子,えっ
志希,あれ～？響子ちゃん、どうかしたの～？
響子,いやいや、ここ、事務所ですよね……？こんな長机ありましたっけ？というかエスパ……え？なんですか？？？
飛鳥,やれやれ、混乱しているようだね
響子,逆になんでみんな冷静なんですか！？
マキノ,まあ、まずは席に着いて。考えるのはそれからでも遅くないでしょう？
響子,すでにいろいろ手遅れな雰囲気なんですけど……
飛鳥,やれやれ、七海、説明してあげてくれ
響子,飛鳥ちゃんはやれやれって言わないと喋れないんですか？
七海,いやれす～
響子,ええ！？
飛鳥,や、やれやれ……
響子,ほらちょっと動揺してる！
マキノ,落ち着いて周りのメンバーをよく見て、あなたならその共通点に気が付くはずよ
響子,共通点……？
志希,みんな服を着た女性アイドルだねぇ
響子,それは当然ですよね！？
マキノ,いえ、残念ながら愛梨は服を着ていないわ
響子,愛梨さん！！！
かな子,美味しいから大丈夫だよ
響子,第一声の内容もタイミングも雑！！！。……。あっ！みんな名前に数字が入ってます！
マキノ,そうよ、ものの数分で気付くとは、さすがの理解力ね
七海,ちなみに愛梨さんは8時間かかったんれすよ～
響子,愛梨さ……いや、それは早く教えてあげましょうよ！？
志希,にゃはは～！そう！数字を持つ十人の集まり！それが十刃〈エスパーダ〉なのだ！
響子,な、なるほど……？だから四・六・九は空いてるんですね
飛鳥,その通りさ。しかし、その数字が刻まれていなくとも、その数と縁のある候補者を今日は呼んでいるんだ
志希,いるのだー
響子,は、はあ……
愛梨,まずは四ですね～
響子,四に縁のあるアイドル……？誰だろう？
飛鳥,四と言えば、古来より“死”との結びつきから忌み嫌われてきた数字……
志希,そして、ウチの事務所で“死”と言えば！このアイドル！！！
北条加蓮,こんにちは～
響子,あの紹介文でよく笑顔で登場できますね！？
志希,ようこそ～
加蓮,呼んでくれてありがとね
響子,どこに感謝する要素が？
飛鳥,じゃあ、加蓮も参加するという方向性で
加蓮,うんう……ｺﾞﾎｯｯｯ!!!ｶﾞﾊｯｯｯ!!!
響子,加蓮さん！？アイドルが出しちゃいけない音がしましたよ！？
加蓮,ご……ごめん……持病の右肘靭帯損傷が……
響子,なんでそんな野球のピッチャーみたいな！？あと吐血はなんだったんですか！？
マキノ,というわけで、残念ながら加蓮はトミージョン手術を受けるために早退したわ
七海,残念れす～
響子,だからなんで皆さん冷静なんですか……
かな子,美味しいから大丈夫だよ
響子,加蓮さんのこと嫌いなんですか？
愛梨,次は六ですね！
飛鳥,これは、もしかしたら想像できるかもしれないね
響子,？
志希,ろく……ろく……ろーく……ろっく……ロック……ふふふ
響子,ああ……
マキノ,ロックはROCK。ROCKは日本語で石
響子,！？
志希,だから大石泉ちゃんを呼ぼうと思ったけどレッスン中だったから！
響子,！？！？
飛鳥,石ころ集めが趣味の芳乃に来てもらったよ
依田芳乃,よろしくお願いするのでしてー
響子,何でそんなに斜め上の人選なんですか！？。半ば確信を持って李衣菜ちゃんだ！って思ってたのに！
七海,単純すぎるのれす～
響子,七海ちゃんちょっと口悪くないですか！？
志希,じゃあ芳乃ちゃん！一言お願いしちゃおっかな～
芳乃,ROCKは石じゃなくて岩なのでしてー
志希,
飛鳥,
マキノ,
響子,
マキノ,芳乃は危険な存在ね。今回は採用を見送らせてもらったわ
響子,プライドとかないんですか
飛鳥,セカイの深淵に迫るモノ……その果てない潜在能力に期待といったところかな
響子,それっぽいこと言っても集団で論破されたことは消えませんからね
愛梨,じゃあ最後に九ですね
響子,そこのセリフは愛梨さんしか言っちゃだめなんですか？
飛鳥,響子、キミは九という数字から何をイメージする？
響子,え？うーん……特に何も……
飛鳥,そうだろうね、でも、“九”に“球技”という単語を組み合わせると……？
響子,あっ！！野球！？
飛鳥,そう、ナインボールといえばビリヤードだ
響子,もう！！！
マキノ,というわけで、ビリヤードをしているカードがあるレナに来てもらったわ
響子,……あれ？来ないですけど……
志希,あれあれ～？置き手紙がある！
マキノ,なになに……都ちゃんとユッコちゃんとライアーゲームに参加してきます♪ですって
響子,面子が不安すぎません！？
七海,きっと捨て駒れすね～
響子,七海ちゃん！？
志希,じゃあ早速、今日の議題に入っちゃおー！
響子,欠員補充できてないんですけど……
かな子,美味しいから大丈夫だよ
響子,かな子さんの“音声が一種類しか収録されてないモブキャラ”みたいなポジションはなんなんですか！？
飛鳥,十刃には、それぞれ“司る死の形”というものが二字熟語で設定されているんだ。孤独・虚無・陶酔・狂気……のようにね
響子,飛鳥ちゃん、生き生きしてる……
志希,それをみんなで考えよー！ってこと！
響子,死を司るアイドルになるくらいならアイドル辞めます
マキノ,あなたの覚悟はそんなもの？こずえや雪美でさえそれくらいの覚悟は持ってここの門を叩いているのに
響子,もう明日からこずえちゃんと雪美ちゃんの顔を見れないんですけど！？
飛鳥,まあ、流石にアイドルから死を連想するのは難しいからね
七海,さっき1人いたんれすけろね～
志希,キャッチコピーを考えるくらいの気持ちでやっちゃお？
響子,まあ、それなら……
七海,じゃあ、まずはかな子さんを“暴飲”にするか“暴食”にするかの話し合いかられすね～
響子,七海ちゃん！！！
かな子,どっちもいやです！
響子,ですよね
志希,わお！ボイス2種類目！
響子,なんで煽るんですか！？
かな子,せめて“食欲”で……
響子,それで譲歩のつもりですか！？一歩も譲れてませんよ！？
志希,じゃあ次は愛梨ちゃん！
愛梨,はい！私、ぴったりだなって思うやつがあるんです！
飛鳥,ほう……
響子,魅惑・誘惑・奔放とかかな……？
愛梨,宵闇
響子,ええ！！？？
マキノ,アリね
志希,おおー
かな子,凄い……！
響子,もはや私がおかしいんじゃないかと思えてきました
志希,マキノちゃんは“雑学”ね！
響子,せめて“頭脳”とかの方が……
マキノ,“雑学”……アリね
響子,皆さんの心の広さはどうなってるんですか？
志希,七海ちゃんはどうする？三崎？銚子？焼津？
響子,それ全部漁港ですよね！？
七海,築地がいいれす～
響子,アピールポイントはどこへいったんですか！？
マキノ,築地をアピールすることによって全国での魚の消費量が増える。すると漁師が発奮してさらに食卓の魚人気はうなぎ上り魚だけに
響子,風が吹いて桶屋が油田を堀り当てるレベルの話やめてください
志希,あたしと飛鳥ちゃんはもう決まってるんだよねー♪
響子,一応聞きますけど……なんですか？
志希,芳醇
飛鳥,夢幻
響子,じ、自分たちだけかっこいいやつだ！！！
飛鳥,あとは響子だけだね
響子,いえ、私は別に……
志希,ほらほら、遠慮しないー！
愛梨,みんなでどんどん挙げていきましょうか？
七海,いいれすね～
響子,え？え？？
志希,愛憎
かな子,執着
七海,独創
飛鳥,絶禍
愛梨,危惧
マキノ,脅威
響子,えええ？？？え？？？。え？え？えええええ？？？。きゃああああああああああああ！！！！！！
三船美優,ど、どうしたの？響子ちゃん、うなされてたみたいだけど……
響子,あ……美優さん……ゆ、夢？よかった……
美優,体調が悪いなら早退した方が……
響子,い、いえ！大丈夫です！
美優,そう？私はもう行かなきゃいけないから……
響子,あ、はい！ありがとうございました！お仕事ですか？
美優,いえ、ちょっと志希ちゃんに呼ばれてて……紗南ちゃんもみたい……
響子,……。
美優,響子ちゃん！？
