プロデューサー,以下P
菜々,はい、なんですか？
P,暑い～
菜々,そうですねぇ…最近一気に気温が上がりましたね
P,…そのメイド服暑くない？
菜々,…慣れてますから！
P,いやいや、いくらなんでもコレで特に直射日光浴びるのはヤバイって！
菜々,ダメです～！ナナには気温よりも紫外線の方が敵なんです～！
P,そんなこと言っても菜々さん顔には出てないけど結構汗かいてるじゃん！
菜々,えっ、ヤダ…その、匂います？
P,良い匂いだから大丈夫だよ～全然？むしろ何もにおわないくらいだよ？
菜々,Pさん…本音と建て前がですね…
P,おっと、つい
菜々,まったくもう…まぁPさんが良いって言うなら良いですけど…
P,じゃあそんな暑さに耐える菜々さんを扇いであげよう
菜々,あぁ＾～…良いですねぇ…やっぱり風があるだけでかなり違いますねぇ…
P,だな～
菜々,あっPさん、もう少しこう服の中に風が入るように…
P,ほいほい…こんな感じか？
菜々,はぁ”～…やっぱり服の中で蒸れちゃってましたからねぇ…
P,お洒落は我慢とか言うけど、それで倒れたりしないようにな～
菜々,大丈夫です！自分の限界はもう大体わかってますから！
P,それは頼もしい
菜々,でも、心配してくれて嬉しいです♪
P,菜々さんが倒れたら俺も仕事どころじゃなくなるからな～
菜々,ふふっ、それじゃあ体調にはより気を付けないといけませんね！
P,そうして～
菜々,でもPさんもお疲れでしょうし…よし、がんばり屋のPさんはナナが扇いであげちゃいます！
P,はぁ～…涼しい～…
菜々,ふふっ、癒し効果のあるウサミンウィンドですよ～！
P,やばい…スタドリなんかよりずっと回復する…
菜々,愛情こめてますから♪
P,菜々さんの愛情を受けてちょっと体が火照って来ちゃったな～
菜々,な、何を言っているんですか！こんな時間から…ノウッ！ですよ！
P,ちぇ～…じゃあそろそろ良い時間だし、ご飯食べに行こう！
菜々,あっ、良いですね～！今日はナナのお弁当ですよ、中庭で食べましょう！
P,わ～い楽しみ～
早苗,ねぇ…何今の？
瑞樹,わからないわ…
早苗,他に人が居るのになんであの二人ずっと膝枕でイチャイチャしてんのよ！
瑞樹,あれでどうして仕事が滞ったりしないのかしら…
早苗,というか見せつけてるんじゃないわよ…
瑞樹,付き合い出すまでは色々応援してたけど、まさかこんなにバカップル化するだなんて…わからなかったわ…
早苗,最初こそ微笑ましかったけど、こうまでイチャイチャされると少し鬱陶しいわね
ちひろ,ですよね！
瑞樹,あらちひろちゃん、あなたも大変ねぇ
ちひろ,そうなんですよ！毎日至近距離であのイチャイチャ見せつけられるのはさすがにこたえます…
早苗,あたし達はお仕事とかレッスン行ってる間は見ないで済むけど、ちひろちゃんは逃げ場ないもんね～
ちひろ,菜々さんのケアが完璧過ぎてスタドリも買ってもらえませんし…
瑞樹,あ～…確かに最近飲んでるの見ないわね
ちひろ,それに菜々さんがしれっと私のアシスタント業務をこなしちゃうんですよ！このままでは私の立場が！雇用がぁぁぁ！
早苗,あ～…菜々ちゃん凄く気が付く子だから…
ちひろ,ですので！あの二人のイチャイチャを少し抑えるようにお願いしましょう！事務所の平穏と、そして何より私の雇用のために！！！
瑞樹,ここでP君が前にポロッとちひろさんがアシスタントしなくてよくなったらいっそアイドルデビューさせても…
早苗,まぁまぁ、アシスタントがダメになったらアイドルやれば良いじゃない！ちひろちゃん可愛いし
瑞樹,片桐いいいいいいいいい！！！
ちひろ,嫌ですよ！私はあくまで裏方です！そんな表舞台に立つなんて…
瑞樹,まあそれはさておき！問題はあのバカップルをどうするかよ！
ちひろ,それなんですけど、他にもこの状況に耐えきれない子が居るので色々と…
早苗,ほほ～…でもそんなので効くかしら？
ちひろ,お二人とも基本的には奥手ですから、少しだけ周囲からの目を意識すれば大人しくなるかと
瑞樹,だと良いわねぇ…
ちひろ,ちょうど今頃あの二人が仕掛けているはずですね
菜々,さっ、お弁当食べましょう♪今日は色々試したいものも作って来ちゃいました！Pさん苦手なものはありますか？
P,自慢じゃないけど何でも食べるし、それに俺の好物は菜々さんの手料理だから！
菜々,ふふっ、頼もしいです！それじゃあ…
？？？,あら、Pちゃまではありませんか。こんな所でお昼ですか？
菜々,あら、桃華ちゃんにありすちゃん！
P,二人ともどうしたんだ？レッスンには少し早いぞ？
桃華,ありすさんと少しお話をしておりましたの
ありす,お二人こそこんな所で何を？
菜々,ナナ達は…えへへ、二人でお弁当を
P,二人はもうご飯食べたのか？
桃華,いいえ？これからカフェテリアに二人で行こうと思っていましたの
菜々,それでしたら一緒にお弁当食べませんか？少し多めに作ってきましたし！
ありす,しめた！。良いんですか？
P,良いぞ～、それじゃあそこに座ってくれ
桃華,それでは、失礼いたしますわね
ありす,…
P,あ～…お二人さん？
桃華,なんでしょう？
P,なんで俺の両隣を固めるの？
ありす,嫌ですか？
P,いやべつに嫌とは…
桃華,じゃあ良いですわね
P,…はい
菜々,ふふっ、Pさんは皆に慕われていますね！そんなPさんだからナナも…
P,菜々さん…
桃華,んん”っ！こほん、お二人とも？
菜々,はい？どうかしましたか？
ありす,お二人がおつ…おつき…よく一緒に居るようになってから、その…人目もはばからずイチャイチャし過ぎじゃありませんか？
桃華,そうですわ！特に菜々さんは売れっ子ですし、どこに目が光っているか…
P,あ～…それは大丈夫、ちゃんと事務所内とか部外者の目がない所を選んでやっているから
桃華,だからといって…！
菜々,それに…皆さんがナナたちの事を応援してくれましたから
P,そうだな…早苗さん達にもやれ遠慮するな！とか好きって気持ちをストレートにぶつけろ！とか色々言われたしな
桃華,早苗さん！！！なんてことを言ってらっしゃるんですか！！！。そ、そうなんですの…
菜々,はぁとちゃんとかもナナセンパイはこれまで頑張ってきたんですから！幸せになる権利と義務があるんです！とか力説してくれましたねぇ…
ありす,おい佐藤ぉぉぉぉぉぉぉぉぉ！！！
心,はぁとって呼べよ☆
ありす,！？
桃華,…皆さんから凄く応援されたのですわね
P,ああ、だから…
P・菜々,遠慮した方が皆に失礼だと思って
ももあり,限度ってものがあるでしょう！！！！！！！
ありす,そ…それでもですね
菜々,あっ、もうそんなお昼休みないですよ！早く食べないと！
P,それはいけない！菜々さんのご飯を食べられないとまたあのスタドリのお世話にならないといけなくなる！
菜々,でも、急いで食べちゃダメですからね？よく噛んでください！
P,もちろん！折角菜々が作ってくれた弁当だし味わって食べるさ！
菜々,ふふっ、さあ召し上がれ…あ、お二人も遠慮しないで食べちゃってくださいね！
ありす,…はい
桃華,いただきますわ…
ありす,この卵焼き…凄く甘いですね
菜々,そうですか？Pさんがしょっぱい方が好きだと言うのでしょっぱいはずですけど
ありす,いえ、甘いです、狂おしいほどに
菜々,？？？
桃華,このお味…ああ…
ありす,桃華さん！？
菜々,ええっ！？桃華ちゃんどうしました！？何か嫌いなものでも入っていましたか？
桃華,いいえ…いいえ…このお料理…お母さまが作って下さったはずはありませんのに…どうしてでしょう、凄く心にしみますわ…
P,あ～、菜々の料理はなんというかザ・おふくろの味って感じなんだよな、毎日食べても飽きない感じ
菜々,毎日だなんて…もう！Pさんさえよければいつだって作ってあげちゃいますよ！きゃはっ！
桃華,本当に…お母さまが恋しいですわ…
菜々,桃華ちゃん…そうですよね、親元から離れてこちらでアイドルしているんですもんね
P,…菜々
菜々,はい！桃華ちゃん、こちらへどうぞ！
桃華,あ…あらっ
菜々,桃華ちゃんは一人でこちらに来て頑張っているんですもんね…たまには誰かに甘えたくもなりますよね…
桃華,あっ…ふわぁ…
ありす,桃華さんが今まで見たこと無いような陶酔した表情を！？
P,菜々の膝枕はヤバイからなぁ…ただひたすら全てを菜々に委ねたくなるぞ
菜々,ナナでは役者が不足していると思いますけど、今日だけでも頑張っている桃華ちゃんをねぎらわせてください
桃華,あっ…はぁっ…菜々…ちゃま…おかあさま…
菜々,はい、おかあさまですよ～♪桃華ちゃんは偉いですね～…
桃華,あっ…あっ…わたくし…わたくしぃ…
ありす,も、桃華さん！一度撤退です！それ以上は引き返せなくなりますよ！
桃華,…はっ！？…あっ、ありすさん！お待ちになって！
菜々,あんまり急いで転ばないでくださいね～
桃華,はい、おか…菜々ちゃま！
ありす,桃華さん！
菜々,年少組の子達は元気があって良いですねぇ…ナナももしかしたらあのくらいの子が居たかも知れないんですね
P,今さらたらればを言っても仕方ないさ
菜々,そうですけど…
P,いつか菜々が満足した時に…な？
菜々,それって…あっ…はい
P,さ、お弁当食べちゃおう！
ちひろ,そろそろかしら
早苗,あの二人のアレはちょっとやそっとでどうにかなるものじゃないと思うけどねぇ
