モバマスより小日向美穂,たぬき
奈緒,ちーすおつかれさーん
Ｐ,おう、お疲れ
未央,あ、かみやんおつかれー！
美嘉,お疲れ★今コーヒー淹れるとこだけど、奈緒も飲む？
奈緒,あ、うん飲む飲む。砂糖ふたつ入れてくれっ
未央,でもアレだねー。かみやんのもふもふ、あったかそうだよねっ
奈緒,んー？ああまあ、そうかもなぁ。冬なら湿気もあんま無いしさ。静電気は大変だったけど
美嘉,めっちゃやわらかい髪質だよね。天然でそのくらいふわふわなのって羨ましいよ
奈緒,いやぁ、そんないいもんでもないぞ？手入れとかも手間だし
Ｐ,やっぱそうなのか？
奈緒,そうそう！梅雨とかほんと大変なんだから！もう髪がうじゃー、もじゃーって！
美嘉,あ～、毎年スゴいよねぇ……
Ｐ,そんなアレだったら、一回さっぱり散髪してみたらどうだ？イメージもがらっと変わると思うぞ
奈緒,え？切ってみろ、って……
美嘉,プロデューサー
Ｐ,オゥッフ脇腹！？
未央,ちょっとこっちこっち
Ｐ,おっ、と、と、何だ何だ！？
美嘉,いきなりそれはないでしょ！
未央,そうそう！女の子に髪切れなんて、ちょーっとデリカシーが足りてないぞー？
Ｐ,えぇ！？でも大変だって……
美嘉,それとこれとは別！髪の話題はデリケートなんだから！
未央,伸ばすのにもちゃーんと理由があるんだよ？切るかどうかは本人の判断だかんね？
Ｐ,むぅ……反省するよ
美嘉,……それともプロデューサー、ショートの方が好みとか？
未央,あホント？じゃあ未央ちゃんもストライクゾーンな感じ？
Ｐ,いやそれこそ全く別の話題じゃないですか
美嘉,だよねー美穂とか楓さんも短めだもんねー
Ｐ,何故そこでその二人が！？
奈緒,……おーい、丸聞こえだぞー
三人,ぎくっ
Ｐ,ということで、急にデリカシーの無いこと言ってすまん
奈緒,別に気にしてないよ。まあでも、今んとこ髪切る予定は無いかなぁ
美嘉,ほら
Ｐ,だよな。やっぱ大事だよな
奈緒,うーん……ていうかほら、切っちゃうと多分、あいつらがいられなくなっちゃうんだよな
美嘉,だよね…………え？
未央,あいつら？
Ｐ,……って何？
