宮本フレデリカ,あ、もしもしー？アリスだよー！
フレデリカ,……あー、バレちゃったか～。やっぱり本物のありすには勝てないね♪。ええ！？違うよー！これだけのために電話する安い女に見えるのかなー？。あー、ようかん、美味しいよね～……え？ようかんじゃなくて用件？。そうだね……あれはまだ暑さの残る秋の初めことであった……。あ！ちょっと～！切っちゃダメ！撮影までヒマなの～。え？これからお仕事？じゃーしょうがない！許してあ・げ・ｒ。……切られちゃった☆。カフェで時間でもつぶそーっと！
緒方智絵里,あ、もしもし、朋さんですかっ
智絵里,いえ、特に用があるというわけではないんですが、そこにスマホがあったので……。え？山があったので？言ってませんよ？。ああ！例えツッコミですか！さすが芸人顔負けですっ！。ほ、褒めてますよぉ！アイドルの比較対象が芸人って……笑。え？素直？……えへへ……。あ、朋さん、これからお仕事なんですか？残念です……。お仕事が早く終わったのでちょっとお話でも、と思ったんですが……。……はい、頑張ってくださいね、エン〇の神様。……え？違う？。ああ！レッドカーペ……違いますか？あ、はい、ともかく頑張ってくださいっ。じゃあ、ちょっとカフェで本でも読もうかな……
渋谷凛,あ、もしもし、未央？
凛,いや……ちょっと待って、本当に未央？……まさか、詐欺！？。あ、そうか、私から掛けたんだった。勘の鋭い未央なら、そろそろこの電話の“意味”に気が付いているよね？。……！よくわかったね……、……ただの暇つぶしだということに。え、未央、忙しいの？平気？歯磨きした？卯月を向かわせようか？。……卯月が聞いたら悲しむよ。じゃ、せいぜい頑張ってね。べっ、別に構ってもらえないからって拗ねてないし！。え？テンプレみたいなツンデレはお気に召さな……。……。カフェでちょっと休もうかな
フレデリカ,おっ？
智絵里,あ……！
凛,ん……
フレデリカ,やっほー！2人とも！
智絵里,奇遇ですねっ
凛,やっほー2人とも、奇遇だね
フレデリカ,わお！ジャパニーズ・オウム返しだ！
智絵里,オウムの生息地は主に東南アジアからオセアニアですよ
フレデリカ,え！？凛ちゃんはオーストラリア人ってこと！？
凛,……勘が良いフランス人は嫌いだよ
フレデリカ,ハーフは！
凛,セーフ！！！
フレデリカ,ヤッター！
智絵里,よかったですねっ
凛,ま、立ち話もアレだし、座ろっか
フレデリカ,あ！フレちゃんは凛ちゃんの隣がいい！
智絵里,わたしはフレデリカさんの隣ですっ
凛,私は智絵里の隣がいいんだけど
フレデリカ,……
智絵里,……
凛,……
フレデリカ,まあ円卓なんだけどねー♪
凛,平和だね
智絵里,世界では紛争が絶えないですけどね
フレデリカ,智絵里ちゃん意識高ーい☆。2人とも何飲むー？
凛,レッドブル
智絵里,カフェにはないよっ！……あ、わたしはホットコーラで
フレデリカ,それマズそー！フレちゃんはー、フランスの国民的飲み物のー
凛,緑茶？
フレデリカ,そ・れ！
智絵里,青汁だと思ってました……
フレデリカ,うーん、それも正解でいいや☆。店員さーん！。いやー、なかったねー……
凛,“お客様の声”みたいなやつにリクエストしておこっか？
智絵里,でも、一気に全部はお店が困ってしまうので、どれかに絞りませんか？
凛,優しさの塊だね
フレデリカ,ノーヘル平和賞だね！
智絵里,ノーヘルだと植木鉢より硬いものが当たると血が出ちゃいます
フレデリカ,血えりん！
凛,ファン減少待ったなしだね
フレデリカ,ここは公平に、じゃんけんで決めよう！
凛,待って、何でフレデリカが決めるの？勝負方法を決める人を決めるために神経衰弱しようよ
智絵里,凛ちゃん、勝手に決めちゃダメだよっ！勝負方法を決める人を決める方法を決める人を決めるためにしりとりをしましょう！
フレデリカ,しりとり！
凛,凛！
智絵里,ンジャメナ！
フレデリカ,ナイスリカバリー！
凛,理論！
智絵里,ま、負けました……
フレデリカ,潔さに拍手！
凛,智絵里の意志、忘れないよ
フレデリカ,なんでしりとりしてたんだっけ？
凛,忘れたの？負けたら改名するんだよ
フレデリカ,どうも、橘フレデリカです！
凛,ありすが聞いたら怒るね
智絵里,藤菊智絵里ですっ
フレデリカ,植物っぽーい！
凛,本村と島田ならどっちがいいかな
フレデリカ,よし！じゃんけんして、フレちゃんが勝ったら“本村”で、凛ちゃんが勝ったら“島田”にしよう！
凛,待って、何でフレデリカが決めるの？勝負方法を決めるためにあっち向いてほいしようよ
智絵里,凛ちゃん、勝手に決めちゃダメだよっ！勝負方法を決める方法を決める人を決めるために深呼吸をしましょう！
3人,すーはー
フレデリカ,争いなんてくだらないねー……
凛,うん、みんな違って、みんなビリ
智絵里,“ナンバーワンにならなくてもいい”なんて最初からナンバーワンになれそうもない人が言うのは滑稽ですねっ
フレデリカ,みんな格言みたいな言葉、よく知ってるんだね！
凛,フランスにはないの？
フレデリカ,そうだ！パリ行こう！とか！
智絵里,旅行会社はどこも大変だなぁ……
フレデリカ,旅行！行きたいね！
凛,いいね。仕事で行くのもいいけど、プライベートで自由に行きたいものだよね
智絵里,世の中には、サイコロで行き先を決める、世にも面白い旅行があるみたいですよっ
フレデリカ,へぇ～！ほたるちゃんがやったら帰れなそー！
凛,茄子を連れてくしかないね
智絵里,帰れなかったらそれはそれで面白いので！
フレデリカ,ポジティブ～♪
凛,飲み物、来ないね
フレデリカ,だって頼んでないもーん！
凛,智絵里、この金髪、どうしてやる？
智絵里,金髪だなんて、岡本さんに失礼だよっ
凛,ごめん中本、無罪！！！
フレデリカ,［勝訴］！！！
凛,［控訴］！！！
智絵里,［島流し］！！！
フレデリカ,どこに！？どこに！？
凛,ハワイ
フレデリカ,わーい！。ここでフレちゃんクイズのお時間でーす！
智絵里,わー
凛,負けられないね
フレデリカ,フレちゃんが最近、ハマっているものはなんでしょー！
智絵里,側溝？
フレデリカ,惜しい！いや、惜しくない可能性もあるカモ！
凛,謎は全て解けた
フレデリカ,え！
凛,真実はいつも1つだからね。当ててみせる！ハナコの名に懸けて！
フレデリカ,はい時間切れー
凛,切り替えていくよ
智絵里,すごい心理戦……！
フレデリカ,正解はー……
凛,越後製菓！！！
智絵里,すごい心理戦……！
フレデリカ,もう時間切れだよー！次やったらビックリするからね！
智絵里,越後製菓！！！
フレデリカ,ワオ！！！
凛,宣言通りのビックリだね
智絵里,感服しましたっ
フレデリカ,ここで凛ちゃんクイズのお時間でーす！
智絵里,もらった！
凛,本人を差し置いての勝利宣言……！恐ろしい子！
フレデリカ,凛ちゃんの一昨日の晩御飯は？
凛,トルティーヤ！
智絵里,タコス！
フレデリカ,残念！朝マック！
凛,流石に朝に買って夜に食べるのはよくなかったね
智絵里,お腹に入ればいっしょだよっ
フレデリカ,えー、智絵里ちゃんクイズのお時間ですが、野球中継の延長により中止です！
凛,えー！
智絵里,かっ飛ばせー！ラ・イ・ラ！
フレデリカ,飛ばなそー！
凛,巴にデッドボールを当てたら、次の日から消息が不明になるらしいよ
フレデリカ,あるあるー！。あ！凛ちゃん！アレ！！！
凛,え？……あ、あれは！
凛フレ,DJチエリ！！！
智絵里,YO！
凛,YO！
フレデリカ,YO！
智絵里,飽きました
フレデリカ,早いYO！。あ！智絵里ちゃん！アレ！！！
智絵里,え？あ！あの人は！
フレ智絵里,ロードレーサー凛！
凛,風に乗るよ
フレデリカ,音がママチャリみたい！
凛,あ、口で言ってるから
智絵里,それだけで食べていけるね！
凛,光栄だね
智絵里,り、凛ちゃん！アレ！
凛,え？あ、あれは！
凛智絵里,宮本フレデリカ！
フレデリカ,はろー！！！
凛,じゃ、そろそろ帰るね
智絵里,わたしも失礼しますっ
フレデリカ,フレちゃんも帰ろーっと！。……フランスにっ！
凛,着いたら手紙送ってね
智絵里,読まずに食べますっ
フレデリカ,残念！電子メールだよ♪
智絵里,ﾁｯ
凛,ﾁｯ
フレデリカ,出直して来るがよーい！
