剣の乙女,以下、乙女
火の四天王,以下、火王
乙女,だから、何が？
火王,奴に……婚約者に、何と言えばいいのだ！
乙女,酔って、朝起きたら剣の乙女がベットに居た。どっちも裸で、覚えてないけどヤっちゃったらしい。……じゃない？
火王,……うわあああ！！
乙女,大きな声を出さないで、うるさいわよ
火王,私は！私は、裏切ってしまった！
乙女,ねえ、聞いてるの？
火王,浮気……しかも、事もあろうに敵とだ！
乙女,あのね、声を抑えてくれない？。そんなだから、あの時も声が大きいのよ
火王,どの時――。――……言うな！頼む、言わないでくれ！
乙女,だったら、声を小さくして頂戴
火王,……わかった
乙女,そうそう、良い子ね
火王,私は……どうすれば……！
乙女,……あのね、火の四天王。あまり、被害者ぶらないで貰えるかしら？
火王,……。えっ？
乙女,覚えてないみたいだけど、貴女……ノリノリだったわよ？
火王,ばっ、馬鹿な！有り得ん！
乙女,……何？本当に、覚えてないの？
火王,覚えていたら、正気を保てているものか！
乙女,――んー、ちゅ～っ！ちゅ～う～っ！。って、貴女――
火王,わ――っ！？///わ――っ！？///。う……嘘だろう！？///
乙女,良かったわね、火の四天王
火王,！やはり嘘か！驚かせる――
乙女,いえ、そうじゃなくて。結婚していなくても、ブレスは出なかったわよ。もんのすごいディープなキッスをしても
火王,ひああああ！？(ﾎﾞﾜｯ)///ひああああ！？(ﾎﾞﾜｯ)///。有り得ない！///そんな、ふしだらな！///
乙女,まあ、最初のキスは恐る恐る……チュッって感じだったわね
火王,だろう！？そこから、無理矢理――
乙女,ええ。チュッとしたら、目を見開いてね。そこからはもう、スリスリベタベタ……。言葉遣いも、なんだか幼くなっちゃって、もう
火王,おぶっふ！？ﾎﾞﾜｧｯ
乙女,それで、やっと会えただの……
火王,そんな！そんなっ……！
乙女,ずっと、探してただの……
火王,探してなどいなかった……！
乙女,――本当に、見せつけてくれたわ。恋人の私が見てるっていうのに
火王,……。えっ？。私は、お前と……その、しっ、しちゃった訳では無いのか？
乙女,当たり前でしょう？
火王,なっ、何だと！？
乙女,……はあ、本当に何も覚えてないのね。……貴女としたのは、私の恋人。大地の魔女のお姉様よ
火王,おっ……お姉様……？。だが、待て……待ってくれ……！
乙女,一対一の決闘じゃなく、集団戦闘だったの
火王,はっ……ほっ……！？
乙女,まあ、結果は私達の惨敗だったけれど、ね。交互でも、一対二でも……凄かったわ、お姉様///。……ふふっ！。今度は、二人がかりででも、一矢報いましょうね？
火王,……すまない、少し時間をくれ。は、破廉恥すぎて……理解が追いつかない……！
乙女,あの夜、一番破廉恥だったのは貴女だけれどね
火王,ういっ！？(ﾎﾞﾜｯ)///
乙女,あと……一つ、お願いがあるんだけど
火王,おっ、お願い……！？///
乙女,貴女、盛り上がると龍の翼が出るみたいなの。ただ、あまりパタパタされると邪魔なのよね
火王,つっ……つつつ、翼まで出ていたのか！？(ﾎﾞﾜｧｧｯ)///
乙女,何？そんなに驚くこと？
火王,わ……私の魔力の源は、喜びの感情なんだ……
乙女,ふぅん、そうだったのね
火王,強者と戦える喜びが溢れた時、龍の翼が出るんだが……
乙女,性の喜びが溢れて、翼が出たのね。戦闘狂かと思いきや、色情狂だったって事かしら
火王,っ……！ﾎﾞﾜｯ。私が、そんなっ……！
乙女,残念だけど、事実は変えられないわ
火王,う……うあぁっ……！
乙女,……ふふっ。――ようこそ、火の四天王。貴女はもう……私と同じ。――お姉様の、妹なのよ
火王,やめろ……！やめてくれぇっ……！。私には――婚約者が居る！
乙女,それは、運命の相手じゃなかったのよ
火王,そんな……そんな事……！
乙女,いいえ、貴女の体は知っていたわ。貴女の運命の相手は――大地の魔女。これは、何があろうと揺るがないわ
火王,う……ううっ……！
乙女,……火の四天王
火王,……
乙女,私は、貴女のあの時の喜び様が忘れられないわ
火王,……
乙女,大地の魔女のお姉様と、唇が触れ合った時。あの時の貴女は、とても嬉しそうな顔をしていたわ。――まるで、探し求めていたものを見つけたみたいに。……ね
火王,……剣の乙女
乙女,認められないなら、お願いしてみなさいよ
火王,お願い……？
乙女,私も、貴女だから……許してあげるんだから
火王,何をだ……？
乙女,酔っていない状態で、大地の魔女のお姉様とキスをするの。その時、貴女が感じた想いに……素直になれば良いわ
火王,……少し。少しだけ……考えさせてくれ
乙女,……はぁ、本当に世話が焼けるんだから。……。――そこに居るのは、わかってるわよ。隠れてないで、出てきなさい
風の四天王,以下、風王
乙女,御機嫌よう、とは言わないのかしら？
風王,……ああ、まあね
乙女,それで？貴女の探しものは見つかったの？
風王,……ああ、見つけるには見つけたよ
乙女,あら、良かったじゃないの
風王,だけど、まだ戻れないと……言われてしまったんだ。――女の僕を選ぶ、と。……そう、言ってくれはしたんだけどね
乙女,……。ん？。貴女の想い人って、男性よね？
風王,ああ、そうだよ
乙女,……そうよね、私の勘違いよね
風王,勘違い？
乙女,貴女の想い人が――。――私の恋人、大地の魔女のわけないものね
風王,……。……少し、意地悪をしようかな
乙女,何？意地悪？
風王,僕と君は、元々敵同士だからね
乙女,……何を勿体ぶってるのかしら
風王,――僕と、大地の魔女は……ある秘密を共有している。それも……とてもとても、重大な秘密を
乙女,……何なの、それは
風王,ははっ、さあてね！
乙女,っ、待ちなさい！話は終わってないわ！
風王,気になるなら、直接本人に聞いてみると良いさ。――私に、何か隠し事をしてませんか？。ってね！ははははっ！
乙女,風の四天王！待ちなさい！。……。……逃げ足の早い……！
大地の魔女,以下、地女
光の勇者,以下、勇者
地女,剣の乙女は――最近、剣筋に迷いが見られる
勇者,祝福の聖女は――近頃、何か思い悩んでるみたいだ
地女,どうするのだ、リーダー
勇者,……
地女,聖女の悩みとは、恐らく……
勇者,……
地女,光の勇者よ。お前との、恋の行方に関する事だろう
勇者,……多分、そうなんだろうな。そして、剣の乙女の迷いってのは……
地女,……うむ。……サッパリわからんなぁ
地女・勇者,……
地女,……よし！ここは任せて貰おう！
勇者,何？
地女,なぁに、お前には世話になっているからな！
勇者,まあ……本当にそうだな
地女,今の俺は、見た通り美少女だ！。つまり、ガールズトークすらお手の物よ！
勇者,……今みたいな状況は、初めてなんだ。だから……何だ、その……
地女,ええい、皆まで言うな！光の勇者よ！。大船に乗ったつもりで――。地の四天王に、全て任せておけ！
