モバＰ(以下P),みんなおつかれ、良いステージだったぞ
飛鳥,港に設けられた舞台というのも乙なものだね
かな子,うん、風がとっても気持ちよかったね♪
志保,お客さんと一緒に楽しめました♪
幸子,フフーン！ボクがいるから当然です！
Ｐ,これで今日はあがりだ。せっかく仕事で名古屋まで来たんだし、どこか寄ってこうか？
かな子,あっ、いいですねそれ！
志保,プロデューサーさん！私、お腹空いてますよっ
P,そうだな、打ち上げってことでみんなで名古屋飯でも食べにいこう
幸子,遠征だとこういった楽しみもありますね
スタッフ,あ、いたいた！イベントのスポンサーの方が、プロデューサーにご挨拶したいとお探しでしたよ
P,本当ですか、わざわざありがとうございます……すまん、ちょっと行ってくる
飛鳥,ここで待っていたらいいのかい？
P,いや、この付近の店で適当で時間つぶしててくれ……あの人、話長いんだよなぁ
志保,わかりました。お店決まったら連絡入れときますね
P,すまんが頼む。後で合流するから、それじゃまた！
幸子,行っちゃいましたね
かな子,とりあえず、入るお店探そっか？
飛鳥,さて、当てもなく彷徨ってはいるが、ボク達はどこへ向かおうか？
幸子,近くには水族館なんかもありますね
志保,プロデューサーさんがいつ戻るかわからないし、そういう施設はやめといた方がいいかな？
かな子,やっぱり喫茶店とかがいいのかな……あ、あそこにカフェがあるよ
幸子,キャッツカフェ？みくさんや友紀さんが好きそうな名前ですね
飛鳥,へぇ、懐かしい店に巡り合えたものだ
志保,そうだねー……って、そっか静岡だったら飛鳥ちゃんも知ってるよね
かな子,志保さんと飛鳥ちゃんはこのお店知ってるんですか？
飛鳥,あぁ、ボクの地元にも同じ店が存在したからね
志保,キャッツカフェは愛知を中心に東海地方で展開してるお店なんだ。残念ながら三重と静岡からは、もう撤退しちゃったけど
幸子,志保さん詳しいですね？
志保,まぁアイドルやる前はウェイトレスやってたから、こういう情報はちょっとはね。昔取った何とかってやつ？
かな子,お店の特徴とかあるんですか？
志保,なんといっても、パフェの種類が豊富だね♪
飛鳥,たしか、パフェだけで30種類はあったんじゃないかな？
志保,それに、すごーい名物パフェがあるよ！
かな子,すごい名物パフェ……ここにしようよ！
幸子,かな子さんの目が輝いてます！
飛鳥,いや、名物といってもアレは――
かな子,ほら飛鳥ちゃん！早く入ろう、ね！
飛鳥,わ、理解ったからそんなに押さないでくれ……！
志保,ふふっ、これは入るしかないね。私も甘い物好きだから、かな子ちゃんの気持ち分かるし
幸子,ボクは何だか嫌な予感がしてるんですが……
志保,さすが幸子ちゃん、バラエティで鍛えた危険察知能力が働いてるね♪
幸子,それって予感が当たるってことじゃないですか！はぁ、お二人はもう入ってますし、行くしかないですね……
かな子,店員さん、私たちを見て奥の席にしてくれたね
飛鳥,イベント会場とは目の鼻の先だからね、この配慮は有難いよ
志保,奥なら、こうして普通にしてれば案外バレないもんね
幸子,変にこそこそしてる方が目立ちますからね。まぁボクのカワイさはどうやっても隠せませんけど！
店員,はい、お呼びでしょうか？
幸子,あ、いえ……すみません
飛鳥,ふふ、幸子の普通は店員を呼び寄せる程度には騒がしい、と
幸子,鼻で笑わないで下さいよ！恥ずかしいんですから！
志保,まぁまぁ、来てもらったし注文しちゃおっか？
かな子,名物のパフェを下さい！
飛鳥,メニューも見ずに言ったね……
店員,えっと、当店の名物ですとアンビリーバブルですが……よろしいですか？
かな子,はい、お願いします♪
幸子,かな子さん、アンビリーバブルなんてパフェに似つかわしくない名前付いてますよ！せめてメニューで確認してから！
かな子,うふふ、パフェって盛り付けとかも凝ってるし、せっかくだから知らないまま実物見たくない？
飛鳥,こと今回に限っては考え直した方がいい気がするが……
志保,こうなったらいくしかないよ。あとホットコーヒーを人数分お願いします
かな子,ふふ、楽しみだねぇ♪
幸子,経験者のお二人が他に注文しない時点で何となく予想は付きました
飛鳥,恐らく方向性は正しいだろうが、その予想を超えていると断言するよ
志保,みんなお腹空いてるし、疲れたときは甘い物だよ！大丈夫っ！
幸子,あぁ、やっぱりそういう系なんですね……
かな子,キャッツカフェはパフェ以外の普通のご飯もあるの？
志保,うん。パスタ、ピザ、ハンバーグ……定番の洋風メニューは一通り揃ってるかな
飛鳥,ボクはここのオムライスが好きだね。とろとろタイプのお手本のような一皿だよ
かな子,へぇ美味しそう！頼んでないけど、飛鳥ちゃんはいまお腹空いてないの？
飛鳥,いや、ほどほどに空腹ではあるが……オムライスを食べる余裕など無くなるだろうからね
幸子,あ、店員さんがこっちに来てますよ……え？
店員,お待たせしました、アンビリーバブルです
幸子,
志保,相変わらず凄いなー！
飛鳥,久しぶりの再会だね……
かな子,うわー大きい！おいしそー！
幸子,いや大きすぎです！器がボクの頭くらい余裕で入りますよこれ！
志保,えっとね、本来は5～8名様向けってメニューに書いてあるよ
飛鳥,年々少しずつ改良されてるらしいね、ボクが挑戦したときは4～6名だった筈だよ
幸子,毎年成長するパフェって生物か何かですか……
店員,取り皿とスプーンお使いください。あとこちらホットコーヒーです
かな子,ありがとうございます。大きいからみんなで食べよ♪
志保,さぁ、4人でどこまでいけるか……でも、美味しそう♪
飛鳥,楽しみな気持ちもあるが、どこまで持つかな……
幸子,パフェを食べる前に覚悟を決めるなんて初めてですよ！
かな子,んー美味しい！
幸子,上に乗ってるフルーツだけで結構な量ですね
飛鳥,幸子、ボクの言う通りに。フルーツは皿に避けておくんだ
志保,ほう、飛鳥ちゃんもわかってるねー
幸子,志保さんも同じことをしてますね、食べないんですか？
飛鳥,無論食べるよ。だが、食べるべきはこの瞬間ではないということさ
かな子,あ！中央はプリン、シュークリーム、ケーキ……ちょっとビターなチョコソースが絡んでて……んんー♪
幸子,かな子さんには助言なしでいいんですか？
飛鳥,彼女には、赴くままに食べ進めてもらうのが最善手だと思ってね
志保,うん、同感
幸子,しかしケーキが何個も普通に乗るパフェって改めて凄いですね……。最上段のものは粗方無くなりましたね
かな子,そのすぐ下は生クリームとアイスクリーム、そしてストロベリーソースが層になってて……はー、幸せだよぉ♪
幸子,甘くて本当に美味しいです。意外と食べられる気がしてきました！
飛鳥,ふ、アンビ初心者にありがちな発言だね
幸子,そんな略称あるんですか。でも実際に全然食べられますよ？
志保,ならこの調子で食べ進めよう！
幸子,うぐ……掘っても掘っても生クリームが無くならないですし、甘さが凄い、そして冷たい……
飛鳥,これが表層を抜けた第1層、通称“甘味の滝”だよ
志保,いや、美味しいよ？それでもこの量の生クリームは胸に来るよね
幸子,アイスクリームも溶けてきて、甘いソースと生クリームと混ざり合って、とっても甘々なシェイクみたいになってます……
飛鳥,さぁ、ここから避けておいたフルーツを口にする瞬間さ
幸子,はっ！そういえばそうでした……わ、オレンジの酸味に癒されます！
志保,口の中の甘さをリセットするために、柑橘系は残しておくといいんだよっ
飛鳥,表層から馬鹿正直に食べているとアイスがどんどん溶けていくから、という理由もあるがね
志保,それでも口の中がクドくなったり、体が冷えたらホットコーヒーも有効だよ。飲みすぎ注意だけど
かな子,あま……うま……
幸子,かな子さんは変わらないペースで掘り進みますね
飛鳥,ふう、大体3分の1くらいは食べたかな
志保,ようやく次の層に着きそうだね
幸子,まだ3分の1……次は何でしょうか？
かな子,あ、シリアルだよ！
幸子,ここでシリアルは嬉しいですね！あーん……チョコソースが掛かってる上にシリアル自体も甘い！サクサクもしないです！
志保,溶けたアイスを吸ってるからねー
飛鳥,これが第2階層……通称“永遠の朝食”さ
幸子,絶対適当に付けてますよね！
かな子,でも、もふもふ食感のシリアルも美味しいねぇ♪
幸子,うぅ……口の中は冷えなくなりましたが、お腹に溜まりますね……
飛鳥,朝食ゾーンを少し掘ればまた果実の輪切りがある、そこまでの辛抱だ
志保,大丈夫、ここまで掘れたら後半戦よっ
飛鳥,ようやくシリアルも抜けたようだね……
志保,ここから先はまた生クリームとアイスの厚い層……うーん、さすがに限界が近い、かも……
かな子,幸子ちゃん、大丈夫？
幸子,ふ、ふふーん……どんなボクも、カワイイですからね……
志保,お口の端から生クリームが垂れてるよー
飛鳥,正直、キミの根性は称賛に値するよ
かな子,無理して食べたら駄目だよ。コーヒー飲んで休んでて、ね？
幸子,ですが、かな子さんもだいぶペースが落ちてますよ
かな子,うん……でも、残すなんてできないよ！
志保,かな子ちゃん！そんな……！
幸子,かな子さんこそ無理しないでください！
かな子,えへへ……美味しいから、大丈夫だよ……
飛鳥,……ここまで来て抜け駆けは許さないよ
志保,そうそう！最後まで一緒だよ！
幸子,みなさんが頑張ってるのに、ボクだけ休むわけにはいきませんよ！
かな子,みんな……！うん、最後まで、美味しく食べよう！
志保,だけどシリアルで膨れたお腹に、ここにきて生クリームとアイスの圧倒的な甘さが……
飛鳥,これが最終層、“終焉の宴”のセカイか……
幸子,もうツッコむ気力もないですよ、うぅ……
飛鳥,ふ……これがセカイの選んだ結末ということか、すまない……
かな子,あ、飛鳥ちゃん！そんな！
幸子,カワイイボクは……みなさんの足手まといには、ならなブフッ！
かな子,幸子ちゃん！早く拭いて！アイドルのしちゃいけない顔になってるよ！
志保,あー、ごめん……私もここまで、かな……がくり
かな子,志保さんまで……でも、みんなの分まで、私は諦めない！
飛鳥,それからも彼女は孤独に食べ進めるが、無情にも減る気配はない
幸子,助けてあげたいのは山々ですが……正直もう一口も食べられません
志保,かな子ちゃんは甘い物が好きなだけで決して大食いというわけじゃない……つまり、もう……
かな子,もう、限界かも……美味しいのに……残したくないのに……！
P,すまん！遅くなった！いやぁ、次回以降のイベントの話まで進めてくるんだから、ほんと参っちゃったよ
かな子,プロデューサー、さん……
P,どうした、そんな泣きそうな顔して――って、なんだその馬鹿でかい器は。ジャンボパフェでも挑戦してたのか？
かな子,プロデューサーさん……お腹空いてますか？
P,ん？あぁ、俺も何だかんだでちゃんと食う暇なかったからな。お腹ペコちゃんだぞ
かな子,溶けてますけど……パフェ、食べてください！
P,任せとけ！。しっかし、甘かったなぁあれ。女の子4人であそこまで食べ進めてたら、上等だ
かな子,……
P,さっきから黙ってるが、お腹でも冷えたか？悪いが高速入ったばかりだから、次のSAまで我慢してくれ
かな子,いえ、そうじゃなくて……甘かったです、私の気持ちが
P,というと？
かな子,みんなで美味しいお菓子を食べる時間は幸せです。でも、何事もほどほどで、無理して食べたら、お菓子にも失礼なんだなって
P,……
かな子,みんなにも迷惑かけちゃいましたし……
P,あー、かな子の作ったクッキーが食べたいなぁ
かな子,えっ？
P,かな子は今回の件で、更にお菓子に対して真摯になれたな
かな子,お菓子に対して？
P,美味しいお菓子を食べるときは幸せ、それを共有できるのはもっと幸せ――そうやって自分の好きなものを真っ直ぐに言えて、それを他者に勧められるって、意外と出来ないことなんだぞ？
かな子,そう、でしょうか……
P,ここら辺はみちるにも言えることだが、まぁ凄いことだ
かな子,……
P,そんなかな子が、お菓子に対しての意識を変えようとしている。前よりも真剣に。なら、より美味しいクッキーを焼くに違いないからな。だから食べたくなった
かな子,ふふっ、なんだか可笑しなこと言ってますよ、プロデューサーさん
P,そりゃお菓子なことだからな。ただひとつ、かな子？
かな子,なんですか？
P,それでも、甘い物が好きだし、お菓子作りもやめないだろ？
かな子,……そうですよ、勿論です♪
P,なら大丈夫だ。ほら、まだ帰りは長いから、後ろのみんなみたいに寝てていいぞ
かな子,はい、お言葉に甘えますね。おやすみなさい……
志保,寝てるというより、私たちは胸やけで喋りたくないだけなんだよね……
飛鳥,まぁいいだろう。ここは寝たふりをしていた方が美談になる、か
幸子,うぅ……安全運転でお願いします、うぷ……。――なんてことがありましてね、いやぁアンビは強敵でした
小梅,何だかんだで、幸子ちゃんもそう略すんだね……
輝子,パフェのシェアなんて……ボッチには、レベルが高いことしたんだな
幸子,輝子さんはボク達がいるじゃないですか！
小梅,うん……ボッチなんかじゃ、ないよ……？
幸子,キャッツカフェのパフェは大きさも色々種類がありましたからね。こんど3人で名古屋でお仕事があった時は、食べきれるサイズでシェアしましょう！
小梅,わぁ、いいねそれ。楽しみだなぁ……ふふ
輝子,あ……ありがとう。私も……楽しみ……フヒヒ
小梅,そういえば……最近、かな子さん、事務所で見かけないね？
幸子,かな子さんは体重が増えたらしくて、マストレさんから特別レッスン受けてます
輝子,なんという……
