※一応過去作との繋がりはありますが、このSSでは,のあさんは変な人である
P,ふわぁぁぁ……今日も頑張るかぁ……。今日は一日何事もありませんように……
のあ,おはよう、P……
P,あれ？おはようございます、のあさん。今日はいやに早いですね。レッスンは昼からのはずですが
のあ,ええ……取り急ぎ、あなたに見て貰いたいものがあって……
P,え？バッグですか？
のあ,――これよ
？,ぷはっ！
P,………
？,のあ！
P,今日も一日、何事かあった……
？,のあー
P,……なんなんですか、このちっこい生き物は……
のあ,朝起きた時には……枕元で眠ってたわ……
P,………………産んだん、ですか……？ゴクリ。ひでぶ！
のあ,P……怒るわよ
P,うう……すいませぇぇーん……
のあ,全く……あなたは一体私をなんだと思ってるのかしら……
P,のあさんだと思ってます……
のあ,そうね……私は高峯のあ……それ以上でもそれ以下でもないわ
P,今のでグッドコミュニケーションか……
？,のあー
P,なんかこいつ、のあさんに似てますよね。ネコミミメイドの格好してますし
のあ,そうね……自分でもそう思うわ
P,なんて呼べばいいんでしょうね、こいつ
のあ,私はみにのあと呼んでいるわ
P,みにのあですか……見たまんまって感じですね
のあ,本当はぷちのあと名付けたかったけど、商標の問題であえなく断念したわ
P,商標取ろうとしないで下さい。謎の生き物で
みに,のあー……
P,あ、こいつなんかだれてますよ
のあ,お腹がすいたみたいね……少し待ってて。――ほら……食べなさい……
みに,のあ！
P,カ○リーメイト……そんなんでいいんですか？
みに,～♪
のあ,ええ……いろいろ試したけど、これしか食べなかったわ……
P,へー
のあ,あと唐揚げも食べるわ
P,貪欲にカロリーを摂ろうとしますね……
みに,のあ！
凛,……プロデューサー、この子、なに？
P,のあさんが持ってきた
凛,……ああ
P,納得されてますよ、のあさん
みに,のあ♪のあ♪
卯月,この子、プロデューサーさんに一番懐いてますね
凛,ふふっ、好かれてるね、プロデューサー
P,こうまでまとわりつかれると、仕事にならないけどな
みに,P！P!
卯月,あれ？この子のあ以外にも喋れるんですか？
未央,ホントだ！表記の都合上Pとしか書けないけどプロデューサーの名前呼んでる！
P,ああ、簡単な言葉は覚えるみたいだな
みに,みお！みお！
未央,おおー、偉いね、みにちゃん！
みに,うづ！うづ！
卯月,……2文字しか覚えられないみたいですね……
P,低容量だな……
留美,P君、今日の婚姻届を――
みに,のあ！
留美,………
みに,………
留美,――今日の
みに,のあ！
留美,――婚姻
みに,のあ！。のあ！
凛,あ、婚姻届奪い取った
みに,のあーーーーーっ！！
卯月,すごい速さで紙飛行機作ってる！
みに,のあ！
未央,投げた―！
留美,………
みに,………
留美,……フッ
みに,……ふ
留美,――今日のところは私の負けね……次はこうはいかないわよ
みに,のあ！
P,その戦い今日で終結してもらえませんかね……
みに,りん！りん！
凛,………
みに,かこ！かこ！
茄子,はーい、茄子ですよー♪
みに,ゆき！ゆき！
友紀,いいねー！よしよーし
菜々,みにちゃん、菜々はっ、菜々はっ？
みに,あべ！あべ！
菜々,
友紀,お、キャ党か？
みに,らん！らん！
蘭子,力が足りぬというのか……！もう少し！頑張って！
みに,かな！かな！
奏,ふふっ、残念……
みに,みれ！みれ！
美玲,ウ、ウチは別にガッカリとかしてないし！
みく,にゃっははー♪みくは二文字だから大丈夫だにゃあ♪
みに,前川！前川！
みく,うそやん
乃々,………
みに,のの！
乃々,………
みに,のあ！
乃々,………
みに,のの！
乃々,………
みに,のあ！
乃々,のの
みに,のあ！。……？
乃々,………
みに,のの！
乃々,のあ
みに,のの！。……？？？
乃々,……ふふっ
P,いかん、乃々さんが嗜虐的な表情をしておられる……！
みに,あー
アーニャ,にゃー
みに,あー
アーニャ,…にゃー
みに,あー
アーニャ,……にゃー
みに,あー
アーニャ,………にゃー
周子,諦めなさいって
みに,めし！めし！
P,はいはい
みに,～♪
P,結局子守でほとんど仕事できなかった……
みに,♪――！まこ！まこ！
P,ん……ああ、テレビか
みに,あみ！まみ！
P,ははっ、765アイドルが好きなところは、のあさんそっくりだな
みに,みき！なの！
P,おお、そういう使い方もできるのか
みに,７２！７２！
P,やめてさしあげろ。――あ、のあさん。お帰りなさい
のあ,ええ……。ごめんなさい、あの子の世話を任せてしまって……
P,まあ他の娘にも遊んでもらってたので、なんとか
のあ,そう……。それで、あの子は？
みに,Zzz……
P,さっき寝たところです。ははっ、やっと仕事に集中出来ますよ
のあ,そう……残念ね……
P,？
のあ,唐揚げを買ってきたのだけれど
みに,……のあ！
P,起こさないで下さい！
楓,こんにちは、プロデューサーさん
P,楓さん？こんにちは、買い物帰りですか？
楓,はい、みにのあちゃんをみにきました
P,アイドルネットワークで知れ渡ってましたか……みにのあならあちらに
楓,……あれは……なにをしているんですか？
のあ,違うわ、みにのあ。右手は斜めに、左手はもっと口元に……こう！
みに,のあ！
のあ,足が開けていないわ……こう！
みに,のあ～～～！
P,決めポーズの練習だそうです
楓,まあ……
みに,かえ！かえ！
楓,ふふっ、可愛い……この子、おいくらですか？
P,別に買え！って言ってるわけじゃないです
楓,ふふっ、冗談です。みにちゃん、これ、一緒に飲みますか？
みに,さけ！さけ！
P,無茶なものを与えないで下さい
楓,残念……。ところでプロデューサー
P,なんですか？
楓,みにかえちゃんはありませんか？
P,当店ではお取り扱いしておりません
みに,しゅー！しゅー！
周子,んー、みにちゃんどったのー？
みに,………
周子,あ、もしかしてこれ？みにちゃんも食べたいの？アイス。はい、あーん
みに,………
周子,あれ？
P,そいつカ○リーメイトと唐揚げしか食べないぞ
周子,すごい偏食だね……。でも……
みに,………
周子,すっごいよだれ出してる
P,……食べないはずなんだが
周子,……ほい
みに,……！
周子,ほーれほーれ
みに,………
周子,あ、倒れた
P,本能で動いてるな……
みに,＠＠＠……。あり！あり！
ありす,……アリはイヤです。名前で呼ばないで下さい
みに,たち！たち！
ありす,……自分のことを呼ばれてる気がしません
みに,りす！りす！
ありす,りす……りすりす……。……うん
P,キミだいぶハードル下がったよね今度りすりすって呼んでみよう……
みく,にゃああああ！みにチャンがみくのお弁当の唐揚げとったにゃあ！
みに,………ﾌﾟｲ
みく,口モゴモゴさせておいて、知らぬ存ぜぬって顔してるにゃ！ふてぶてしいにも程があるにゃ！
P,みくの天敵属性も受け継いでるな、みにのあは
のあ,ごめんなさい……みく……すべては私の責任よ
みく,のあチャン……
のあ,この子は私によく似ている……だから私の行動を真似しているのかもしれない……
みく,でも……子どものすることだにゃ、のあチャンが落ち込むことはないにゃ
のあ,ありがとう……優しいのね、みくは……。代わりと言ってはなんだけど、これを……
みく,優しいなんて、照れるにゃあ……。そしてそのお魚弁当はいらないにゃあ……
みに,……げぷ
みく,にゃああああああ！？唐揚げが全滅してるにゃあ！お弁当が焼け野原にゃあ！
P,このコンビは手が付けられん
みに,――！
のあ,！
P,み、みにのあ！どうした！？
みく,う、動かなくなっちゃったにゃあ……
P,きゅ、救急車か！？獣医とかのほうがいいのか！？
みく,――！ま、まさか……！のあチャン……
のあ,……？
みく,みくのお弁当に…………盛ったのかにゃ……！？
のあ,本当に盛るわよ、みく
晶葉,――それで私を呼んだのか、助手よ
P,はい……すみません、せっかくのオフなのに
晶葉,一応私の専門はロボ工学なのだが……君は私を困ったときの便利キャラか何かと思っていないか？
P,思っております、博士
晶葉,正直だな。……まあこれも天才であるがゆえの宿命か。――それで、患者はどこかね？
P,は、ここに
みに,
晶葉,…………ぬいぐるみ？
P,ナマモノでございます、博士
のあ,……晶葉、どう……？
晶葉,珍しく狼狽えてるな……
みく,でも、調べるって一体どうするんだにゃ……？
晶葉,こんなこともあろうかと、私が作っておいた万物解析マシーンくんの出番だ
P,おお！最後にくんを付けるのはお約束ですね、博士！
晶葉,これは地球上に存在するあらゆる資源、生物などの情報から多角的に物質を解析し、正体を判明させる優れものなのだ！
P,ご都合テクノロジーをいともたやすく発揮するとは、流石です博士！
みく,今さらっとおっきな機械をポケットから取り出したにゃあ……
晶葉,――うむ、大体わかった
P,本当ですか！？それで、みにのあは一体……
晶葉,結論から言うと、この生き物……みにのあは地球上の生物ではない
のあ,！
みく,う、宇宙人ってことかにゃあ……
晶葉,宇宙人というより宇宙生物だが……有り体に言ってしまえばそうなる。元の体の作り自体は単細胞生物のそれに近く、毛髪などから生物のDNAを蓄え、吸収し、自身を形作る……。人の形を真似る、スライムのようなものだと思ってもらえれば、わかりやすいか
P,でも、なんでそんなものがのあさんの部屋に……
晶葉,うむ……のあよ、昨日はなにか、変わったことはなかったか？
のあ,……いえ……特に何も……ただ帰り道に何かの液体の入ったカプセルを拾ったくらいで……
P・晶葉・みくそれだよ,にゃ
P,まったく……なんであなたはそんな怪しげなものを拾ったりして……
みく,それで……晶葉チャン、みにチャンは目をさますのかにゃあ……？
晶葉,うむ、こいつは、自身を構成するために多量のエネルギーを消費しなければならないようだ。ただ、あまりリソースを多く擁してはおらず、活動処理の負荷がかかると一時的にスリープ状態になるらしい。つまり、エネルギーの変換が終われば……
P・のあ・みく起きた！,にゃ！
のあ,……良かった……
みに,のあ？
P,のあさん……ええ、本当に良かった
晶葉,ああ、そうなるな。DNAを採取した対象の容姿、記憶、嗜好……それらを元に、人格が形成される。まあ、中身は子どもみたいなものだから、本人の抑圧された欲求なんかもダイレクトにｼｭｯ
P,ちょ、のあさん！いきなりなにしてるんですか！
のあ,ごめんなさい、晶葉……蚊が止まっていたのよ……蚊がね……
みく,……Pチャンは苦労するにゃあ……
晶葉,――さて、そろそろいいかな
みく,どうしたんだにゃ？晶葉チャン。急にシリアスににゃって……
晶葉,のあ……察しの良い君のことだ。言わなくても……わかっているんじゃないか？
のあ,………
みに,のあ？
P,博士、それってどういう……
晶葉,話した通り、みにのあは素性のしれない生き物だ――。――今後、危害を加えることがないとは、残念ながら、私は保証できない……
P,！
みく,そんにゃ……のあチャン……
のあ,………
みに,？
のあ,…………私は……
凛,プロデューサー！
卯月,みにちゃんが倒れたって聞きましたけど……！
未央,――あっ、みにちゃん！良かった……
のあ,………
P,………
凛,……みく、どうなってるの……？
みく,そ、それは……
晶葉,私から説明しよう
凛,……それで、ダメなときはどうするの？
晶葉,活動に必要なエネルギーがなくなれば、自ずと自己を保てなくなるだろう……。……つまり、強制的にエネルギーを吸収できない環境に置けば、いずれは……
未央,そんな……そんなのって……酷すぎるよ……
みく,のあチャン……
のあ,………
P,………のあさん……
のあ,…………このままこの子の世話を続ければ…………いつか、変貌するかもしれない………
P,それは……
