衛藤美紗希,おはようございまーす
村上巴,お、衛藤の姉御！丁度ええ所に
美紗希,あら、巴ちゃんどうしたの？
巴,お願いじゃ衛藤の姉御、うちに女子力っちゅうもんを教えてくれ！
美紗希,女子力……何でまた？
巴,その……Pは、やっぱり女らしい方が好みなんか思うての
美紗希,うーん、今のままの巴ちゃんも素敵だと思うけどなぁ
巴,そ、そうか？
美紗希,うんうん、巴ちゃんは巴ちゃん。無理に自分を取り繕う必要なんてないわよぉ♪
巴,なるほど……流石は衛藤の姉御じゃ！
美紗希,あはっ、それほどでもぉ☆
水野翠,おはようございます
佐久間まゆ,おはようございまぁす。……あら、Pさんは？
美紗希,二人ともおはよう。プロデューサーなら出てるみたいよぉ？
まゆ,残念です
巴,おう、おはよう。しかしまゆと翠が一緒に来るとは珍しいの
翠,ええ、ついさっきそこで会って。まゆさん、先ほどのお話ですが
まゆ,お料理ですよね。もちろんいいですよぉ
翠,ご指導のほどを、よろしくお願いいたします
美紗希,翠ちゃん、まゆちゃんからお料理習うの？
翠,はい。もっと自分を、あらゆる面で磨きたいと思いまして
美紗希,ふふ、そうなんだぁ
まゆ,？どうかしましたか？
美紗希,あのね、さっき巴ちゃんも似たような事言ってきたの
巴,ちょっ、衛藤の姉御！？
まゆ,巴ちゃんがですか？
美紗希,そうなのぉ。プロデューサーに好かれたくて、女子力を教えてほしいって
巴,姉御ぉ……こっ恥ずかしいけぇ言わんでくれ……
翠,まあ
まゆ,あら。……巴ちゃん、Pさんが好きなの？
巴,……ああ
まゆ,そうなの。……じゃあ、まゆとはライバルねぇ
巴,……まさか、まゆもPを好いとんのか？
まゆ,ええ。…………負けないわよ、巴ちゃん？
巴,…………望むところじゃ
翠,……焚きつけてしまいましたね
美紗希,え……もしかしてこの空気、あたしのせい？
翠,もしかしなくても、ですね
美紗希,……翠ちゃん、助けてくれる？
翠,…………申し訳ありませんが、修練が足りずお助けできません。失礼します
美紗希,ええー！？ちょっと待ってぇ！
藤本里奈,ふう、お仕事つらたん……
早坂美玲,あ、里奈。お疲れ様だぞ
大和亜季,里奈殿、お疲れ様であります
西島櫂,里奈ちゃんお疲れー
里奈,あ、美玲ちゃんアッキーにしじーちょりーっす☆
美玲・亜季・櫂,！？
里奈,ん、どったの？
美玲,里奈……今の、何の呪文だ？
里奈,いやいや、呪文って！美玲ちゃん新手のギャグ？みんなの事呼んだだけだしー
美玲,美玲ちゃん……アッキー……にしじー……
櫂,あ、あー……あたし、にしじー？
里奈,うん、西島だからにしじー。……あれ、お気に召さない系？
櫂,うーん……なんかにし爺って、お爺ちゃんみたいかなーって……
里奈,そかー、ダメかー
櫂,ご、ごめんね？あ、にっしー！にっしーはどう？
里奈,お、にっしーいいじゃん！じゃあ今日からにっしーね、ちょりーす☆
櫂,ちょ、ちょりーす……こう？ちょっと恥ずかしいかな
里奈,いやいや、にっしー全然イケてるし☆
亜季,となると、私がアッキーでありますか？
里奈,可愛いっしょ？
亜季,お気持ちは嬉しいのですが……優殿の愛犬とかぶってしまっています
里奈,あっ、ゴメンねー！なんつーの、ペットは想定外だった的な？
亜季,い、いえ、あまりお気になさらず……
美玲,言われるまでもなく気にしてなさそうだけどな
里奈,じゃあ、んー……ヤマヤマ！ヤマヤマでどうよ？
亜季,あはは、可愛いと思いますよ
里奈,んじゃけってー☆ヤマヤマちょりーす☆
亜季,ちょりーす、であります☆
里奈,ちょっ、ヤマヤマ敬礼しちゃってるし！ウケるー☆
美玲,っておい里奈！何でウチだけ普通に美玲ちゃんなんだ！？
里奈,んー、なんてえの？美玲ちゃんからは美玲ちゃん！って感じしかしなかった的なー
美玲,不公平だろ！ウチにも可愛いアダ名くれよ！
里奈,ちょっち待ってー、シンキングターイム。………んー、早坂ではやや？
亜季,少し奏殿と紛らわしいですな
里奈,だよねー、むむむ……名前からみれみれ？
櫂,みれみれ……ちょっと言いづらいね
里奈,…………うん、やっぱ美玲ちゃんは美玲ちゃんでけってー☆
美玲,はぁ！？何でそうなるんだよ！？
亜季,いや、実際美玲ちゃんが一番似合っているでありますよ
櫂,可愛いと思うよ、美玲ちゃん
里奈,はい、まんじょーいっちで美玲ちゃんちょりーす☆
美玲,ウチが一致してないだろ！あとちょりーすやんないからな！あーもーガオー！！
藤原肇,小春ちゃん、はいコレ。前に言ってたのが完成したよ
古賀小春,わぁ～、ヒョウくんの新しいお皿です～
肇,ふふっ、どうかな？
小春,ヒョウくんもすごく喜んでます～。はじめおねえさんありがとうです～
横山千佳,良かったね、こはるちゃん
ヒョウくん,…………
肇,喜んでる……の？
難波笑美,いやイグアナの表情とかそう簡単に読めるかい！
肇,あ、笑美さん。レッスンお疲れ様です
笑美,笑美でええよ。あんまトシ変わらんやろ？
肇,でも、一歳とはいえ年上ですから
笑美,ホンマ肇はカタいなー
千佳,えみちゃんお疲れ様ー
笑美,ホラ、千佳かて
肇,千佳ちゃんは、また少し違うような……
笑美,ってか、何渡したんや？
小春,はじめおねえさんに、ヒョウくんの新しいお皿作ってってたのんだんです～
笑美,ほー、見事なもんやな
肇,そんな、私なんてまだまだですよ
笑美,いやいや、流石職人は違うでー。ワザマエ！なんてな
肇,わ、わざまえ……ですか？
千佳,あ、そーだ！ねえねえはじめちゃん、千佳にも何か作ってほしいなー！
肇,いいよ、何を作って欲しいの？
千佳,マジカルステッキ！
肇,ま、マジカルステッキ……それ、どんなの？
千佳,えっとねえっとねー、これ！
肇,あ、わざわざ絵を…………こ、これは……
笑美,どれどれ…………あちゃー……
千佳,？
肇,あの、ごめんね千佳ちゃん……
千佳,えっ、出来ないの？
肇,いや、無理すれば出来なくもないかも知れないけど……
千佳,けど？
肇,絵みたいに、鳴ったり光ったりは……ちょっと無理かな？あと色もちょっと……一部厳しいかも
千佳,うーん、それでもいいよ！千佳しか持ってない、せかいに一つだけのマジカルステッキになるもん！
笑美,アカン……天使やこの子……！
肇,分かった。じゃあ、しばらく待っててね
千佳,うん！楽しみにしてるね！
肇,……さて、頑張らなくてはいけませんね
笑美,ホンマようやるなー、職人気質ってヤツか？
小春,ヒョウくん、今度ははじめおねえさんにヒョウくんのおうち作ってもらいましょうか～
肇,…………ごめん小春ちゃん。お家は…………流石に無理
冴島清美,うん、今日も異常なし！事務所内の風紀も良好ですね！
八神マキノ,……毎日毎日ご苦労様ね
清美,いいえ、超☆風紀委員として当然の事をしているまでです！
マキノ,そう、流石は風紀委員といったところかしら
清美,ただの風紀委員じゃありません！超☆風紀委員です！偉いんです！
マキノ,どう違うというの？……興味深いな……
遊佐こずえ,……ふわぁー
マキノ,あら、こずえさん起きたのね
こずえ,……まきの、きよみ……めがねしてる……
清美,え？ああ、はい。形だけですけどね
こずえ,こずえも……めがねするぅー
マキノ・清美,！？
清美,ど、どうしたんですか急に？
マキノ,……まさか、春菜さんに何か吹き込まれたの？
こずえ,はるなはー……しらないよぉー
マキノ,なら何故急に眼鏡をかけるなんて……度し難いなんて次元じゃないな……
こずえ,めがね……だめぇ？
清美,い、いやいや、ダメな訳じゃないですよ。はい、私のをどうぞ
こずえ,…………やぁー
