前川みく,うにゅー……なぁあん……
P,……
みく,ふにゃぁ……なぁー……
P,……
みく,にゃっ！……うにゃぁ…
P,……。どうしてこうなった。みくのペット用品のCM出演の際に貰ったこの粉末マタタビ。量が多いので一時的に俺が引き取った。しかし事務所に猫を飼ってるアイドルなんて多くない。かと言ってこのまま埃をかぶらせるのも勿体無い。という訳で。みくの飲み物に混ぜてみよう！。前川みく。ウチの事務所で猫アイドルとして売り出し中の15歳。猫耳尻尾に猫口調、なぜか魚が駄目なことをのぞけば猫の化身のような存在。本人も相当なりきっているらしく猫口調は半分素で、猫耳を取ろうとすると唸り、猫じゃらしに飛びつくレベル。最近では発情期の真似でもしてるのか体をやたらと引っ付いてくる。なまじスタイルもいいもんだから意識せざるを得ないし、他のアイドルの冷たい視線も刺さる始末。あの事務所の空気は思い出しただけで冷や汗ものだ。……まあいくら猫っぽいって言ってもれっきとした人間。まずこのマタタビ入りドリンクを飲ませる。ある程度たったらネタばらし。そこでどうキャラを崩さずにいようとするか見るドッキリって訳だ。場合によっては後々までからかうネタにしてやる。さあ覚悟しろよ、猫娘！
みく,なーう……
P,完全に恍惚状態になってしまった。なんだこいつ！？本当に猫の化身なのか？。演技には見えないし、そもそもマタタビを混ぜたなんて舌じゃ分からない筈。普段から猫として振る舞っていたせいで半人半猫になってしまったのか？。とにかく正気ならこんな恥じらいもない事はしてこないだろう。スカートが捲れあがって下着がモロに見えてるし。直してもすぐ転がって戻してしまう。お陰で俺はずっと顔を逸らし続けている羽目に陥っている
ちひろ,
P,さっきからちひろさんがめっちゃニヤニヤしながらこちらをチラチラ見ている。超ウザい。ちなみに俺は今休憩中でソファーに座っている。そして酔ったみくが俺の膝の上に乗ったり、胸にすり寄ったり、隣でゴロゴロしてる状態だ
みく,……ふなぁっ！……にゃぁ……
P,可愛い。……じゃなくて、この状況を早いトコなんとかしなければ。他のアイドルに見られたら俺の信頼は急降下間違いなしだ
凛,…………
P,ほーら、来た途端通報しようとしてる子もいるし。おはよう、凛。早速だがちょっと待ってくれ
凛,おはようプロデューサー。今呼ぶから待っててね
P,いやこれ違うんだ。まず電話をやめて話し合おうじゃないか
凛,大丈夫だよ。早苗さんじゃなくて普通の警察だから
P,何が大丈夫なのか分からないが、とにかく落ち着け。早まるな
凛,今までありがとうね、元プロデューサー
P,待て待て待て。ああもう、ちひろさんも何かフォローお願いします！
ちひろ,
P,てめえええぇぇぇ！
凛,酔った？
P,そ、そうなんだよ。多分間違って酒でも飲んじゃったんじゃないかなぁ
凛,ふーん…
P,マタタビで陶酔してるなんて言っても信じてくれないだろうし
みく,……にゃぁ……ふぁ……
凛,…でもなんでプロデューサーにすり寄ってるの
P,え？…さ、さぁ？たまたま近くに居たからじゃないか
凛,…そうかな
P,あはは……
凛,……じゃあ試してみようか
P,へ？
凛,みく、おいで
みく,……？…なぁー…
凛,ほらみく、こっち
みく,……ふにゃぁ……
凛,……離れないじゃん
P,俺に言われてもな…
凛,ほーら、みく。プロデューサーは仕事があるんだから
みく,にゃぁ……にゃっ
P,うおっ、顔舐めるなって
凛,…………。えいっ
みく,なぁっ！
凛,…………
みく,フーッ……
凛,…………
みく,うにゃっ！
P,引き剥がそうとしてる凛の手をみくが引っぱたいてる…
凛,……随分好かれてるんだね
P,ほ、ほら。あれじゃないか？場所を取られると思っただけで、別に凛が嫌われてる訳でも無いと思うぞ？
凛,そうかなぁ……明らかにプロデューサーを飼い主か何かかと思ってない？
P,プロデューサーはアイドルの補佐であって、飼い主ってのは違うだろ
凛,じゃあ、普段から飼われたい願望でもあったんじゃない？
P,そんな訳ないだろ……
凛,……どうだかね。…で、どうするのさそれ。そのままじゃ仕事できないでしょ
P,…うん、分かってるけどさぁ
みく,……うー、なぁ……
凛,……意地でも離れないって感じだね
P,その内寝ると思ったから、その隙に仮眠室にでも置いて来ようかなって思ってたんだけどな
凛,一度寝れば酔いも醒めるかもしれないしね
P,……だけど一向に寝る気配が無い。…どうしたものかな
みく,なぁー……にゃふ……
P,あとさっきからめっちゃ当たってますよみくさん
凛,…………。……そうだ、いいこと思いついたよ
P,ホントか！流石は凛！助かるよ
凛,まず保健所に連絡して
P,申し訳ないがその作戦は無しにしよう。あともうちょっと穏便に頼む
凛,…冗談だよ
P,…さっきはたかれたこと根に持ってんのか？
凛,……そんなんじゃないから。もっと酔わせて前後不覚になる状態まで持っていくんだよ
P,えっ
凛,今はプロデューサーっていう飼い主仮。更に酔わせる。飼い主仮。どうせ酒で酔ったって言っても少量でしょ？。ほんのちょびっとあげるだけですぐ潰れるよ
P,う、うーん。ホントに大丈夫かぁ？それ
凛,大丈夫だって。いざとなったら私とちひろさんが力づくで引き離すし
ちひろ,えっ
凛,これ？酒の入った飲み物？
P,あ、それは……
凛,見たことろ普通のジュースだね。誰かが悪戯で酒でも混ぜのたのかな？
P,そ、そうかもな
凛,……？アルコールの匂いは全然しないけど……ひょっとして相当弱いのかな、みく
P,だって入ってるのマタタビだし
凛,まあそれなら楽でいいね。はいプロデューサー、さっさと飲ませようよ
P,お、おう
みく,ふにゃぁ………？
P,ほ、ほーらみく。ジュースだぞー
みく,うなぁー…………？
P,ほら、飲まないか？おいしいぞー
みく,にゃぁ……
凛,…………
P,ど、どうだ？
みく,にゃっ！
凛,あっ
P,……駄目か
みく,……ふあぁ……
凛,……飲まないね
P,やっぱり猫になりきってると好みも変わるのか…？
凛,仕方ないから、無理矢理口に流し込んで
P,待て待て。ほ、ほら、あれじゃないか？容器が駄目とか
凛,容器って……
P,理由はどうあれ今のみくはキャットフードにもがっつきそうな程に猫そのままだ。ならば猫らしい水の飲み方ができるように用意するべきなんじゃないか？
凛,そんなんで大丈夫かなぁ……
P,という訳で小皿を持ってきた
凛,ここにジュースを入れて、と……
P,よし凛、そこに置いといてくれ
凛,ここ、って…床？
P,もうこうなったらヤケクソだ。解決するまでみくの事は完全に猫と思うことにする
凛,傍から聞くと危ない発言だねプロデューサー
P,うるせえやい
凛,……猫扱いかぁ。どんな感じなんだろ
みく,にゃぁああぁん………
凛,置いたよプロデューサー
P,よしいいぞ。…みく、ちょっとゴメンな
みく,……なぁー？……
P,よっ、と
みく,ふにゃぁっ！？
凛,わ……お姫様抱っこ
みく,にゃぁ！うなぁ！
P,こらみく、おとなしくしなさい
みく,なぁ……うにゃぁ……
凛,すぐ大人しくなってるし……ホントに酔ってるんだよね？
P,ほらみく、これでどうだ？
みく,…………
P,……動かないな
凛,じーっと見てるね
みく,…………
P,匂いを嗅いでるな
凛,ホントに猫っぽいね
みく,……なぁー
P凛,おおっ
みく,
凛,………
P,………
凛,味が気に入ったのか、一心不乱に容器に入った液体を舐めるみく。……さっきまで頭から抜け落ちていたけど、あくまで見た目もみくなんだよね。あのみくが、四つん這いになって、必死に水を舐めている。……ちょっと、いや、かなりエロい。ちひろさんが写真を撮っている。猫キャラと言ってもやり過ぎだし事務所的に売っちゃマズいと思うんだけど。プロデューサーはと言うと顔は赤いし、口元を抑えつつ目を逸らしている有様。…………
P,痛ッ！
みく,………なぁ
P,お、終わったか…？
凛,そうみたい。だからこっち見てもいいよ
みく,……なふっ……
凛,効果覿面みたい
P,よっしゃ！後は寝るのを待てば…
みく,……にゃっ
P,ん？
凛,こっち見たね
みく,…んー……にゃぁあっ！
P,うおぉっ！？
凛,プロデューサー！？
みく,なぁっ！うなぁ！
凛,ちょっ、みく！！離れて！
みく,うにゃあっ！
P,な、何だ何だ！？急に抱き着いてきたぞ！
凛,た、多分、更に酔ったせいで完全に歯止めが効かなくなった状態なんだと思う…というか離れて！
みく,にゃふっ！ふなぁ！
凛,このっ……！
P,おい待て凛、乱暴にしちゃダメだって！
凛,プロデューサーは黙ってて！
P,えぇー……
みく,フーッ……フーッ……。なぁっ！にゃあ！
P,う、ぷっ。みくの胸が顔に押し付けられてる。凛が引き離そうとする度に、躍起になるように強く押し付けられる。夢のような柔らかさと、この状況に対する混乱で頭は既にパンク寸前だ。何より息が出来ない。…名残惜しいと思う下心を頭の片隅に追いやって、引き剥がそうと腕に力を込める。むぅ……ふん！
みく,ふにゃぁ！？
凛,よし！
P,ふーっ…何か異常に疲れた
凛,プロデューサー、気を抜かないで。みくはまだ起きてるよ
みく,うー……なぁー……
P,……すっごい睨んでるな
凛,油断したらきっとまた飛び掛かって来るよ……いますぐ臨戦態勢に入って
P,お、おう
ちひろ,凛ちゃん！持ってきましたよ！
凛,ありがとうちひろさん。さ、プロデューサーもこれ持って
P,……布団？
凛,とにかく捕まえたらこれで包む。それで仮眠室に放り込む。あとは寝るのを待つだけ、ってこと
P,……随分と大雑把かつ乱暴だな
凛,文句ある？
P,いえございません
ちひろ,私も協力しますよ
P,……どういう風の吹き回しですか？
ちひろ,……凛ちゃんに頼まれたんですよ。ええそれだけです
凛,ゴチャゴチャ言ってないで集中する！
みく,……………
P,…動かないな
凛,ならちょっとずつ包囲網を狭めていくよ。ちひろさんはあっちに回って
ちひろ,はい、分かりました
P,なら俺はこっちに回るぞ
凛,よし、このまま狭めていけばいつか動くはず。一人に飛び掛かってきたらそのまま捕まえて残り二人で拘束。間を抜けようとするなら挟み撃ちだよ。OK？
Pちひろ,Yes，Ma'am
みく,…………
P,………
凛,………
ちひろ,………
みく,………フーッ……
P,めっちゃ唸ってる…
ちひろ,正直ちょっと怖い。引っ掻かれたりしないかしら…
みく,……なぁっ！
凛,動いたっ！
P,凛の方に行ったっ！
ちひろ,人間なのに四足走行、しかもめっちゃ速い！
P,だが流石は凛！既に布団を盾に万全の構えっ！
凛,よし！このまま布団を被せる形で捕まえれば……！
みく,………っ！
凛,えっ！？
P,と、跳んだっ！？
ちひろ,凛ちゃん危ないっ！
凛,きゃっ！
みく,ふぅっ！
凛,っ…！
ちひろ,り、凛ちゃんの肩を踏み台に方向を変えたっ！？その先は……ハッ！
P,へっ？
みく,うにゃぁああん！
P,うおわぁあっ！
ちひろ,プロデューサーの方向っ！！
みく,にゃっ！うにゃ！なぁ！ふなぁ！
P,おいっ、みく！正気に戻れって…
みく,なー…にゃぁ！
P,ちょ、なんでこいつこんなに力強いんだ！？
ちひろ,今のみくちゃんは完全に野生っ！本能に従ってプロデューサーを求めているっ！
凛,いたたた……みくは？
ちひろ,……あそこです
凛,……って、プロデューサー！？。ちょ、ちょっといい加減に……
みく,にゃぁ
P,えっ、ちょっ
凛,
ちひろ,
P,。そっから先はよく覚えていない。ただ、みくと同じく何かに目覚めたような凛の恐ろしい無表情と。いつもの飄々とした態度からは想像できない程に真っ赤な顔を手で押さえているちひろさんが印象深かった。そして俺が呆然自失の状態から戻った時事務所はいつもと変わりなかった。―――凛の刺すような冷たい視線と、ちひろさんのどこか熱っぽい顔以外は。仮眠室で本当の猫みたいに丸まって、気持ちよさそうに寝ているみくだけだった…。おはようございます
ちひろ,は、はい。おはようございますプロデューサーさん…
P,…返事はしてくれるけど、こっち見てくれない
みく,PチャンPチャン、おはようだにゃ！
P,。お、おはようみく。今日は早いな？
みく,んー、それにゃんだけど
P,ん？
みく,昨日みく、仮眠室で寝ちゃってたらしいにゃ。それでそのまま起きないもんだから、ちひろさんが泊めてくれたらしいにゃ
P,へ、へー
みく,……でもみく、昨日は倒れるほど疲れてにゃかったし
P,うっ
みく,Pちゃんと話してた辺りから記憶がないのにゃ、Pチャン何か知らにゃい？
P,い、いや。知らないうちに疲れが溜まってたんだろ。俺と話してる時にもウトウトしてたしな
みく,そうかにゃあ…
P,そうだよ、お前はなんだかんだで頑張り屋だしな
みく,うーん……ま、いいにゃ♪いい夢も見れたし
P,い、いい夢？
みく,おっ、Pチャン気になっちゃう？えへへ、Pチャンには教えてあげてもいいよ？
P,べ、べっつにー。ほら、夢なんてさ、憶えてるつもりでも全然違ったりするしな
みく,そんな事ないにゃ！昨日のはハッキリ覚えてるにゃ！
P,いやいや、だから言わなくていいって。別に興味ないし
みく,えーっとねー、みく昨日ねー、夢の中でねー
P,あー聞こえない聞こえない聞こえない
凛,おはようございます
みく,Pチャンとね、キスしちゃったにゃあ！
