星輝子,ﾌﾋ…もうすぐ私たちの生配信だな…
白坂小梅,うん…14:20からだね…
輝子,142'sにちなんだ時間だ…ﾌﾋ…
森久保乃々,あの…カメラマンって聞いたから来たんですけど…なんでもりくぼもいるんですか…
小梅,私たち二人だと…黙って放送事故になるかもしれないから…
乃々,もりくぼがいても変わらないと思うんですけど…せめて菜々さんとか…
輝子,大丈夫…二人より三人…ﾌﾋ…
乃々,それにしても…女子寮の部屋でよく許可降りましたね…
小梅,幸子ちゃんは…模範的な生活してるから…
輝子,そういうこと…ﾌﾋ…
乃々,確かに綺麗ですけど…
輝子,同じユニットでも…友紀さんの部屋はダメらしい…。心配なのは…視聴者数…
小梅,地味だから…大丈夫かな…？人が来ないかも…
乃々,人気なのは大人組の飲み会シリーズですよね…
輝子,あれは…色々ヤバイ…。ﾌﾋ…そろそろ女子寮廊下でスタンバっておこう…
小梅,そうだね…
乃々,もりくぼ、どうしても出るんですか…？
輝子,諦めろ…ﾌﾋ…
乃々,むーりぃー…
輝子,ﾌﾋ…始まりました、生配信…
小梅,緊張する…ね
乃々,もりくぼはカメラマンですけど…
小梅,あ…アーニャさん…
輝子,そう…悪いけど…ちょっとだけカメラ持ってもらっていいか…？
乃々,カメラマンの代役を使ってもりくぼを大衆の目にさらすのはやめてほしいんですけど…いぢめ…
小梅,今から幸子ちゃんの部屋に向かいます…
輝子,その前に…これを…
小梅,気分は…キン肉マングレートだね…
輝子,そういえば視聴者はついてこれてるのかな…
小梅,おじさんも多いから…大丈夫…
乃々,危険発言なんですけど…
輝子,今日のドッキリは…まず私たちがドアを思いきり開けて…
小梅,そしてこれを…幸子ちゃんの本棚の少女漫画と入れ替えます…
乃々,あのう…なんでキン肉マンなんですか…？
輝子,単純に…私が好きだから…
小梅,輝子ちゃんがおすすめしてくれたんだよね…。キン肉マンっていうのは…マンガで…すごく面白いんだ…。それはさすがに…ホラーかな…
輝子,ちなみにこのキン肉マンは…小梅ちゃんの私物です…
乃々,小梅さんの部屋には行ったことありますけど…こんな本ありましたっけ…
小梅,乃々ちゃん…デレステのウワサ、見てないの…？
乃々,そんなのわかるわけないんですけど…
輝子,アイドルの情報を知るのは…大事…
小梅,アーニャさん…生配信うまいね…
乃々,ほんとです…もりくぼと代わりませんか…？
輝子,ダメだ…ﾌﾋ…あ、アーニャさんありがとう…もう行っていいよ…
乃々,やっともりくぼがカメラマンなんですけど…
輝子,どうやって…入ろうかな…？
小梅,地獄のメリーゴーラウンドとか…どう…？
乃々,な、なんですかその恐ろしい名前…
輝子,ﾌﾋ…たぶん私たちだと超人強度が足りないから怪我しそう…
小梅,ダメかぁ…やっぱりもっとトレーニングしないとね…
輝子,じゃあ…阿修羅火玉弾…
小梅,どうやって…発射するの…
乃々,知らない単語がいっぱい出てくるんですけど…むーりぃー…。というか普通に入ればいいじゃないですか…
輝子,ﾌﾋ…そうだな…普通にバックドロップで入るか…
乃々,その時点でもう普通じゃないんですけど…
小梅,じゃあ…投げるね…？
乃々,当たり前のように受け入れないでほしいんですけど…
輝子,大丈夫…超人強度はそれなりにあるから…
小梅,私たちは…パワーはないけどテクニックはあるから…
乃々,もうついていけません…
輝子,ﾌﾋ…私の投げられるところ…たぶん初公開じゃないか…？
小梅,レア、だね…
乃々,嬉しくないレアなんですけど…
輝子,ドア…突き破ってもいいのかな…
小梅,い、いいんじゃないかな…？
乃々,な、投げる直前にもりくぼが開けますから！
輝子,ﾌﾋ…助かる…
幸子,フギャー！！！突然ドアが開いたと思ったら謎のＰマスクをつけた二人組がバックドロップをしてきましたーーッッ！！！
乃々,絶対打ち合わせしてるようなコメントなんですけど…
小梅,打ち合わせは…してないよ…
輝子,じゃあ…運び出そう…
小梅,バケツリレー方式…でね…
幸子,ちょっと！本棚いじらないでください！
小梅,はい、輝子ちゃん…
輝子,君に届け…ﾌﾋ…こんなの読むんだな…
乃々,もりくぼも実家に置いてあります…
小梅,次は…これ…
輝子,カードキャプターさくら…ﾌﾋ…面白いよな…
乃々,輝子さん読んだことあるんですか…？意外なんですけど…
小梅,まだまだあるよ…
輝子,これは…賭けグルイ…ﾌﾋ…幸子ちゃん大丈夫か…？
乃々,まぁ…流行ってますからね…
幸子,あの…３人は何しに来たんですか…。ちょっと？無言で本を運び出すのやめてください！聞いてるんですか！。ちょっと？ねえ！聞いてるんですか！！！あっ、ダメです！！奥の中間管理録トネガワは―――
小梅,いっぱいあったね…
輝子,全部運び出したから…スッキリしてるぞ…
幸子,あの…これはいわゆる突撃ドッキリですか？
輝子,ﾌﾋ…違うよ…？
小梅,まだまだこれから…♪
幸子,カワイイボクの出てるイリュージョニスタに合わせて言うのやめてください！
乃々,これはワンナイト・イリュージョン…夢です…夢ですけど…
幸子,あーもう三人の中身わかりましたよ
小梅,じゃあ…補充するね…
輝子,ラジャー…
幸子,え？補充って何をですか？この流れだとローション！？
乃々,バケツリレーでいいですよね…？
輝子,ラジャー…
幸子,やめてください！カワイイボクの部屋をべとべとにするのは……え、なんですかこれ、キン肉マン？
小梅,知ってるよね…？
