※ヴァリアスハートというオリジナルユニットのシリーズものです,特に過去作を読む必要はありません
梨沙,はぁ？パパと喧嘩したですって？
P,ああ、ちょっとな
梨沙,どういうことよ。なんでアンタとパパがそんなことになるわけ？
P,いや……この前二人で飲みに行った時のことなんだけどな
梨沙,ほうほう……って。なによ、二人で飲みに行ったって。アタシ聞いてないんだけど
P,言ってなかったからなあ
梨沙,言いなさいよ！前もきつーく注意したわよね！男同士で出かけるのは100歩譲って許してあげるけど、ちゃーんとアタシに連絡してからにしなさいって！
P,あー……ごめん。急な誘いだったもんで、つい忘れてた
梨沙,まったく……
心,なにあれ？浮気を妻に問い詰められてるダンナの図？
飛鳥,愛人相手に真相を吐けと迫るワイフの図
心,うーん、どっちも微妙にズレてる……
飛鳥,そうだね……あ
心,どしたの？
飛鳥,夜遊びを母に叱られている息子の図
心,それだ☆
梨沙,で？お酒飲みに行ってパパと何があったのよ
P,ああ。最初のうちは、いつものように世間話や梨沙の話で盛り上がっていたんだが
梨沙,パパはアタシのことなんて言ってた？
P,妻に似てきたって
梨沙,ふふん、まあ当然ね！いつかママみたいなオトナの美人に成長するんだから！
P,似てきたっていうのは男勝りな気の強さのことなんだが……言わないでおこうか
梨沙,ウフフ♪……じゃなかった。その後何がどうなって喧嘩したの？
P,喧嘩と言っても、少し言い争いになっただけだぞ？その後雰囲気が険悪になったわけでもないし
梨沙,よーするに、ちょっとした口喧嘩みたいな？
P,そんな感じ
千佳,愛の魔法少女・ラブリーチカさんじょー☆
心,正義の魔法少女・シュガーハート参上☆
飛鳥,………
千佳,次、あすかちゃんの番！
心,はよ☆
飛鳥,仕方ないな……こほん。奇跡の魔法少女・ミラクルアスカ参上☆。悪魔のハートをきゅんきゅん射抜いちゃうぞ☆
千佳,わー、すごい！決めゼリフまであるなんて！
心,さすが世界観に凝る女だな♪
飛鳥,やれやれ
P,きっかけは、梨沙のファンについての話だった
梨沙,ファンの？
P,そう。まず俺がこう言ったんだ。梨沙のファンもたくさん増えましたけど、はじめの第1号として俺も応援し続けますよ、と。するとお父さんはこう言った。いやいや、ファン1号は父であるこの私ですよ、と
梨沙,うん
P,……うん
梨沙,……え、まさかそれが口喧嘩の原因？
P,どちらも譲らなくてな……別れ際まで意見が平行線のままだった
梨沙,……バカ？
P,俺達にとっては重要なことだったんだよ。梨沙。君はどっちがファン1号だと思う
梨沙,パパ
P,迷いなき即答だな
梨沙,アタシがこういう質問でパパ以外を選ぶわけないじゃない。アタシのファン1号はパパ！プロデューサーはせいぜい1´ダッシュ
P,くっそー、負けたあ……
梨沙,残念だったわね。でもそんなアンタにありがたい言葉を教えてあげるわ！。ずばり、ファンにキセルはないのよ！
P,……キセル？
心,なんでキセル？ぷかぷか吸うの？
千佳,キセルってなに？
飛鳥,タバコを吸うための道具さ。けどおそらく、梨沙が言いたいのは――
梨沙,アタシのファンは、ファンとしては平等！偉いも偉くないもないのよ
P,……ああ、貴賤と言いたかったのか
梨沙,え、あれ？そうだったっけ。あーもう、飛鳥に引きずられて変に難しい言葉使っちゃったわ
P,言葉遣いが移るほど仲いいんだな
梨沙,べ、べつにそこまでじゃないわよ。仕事で一緒にいる時間が長いだけ！。とにかく！アンタもいつまでも落ち込んでないで、アタシのプロデューサー兼ファンとして頑張りなさいってことよ
P,ははっ、なるほど。そうだな、ファン1号はお父さんに譲るけど、梨沙のプロデューサーは唯一無二で俺しかいないからな
梨沙,そうよ。だからしっかりしなさいよねっ
P,わかったよ
心,お、なんか丸くおさまった♪梨沙ちゃんいいこと言うねえ☆
飛鳥,貴賎なし、か。しかし、´を使ってまで1という数字を与えたあたり、Pを特別扱いしたい気持ちはありそうだけどね
心,まったく、素直じゃないんだから♪
千佳,？どういうこと？
心,梨沙ちゃんが、プロデューサーのことを好きだってことだぞ☆
