モバP,以下、P
諸星きらり,土下座なんてしないで下さい。貴方の頭に下げるほどの価値があるのですか？
双葉杏,きらりの口調が…
大沼くるみ,ふぇぇぇぇん。時子しゃまより言葉がきついですぅ…ぐすっ
渋谷凛,きらりがこんな口調になるって…プロデューサー何をしたの？
片桐早苗,場合によってはシメる程度じゃ済まないわ
佐久間まゆ,Pさん。正直に話してください
P,ほんの…ちょっとした出来心だったんだ。悪いことだって思っていても衝動を止められなかった
Ｐ,気が付いたらドアノブに手をかけていた。鍵もかかっていなかった。俺はそれに罪悪感を覚えず、ラッキーだと思ってしまった
P,俺は勝手にきらりんルームに入ろうとしました！本当にごめんなさい！
凛,きらりんルームに！？
P,だって事務所の中にあんな空間があったら入りたいって思うだろ！夢と魔法の世界かもしれないだろ！俺だってハピハピしたかったんだもん！
杏,プロデューサー…やっちゃったね
早苗,これは……もう私達では処理できないわ
くるみ,ふぇぇぇぇぇん。世界の終焉でしゅぅぅぅぅ
P,じょ、冗談ですよね？なぁ！凛！まゆ！
凛,…………ごめん。プロデューサー
まゆ,この件だけは、Pさんの味方にはなれません
P,そ、そんな！。じゃあ、どうすれば良いんだ？どうすれば俺は許されるんだ？
きらり,きらりんルームはアイドル限定。その掟は決して揺らぐことはない。貴様が許されることなど無いのだ
杏,きらりのキャラがエマージェンシー…。なんか神々しい後光を放ってるし
依田芳乃,ところがどっこい。許される手段が一つだけあるのでしてー
P,本当か！？
凛,いつの間にきらりの背後に…
まゆ,気づきませんでした…
杏,後光の源。いや、それはそれでおかしいけど
芳乃,はい。許される唯一の手段、それは―――。きらりんルームに相応しい人間になることです
P,きらりんルームに相応しい人間―――――そうか。分かった。俺はアイドルになる！きらりんルームに相応しいアイドルにな！。というわけで、自己プロデュース始める！。しばらくお前達のプロデュースは超高性能AIとアブソリュートプロデュースシステム、通称“アイドルマスター”を搭載したウサミンロボがやってくれる
杏,それがあるならプロデューサーいらなくない？
凛,しばらくのお別れだね
まゆ,まゆ…ずっと待ってますから
P,ありがとう。絶対に戻ってくるよ。それで良いんだよな？きらり
きらり,オッケーだにぃ～
杏,あ、戻った
凛,プロデューサーが自己プロデュースを初めて半年が経った。プロデューサーの不在が事務所に与えた影響は大きかったけど、１ヶ月もすると事態は収束していった。仕事の面ではウサミンロボのお陰で繁盛している。むしろプロデューサーよりも優秀で彼が戻って来た時に事務所に居場所が残っているのか逆に不安になる。そして、プロデューサーはと言うと――――
P,お前をプロデュースしてやるぜ
凛,彼がアイドルデビューしてから人気は鰻登り、決め台詞のお前をプロデュースしてやるぜは女性のみならず男性までも虜にし、一世を風靡した。ポスターもテレビ画面も劇場のスクリーンもプロデューサーで埋め尽くされた。まゆはトップアイドルになり、収入のほとんどをＰグッズに費やしている
まゆ,Ｐさんが…Ｐさんがいっぱい…うへへへへへへへ
凛,もう少し深刻化したらまゆの脳髄がダダ漏れしそうでヤバい。そうなったら、清良さんに治療してもらおう。彼の影響で多くの男性アイドル、タレント、俳優が仕事を奪われ失業し、荷物をまとめて故郷へと帰って行った。最近、あいさんは仕事が少ないが口癖になり、ビールを片手に友紀と一緒に甲子園やキャッツを観戦する日々を送っている。だらしないと思うけど、まゆの惨状よりはマシだと思う。その後の彼の活躍は以下の通り
・天海春香の,一番後ろの席まで見えてるよー！
・オリコンは常に１位であるため、彼のために,殿堂入り
P,俺は名実共にトップアイドルになった。けど、きらりから許しの連絡を貰っていない。まだ足りないのか。俺は相応しくないのか。国内では限界がある。……行くか。世界に
ヘレン,呼んだ？
P,呼んでない
凛,プロデューサーの海外展開は別に驚かなかった。彼の影響力は日本で留まるようなものではなく、海外展開は当然の流れだとして世間は受け止めた。海外展開を発表した直後、ハリウッドの大ヒットメーカーと呼ばれる監督から映画のオファーが来た。彼を主演にした映画を作りたいらしい。勿論、彼はOKを出した。国家予算レベルの制作費、最高のスタッフと最高の俳優で作られた“神の領域”の映画がつくられた。そして、映画は公開された。映画館のある国の全てで公開され、圧倒的な観客動員数、興行収入を得た。CMで宣伝された時は単位を米ドルからジンバブエドルに変えたのか、数字を10桁ほど間違えて表示してしまったのか、そんなミスだと思ってしまうほど大きな数字だった。聞いた話によると、あまりの莫大な数値に監督と映画の制作プロデューサーは発狂したらしい。国をもう一つ作れるレベルの収入を得たアメリカでも大統領と財務省の職員がお金を処理しきれず次々と精神崩壊。その一報を聞いた次期大統領候補たちは選挙を辞退。副大統領も命惜しさに辞表を置いて行方不明となった。大統領の椅子は未だに空席で候補者もいないらしい。あとヘレンさんが自分のことを世界レベルから自宅内レベルと言うようになった。大統領よりもこっちが重大だと思う
世界最高の女,あぁん！もっとぉ！もっとプロデュースして欲しいのぉ！
P,俺は世界最高のアイドル…いや、エンターテイナーとなった。人によっては俺の背後にマイケル・ジャクソンやエルヴィス・プレスリーが見えるらしい。金も、女も、名誉も、地位も、何もかもを手に入れた。こうして世界最高の女を毎日好きな時に抱ける。世界最高の酒でプールを作る事だって出来る。今やこの“アメリカ合衆国”が俺の所有物になっている。それなのに何故、俺は満たされない。この虚無を満たしてくれるものは…
世界最高の女,はぁ…はぁ…最高だったわ。明日もお願いね
P,悪いが、今日で終わりだ
世界最高の女,！？
P,俺の虚無を満たしてくれるものは、ここにも無かった。それから、俺はアメリカを放棄して世界各国へと飛び出した。俺が出国したことでアメリカの経済は大暴落。経済は俺が来る前のアメリカに戻り、近々大統領選も行われるようだ
テロリストA,俺たちはなんて愚かなことをしていたんだろう
テロリストB,ああ。同じ神を信じる者同士で争うなど…
P,戦場でギターを弾き語り、中東の戦争・紛争・テロ行為を根絶した。ソレ廃れるピーナッツだっけ？そんな名前の組織から勧誘されたが、断った。俺はそんな崇高な目的のために動いているんじゃない。俺の内なる虚無を埋めるためだけの戦いなんだ。それから、俺は世界中でパフォーマンスを続けた。アフリカで歌えば貧困と民族紛争が解決され、サハラ砂漠が緑化した。ヨーロッパで歌えば、現地住民と移民が和解した。南米で歌えば、マフィアが麻薬畑に火を点け、警察署の前に整列した。アジアで歌えば、全ての戦争・紛争が終結し、兵器に花が咲いた。そして、俺は日本に戻って来た。もう許されるだろうと思ったからだ。しばらくいない間に事務所も変わったなぁ。なんか六本木ヒルズみたいになってる。この社員証。まだ使えるのかな…。おお。まだ大丈夫だったか
？,もしかして、プロデューサーさんですか？
P,え。ああ、そうですよ。お久しぶりですね。ちひろさん
千川ちひろ,上で待っててください！今すぐ全員呼んできますから！
P,え！？ああ、はい
きらり・杏・くるみ・凛・まゆ・早苗・芳乃,本当にすみませんでした
P,え？あの…これは一体…・
