星井美希,以下、美希
秋月律子,以下、律子
美希,うぅ……律子、さん。聞きたい事があるの！
律子,聞きたい事？スケジュールとかかしら
美希,ううん、そういうのじゃないの！。あのね？今日ってキンローカンシャの日、なんだよね？
律子,ええ、そうよー。残念ながら、アイドル的に休みにはならないけど。それがどうかした？
美希,えっとね？キンローカンシャって働いてる人に感謝する日って聞いたの！
律子,……うーん、ちょっと違うかも
美希,えっ、そうなの！？
律子,元々は収穫祭とか言われてたりするから……どうなのかしらね？
美希,そ、そっか……それなら、仕方ないの
律子,美希？どうかしたの？
美希,……えっとね？ミキ、ハニーに何かしてあげたいなって思ってて
律子,プロデューサーに？良いじゃない、喜ぶと思うわよ？
美希,でも、働いてる人に感謝する日じゃないんだよね？。うぅ……困ったの
律子,……別に、きっかけとして使えばいいだけじゃない？
美希,でも、違う日なんだよね？
律子,ええ。でも、美希がプロデューサーに何かしてあげたいって思ったのに違いはないでしょ？。それならそれで良いじゃない。きっとプロデューサー殿、喜んでくれると思うわよ？
美希,律子……！ありがとうなの！ミキ、頑張るね！
律子,……律子、さんね
美希,ハニー！ハニー！
P,美希？どうかしたのか？何かあったなら……
美希,良いから良いから！座っててなの！
P,……？
美希,んしょ、んしょ……。どお？ハニー、気持ちいい？
P,肩揉んでくれるのか？うーん……
美希,あんまり、気持ちよくなかった？
P,そうだな、揉むより叩いてくれた方がいいかも
美希,叩く？こう？
P,そうそう、良い感じ
美希,褒められちゃったの～♪とんとん、とんとん♪
音無小鳥,以下、小鳥
美希,小鳥もやって欲しいの？
小鳥,やって欲しいわ！
P,音無さん……
小鳥,目の前で美希ちゃんに肩たたきされてるの見たら、誰だって羨ましくなりますよぅ……
P,それじゃ、俺の後にやってあげてくれないか？俺、これからテレビ局に行かなきゃいけないからさ
美希,えーっ！まだ始めたばかりなのに、そんなのってないの……。……そうだ！ミキもついてくの！
P,ついてくるのか？ただの打ち合わせだぞ？
美希,いいの！ミキ、今日はハニーについていくからね！
P,？まぁ、いいけど……それじゃ、準備してくれるか？
美希,はいなの！それじゃ小鳥、行ってくるね！
小鳥,……いってらっしゃい
P,……っと、後は本命のだけかな。美希、疲れてないか？
美希,大丈夫なの！ハニーの方こそ、疲れてない？
P,いや、むしろ思った以上に捗ってくれて助かってるよ。アイドルが実際に居ると、やっぱり違うもんだなぁって実感させられたな
美希,ふーん……ハニーの為になったなら、良かったの！
天海春香,以下、春香
美希,春香？あっ、千早さんもいるの！
如月千早,以下、千早
P,うん、二人ともお疲れ様。二人はラジオの収録だったっけ？
春香,はい！千早ちゃん、今日もリスナーからのお便りで笑っちゃって……
千早,面白かったんだから仕方ないでしょ……ぷ、くく
春香,ただのダジャレだったよね……？
美希,ミキには良く分からないの……
春香,あっ、そうだ！誕生日おめでとう、美希！
千早,おめでとう、美希
美希,あっ、今日ミキの誕生日だったの……ありがとう、二人とも。……誕生日
春香,今日はとびっきりのお祝いしちゃうからね～？
千早,夕方には、事務所に帰ってきてね？
美希,……うん、分かったの！
春香,それじゃ、私達レコーディング行ってきますね！
P,おう、転ぶなよー
春香,もー、そんなお決まりな事やるわけないじゃ……ぁっ
千早,…………
P,さて、それじゃ帰るか……美希？
美希,……えっ、どうかしたの？
P,なんかさっきより沈んでないか？何かあったのか？
美希,……ううん、なんでもないの！。それじゃ帰ろ、プロデューサー！
P,………いや、ちょっと寄り道していかないか？。今日、折角付き合ってもらったお礼をしたいし
美希,えっ？別にそんなの……
P,俺が一服したかったの！さ、行こう！
美希,ぷ、プロデューサー！？
店員,キャラメルマキアートといちごババロア、ブラックコーヒーお待たせしました～
P,ありがとうございます……はい、美希
美希,ハニー、ありがとうなの……
P,……どうしたんだ？さっき、なにか言いたそうだったけど
美希,えっ？そ、そんな事ないって思うな
P,……ひょっとして、俺に話せない事か？。俺じゃ力になれないって事なら、仕方ないんだけどさ……
美希,ち、違うの！ハニーは悪くなんてないの！。……今日、キンローカンシャの日って律子から聞いたの
P,まぁ、な。俺も、休みにしてやりたかったんだけど……
美希,ううん、お休みが欲しかったんじゃないよ？
P,？
美希,……ハニー、いつもミキたちの為に頑張ってくれてるでしょ？。だから、今日くらいはハニーに休んで欲しかったの
P,だから、事務所で肩揉んだりしてくれたのか……
美希,うん！ちょっとでも休ませてあげたいなーって思ったの！。……でもね？今日はミキの誕生日って思いだしたら、ワガママ言いたくなっちゃって。今日くらい、ハニーを独り占めしても良いかなって思っちゃって……
P,…………
美希,……うぅ
P,まったく、そんな事に気を遣わなくても良いのに
美希,えっ？
P,今日は美希の誕生日だぞ？ワガママ言っても良いんだ
美希,……いいの？ハニーのメイワクになっちゃうよ？
P,朝、あれだけ助けてもらったじゃないか！それで十分だよ
美希,ホントにいいの？
P,おう、今日は午後空けてあるしな！。今日の俺は、お前だけのハニーだ！
美希,―――っ！やったやったやったのー！。それじゃ、ハニーって今日は堂々と外で呼んでも良いの！？。ハニーとイチャイチャしても良いんだよね！
P,おう、ほどほどに――
美希,それじゃ……はい！あーん
P,えっ、いいのか？いちごババロア、美希の好物だったろ
美希,それもそうだけど……うん！こうした方がいいと思ったの！。それに、ハニーは甘い物食べて元気になれるよね？
P,それはそうだけど……わ、分かった。いただきます
美希,……美味しい？
P,うん、美味い……美味いが、恥ずかしい
美希,えへ……こうしてると、本当のコイビトみたいなの
P,……周りから、異様な殺気を感じるような
美希,じゃぁ……はい！
P,ん？なんでスプーンこっちに向けてるんだ？残ってるの、食べていいぞ？
美希,そうじゃないの！もう、ハニーはドンカンなの！
P,？
美希,ミキにた・べ・さ・せ・て？
P,……いやいや！めっちゃ恥ずかしいだろそれ！
美希,むぅー、今日はミキだけのハニーなのにー……
P,うぐぅ……わ、分かった。それじゃ、行くぞ……はい、あーん
美希,あーむ♪。んー、美味しいのー！ハニーの愛情たっぷりってカンジ！
P,そ、それは良かった……
美希,……ハニー、気付いた？これって間接キスなんだよ？
P,そ、そういう事を不意打ちで言うんじゃない！
美希,あはは、ハニー顔真っ赤なの！
P,ドキドキさせるなよ……意識すると、余計に緊張してくるから
美希,アハッ、ゴメンなさいなの！それじゃ、ハニー？
P,……分かった！はい、あーん！。……心が参りませんように
美希,ハニー、ありがとなの！いちごババロアとキャラメルマキアート、とっても美味しかったよ！
P,それなら良かった……それじゃ、事務所に戻るか？
美希,んーとね……ミキ、一つだけ欲しいなーって思ってたのがあるの。ハニー、買ってくれる？
P,ああ、誕生日だしな。それで、一体何を……
美希,それはね――。ハニーと二人で選ぶ……あずさじゃなくても、トキめいちゃうの
P,……で？なんで指輪なんだ？
美希,千早さんに買ってあげてたでしょ？だから、ミキも欲しいなーって
P,ぐぅ……知ってたのか
美希,……ダメ？
P,まさか、大丈夫だよ。それじゃ、早速選ぶか……って言っても、あんまり俺詳しくないんだけどな
美希,ハニーが選んでくれたのなら、なんでも似合うって思うな！
P,それは嬉しい……っと、アレなんてどうだ？
美希,……うん！ミキも好き！
P,それならちょっと見てみるか……すみませーん
美希,えへへ……ハニーに指輪をプレゼントされちゃったのー
P,そこまで喜んでくれるなら、こっちも嬉しいよ
美希,……ねぇ、ハニー？指輪、嵌めて？
P,それくらいなら……はい、指出してくれ
美希,はいなの！
P,……いや、薬指じゃないよな？ほら、人差し指出して
美希,ぶー……はい
P,……よし、これでいいな
美希,でもハニー？なんで人差し指なの？
P,ん？いやぁ、左手の人差し指に嵌める指輪にも、ちゃんと意味があるらしくてな。ゴールに向けて取り組む事が出来るようにっていうのが、トップアイドルを目指すのに合うかなーって思って
美希,へー、よく考えてるんだねー……
P,あんまり嬉しくないか？
美希,……ううん、すっごく嬉しいの！でも――。今度は、薬指に指輪嵌めてもらうからね、ハニー！
P,美希は元気だなぁ……ふわぁあ。っと、ごめん。つい、欠伸が
美希,ひょっとしてハニー、眠いの？
P,ああ、事務所帰って仮眠でも
美希,……ねぇ、ハニー？ミキ、ちょっと試したい事があるの
P,どうした？余程の無理じゃなきゃ付き合うよ
美希,うーん……今日はまだあったかいし、大丈夫って思うな？
P,不安になるな……それで？
美希,ちょっとこっち来てハニー！
P,……？
美希,はい、ハニー。ミキの隣座って？
P,公園のベンチに腰掛けて、何しようっていうんだ？
美希,えーっとね……膝枕、なの！
P,足痛くなるだろ？やめておいた方が……
美希,……事務所に帰ったら、二人きりじゃなくなっちゃうでしょ？
P,まぁ、あいつらもお祝いしたいだろうしな……
美希,ミキ、ハニーから大事なプレゼント貰っちゃったから……そのお返しなの！。それに、ハニーもお休みできるでしょ？
P,まったく、気を遣わないで良いって言ったのに……。分かった、ちょっとだけ寝てて良いか？20分くらいしたら起きるからさ
美希,うん、分かったの！ささ、ハニー？
P,……なんか、照れくさいんだけど
美希,わっ……意外と重いんだね
P,やっぱりやめようか？
美希,……ううん、やるの！。ハニーと頭が膝に乗ってるってなんか変なカンジなの……
P,……恥ずかしくて、寝るどころじゃないぞこれ
美希,えーっ！？そ、それは困るの……。……そうだ！
P,？
美希,ちーくーたくーとうごくーとけーいはー♪
P,子守歌？
美希,そうだよ？千早さんに一回やってもらったから、真似しようと思って。～♪
P,う……本当に眠たくなってきた……。……すー
美希,……ハニー、おやすみなさいなの
P,……ん。あれ、み……！？。外すっかり暗いじゃないか！？美希はどうして――
美希,むにゃ……えへへ
P,……どうしよ、起こすべきか。でも、このまま起こさないと風邪ひくかもしれないし……よし。美希、起きて
美希,……んむ、はぇ？。あーっ、はにぃなの……えへへ
P,ゴメンな起こしちゃって……帰ろうか
美希,手、繋いでくれる？
P,勿論
美希,嬉しいの……それじゃ、帰ろハニー！
高木社長,以下、社長
全員,誕生日、おめでとー！
双海真美,以下、真美
双海亜美,以下、亜美
千早,……えっ、紐だけ！？
真美,あらら……千早おねーちゃん、バッドラックだったNE
亜美,仕方ねえ……予備のこいつを使いな
千早,あ、ありがとう……えいっ。！や、やったわ！
真美,そこまで喜ぶとは思ってなかったYO
美希,千早さんが楽しそうで良かったの
律子,美希、結局プロデューサー殿を労えたの？
美希,……ハニー、ミキどうだったかな？
P,ああ、お陰で仕事の疲れも飛んでったよ
美希,！やったの！
律子,へぇー……まぁ、何をやったかを問い詰めるのは無粋ですかね
美希,律子、さんも、たまには休まないとダメだよ？。はいこれ、今日行ってきたお店のいちごババロアなの！
律子,あ、ありがと……帰ってから食べるわね
P,喜んでもらえてよかったな、美希
美希,うん！
春香,はいはーい！みんな、ちゅうもーく！
P,どうした春香、それ……
春香,えへへっ……実はですね！。じゃじゃーん！どうですか！？
美希,いちごババロアなの！どうしたの、これ？
水瀬伊織,以下、伊織
春香,えへへ……キャラメルマキアートの用意もしてあるんだよ！
美希,春香……ありがとう、スッゴク嬉しいの！
春香,ふっふーん、もっと褒めてくれても……
千早,春香？どうかしたの？
春香,……あ、あれ？美希、それって
菊地真,以下、真
美希,ふふん、ハニーに買ってもらったの！
律子,……は？
春香,え、あの、その……？
千早,春香、落ち着いて？ね？
亜美,あずさお姉ちゃんとピヨちゃんが息してないYO！
真,た、誕生日に指輪……なるほど！
伊織,アンタは何を納得してるのよ！
萩原雪歩,以下、雪歩
美希,えっへへー、バレちゃったねハニー？
P,……そうだな、バレちゃったな！ハハハ！
律子,バレちゃったじゃないですよ！アイドルに指輪送ってどうするんですか！
真美,あれ？でも、千早お姉ちゃんも指輪貰ってたよ？
千早,……何の事かしら
三浦あずさ,以下、あずさ
P,あずささん、落ち着いてください！
あずさ,お、落ち着いてなんて……
律子,どういう事よ千早まで！
千早,……お、お祝い？
社長,……うちの事務所は、賑やかで笑いが絶えない事務所だねえ
P,……とっても楽しい事務所です、飽きませんね。まったく、大変だったな……
美希,春香、ずっと慌ててたの……
P,あそこまで慌てるとは……予想してなかった
美希,薬指につけていったらどういう反応するかな？
P,余波で音無さんが倒れるからやめなさい
美希,それは困るの……
P,……よし、着いたな
美希,もう、着いちゃったの……
P,まぁ、こればっかりはな
美希,残念なの……。ハニー、送ってくれてありがとうなの！
P,おう、どういたしまして。よし……明日からも頑張ろうな、美希！
美希,うん！。……あっ、ハニー？スーツに白いのついてるの
P,えっ、ホントか！？どこに……。え？別にどこにもついてな――。――――！？
美希,えへへ……最後に、美希からのお返しなの！。大好きだよ、ハニー！
