向井拓海,冒頭のおたよりだ
姫川友紀,えー、ラジオネームバク宙白にゃんこさんからのおたよりだよー
友紀,ぼくは城ヶ崎美嘉ちゃんのファンです！美嘉ちゃんをゲストに呼んでいただけないでしょうかだって
拓海,所沢のカリスマJKか
友紀,背番号5のカリスマJKね
拓海,美嘉にはオファーは出してんだっけか？
友紀,オファーは出してるんだけどねー……。まあ忙しいからね、美嘉ちゃん。売れっ子ですから
拓海,その割には球場での目撃情報が絶えないけどな
友紀,というわけで今日のゲストなんですが
拓海,ブースの外に居んな
友紀,プロデューサーから水のボトルを受け取って飲んでるね
拓海,いい飲みっぷりだな
友紀,さあ一息深呼吸を入れてブースのドアから入ってきました！
？？,あの、私の一挙手一投足を実況するのやめません？
友紀,えー？だって面白いじゃん
？？,まったく……
拓海,オイ、ゲスト。タイトルコール頼むわ
？？,はいはい、わかりましたよ
多田李衣菜,姫川・向井のヒットエンドラジオ、スタートです！
友紀,はーい。というわけでゲストは李衣菜ちゃんだよー！
李衣菜,どもどもー、よろしくお願いします
拓海,さっそくお便り読んでくぞー
友紀,はーい
李衣菜,はーい
拓海,えっと、ラジオネームトリプルプレーからだぜ
友紀,めったに見られない奴だ
拓海,姫川さん、向井さん、ゲストの多田さんこんにちは
友紀,こんにちはー！
李衣菜,こんにちはー
拓海,今回のゲストの多田さんですが、あまり野球のイメージがないのですが、実は野球をよく観たりしているのでしょうか？だとよ
友紀,確かに李衣菜ちゃんが野球観るってイメージないよね
拓海,ソコんトコどうなんだ？
李衣菜,それね、みんなずっと気になってたと思うんですよ。安心してください。多田李衣菜、野球のルールわかりません！
友紀,力強い答えをありがとう
拓海,まあそうだろな……李衣菜が野球の話してるトコとか見たことねえし
李衣菜,ていうか、そもそもなんで私がゲストに呼ばれたのかよくわかってませんし
友紀,そもそも何でオファー受けてくれたの？
李衣菜,だって、オファーを受けたのに断るなんてロックじゃないでしょ！
友紀,ロッカー多田李衣菜、受けたオファーは断らない
拓海,これはロックだな
李衣菜,あ、でもオリックスってチームは知ってますよ
友紀,みくちゃんだね
拓海,みくだな
李衣菜,みくちゃん、今日もにゃー！また先発引っ張りすぎにゃあー！って吠えてましたよ
友紀,継投のタイミングが遅れたんだね
拓海,オリファンの心の叫びだな
友紀,あと、何か野球について知ってることはある？
李衣菜,あのー、何でしたっけ、いっぱい球団に指名された人がいたような……
拓海,いたな
友紀,去年のドラフトで7球団から指名を受けたあの選手だね
李衣菜,名前なんだったっけ、確か、キヨ、キヨ……
友紀,頑張って！もうちょっと頑張って！
李衣菜,んー……忘れちゃったからキヨでいいですか？
拓海,キヨはまずいだろ！？
友紀,正解は清宮幸太郎選手だね。もう一通お便り読んでいくねー。ラジオネームピンチヒッターさんからだよ。プロ野球では、ホームチームの選手が打席に入る際や、投手交代時などに登場曲がかかりますよね
拓海,そうだな
李衣菜,へー、そうなんだ
友紀,皆さんは、自分が打席に入るときにどんな曲をかけたいですか？教えてくださいだってさ
拓海,なるほどな。登場曲か…
李衣菜,登場曲なんてのがあるんですね
友紀,そうだねー。打席に入る前に名前がコールされて、その後に曲がジャーン！って流れるの
李衣菜,おおー！それはカッコイイですね
拓海,アタシはアレだな。人にやさしくがいいな
友紀,がんばれー！ってヤツだ
李衣菜,あー、ブルーハーツいいですよね
拓海,アタシは普段から良く聴いてるからな
友紀,あたしはねー、あれかな。日曜日よりの使者
李衣菜,ハイロウズ！
拓海,ペルセウスじゃねえんだな
李衣菜,ペルセウスって友紀さんが前に歌ってた奴ですよね？
拓海,そうだな
友紀,ペルセウスも好きなんだけどねー。打席で流すのにはちょっと違うかなーって思った
李衣菜,ちょっと話それるんですけど、なんで友紀さんがペルセウス歌うことになったのかちょっと良くわからないんですけど
友紀,アレね、野球中継のテーマソングだったの
李衣菜,そうなんですか！？
拓海,どこの局の系列だったかな、忘れちまったな
友紀,あたしもその辺はよくわかんないなー。なんせ大分前だからね
李衣菜,やっぱ友紀さんが歌うから、野球に関係がある曲だったんですね
友紀,そだねー。というわけで李衣菜ちゃんはどんな曲を流したいかな？
李衣菜,私はですねー……アレですね、愛のままにわがままに僕は君だけを傷つけない
拓海,あー……絶対盛り上がるヤツだ
李衣菜,やっぱりテンション上がる曲がいいと思うんですよ
