遊佐こずえ,ふ゛わ゛ぁ゛ぁ゛ぁ゛ぁ゛ぁ゛ぁ゛ぁ゛ぁ゛……
扇風機,
二宮飛鳥,……楽しいかい？
こずえ,わ゛か゛ん゛な゛い゛ぃ゛ぃ゛ぃ゛ぃ゛ぃ゛
飛鳥,ふふ、分からないか
こずえ,あ゛す゛か゛も゛ぉ゛ぉ゛、や゛る゛ぅ゛ぅ゛ぅ゛ぅ゛ぅ゛？
飛鳥,……いや、ボクは遠慮しておくよ
こずえ,そ゛う゛な゛の゛ぉ゛ぉ゛ぉ゛ぉ゛ぉ゛……。あすかー……またねー
飛鳥,うん、またね
こずえ,ぷろでゅーさー、いこー……
飛鳥,……
扇風機,
飛鳥,……。……。……よし
扇風機,
飛鳥,……。あ゛あ゛あ゛あ゛。……ふ゛ふ゛っ゛
扇風機,
飛鳥,あ゛あ゛あ゛あ゛！！！
扇風機,
市原仁奈,事務所から変な叫び声が！？
仁奈,大丈夫でごぜーますか！？
飛鳥,ぐ゛わ゛あ゛あ゛あ゛あ゛あ゛あ゛！
扇風機,
仁奈,うわああああああ！？
飛鳥,あ゛あ゛あ゛あ゛！？
扇風機,
仁奈,……あ、飛鳥おねーさんが扇風機に食べられそうになってやがります！！！
飛鳥,あ゛あ゛あ゛あ゛！！！
扇風機,
仁奈,助けを呼んで来るでごぜーます！
飛鳥,え゛っ゛
仁奈,すぐですから待っててくだせー！
飛鳥,ち゛ょ゛っ゛と゛ま゛っ゛て゛！。……
扇風機,
飛鳥,……う゛そ゛だ゛ろ゛う゛？
扇風機,
飛鳥,あ、止まった。……どうしよう。この状態を他の人に見られるのはマズい。もう仁奈には見られてしまったけど。仁奈だけならさっき見たのは白昼夢だと押し切れば何とかなるだろう、きっと。とりあえず限界までエクステを巻き込みきってしまって止まった扇風機の電源を切ってから……。いや、先にエクステを外した方が――。！！！
荒木比奈,おはようございま――
飛鳥,……
扇風機,
比奈,。…………飛鳥ちゃん、扇風機相手にキスの練習っスか
飛鳥,違うんだ
比奈,あはははははは！
飛鳥,ぐおぉ……！
比奈,扇風機で！あ゛あ゛あ゛あ゛で！エクステって！
飛鳥,……比奈さん。貴女が笑っていられるのも今の内だよ
比奈,うん？
飛鳥,ボクは一人では死なない
比奈,まさか……！？
飛鳥,そう、そのまさかさ……！。……。ん？こんな時間に誰が――
比奈,ひーっなーあらきのひっなっだーっれのっもっのー♪。ﾄﾞｩﾚｵﾚｵｯ
飛鳥,
比奈,ひーっなーひーっなーきーっみのっもっのー♪。ｷｬｯ――
飛鳥,
比奈,ﾎｰ
飛鳥,
比奈,
飛鳥,ﾄﾞｩﾚｵﾚｵｯ
比奈,忘れてください
飛鳥,もう一度言う、ボクは一人では死なない
比奈,ぐおぉ……！
飛鳥,ボクたちは一蓮托生……言うなれば運命共同体
比奈,互いに頼り
飛鳥,互いに庇い合い
比奈,互いに助け合う
飛鳥,鳥が雛の為に
比奈,雛が鳥の為に
飛鳥,だからこそ事務所で生きられる
比奈,鳥類は兄弟
飛鳥,鳥類は家族。嘘を言うな！
比奈,言ってる場合じゃねぇっス
飛鳥,うん
扇風機,。
飛鳥,なんとか危機は脱したけれど……
比奈,もうこのエクステは使い物にならないっスね
飛鳥,ボクが処分しておくよ
比奈,……で、さっきの惨状を他の誰かに見られたりは？
飛鳥,……仁奈に
比奈,仁奈ちゃんっスかぁ……。白昼夢って事で誤魔化せばなんとか
飛鳥,ボクもその手でいこうと思ってたんだ
比奈,さっすが
飛鳥,！
比奈,！
仁奈,飛鳥おねーさん！えんぐんを連れてきたでごぜーますよ！
大和亜季,どういうことでありましょうか！？飛鳥殿が扇風機に食べられそうだとは！
飛鳥,まだ何とかなりそうな相手だ！
比奈,ナイス人選！
飛鳥,うん？どうしたんだい、変な事を言って
仁奈,えっ
比奈,そうっスよ。扇風機が人を食べるなんてB級ホラーじゃないんスから
亜季,仁奈殿、これは
仁奈,見たんだもん！さっき飛鳥おねーさんが！ぐわああああああって！ぐわあああああああ！
比奈,心が痛いっス
飛鳥,ボクもだよ
亜季,……む？。飛鳥殿、いつものエクステを付けていないようですが？
飛鳥,！！！。そ、それは……
亜季,それは？
飛鳥,暑かったから……
亜季,暑かったから？
飛鳥,……
亜季,……
飛鳥,……クールビズ、だよ
亜季,クールビズ
比奈,クールビズに負ける程にささやかな抵抗とは
仁奈,……違う
亜季,？
仁奈,違う！飛鳥おねーさんはそんな簡単に自分を曲げねーです！。冬でも冷たいチェーンのアクセサリーを付けて！。苦くてもお砂糖を入れずにコーヒーを飲んで！。いつもそんな感じの格好で……
扇風機,みくは曲げ明神
仁奈,それが仁奈の知ってる飛鳥おねーさんでやがります！
飛鳥,仁奈……
比奈,誰だ今の
飛鳥,仁奈の言うとおりだ。ボクが間違っていたよ
仁奈,それでこそ飛鳥おねーさんでごぜーます！
亜季,これにて一件落着……でしょうか？
比奈,予備のエクステなんて持ってたんスか
飛鳥,これは非常用だよ
比奈,非常用て
仁奈,あ゛あ゛あ゛あ゛あ゛あ゛♪
亜季,ふふ、楽しそうでありますなぁ仁奈殿
比奈,ふふっ、そうっスね。んふふっ
亜季,……？
仁奈,あ゛あ゛あ゛あ゛あ゛あ゛……？
飛鳥,……
仁奈,あ゛す゛か゛お゛ね゛ーさ゛ん゛も゛や゛り゛や゛が゛り゛ま゛す゛か゛？
飛鳥,うん？ボクかい？。そうだね、ボクは――
