浅利七海,お邪魔するのれすよ～
姫川友紀,…あれ、お客さんかな
七海,友紀さん！
友紀,わぁっ、七海ちゃんだ！
七海,お久しぶりなのれす～♪
友紀,うん、久しぶり！バレンタインの時以来かな
七海,なのれす
友紀,元気してた？
七海,とっても！今日もぴちぴち、跳ねまくりなのれすよ～
友紀,そっかー！
P,…おーいユッキー
友紀,はいは～い、なぁにー？
P,昨日渡した資料、お前今日持って来てるかー？
七海,あっ、友紀さんのPさん！
P,…おっ？浅利さんだ
七海,お邪魔してますれす
P,遊びに来てたの？
七海,来てたんれす！
P,ごめんね、お茶も出さないで
七海,いえ、お気になさらず～
P,あぁそうだ。こないだはうちの友紀がご迷惑おかけして…
友紀,えっ
七海,いえいえ～、こちらこそなのれす
P,すみませんね、ほんと
七海,いえいえいえ～
友紀,ちょ、ちょっと…その話はもう良いじゃん…
P,アホ。迷惑かけたんだから、謝罪なんて幾らしてもし足りないぐらいだろ
友紀,うっ…それは、まぁ…
七海,うふふ。七海も楽しかったので、もーまんたいなのれす♪。友紀さんがいなかったら、イベントも上手くいってなかったのれす。結果オーライなのれすよ～
P,…そう言ってもらえると、助かるなぁ。ありがとうございます
七海,どういたしまして～
P,また改めて挨拶に行くつもりだけど、そっちのPさんにもよろしく伝えておいてもらえるかな
七海,了解なのれす！
友紀,ぅぅ～～…。…そ、そんなことよりさ！
P,そんなことってお前な
友紀,七海ちゃん、どうして突然うちの事務所に？
七海,ハッ、そうでした！七海、お願い事があって来たのれす！
友紀,お願い？
七海,友紀さん。それから、友紀さんのPさんにも。折り入って相談があるのれす
P,…俺も？
七海,…あ、折り入ってというのは、別にサバオリくんとは関係ないれすからね
友紀,へ？
七海,そもそも鯖折りとはお相撲の技の１つで、こう…相手にのしかかるような感じらしいのれすよ
P,は、はぁ
七海,で、それとは別に。鯖の血を抜く方法としての鯖折りというものもあって、
友紀,んー…？
七海,どっちが先かまでは七海は存じませんが、つまりこうやって
ｻﾊﾞｵﾘくん,ｸﾞｴｰ
七海,抱きしめると折れちゃうこの子の名前としてはぴったりな…
友紀,ちょ、ちょっと待って！ストップストップ
七海,はい～？
友紀,今、その話って関係…
七海,ないれすよ～？
友紀,ないの！？
七海,ある訳ないじゃないれすか
友紀,じゃあなんでしたのさ！？
P,…話を、戻そうか
七海,実はれすね
友紀,うん…
七海,２人に相談というのは他でもありません。これは…友紀さんと、友紀さんのPさんにしかできない相談事なのれすよ。とあるお魚を、釣りたいのれす
P,…はい、という訳で
七海,海なのれす～！
友紀,潮の香りがするー！
P,着きましたのはZOZOまりん
友紀,いやぁ…こんな短期間で、もう一度幕張に訪れることになるとはね
P,唐突だったなぁ。仕事さっさと上がれて片付いてよかった
七海,…やっぱり、無理を言ってしまったれすか？
P,あ、いやいや。そんなことはないんだけどね
友紀,くぅ～っ！あたし、なんだかすっごくワクワクしてきたよ！
P,そりゃ良かった
友紀,今日も生で野球が観れる！ありがと、プロデューサー！！
二宮飛鳥,…宮城の次は、千葉か。よくもまあ、あちこちと連れ回してくれる
七海,飛鳥ちゃん…？
