ゲッサンミリオンのユニット,アイル＋紗代子・百合子
ジュリア,おはよう
翼,……ｿﾜｿﾜ
百合子,……ｿﾜｿﾜ
ジュリア,ん、どうかしたのか、2人とも
翼,……ﾁﾗｯ
ジュリア,あっちになんか……サヨ？サヨがどうか……
紗代子,あ、おはよう、ジュリア！
ジュリア,ブフォッ！
紗代子,ど、どうかしたの！？
ジュリア,どうかしたの、って、いや……その……ナンデモナイ
紗代子,なんでもない、って、いつもどおりってこと？
ジュリア,ま、まぁ、そう、かもしれないな
紗代子,……そっか。ジュリアなら気付いてくれるって思ったのに2人と一緒なんだね
ジュリア,2人と？どういうことだ
紗代子,翼ちゃんも百合子も、いつもどおりだって言うから……
ジュリア,そ、そうなのか。じゃあ、ちょっと2人に話を聞いてきてやるよ(ﾀｯﾀｯﾀｯ
翼,あ、ジュリアーノ～
百合子,どうにかしてくださいよ～
ジュリア,そりゃ、こっちのセリフだ。なんだありゃ？
翼,お笑い鼻メガネです
ジュリア,それは分かる。なんでサヨがお笑い鼻メガネを付けているかって聞いているんだ
百合子,そんなの、私たちに分かるわけないじゃないですか！私がこの部屋に入ったときにはもう……
ジュリア,ってことは、最初に見たのは
百合子,私です。入ったときにはあの格好で手帳を見てて、それで声をかけられて
ジュリア,で、噴き出したと
百合子,噴き出さないわけないですよ、あんなの！ドッキリか何かかと思ってきょろきょろしちゃいましたし
翼,そして、百合子ちゃんがわたわたしてるところにわたしが入ってきたの
百合子,わたわたって、翼だって目を丸くしてたじゃない！
翼,当然でしょ？笑わなかっただけ褒めて欲しいくらいだよ。そのあと質問されて
ジュリア,質問？何を聞かれたんだ
百合子,天気です
ジュリア,天気？それぐらいなんてこと
翼,そんなこといううなら、ジュリアーノ、紗代子さんのところにもう一回行ってきてくださいよ
百合子,そうですよ！私たちと同じ目に遭って来てください！
ジュリア,は、はぁ！？なんでわざわざ
紗代子,どうかしたの、3人とも
ジュリア,あ、ああ、サヨ。なんでもない
翼,……ﾌｲｯ
百合子,……ﾌｲｯ
ジュリア,おい、ズルいぞ、2人とも
紗代子,ねぇ、ジュリア。今日っていい天気だと思わない？
ジュリア,そ、そうだな
紗代子,私ね、今日、なんだか生まれ変わったみたいな気分なんだ！
ジュリア,……っ！
紗代子,今までの私とは違う、新しい自分になったみたいな！
翼,だってお笑い鼻メガネだもん
百合子,ﾌﾌｯ
ジュリア,オメーら
紗代子,ん？
ジュリア,な、なんでもない。そ、それで
紗代子,うん。見える世界が違ってね。なんていうんだろう……世界にスポットライトが当たってるっていうか
百合子,でも、立っているのはコントのステージだよね
翼,ﾌﾌｯ
ジュリア,ﾌﾞﾌｯ
紗代子,ジュリア？ちゃんと聞いてる？
ジュリア,き、聞いているとも！……だから、顔を近づけないでくれ
紗代子,顔を？わ、私の顔、なにかいつもと違うかな！
ジュリア,い、いや……いつもと同じだと、思うぞ
紗代子,……そっか
ジュリア,なぁ、これって言ったほうがいーんじゃねぇか？
百合子,なんて言うんですか？お笑い鼻メガネとってもお似合いですね！とでも言うんですか
翼,うわ、百合子ちゃん、ひどい
