結城晴,うーっす
姫川友紀,……
晴,あれ？誰もいねーのかな……
友紀,……
晴,なんだ、友紀いるじゃんか。おっす
友紀,あぁうん、おかえりー
晴,いやおかえりって……オレ今日事務所来たの初めてなんだけど
友紀,……んぁ、晴ちゃんか。ゴメンゴメン
晴,ったく、なにボーっとしてんだか。何してんの？パソコン？
友紀,うん
晴,へー。珍しいな、友紀がパソコン触ってるなんてさ
友紀,まぁねー
晴,何調べてるんだ？……って、なんだよ野球じゃん。ゲーム？
友紀,そそ、今ちょっとホームラン打ってるの
晴,ふーん
友紀,おおぅ……露骨に興味失ったね……
晴,だって野球だろ？またいつものパワ○ロ……。……ん、あれ？よく見たら、なんか違うくね？なんだこりゃ
友紀,うん。今日はこっちの気分だったんだ
晴,いつものやつじゃねえんだ？
友紀,ちっちっち。パソコンで○ワプロはできないんだな、晴ちゃんや
晴,それは知らねーけど。……お、打った
友紀,ちぇ、届かないかー
晴,どっかで見たことある後ろ姿が草野球やってんな……
友紀,そうそう、赤と黄色のクマがね、森で
晴,……なぁ、これ映して大丈夫なヤツか？
友紀,へーきへーき、ゲーム自体はちゃんと公認のだし
晴,なら良いんだけど。ウチの事務所、こんなゲーム置いてあったんだ
友紀,いや、これインターネットのやつ
晴,へ？ネット？
友紀,"ぶらうざげーむ"っていうらしいよ。よく分かんないけど
晴,あー……、"ふらっしゅ"ってヤツ？前に橘が言ってたような気がする。よくわかんねーけど
友紀,ありすちゃんが言ってたなら、多分合ってるね
晴,多分な。……で？友紀はなんで、急にこんなのやってんだよ。パソコンでゲームするようなタイプだったっけ
友紀,普段は全然しないけどねー。なんとなく、もう１回やりたくなっちゃってさぁ
晴,前にやったことあるやつなのか
友紀,うん、何年か前だけど。ただ……
晴,ただ？
友紀,終わっちゃうんだってさ。これ
晴,え？
友紀,近々サービス終了して、もうできなくなるんだって。最近知ったの
晴,あー……
友紀,今まで続いてたものが終わっちゃうのって、妙にさみしいよねぇ……
晴,まぁな……
友紀,サービス終了って、なんか他人事じゃないような気もするしさぁ
晴,……何の話だ？
友紀,あたしたちもさ、いつ急に終わるか分からないじゃん？
晴,何が
友紀,歌って踊る方もあるし、お隣の件もあるし。今あるこの瞬間を大事にしていきたいよね
晴,わかんねえ……友紀が何言ってるのかわっかんねーよ……
友紀,そう？
晴,この辺でやめとこうぜ、この話。なんかこえーわ
友紀,そっか。ともかく、なんか懐かしくなっちゃってさ。それでね
晴,なるほどな
友紀,晴ちゃんもやってみない？ハマると、けっこう楽しいよ？
晴,いや、オレは別に……
友紀,ふーん、そっか。これが最後の機会かもしれないのになぁ
晴,……
友紀,さびしいなぁ。晴ちゃんとゲームしたかったなぁ
晴,……まぁ？見てるぐらいなら、付き合ってやるよ
友紀,はいはーい♪いつでも代わるから、やりたくなったら言ってねっ
晴,だからやらねーってば……
友紀,♪。ほい１２本。クリアだね
晴,へぇー……やるじゃん！
友紀,まぁまぁ、まだ３人目だし。このくらいはね
晴,いやすげーよ、なんか緩急すごかったのに、あっさりクリアするんだからさ
友紀,へへー♪
晴,てか、これでまだ前半なのか？まだまだ後ろに控えてそうな感じだけど
友紀,うん、あと５人かな
晴,ほぉ～ん……
友紀,どうどう？やりたくならない？
晴,……ちょっとだけ
友紀,よしきた！カモン、晴ちゃん！
晴,おうよっ
友紀,操作は大丈夫？
晴,動かしてクリックするだけだろ？見てりゃわかるぜ、ヨユーだっての
友紀,じゃあまずは、手始めに最初の……
晴,ほいっと
友紀,お、おぉ～……いきなりカンガルーいっちゃう？攻めるね……
晴,チュートリアルとか嫌いなんだよな、オレ
友紀,いやでも、難しくないかな……
晴,だーいじょうぶだって！やってる内に掴めるって……。……。なんだコレ……めちゃくちゃにムズいじゃねーか……
友紀,だから言ったのに
晴,なんだあのボール！ぐにゃぐにゃしやがって！マンガかよ！？
友紀,漫画みたいなモンでしょ、原作も
晴,だからって、あの動きはありえねーだろうが！
友紀,そういうゲームなんだよねコレ
晴,これでホントに前半なのか？１２本も打てるかよこんなの！
