三人,答えろよ
神様,そりゃお主等がワシを躊躇なく〇したからじゃろ。
神,まぁ自業自得じゃ、仕方ないことなんじゃよ。
三日月,いいよー
マクギリス,いいだろう。
神,ワシ、何度〇んでも自力で生き返れるぞ？。えっ
スマホ太郎,あ、オルガにミカさんとリオンさん。久しぶり
オルガ,ダメじゃねえか……
マクギリス,帰りたい
三日月,アトラに会いたい
オルガ,っつか、ここなんか前の世界と違くねえかぁ？
三日月,アンタ何言ってんの？
マクギリス,イカれているな……
オルガ,よぉしお前らぁ！気ぃ引き締めていくぞぉ！
三日月,んじゃバルバトス、三日月・オーガス。出るよ
マクギリス,バエル、マクギリス・ファリド……出るぞ
スマホ太郎,出場する人は……これくらいだね。
三日月,なんて読むの？
マクギリス,異世界で誰かわからないな……
オルガ,読めねえぞぉ……
カズマ,お、オルガたちもここ来てたのか。
オルガ,おぉ、カズマじゃねえか……
アインズ,我もいるぞ
オルガ,おぉ……
スバル,俺もいるぜ
オルガ,お前ら……。ザック……
レイチェル,久しぶり
オルガ,お嬢さんもじゃねえか……へっ。
デスマ次郎,俺もいるよ
オルガ,何か人数増えてねえかぁ？
三日月,知らない
マクギリス,私はバ
一夏,お、オルガ！やっと知ってる奴に出会えた～……
オルガ,イチカァ！。ふんっ！
神,へぶっ！。神に落とし前もクソもな。わかるわけ
オルガ,じゃあ、〇のうか
神,ﾌｧｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ！
オルガ,……また異世界転移するの決定しちまったな。
三日月,元の世界か一夏のいた世界にはいたいなぁ……
オルガ,ああ、だな……
マクギリス,今度はどのような世界になるのか……
