モバP,うーん、ロックか……
岡崎泰葉,どうしたんですか、Pさん？
P,泰葉か。清美にロックについて説明してあげたいんだが、どうすればあいつにわかってもらえるか考えていたんだよ
泰葉,清美ちゃん、変に偏った知識を持っていますからね
P,昔、李衣菜と一緒に勉強したんだけどな。清美は曖昧な説明じゃ納得してくれないだろうからより詳しくしらべようと思ったのさ。今日はまだ帰らないから送ってやることはできない。すまんな
泰葉,それは、残念です。Pさん、昨日も遅くまで残っていたんですよね？Pさんは働き過ぎると変なことする癖があるんですから、今日はなるべく早く休むようにしてくださいね
P,ありがとう。ロックについて調べたら帰るようにするよ。それじゃ、気を付けて帰るようにな
泰葉,はい、お先に失礼します。おやすみなさい、Pさん
P,お疲れ様。おやすみ、泰葉。さて、確かちひろさんが資料を俺の机に…あっ
星輝子,つくえのしたにいる
P,まだ輝子も残っていたのか。こいつは本当にキノコが好きなんだな……
輝子,フンフンフフーン……キノコー…あっ、P、や、やぁ
P,やぁ、輝子。キノコの調子はどうだ？
輝子,フフフ…ここはジメジメしてて…愛するキノコもいい調子だよ…
P,愛するか……キノコを愛でる……いかんな、変な妄想が……
輝子,キノコ～キノコ～♪
P,おぉ…いやらしい手つき……ん？もしかして、輝子。性欲が溜まっているのか？。輝子は前からキノコ好きだったが、あんな卑猥な撫で方をしていただろうか？もしかして、性欲が溜まりすぎてキノコをアレに見たてていたり…このままでは、このままでは……。いかん、このままではさらに卑猥な方向に行ってしまうかもしれない……どうすれば……
千川ちひろ,ただいま戻りました。プロデューサーさん、まだ残っていたんですか？
P,あっ、おかえりなさい。少し調べものしたら帰るつもりですよ
ちひろ,最近遅くまで残りすぎですよ？今日ぐらいは早めに帰ってください。倒れたり奇行に走られたらこちらも困ります
P,そ、そこまでいわなくても…
ちひろ,そこまで言わないといけないぐらい働きすぎなんですよ。調べ物したらそのまま仕事も続けるのがプロデューサーさんですからね。資料も家で見るように言ったはずですよ？
P,いや～すみません…
ちひろ,今日の残りは私に任せてください。プロデューサーさんはゆっくり休んでくださいね
P,ありがとうございます。それでは今日は先に失礼します。輝子も…また明日な
輝子,バイバイ、P。ゆっくり休んでくれ……
P,あぁ…輝子、ほどほどにな
輝子,？
ちひろ,プロデューサーさん、お疲れ様でした
P,俺のことよりも…今は輝子をなんとかしなければ……。おはよう、ございます
多田李衣菜,あっ、Pさんおはようございます！
P,り、李衣菜！？
李衣菜,えっ！？なんでそんなに驚いているんですか？私、何か変ですか！？
P,い、いや、なんでもない…元気な返事に驚いただけさ
李衣菜,なーんだ…Pさんは元気ないみたいですね？何かあったんですか？
P,なに、大丈夫さ。HAHAHA
李衣菜,あまり無理しないでくださいね？
P,あぁ、ありがとう
李衣菜,あー、バンド楽しみだなー！みんなでロックンロールしたいなぁ…
P,ロックンロール！？
李衣菜,Pさんも一緒にロックンロールしましょう！
P,まさか……まさかとは思っていたが李衣菜……お前も……。性欲が溜まっていたのかっ！？。昨日、家に帰って資料を見た後にネットでも調べてみたら、ロックンロールの語源が……古くからアメリカ英語の黒人スラングで性交
李衣菜,Pさん？
