姫川友紀,欲しいよね
P,同意を求められても困るんだけど
友紀,えー？ストレス解消に必要じゃん
P,必要ってのは必ず要ると書くんだぞ
友紀,えーやだやだ、ほしいほしいー！！
P,幼稚園児レベルのねだり方するな
友紀,アイドルの心身の健康のために福利厚生を充実させるべきだよ！
P,急に偏差値を標準レベルにまで上げたな
友紀,失礼だなー、あたしの偏差値をどれくらいだと思ってるわけ？
P,年齢と同じくらいでしょ？
姫川友紀(20),打率と身長が同じくらい、みたいな表現だね
姫川友紀(偏差値46),ってか20は低すぎでしょ！そんなわけないじゃん！
P(27),へえ、意外と偏差値高いんだ
姫川友紀(精神年齢9才),煽るねえ…。プロデューサーのその数字も偏差値なんじゃないの～？
P(27個),これは昨日食べたギョウザの個数だけど…
姫川友紀(0個),予想の斜め上だった
姫川友紀(44kg),ピッチングマシーンで適度に運動しないと、プロデューサーみたいにギョウザ太りしちゃうなー
P(56kg),友紀はもうちょっと太ってもいいと思うけど……
安部菜々(40kg),おはようございま～す！
姫川友紀(20歳),あっ、墓穴掘り職人だ！(おはようございます！)
P(25歳),おはようございます！
安部菜々(墓穴掘削検定1級),何の話をしてたんですか？
姫川友紀(TOEIC155点),事務所にピッチングマシーンが欲しい！運動のために！
姫川友紀(20歳),食いぎみに墓穴回避したね
P(25歳),菜々さんはトランジスタグラマーだけど体重軽いですよね
菜々(77cm),脚長いって褒められたこともありますからね！エッヘン！
姫川友紀(83cm),菜々さんその数字は……？
安部菜々(77cm),何って、座高ですよ！学校の身体測定で測るやつです！
姫川友紀(83cm),あっ……
P(80cm),……学校の座高測定は……5年前に廃止されたそうですよ……
安部菜々(27),……キャハッ☆
P(25歳),なっ、菜々さん、もしかしてその数字はっ……！？
安部菜々(27),ﾋﾟ!?あわわ、こ、これは……、今シーズンの、阿部選手の打点ですっ！
姫川友紀(通算1285打点),もしかして菜々さん、墓穴を埋めるための資材を常に用意している……？
