松枝泰平,３７
テロップ,2016年10月――。パ・リーグ福岡ソフトビジョンファルコンズ―仙台楽年フェニックス
実況,ノーアウト満塁です！さあ松枝、このピンチをどう切り抜けるか……
テロップ,松枝泰平福岡ソフトビジョンファルコンズ投手・元メジャーリーガー
実況,松枝の暴投で、またも楽年に点が入りました！。松枝、まさかの大乱調で5点を失いました！！平成の怪物、無念の降板です！！
翌日のスポーツ紙,松枝炎上5失点
野球評論家,すごいピッチャーだったけど、面影がないね！それとね、文句言うんだったら太り過ぎ！
ネット掲示板,松枝オワタ
テロップ,2018年1月――。松枝泰平３７
球団関係者たち,おおっ！！
テロップ,森木繁之６３
記者A,それにしても、今の松枝を獲得するとは中部も物好きだよな……
記者B,ああ、全くだよ。衰えた松枝を獲得しても、戦力になりそうにもないのに……
記者C,まあ、あいつは一応平成の怪物と呼ばれた男。客寄せパンダにはなるってことか
松枝,ハアッ……、ハアッ……
テロップ,セ・リーグ読朝ギガンツ巨神
実況,松枝、この回でマウンドを降りることとなりました！
ネット掲示板,足つったのか
客たち,こいつ、すげえ食欲だな……
喪黒,それにしても、さっきはお店でかなりの量の寿司を食べていましたねぇ。あなた……
松枝,俺のこと、見ていたんですか？
喪黒,はい。確か、あなたは中部の松枝泰平投手でしょう？
松枝,そうですよ。俺があの松枝泰平ですよ
喪黒,確か……。回転寿司屋に入る前のあなたは、焼き肉屋の中にいましたよねぇ？
松枝,はい。どうやら、付きまとわれてるみたいですね。俺……
喪黒,いえいえ。そんなつもりはありません。ただ、あなたの食生活がどうも気になりまして……
松枝,人が何を食べようと、それは本人の自由でしょう？
喪黒,ですがねぇ……。はっきり言って、今のあなたは太り過ぎですよ
松枝,それは言えてるかもしれませんね……
喪黒,よろしかったら、私が松枝さんのお力になりたいところですよ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
松枝,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
松枝,へぇ……。セールスマンの方なんですか……
喪黒,どちらかと言うと、ボランティアみたいなものですよ。何なら、私があなたの相談に乗りましょうか？。この間の試合の降板、残念でしたなぁ……
松枝,もうね……。昔の俺は、こんな情けない姿をさらすことはなかったんですけどね……
喪黒,そりゃあ、松枝さんは平成の怪物と呼ばれた大投手ですよ。何しろあなたは昔、甲子園のスターでした
松枝,でも……。今の俺は見る影もなく落ちぶれ、すっかり球界の笑いものですよ……
喪黒,とはいえ、松枝さんはまだ潜在能力はあるはずですよ。だから、中部入団を果たせたのでしょう？
松枝,そんなことはないです
喪黒,いえいえ。松枝さんには潜在能力がありますが、十分に発揮しきれていないのが今の状態です
松枝,……ですよね。まあ何というか、俺もうすうす自覚してはいるんですけど……
喪黒,おそらく、松枝さんは若いころから暴飲暴食を続けてきたのでしょう
松枝,そりゃあ、もう……
喪黒,松枝さん。痩せたいという気持ちはありますか？
松枝,もちろん、痩せたいですよ。でも、ついドカ食いしてしまうもんだから、なかなか痩せなくて……
喪黒,それと……。松枝さんの身体の不調は、食生活の偏りの影響もあるはずです
松枝,まあ、それは当てはまってますよね。何しろ、俺の食生活は、どうしても野菜不足になりがちで……
喪黒,……分かりました。そんなあなたのために、いいものがあるんですよ
喪黒は鞄から何かを取り出す。机の上に置かれたのは、青汁の写真が付いた小さな箱だ。箱には,天然有機青汁
松枝,これは……
喪黒,特別な青汁ですよ。ケールを中心に、栄養のある野菜が豊富に含まれているんです
松枝,青汁……。苦くてまずいあれですか……
