III号戦車J型,ﾌﾞﾛﾛﾛﾛ…
車長(眼鏡のあの子),ふふーん♪みほさんと試合～
操縦手,ご機嫌ですね。気持ちわかるけど
車長,そりゃあもう！あー黒森峰に戻ってきてくれないかなぁ
装填手,流石にそれはムリですって。大洗に思い入れもあるでしょうし
車長,えー…まあ、みほさんが鍛えた子たち、結構強かったもんね。うん。さすがみほさんだよ
操縦手,夏の大会で私たちを撃ったの、結局誰だったんでしょうねぇ
砲手,………………あの
車長,ん、どしたの
砲手,なんかあの辺、空間が歪んでません？ぐにゃあ～！って感じに
車長,へ？
ねこにゃー,……
車長,う”おっ！停止停止！
操縦手,わわっ
ねこにゃー,……
車長,ちょ、ちょっと危ないでしょ！なに、あなた撃破された？ならここじゃなく指定されたポイントに移動しなさいよ
ねこにゃー,……
車長,ん？前髪あげてどしたの。おでこ？おでこ見ろって？
ねこにゃー,にゃ
車長,んん～…？。…………は？どういうことよ
ねこにゃー,こういうことだにゃ。ﾌﾝｯ!!!!
車長,え
エリカ,ん、通信が…。こちらエリカ。なにがあったの？
III号戦車J型車長,エリガざぁぁん…走行不”能でずぅ…
エリカ,もう！？なにやってんのよもう……いいから泣き止んで報告なさい。どの戦車に攻撃されたの？
車長,……
エリカ,ちょっと
車長,来ないで…来ないで…いや、いやああああああ！！
エリカ,ちょ、ちょっと！。…………？
マウス車長(マウ子),敵影無し。穏便にポイントへ到達できそうね。全部隊そのまま前進！
パンターA,こちらパンター、了解！
パンターB,了解！
マウス操縦手,いくよー
ぴよたん,……通せんぼぴよ～
マウ子,ん？げっ！停止停止停止いぃぃぃ！！！！！！
操縦手,きゃああっ！ま、間に合いません！！！
マウ子,逃げてええええええ！！
ぴよたん,深呼吸ナリ～。ふんっ
操縦手,わああああ！……と、止まった？
マウ子,……ち、違う…止まったんじゃない…アイツは…
ぴよたん,ふぅ、ちょっとだけ痛かったぴよ。よいしょ
マウ子,え、ちょっと！アンタなにしてんのよ！
ぴよたん,ハッチから頭出すとスイカ割りしちゃうぴよ？中に入って～
マウ子,え、アンタまさか…
ぴよたん,早く
マウ子,ﾋｯ!パ、パンター！この化け物を何とかしてえ！
パンター,な、なんとかって！
マウ子,どこの世界にマウスを素手で止める人間がいるのよぉ！
ぴよたん,ここにいるアルよ～
マウ子,持ちあがってる！お願いマウマウ耐えてえええええええ！！！！
ぴよたん,えいっ
マウ子,あんぎゃあああああ！
パンター,あ、あわわ…
ぴよたん,ふぅ、いい汗かいたナリ。さてと
パンター,て、撤退！
ぴよたん,逃がさないよ
