安部菜々,復讐します…
菜々,あ、プロデューサーさん、何読んでるんですか？
Ｐ,あ、返せよ…勝手に見るなよ…
菜々,バスタードじゃないですか、お～い皆これ見てくださいよ
比奈,何スか？このえっちな表紙の漫画？Ｐさん同士なんスか？
菜々,BASTARD!!-暗黒の破壊神-って漫画ですね
凛,何それアイドル事務所でえっちな漫画ってこいつヤバいよ変態？
菜々,そうですね、読んでるのは厨ニ病こじらせた人かえっちなシーン目当ての人ですね
Ｐ,くそぉぉぅちくしょぅう……
比奈,…つかなんで知ってるんスか？
菜々,それは菜々が小学生の頃ジャンプで連載してる時に読んでますからね
比奈,これ平成元年くらいに出てるみたいなんスけど…
菜々,えっっと…あのーあれです！ウサミン星の親戚の家で読んだんです！！そうです！！
Ｐ,ウサミン星の漫画は海外と同じで２０年遅れてるんですかね？すっとぼけ
凛,小学校の頃ジャンプで連載したって言ってなかった？
菜々,言ってないです！！捏造です！！
Ｐ,そういえば菜々さん、これなんて読むんですか？惑星をつぐ者
菜々,ほしをつぐものですね、結構面白かったんですよ？打ち切り漫画ですけど…はっ！
凛,わくせいをつぐものじゃないんだ…
Ｐ,ふ～ん、１９９５年のジャンプ打ち切り漫画を知ってるんだ～
菜々,は、図りましたね！？Ｐさん！！
Ｐ,幽遊白書世代の１７歳って居るんですねぇ？
菜々,てんで性悪キューピッドも好きでしたけどね
Ｐ,あっ…察し
菜々,有名だから！富樫先生有名ですから！！
比奈,デビュー作だからセーフっス！！
Ｐ,ちっ…
菜々,さっきっからＰさん私のこと嵌めたいんですか！？
Ｐ,嵌めたいですよ、そら
菜々,露骨なシモネタ禁止ですよ！！南国アイスホッケー部ですか！？
Ｐ,ん？今南国アイスホッケー部って言ったよね？
菜々,久米田先生もセーフです！！
比奈,いや～南国アイスホッケー部はマイナーっスよ、改蔵はセーフっスけど
菜々,なんでですか！？そんなこと言い出したらＹＡＩＢＡもアウトですよ？
Ｐ,ＹＡＩＢＡって久しぶりに聞いたわ
比奈,私は知ってるっスけどコナンのが有名っスよね
凛,コナンがデビュー作じゃないんだ…
Ｐ,今の１７歳って金田一のあとコナンってローテーション知らないんかなー
菜々,ガンバリスト瞬も知らないんですかね？
Ｐ,ああ、もう…どんどん遡ってる…
菜々,ツヨシしっかりしなさい…
Ｐ,ちびまる子ちゃんの前やってたんだよなぁ…
比奈,え？あの枠ってずっとちびまる子ちゃんやってたんじゃないっスか？
凛,どんどん知らない作品が出てくるんだけど…
Ｐ,サッカー漫画って言ったら？
比奈,ライトウィング
凛,ホイッスル
菜々,コスモストライカー
Ｐ,キャプ翼でもない！？
菜々,面白いですよ？男塾みたいで
Ｐ,男塾とか１７歳ＪＫが読んでるのか…
比奈,ま、まあ読む人は読むっス…面白いし
Ｐ,じゃ野球漫画は？ちなみに友紀はストッパー毒島って言ってたな
比奈,ストッパー毒島は野球好きに人気あるっスね
菜々,野球漫画なんて幕張くらいしか知りませんよ
Ｐ,それギャグ漫画やで…泣くよウグイスですらない…
比奈,なんでそうマイナーな古い漫画を出すんスか…
凛,Ｐですら哀れんできてるよ…
菜々,くそぉぉぅちくしょぅう……
Ｐ,ということがありましてね
ちひろ,えげつねェな………
Ｐ,貴方ほどでもないですよ
ちひろ,それはそうと事務所でえっちな漫画持ってこないでくださいよ？子供も居るんですから
Ｐ,ジャンプに連載してたんだから大丈夫ですって、蘭子に貸してますけど中学生が喜ぶくらいのえっちさだし
ちひろ,え？蘭子ちゃんに貸したんですか？何巻まで？
Ｐ,背徳の掟編まで
ちひろ,ウルトラジャンプに移ってＲ１８なシーン満載なとこまでじゃないですか！！
Ｐ,ｱﾋﾞｹﾞｲﾙ！！
菜々,オーフェンまではセーフだと思います！オーフェンまでは！
比奈,スカパーで見たことあるから…セーフ…？
凛,それ私が幼稚園相当の頃の奴じゃん…
菜々,世代の差が…苦しいです…
