モバマスより塩見周子と小早川紗枝,きつね
周子,おーなーかーすーいーたーん
紗枝,はぁ～……今日の収録はえらかったわぁ
Ｐ,お疲れさん。寮には遅くなるって連絡しといたから
周子,あぁーそっかぁー……響子ママに今日晩ご飯いいって言っちゃったやーん
Ｐ,ママて
紗枝,でもその分、うちら気張りましたさかいに……
周子,なんか、ご褒美あってもええんとちゃうー？
Ｐ,任せろ最初からそのつもりだ。今夜は奢ってやるから好きなもん頼め！
周子,よっしゃ！さっすがあたしのプロデューサーさん！
紗枝,言うてみるもんやわ～♪
周子,かくしてあたしらは、プロデューサーさん行きつけの店で晩ご飯を食べることになった。――んだけど、なかなか思うように事は運ばないもので……
Ｐ,って、うわーしまった。今日ここ臨時休業じゃん
周子,なんかあったんかねぇ
紗枝,あら～
Ｐ,うわすっげえ行列！こんなん前まで無かったよな！？
周子,そういやあそこ昨日テレビで紹介されてなかった？
紗枝,まぁ～
Ｐ,え？閉店！？嘘だろ！？
周子,店主高齢につき～……あー隠居しちゃったんやね
紗枝,ほぉ～
Ｐ,万策尽きた
周子,ええー！？ちょっと待ってよ、んじゃあたしの腹の虫はどうすんのさー！
紗枝,みぃんな入れへんとは、悪い巡り合わせもあるもんどすなぁ
Ｐ,うーん……かといってファミレスってのもあまりに芸がない……
周子,もうこの際牛丼でもいい気がしてきてるよあたし
Ｐ,待て待て、仮にもアイドルが揃って牛丼ってのもアレだ
紗枝,んー……。せや。お二人はん。ここはひとつ、うちの知り合いがやってはるお蕎麦屋さんはどうどすやろ？
Ｐ,紗枝の？
周子,知り合いが？
紗枝,せやせや。この時間やったら、まだ開けてはるんやないかなぁ
Ｐ,意外だな。そば屋の知り合いがいるのか
紗枝,うちかて、自分のこみゅにてーいうもんがあるんどす～
周子,言えてない
Ｐ,かわいい。それじゃお言葉に甘えてみようかな。案内してくれるか？
周子,こっから遠いの？
紗枝,はて、遠いような、近いような～……。ま、行ってみればわかりますやろ。うちについて来よし～
Ｐ,お～……
周子,なんていうか、レトロ通り越して時代的というか……
紗枝,うふふっ、なかなか趣がありますやろ？。大将、おばんどす～。小早川の狐どすえ～
大将,へえ、お久しゅう
Ｐ,周子、これは……
周子,まあ人間じゃないパターンやろねぇ
紗枝,あ、なんやいらんこと考えてへん？
周子,うっ図星
紗枝,もぉ。うちの知り合いいうたかて、なんでも物の怪や思われたら困りますわぁ。まあ大将は貉むじな
Ｐ,結局人外なんじゃねーか！
大将,で、なんにしやすか
Ｐ,うーん。俺は海老天を
周子,にしん……は無いか。んじゃ、月見お願いしまーす
紗枝,きつねそば、おたの申します～♪
Ｐ,お、来た来た。いただきまーす。ん……うまい！お上品ではないからこそ気楽な、だしと醤油が香る昔ながらの二八そば……。アツアツのつゆが熱帯夜に逆に染みるぜ。それでこの海老天が……。おう～……つゆを吸った衣と、ぷりぷりの身がまた……
周子,おいしそーじゃん。それあたしに分ける気ない？
Ｐ,一尾しか乗ってないだろ流石に遠慮しろ。……てか、それ溶かさんの？
周子,え？黄身のこと？なに言ってんのプロデューサーさん。お月さんてのは最後につゆと一緒につるんっと頂くもんでしょーよ
Ｐ,ヘビみたいな食い方するんだな
周子,なんとでも言い。ん～、おいし～♪
Ｐ,いやーしかし、いいなぁこの昔のファストフード感
周子,立ち食いそばとはまた違う情緒があるねぇ。ロケーションのおかげかな
Ｐ,ちょっとした夜食感というか……これならもう一杯いけちゃいそうだ
周子,紗枝ちゃんは……
紗枝,ふぅ、ふぅっ。つるつる……つるんっ。おあげさん……♪。はむっ。ん～♡
Ｐ,ペース超ゆったり
周子,かわいい
Ｐ,で、熱い天ぷらそばってのはこの、底に残った衣の欠片を……。七味の効いたつゆごと、ぐぐーっと……これがたまらんのよ
周子,ぐっへっへ、お月さんもずいぶん温まってきたねぇ。ほーれ白い雲がかかってきて……けどこのシューコちゃんの目を欺けはしないのだ。さぁて一息に――ちゅるんっ、ごっくんっ♡
Ｐ,なんなの直前までのロールプレイ
周子,ヘビみたいって言うから寄せたろ思って
紗枝,ふはー。おつゆの味が染みるわぁ～♪
Ｐ,しかしあれだな、まだ入るな
周子,あれこれ動いたからねぇ。あたしもイケそう
紗枝,つるつる、はふはふー
Ｐ,お品書きを……おっ結構あるじゃん。屋台そばなのにすげぇ
周子,へぇ一品ものもあるんや。……そだ、お酒飲んじゃえば？
Ｐ,酒？どうした急に
周子,いやぁほら、今日って金曜じゃん？花金フライデーじゃん。花盛りWeekendじゃん
Ｐ,お向かいさんとこの名曲持ってくんのやめなさい！
周子,まあまあ。で、両手に花なんはいいけど、もうちょいリラックスしてくれても～っていうか？
紗枝,はむはむ。つるんっ♡
周子,あたしらは細かいこと気にしないし、たまには一杯やってのんびりして欲しいわけさ
Ｐ,んー……まあ確かに今日は上がりだが……
紗枝,ちゅるんっ。うちもええと思いますえ～。誰も気にしまへんよって。周子はんもこう言うてはりますし、他におるんは狐と貉や
Ｐ,そうか？確かに、うまそうなつまみもあるっぽいしな。あ、大将。このギンギーって何です？
大将,ギンギー料理
