本田未央,おはよーございまーっす！
渋谷凛,……
未央,しぶりん、おはよー！……お？それ、雑誌？
凛,ああ、未央、おはよう。そうだよ、この記事見てたんだ
未央,どれどれ……。あ！ニューウェーブじゃん！この前の初ライブの記事だ！
凛,うん。成功したみたいだね
未央,いやぁ～、後輩の活躍は嬉しいものですなぁ～
凛,そうだね、ニウーブにはもっともっと頑張ってほしいね
未央,なにその略し方！？
凛,あれ？言わない？ニュェーブって
未央,もう変わってるじゃん！そもそもどうやって発音してるのそれ！？
凛,こう……ノドを……ｸﾞｪｯ……ってして……
未央,そこまでして発音したくないよ
凛,まあ、そんなことはどうでもいいんだよ
未央,腑に落ちないなあ……
凛,未央ってさ、ニューウェーブの3人と喋ったことある？
未央,え？わりとあるけど……。ほら、レッスンが前後だったりしたらその間とか。すれ違ってもちょっと話すし
凛,……流石のクソコミュ力だね
未央,褒めてるんだよね？。あれ？もしかしてしぶりん……
凛,……
未央,え、ニューウェーブの3人と喋ったことないの！？
凛,な、ないわけじゃないって！おはようとかおつかれとか……
未央,それが会話なら私は毎日数百人と会話してることになっちゃうよ
凛,だ、だって何を話せばいいかわかんないし
未央,いや、それにしたって……
凛,全然向こうからも話しかけてくれないし……
未央,あ～、しぶりん、ちょっと最初の印象が怖いって思われがちだもんね……
凛,私も未央みたいに“コイツ別に何言っても平気そうだなオーラ”が欲しいよ
未央,さっきからちょくちょく煽ってくるのはなんなの？
凛,だからさ、ちょっとアドバイスをしてほしいんだ
未央,アドバイスって……3人と話すための？
凛,そうそう
未央,しょうがないなぁ～！この未央ちゃんが、ジュース1本で請け負ってしんぜよう！
凛,じゃあいいや、おつかれ
未央,ちょ、ちょっとちょっとちょっと！！？？
凛,？
未央,何でそんな純粋な表情ができるの！？
凛,150円は高いな……って
未央,そんなに器狭かったっけ！？
凛,未央、よく考えてみなよ。こっちは“アドバイスして”って言っただけなのに、その返事で150円請求されたんだよ？
未央,請求て
凛,世が世なら本田/未央だったよ
未央,そんな世紀末の価値観を持ってこられても！。わかったわかった！ジュースいらないから！
凛,しょうがないな……
未央,何様！？
凛,いつも、どうやって喋ってるの？
未央,どうやってって言われてもねー、なんとなく、言いたいことを言ってるだけだし……
凛,ﾁｯ
未央,態度
凛,ｳｨｯｽ
未央,しぶりん！！。やっぱり、何か共通の話題を持っていくといいんじゃないかな？
凛,なるほど……
未央,じゃ、とりあえず1人ずつ、趣味とか好みとかを見ていこっか
凛,そうだね、まずはあの赤いヤツから……
未央,三人称が失礼極まりないな！！！。まずは村松さくらちゃんだね
凛,聞いたことある
未央,なきゃ困るんだよ
凛,趣味は……“ピンクの物集め”だって
未央,衣装もピンク系が多いよね。……でもしぶりんはピンクのイメージ薄いし、この線で攻めるのは難しいかな
凛,ピンクな物で難しい場所意味深
未央,急にどうしたの！？
凛,他に何か情報は
未央,何事もなかったように進むの……？。まあいいや……。さくらちゃんは、しまむーみたいに笑顔が素敵だよね
凛,笑顔が素敵ですねって話しかければいいの？
未央,それはナンパって言うんだよ
凛,あなたの笑顔は今まで見たどんな宝石よりも輝いている……
未央,本格的に落としにかかってない！？
凛,じゃあどうすればいいのさ！
未央,り、理不尽……。私が言いたいのは、さくらちゃんはしまむーと似てるから、いつもしまむーに話しかけるみたいにすれば良いんじゃないかなってことだよ
凛,いつも卯月に話すみたいに……
未央,うんうん、それなら緊張もしないと思うし
凛,そうだね……。いつもみたいに……。卯月、明日、ザギンでシースーどう？みたいに……
未央,いつもそんなこと話してるの！？
凛,じゃあ、さくらはもう大丈夫だね
未央,大丈夫？このままいくと銀座で一緒にお寿司食べるルートだけど？
凛,次、青いヤツ
未央,そこは改善する努力をして！！！。大石泉ちゃんだね
凛,よくパソコン持ってるのは見るんだけど……
未央,趣味がプログラミングだからね。パソコンいじりが好きみたい
凛,うーん……機械には疎くて……
未央,私もあんまりかなー
凛,卯月はよく防衛省をハッキングしてるらしいけど……
未央,しまむー！！？？
凛,どうやって話そうかな……
未央,しまむーの件が気になってしょうがないんだけど
凛,もう！今は私と泉の話でしょ！集中して！
未央,誰のせいだと思ってるのさ！？。でも、イメージカラーは青だし、しぶりんと話は合いそうだけどね
凛,言われてみればそうだね。しかも、ユニットのクール担当ってとこも共通してるし
未央,ちょっと前まではここで頷いてあげることができたのになぁ
凛,じゃあ、まずは小手調べに蒼の波動に魅せられたのはいつ頃？って聞いてみようかな
未央,多分、もう二度と話しかけてはもらえないよ
凛,じゃあラストの守銭奴
未央,しぶりん、ニューウェーブに恨みでもあるの？。土屋亜子ちゃんだね。確かにお金は好きみたいだけどさ
凛,趣味：貯金だって。しっかりしてるね
未央,そうだね、ニューウェーブのお給金とかは一括して管理してるみたいだし
凛,じゃ、友達を紹介するだけで楽して稼げる方法があるんだけど……で一発だね
未央,一発で逮捕まで持ってかれそうだね
凛,最悪、お金を渡せばいっか
未央,本当に最悪の一手だね
凛,10円で1分くらいかな
未央,公衆電話みたいなシステム！？
凛,今の子はテレフォンカードとか知らないのかな。あっ、菜々さんは知ってると思うけどね
未央,人選が悪意にまみれてるよ
凛,こんなところかな……
未央,これで納得できたの？本当に？
島村卯月,おはようございます！
未央,しまむー！おはよ！
凛,ちょうどよかった。卯月ってさ、ニューウェーブといつもどんなこと話してる？
卯月,政治か宗教か野球の話ですね！
未央,3大タブーを的確に！？。なんでそんな地雷原でダンスを踊るかのような選択を！？
卯月,不合理に身を委ねてこそギャンブルです！
未央,その福本作品みたいな価値観はどこで手に入れたの！？
凛,なるほど……仲良くなるためには時にケンカも必要って言うもんね
未央,初手から殴り合いを始めて仲良くなれると思ってるの？
凛,2人とも、ありがと。勇気が出たよ。私は、誰かに背中を押してほしかっただけなのかもしれないね
未央,よくもまあ良い雰囲気で終わらそうとするよね
卯月,頑張ってください凛ちゃん！
未央,しまむーのせいでこれから地雷原でのダンスが待ってるんだよ？
凛,仲良くなってみせる……！ニーェーブと！
未央,略し方！！！
