桃井ひなた,２２
テロップ,日月台小学校――
恩田,こちらにいるのは、教育実習生の桃井ひなた先生です
テロップ,恩田真紀３６
ひなた,わ……、私が桃井ひなたです……。今日から、皆さんと一緒に授業を行います……。よ、よろしくお願いします……
テロップ,桃井ひなた２２
ひなた,は、恥ずかしい……。教育実習の期間なんて、早く終わればいいのに……。1日中、立ちっぱなしは身体にこたえる……。しかも、睡眠不足で猛烈に眠い……
小学生たち,先生、さようならーー
ひなた,さようなら……。……はい。気をつけます……。教育実習が辛い……。実習先の学校に通うのが嫌でたまらない……。ウッ……。ウウウウウ……、ウウウッ……
喪黒,もしもし……。お嬢さん、何か辛い出来事でもあったのですか？
ひなた,あの……、私は……
喪黒,苦しいことを、一人で抱え込んでいてはよくありません。悩みがあるのならば、私がお力になりますよ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
ひなた,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
ひなた,人生相談とか、カウンセラーの方なんですか？
喪黒,どちらかというと、ボランティアみたいなものですよ。何なら、相談に乗りましょうか？。ほう……。桃井さんは教育実習生なのですか
ひなた,はい。でも……、教育実習が非常に辛くて、参っているんですよ
喪黒,桃井さん。教師は何かと忙しいですけど、教育実習はそれ以上に激務だと聞いていますからねぇ
ひなた,そうです。教育実習は忙しいですよ。なぜなら、朝から晩まで学校にいますし……
喪黒,大変ですねぇ
ひなた,それだけじゃありません。人間関係でも気を使うので、ストレスがたまります
喪黒,なるほど。身体的にも精神的にも、非常にこたえるでしょうなぁ……
ひなた,ええ。それに、何かと不慣れだから授業をやるのはいつも緊張しますし……
喪黒,いやはや……。あなたの辛さ、察するに余りあります
ひなた,あと……。私、本当は教師なんかになりたくないんです！！
喪黒,どうしてですか？
ひなた,実は、私の両親は教師なんです。私は親に言われるまま国立の教育大学に入り、教師の進路を選択しました
喪黒,要するに、桃井さんは嫌々教師の進路を選択したというわけですか？
ひなた,はい。それに、私の両親やこれまで会ってきた教育関係者を見れば分かりますが……
喪黒,確かに教師は、何かと人間性に問題を抱えた人が多いらしいですよねぇ
ひなた,だから、私は教師という仕事が嫌いなんです
喪黒,とはいえ、教師の人たちにだって立派な人物がいることも確かですよ
ひなた,それは分かっていますけど……
喪黒,あなたが立派な教師を目指せばいいんですよ。過去に会ってきた教育関係者たちを、反面教師にした上で……
ひなた,でも、私が抱えている問題はそれだけじゃありません
喪黒,つまり、桃井さんは人間関係で苦労してきたということですね？
ひなた,はい。私は昔から学校の中での人間関係に苦しみ、周囲から浮いていました
喪黒,だったら……。教師になるのをやめて、全てを放り出してしまったらどうです？
ひなた,いいえ。全てを放り出して、逃げるなんてもってのほかですよ
喪黒,そうですか……。桃井さんは責任感の強いお方ですなぁ。そんなあなたのために、いいものをあげましょう
ひなた,これは……？
喪黒,催眠ブローチです。このアクセサリーには、特殊な効果があります
ひなた,特殊な効果？
喪黒,はい。このブローチは、周りにいる人間に対して催眠効果を発揮するんですよ
ひなた,何ですって！？
喪黒,催眠ブローチを使えば、子供たちはあなたに懐くでしょうし……
ひなた,……ということは
喪黒,このブローチを使えば、あなたは辛い教育実習を乗り切れますよ
ひなた,今の話、本当なんですか！？
喪黒,本当ですよ。現在のあなたには、これ以上なくぴったりの道具です
ひなた,そんな……。非現実的すぎて、信じられません！！
喪黒,いいえ。ブローチの効果は現実のものですよ。桃井さん……。催眠ブローチを使用してみなさい！！
ひなた,キャアアアアアアアアアアア！！！。ココロのスキマ、お埋めします……か
名刺の裏の白地には、BAR,魔の巣
ひなた,それにしても、不思議な感じの人だったなぁ……。いつもと違う……。子供たちが私の授業を真面目に聞いている……。そういえば……。今日の私は、この学校にいる先生たちから怒られずに済んでいる……。まさか、そんなことが……。子供って無邪気だよねー。私にもあんな時期があったんだなぁ……。周りの人間が怖くなくなったおかげで、緊張せずに授業ができている……。もしかしたら、催眠ブローチの効果は本物なのかもしれない……
休日。BAR,魔の巣
喪黒,お待ちしていましたよ。桃井さん
ひなた,ええ。今日は休日ですから、喪黒さんに会う時間ができましたよ
喪黒,桃井さん。教育実習はうまくいっていますか？
ひなた,はい。予想以上にうまくいっていますよ
喪黒,おそらく……。あなたは実習先の学校内で、人間関係が円滑になったはずでしょう？
ひなた,ええ……。おっしゃる通りですよ
喪黒,間違いなく、催眠ブローチが効果を発揮しているでしょうねぇ
ひなた,最初は半信半疑でしたけど……。周囲の変化を見ると、そうとしか言いようがありません
喪黒,人間関係が円滑になったことにより、あなたは自信もついたはずです
ひなた,はい。おかげで、私は緊張せずに授業を行えるようになりました
喪黒,よかったですなぁ。桃井さん
ひなた,何もかも、喪黒さんからいただいたブローチのおかげですよ。喪黒さんには感謝しています
喪黒,どういたしまして……。ただし、私の方から忠告しておきたいことがあるんですよ……
ひなた,どういうことですか？
喪黒,本来のあなたは人間関係を築くことが苦手ですが、催眠ブローチのおかげで今は何とかなっています
ひなた,確かに……
喪黒,まともな社会人として生きていくならば、催眠ブローチに頼らなくても人間関係を築けるようになるべきですよ
ひなた,それは言えてますね……。いずれは催眠ブローチから自立して、しっかりした人間として生きるべきなのでしょう
喪黒,だから、桃井さんには約束していただきたいことがあります
ひなた,約束！？
喪黒,そうです。教育実習の最終日は、催眠ブローチの効果に頼らないで実習を行ってください
ひなた,わ、分かりました……。最終日では、絶対にブローチの効果に頼らないようにしますよ
テロップ,教育実習、最終日――
ひなた,やっぱり、催眠ブローチがないと不安でたまらない……。ブローチの効果に頼りたい……。そうだ……。私は喪黒さんと約束したんだ……！催眠ブローチからの自立を果たすって……。落ち着け……！落ち着くんだ、私！。これはいける……。催眠ブローチに頼らなくても、授業がやれそうな気がする……。やめて！！
喪黒,桃井さん。子供たちは大怪我をしたものの、何とか一命を取り留めました。幸い、死人は出ませんでしたよ
ひなた,よかった……。私、そのことが気がかりだったもので……
喪黒,それはそうと……。桃井さん、あなたは私との約束を守ったようですなぁ。暴漢が持った包丁は、あなたの服の胸ポケットの中にある催眠ブローチに当たりました
ひなた,そうだったんですか……
喪黒,桃井さんは、子供を守るために暴漢に立ち向かったのですか。偉いですねぇ
ひなた,あの時の私は無我夢中でした
喪黒,例のブローチが、あなたと子供の命を守ってくれたのでしょうなぁ……
