トレーナー,よし、今日はここまで。クールダウンのストレッチをしたら帰ってよし
ありす,はぁ……終わりました
巴,今日も疲れたの……
ほたる,そう、ですね……
巴,ほたる、わしのストレッチ手伝ってくれんか？
ほたる,えっと……ごめんなさい、用事があるので、早めに行かないと……
巴,そうか？じゃあわしが先にやってやるわ
ほたる,いえ、一人でやるので……巴ちゃんは、ありすちゃんとして下さい
巴,んーわかった。おい、ありす、いつまでへばっとるつもりじゃ、はよぉやるぞ
ほたる,お疲れ様でした……お先に失礼します
ありす,ほたるさん、いつも一人で帰ってしまいますね
巴,そうじゃの……
ほたる,私が手伝ったら、きっと怪我させちゃうし……帰ろう……
裕子,むむ、ほたるちゃんじゃありませんか、おつかれさまです！
ほたる,裕子さん……お疲れ様です
裕子,レッスンの帰りですか？私も今日はこれで終わりなので、一緒に帰りましょう
ほたる,その……私これから用事があるので
裕子,声をかける前、私のサイキック地獄耳には帰ろうと聞こえましたよ？
ほたる,サイキック関係あるんですか……？
裕子,細かいことはいいんです！同じ寮なら帰り道も一緒じゃないですか、ほら行きましょう！
ほたる,ゆ、裕子さん、手をつかんだりしたら……わ、わかりましたから
裕子,こうしてほたるちゃんと一緒に帰るのは初めてですね
ほたる,はい、そうですね……
裕子,寮の食堂でも、いつも隅っこが定位置ですし。というかほたるちゃん、いまも妙に遠いですよ？
ほたる,私と並んで歩くのは、やめた方がいいので……
裕子,何言ってるんですか、一緒に帰るのに大股3歩分もあったら寂しいですよ！ほらほら！
ほたる,だからそんなに来ちゃ――裕子さん！
裕子,え、うわ！
ほたる,裕子さん、大丈夫ですか？怪我は？
裕子,ええ、何とも……植木鉢が落ちてきましたね、そこのベランダからでしょうか？
ほたる,はい……きっと私のせいです、ごめ――
裕子,すみません！私のせいでほたるちゃんを怪我させてしまうところでした！
ほたる,……え？
裕子,私がほたるちゃんの近くに行きたいと思うあまり、うっかりサイキックパワーが溢れてしまったようですね！植木鉢まで引き寄せてしまいました！
ほたる,あの、裕子さん……？
裕子,エスパーユッコも修業が足りませんね……これからは引き寄せないよう、ちゃんと隣に並んで行きましょう！
ほたる,えぇ……い、いまのは私の……もう、聞いてくださいよ
裕子,あ！ほたるちゃん、アイス売ってますよ！“今ならコーン限定5段チャレンジ”……これは挑戦しなければ！
ほたる,私はいいです……結果が見えてます……
裕子,結果が見えてる……未来予知？まさか、エスパーホタルだったんですか！？これは思わぬライバル出現！
ほたる,いや、別にそういうんじゃなくて……
裕子,いいからいいから！すみませーん、5段2つ下さい！種類は……
ほたる,また勝手に決めて……
裕子,あ、勝手に決めるのはよくないですよね。ほたるちゃんはどれにします？
ほたる,そういう意味で言ったわけでは……えっと、あの、ストロベリーと、その……
裕子,す、すごい……これが5段！
ほたる,顔より大きいかも……
裕子,美味しそうですね！では早速、いただきまーって、あぁっ！
ほたる,大丈夫、裕子さん？洋服に付かなかったですか？
裕子,んー、ちょっとなんで拭けば大丈夫です。それより、2段になっちゃいましたね
ほたる,私は根元から……服にも少し付いちゃいました……
裕子,わ、コーンしか残ってないじゃないですか！それより、タオルタオル！
ほたる,いつもこうなんで……大丈夫です
裕子,大丈夫じゃないですよ！きっと私のサイキックハンドパワーが熱エネルギーを生み出してしまったんです！すみません！
ほたる,またそれですか……これは私が不幸だからで……
店員,お洋服大丈夫でしたか？すぐ新しい物ご用意しますね
ほたる,いえ……私のぶんはいいので、裕子さんのだけで
裕子,ほたるちゃんはいらないんですか？
ほたる,いらないわけじゃないですけど……また落とすと思うので、アイスが勿体ないですから
裕子,そうですか……あ、私も新しいのは大丈夫なので、かわりにカップとスプーン下さい！
ほたる,裕子さん？
裕子,ふふ、見よ！エスパーユッコの……サイキック半分こ！はい、ほたるちゃん！
ほたる,え、私に……？
裕子,いやー2段目をイチゴ味にしていて良かったです！これぞサイキック未来予知！ほたるちゃんには負けませんよ！
ほたる,でも、裕子さんのですから……その
裕子,私のなら私の勝手にしてもいいですよね？ならこれはほたるちゃんにあげます！ほら、そこのベンチで座って食べましょう！
ほたる,……はい、ありがとうございます。裕子さん、あの……ご馳走様でした
裕子,はい、アイス美味しかったですねっ！
ほたる,寮まではもう少し掛かりますけど……大丈夫ですか？
裕子,何がですか？予定はないので時間は大丈夫ですよ
ほたる,時間のことではなくて……
裕子,あ、知ってましたか？ここの公園を通ると少し近道になります！
ほたる,そうなんですか……知らなかったです
裕子,ふふ、私のサイキックパワーによって先日発見したルートです！さぁ、行きましょう！
ほたる,こ、こんな木々の間を通るんですか……
裕子,急がばまっすぐ進んじゃおう、というやつですね。結構な短縮になりますよ
ほたる,はぁ……あ、裕子さん、近くにハチが飛んでます……気を付けて
裕子,う、ちょっと怖いですね……ここは動かずじっとしてみましょう
ほたる,ハチ……増えてませんか……
裕子,まさか、服に付いたアイスの匂いにつられて……
ほたる,かもしれない……です
裕子,ほ、ほたるちゃん！ここは一気に走り抜けましょう！
ほたる,裕子ちゃん！また手を！ってやっぱり追いかけてきてますよ！
裕子,公園から出てもまだ来てます！ど、どこか建物の中に……！
ほたる,裕子さん、バス！発着してるバスが！
裕子,と、飛び乗りましょう！……サイキックダーイブ！！。はぁはぁ……何とか、なりましたね
ほたる,あぅぅ……つ、疲れた……
裕子,すぐ降りるのも危ない気がしますし、呼吸が落ち着くまで乗ってましょうか
ほたる,は、はい……そうしましょう……
裕子,……ｚｚｚ
ほたる,……すぅ……すぅ
裕子,ここはどうでしょうか……
ほたる,周り、田んぼと山しかないですね……
裕子,いま何時ですか！次のバスは？
ほたる,あれ……携帯が、ない？
裕子,わ、私もです！？走ってる最中に落としたか、それとも寝てる間にバスの車内に！？
ほたる,……いまの時間はわかりませんが、少なくともバスは3時間に1本しか来ないみたいです……
