橘ありす,待てるか答えてください
モバP,うーん待てない！
ありす,あっ！ダメです、まだ3分経ってませんよ！
P,ズゾゾゾゾ！麺が硬い！
ありす,お湯をそそいで1分も経ってないんですからあたりまえです！
千川ちひろ,なんでこの人はカップ麺も待てないんでしょうか？
双葉杏,バカだからね
P,うっうっ、ありすちゃん……麺がかたい……かたいよ……
ありす,大人なんですから泣かないでください。自業自得です。それと橘です。待てますか？
P,あれ？橘さん楽屋に忘れ物？
ありす,いえ、そういうわけじゃないんですけど……いいから待てるか答えてください
P,今はちょっと時間押してるからなるべく巻きで移動したいんだけど
ありす,うう……それはわかってますけど
P,？？？
ありす,うぅ……
P,！！ごめん、待ってるよ
ありす,〜っ！///
P,お手洗いか……
ありす,プロデューサー、待てますか？
P,うん、待ってるから行っておいで。はしゃいで走らないようにね
ありす,べつにはしゃいでいるわけではありません。ただすごく大きな本屋さんだからびっくりしただけです
P,5階建てのビル全部が書店だからなあ
ありす,それに、ここでフェアのお仕事をさせてもらうわけですから、ちゃんとどんなお店なのか確かめるのは当然です
P,うん
ありす,確かに、ここまで立派な本屋さんに入るのは初めてですから、どんな棚があるのか大変興味深いです。えっと、だからつまりですね
P,うん、最上階の喫茶店で待ってるから、好きに買い物してきていいよ
ありす,はいっ。ぷりんきぴあ、まてまてぃか
P,Q、ホワイトヘッドとラッセルが1910年から13年にかけて出版した論理学に関する著作とは？A、プリンキピア・マテマティカ。合ってる。橘さんすごい！。じゃあ……イタリアのアルベロベッロという街の尖った屋根が特徴の家屋は？
ありす,とぅるっり
P,トゥルッリ、正解！
ありす,これで今度のこどもクイズ王は私の優勝間違いなしです。番組タイトルは気に入りませんが
P,参考に渡したクイズの本、全部覚えたの？
ありす,まだ完璧ではありませんが、おおよそのところは。他にもタブレットで参考になりそうな雑学の本を何冊か読んでみました
P,さすが橘さん。こういうの得意そうと思っていたけど、ここまでとは。この番組は出題も出演者もかなりガチになるらしいけど、橘さんなら本当に優勝狙えるよ！
ありす,ふふ。そんなに褒めても何も出ませんよ
P,橘さんの博識ぶりと、たどたどしい子供発音のギャップ……これは話題になる！
ありす,な！？なんですか子供発音って！ばかにしないでください！
P,探検家ハイラム・ビンガムが1911年に発見したインカの遺跡は？
ありす,まちゅ、ぴちゅ
P,賢い、かわいい！
ありす,ムキーッ！。プロデューサー、待てますか？
P,うーむ、結構並んでる
ありす,このお店のジャンボストロベリーパフェは人気ですから。これでも今日は空いている方らしいです
P,まさかここまでとは
ありす,当然待てますよね？待てると言ってください。CMのお仕事がうまく行ったらなんでも奢ってくれると言ったのはPさんです
P,確かに言ったなあ
ありす,大人なんですから、約束は守ってください
P,ありすはいいの？1時間待ちらしいけど
ありす,私は当然待てます。そのために来たんですから。待ち時間はタブレットで潰します。あと橘です
P,会話してくれないんだ……
ありす,会話をすれば待ってくれるんですか？
P,え？
ありす,じゃあお話しながら順番を待ちましょう
P,嬉しそうだね
ありす,はい。待てますか？
P,うーん、でも俺もう早くやりたいんだよね
ありす,ダメです！一緒にって約束したじゃないですか！
P,そうだけどさあ
双葉杏,あれ、何の話？
ちひろ,なんでもゲームの最新作を一緒に買って遊ぶ約束をしたらしいんですが、ありすちゃんだけまだ買えてないらしくて
杏,ふーん
ありす,仕方ないじゃないですか、予約商品の発送が発売日より遅れることがあるなんて知らなかったんです！。私はちゃんと予約開始と同時に買ったんです！
P,せめてパッケージだけ開けて説明書読んじゃだめ？
ありす,ダメです。私のが来るまで待っててください
P,ええ〜
杏,すっかりプロデューサーになついてるねえ
ちひろ,ですねえ
ありす,Pさん、待てますか？
P,待ってるからトイレなら行っておいで
ありす,そうじゃないです！Pさんはデリカシーなさすぎです！
P,すみません……
ありす,そうじゃなくて、その……待てるんですか、待てないんですか
P,何を？
ありす,いいから答えてください
P,じゃあ待つ
ありす,///
杏,ちょい待ち。プロデューサー、こっち来て
P,ん？
杏,あのさあ、ありすちゃんの言ってるのはさあ……
P,え〜？まさか〜
杏,だから考えなしになんでも頷かない方がいいと思うよ
P,考えすぎだって
杏,……疑うんならはっきり本人に聞いてみれば？
P,それもそうだな。おーい、ありすー。俺と結婚したいのか？
ありす,///！！ウルトラギガンティックどバカですか！！！バカなんですね！！！あっち行ってください！！！
P,すごい罵られた……
杏,まあ、バカだよね
ありす,Pさん、いつまで待たせるんですか
P,ちょっと待って、もう少しでいい手が
杏,プロデューサー、また負けてるの？将棋弱くない？
P,まだ負けてない！あと俺が弱いんじゃなくてありすが強いだけ！
ありす,いいから早くしてください
杏,どれどれ。ああ、これどうあがいてもプロデューサーの負けだよ。早く認めちゃいなよ
P,くっ……参りました
ありす,ふふん。ではもう一局いかがですか
P,望むところ！
ちひろ,あれってプロデューサーさんが負けてあげてるんでしょうか？それとも本気で弱いんでしょうか
杏,さあねえ。バレずにうまく負けるのは難しいと思うけど。普通に弱いんじゃない？。それより杏はありすちゃんのあの喜びっぷりが気になるよ
ちひろ,本当になつきましたねえ
杏,ほんとに。ばくはつしろー
ありす,Pさん、待ちますよ
P,待ったあり？
ありす,そうじゃなくて！。私も待ちますから、Pさんもちゃんと待っててください！わかりましたか！
P,？？？
杏,またやってる。また伝わってなさそうだし
ありす,いいですね？
P,う、うん
ありす,ふふっ
杏,とりあえずありすちゃん嬉しそうだし、杏の気にすることじゃないか
ちひろ,それにしてもプロデューサーさんはいつになったら仕事をしてくれるんでしょうか……
杏,さあねえ
