出身地：イギリス,ロンドンより少し北
ケイト,……ということで今日はココまで！みんな、また次回もヨロシクネ♪。お疲れ様デシタ！みなさん今日もありがとうございマス！
P,お疲れ様。今日も受け応えバッチリだったよ
ケイト,本当デスか？よかったデス
P,挨拶と片付けが終わったら移動するよ。すぐ近くのカフェだけど
ケイト,了解シマシタ！
保奈美,二人ともお疲れ様
ケイト,ハァイ、お待たせホナミ！
P,お疲れ様。ごめんな、別の現場から合流させちゃって
保奈美,ううん、大丈夫。案外近くだったからすぐ来られたし
ケイト,エット、次回の街レポの話デスよね？
P,そう、今日も収録があったやつね。次回は保奈美もゲストで出ることになったから
保奈美,嬉しいわ、呼んでもらえて。しかも今度はコンサートホール周辺なのね
P,そうそう、保奈美がよく通ってるって言ってたから、そこ周辺をとりあげる回にぜひセッティングしたくて。企画段階からお願いしてたんだよ
保奈美,相変わらず手際がいいのね。ありがとう。ちゃんとできるよう頑張るわ
P,あまりかしこまらなくてもいいからね。専門的な話も嬉しいけど、メインは二人で街歩きの楽しさを伝えることだから
ケイト,ホナミとならたくさん発見がありそうデス！いろんな話を聞かせてくださいね♪
保奈美,ふふっ、私こそレポはまだ不慣れだけど、よろしくお願いします♪
P,で、現状の予定としてはー
保奈美,プロデューサー、ここなんだけど……
ケイト,……mm、ホナミはとってもcuteデスネ！
保奈美,え、急に何？
P,また唐突だな。まあ、わからなくはないけど
保奈美,え、プロデューサーさんまで……えっと、そう、かしら？
P,そういうケイトは今日の収録もそうだったけど、知りたいって気持ちが前面に現れているのがすごくよかったし、今後もそういう表情とか気持ちを大事にしていってね
ケイト,Oh、カワイくできてマシタか？
P,うん、とってもよかった
ケイト,ありがとうございマス♪
保奈美,しっかり興味を持って聞いてくれるからかしら。ケイトさんって事務所で雑談している時も、ついいろいろ話したくなる雰囲気があるの
P,あー、確かにそれはあると思う。あときっと楽しんでくれるだろうって思えるところもそうかもね。何かに触れる瞬間って、大切なケイトの魅力だと思うんだ
ケイト,うれしいデスね！ホナミもプロデューサーもThanksデス！。……♪
P,どうかした、ケイト？
ケイト,フフッ、ナンデモないデスヨ？
ベテトレ,そこまでー！交代！
ケイト,スイマセン、最後のところ、ステップをもう一回確認してイイデスカ？
ベテトレ,む、いいぞ
ケイト,コウ……、ah……umm、コウ？
ベテトレ,もっとゆっくり、先まで伸ばして……そう、そこで一拍
ケイト,ううん……難しいデスネ。練習しておきマス
ベテトレ,今回の曲は特に表現力が求められるからな。まあひとつずつだな
ケイト,ハイ！。フゥ……
ルキトレ,お疲れ様です。ケイトさんいい動きしてますから、焦っちゃダメですよ
ケイト,Oh、アリガトウゴザイマス
惠,♪♪♪
ベテトレ,そうそう、いい感じ
惠,♪
P,お疲れ様。新しい曲はどう？
ケイト,あ、お疲れ様デス。ンー、まだまだtrialanderrorデスネ
P,そうか。うんうん。でもそれを感じてやっているのはいいことだよ。前向きにね
ケイト,ハイッ
惠,……あらプロデューサー、お疲れ様
P,お疲れ様。好調みたいだね
惠,フフ、どうかしら？。このあいだの衣装チェックありがとう。またちょっと相談したいこともあるんだけど、いいかしら
P,構わないよ。じゃあこのあと向こうで
惠,わかったわ
あい,やあプロデューサーくん。来ていたんだね
P,はい。少し時間が空いたので
あい,いつもありがとう。見ていて気になったところはあるかい？
P,いえ、バッチリじゃないですか。かわいい感じのポージングもサマになってるし
あい,君がいるならもっとアピールするべきだったかな
P,あいさんの魅力はじゅうぶん伝わってますよ
杏,まだ続くの今日のレッスン。そろそろ終わりにしようよー
ベテトレ,何言ってんだ、あと2巡するぞ。準備しとけ
杏,えー
瑛梨華,3、4、……ハッ！！！
美羽,ほっ……はーっ！！！
杏,……ケイトはさぁ
ケイト,？
杏,もっとライバル心とか周囲に出すタイプかなって思ってたんだけど、そうじゃないんだね
ケイト,Rival、デスカ。モチロン負けたくないし、私もガンバらなきゃって思ってマスよ？
杏,あー、えっとね。まあそうか、そう言うよね。なんというかね
ケイト,？
杏,ケイトってCoのプロデューサーとかなり親しいじゃん？そのへん、チームのメンバーとどうなのかなとか
ケイト,……それはプロデューサーを好きかとか、そういうイミデスか？
杏,んー、まあそういう感じ
ケイト,……アンズもそんな話するんデスネ
杏,まぁたまにはね。というか、そう見えてるんだけど、それにしちゃ周りに対してもおおらかだなって思ったから。そのへん大人だよね、ケイトは
ケイト,フフ、どうデショウ？私もケッコウ負けず嫌いデスヨ？
でも,そういう
裕子,ダッ！シャッキーン！！！！！
雪美,ユッコ……今のカッコイイ……！
裕子,でしょう！サイキッカーの舞いです！もっと褒めていいですよ！！！
ベテトレ,堀！！！！！ダンスに勝手なポーズを入れるんじゃない！！！！！佐城もアホなノリに乗っかるな！！！！！
ケイト,お待たせシマシタ、ハスミ♪
蓮実,こんにちは、ケイトさん
ケイト,今日のワンピースもカワイイデスネ！とってもステキデスヨ
蓮実,そうですか？ふふっ、ありがとうございます。ケイトさんのチェック柄もとってもキュートですね♪
ケイト,まだハスミだけデスか？
蓮実,もうそろそろって言ってましたから……あっ来ました
椿,こんにちは！お待たせしましたっ
ケイト,Oh、ほぼ同じタイミングでしたね、ツバキ♪
蓮実,こんにちは椿さん。とりあえずお二人も何か頼んじゃいましょ
椿,ええ♪
そして,ステキ
椿,どうですか？
ケイト,ステキな写真デスネ♪
蓮実,本当ですね
椿,……そういえば、ケイトさんってよくウインクしてますよね？
ケイト,ンー、そうデスね
蓮実,いいですよねウインク！まさにアイドルって感じで！。こう……何て言ったらいいんでしょう、ケイトさんはポーズしているとかではなくて、自然に出てる感じがいいというか
ケイト,触れ方、デスカ？
蓮実,そうですそうです、言い回しとか、仕草とか、あとは距離感とか。みんな含めケイトさんっていう魅力で、素敵さで、かわいさですよ！
ケイト,私らしさを大切に、ってプロデューサーも言ってくれてマスからね
椿,そういえば、ケイトさんって担当プロデューサーさんと最近イイ感じに見えますけど、その……特別な何かあったりするんですか？
ケイト,フフ、そう見えマスか？うれしいデスネ♪
蓮実,わ、大人な反応！でもそういうところもケイトさんらしいですね
椿,ふふっ、素敵ですよね。……実際、私はケイトさんとCoのプロデューサーさんの会話してる姿とか、関係とか素敵だなって思いますよ？
ケイト,アイドルが恋愛話なんて、御法度かもデスけどね♪
蓮実,それはそうですけど……でも、恋する女は綺麗だという言葉もありますし、大切なのは気持ちですよ！。恋愛をしてほしいってことじゃなくて、こう……いろんなケイトさんの姿がみんな素敵だし、たとえば恋とかしてるのかな……とか、気になったりするんですよ
椿,わかります、ケイトさんだからこそ、そういうところもきっと魅力なんだっていうか！
蓮実,ケイトさん、“好き、という字は女の子”ですよ！
椿,わ、いいですねその言葉♪。せっかくなので今の表情、もう一枚撮っておきましょうか♪
ケイト,そろそろ次行きマスカ？
椿,あ、そうですね。蓮実ちゃんが言ってたアンティークショップって近くなんですよね？
蓮実,そうです、路地はずれのビルの地下一階なんですけど、すごく時代感があって……
P,お疲れ様。飲み物でもどう？
ケイト,Oh、アリガトウゴザイマス。イタダキマスネ。今日は忙しくないんデスカ？
P,まあちょっと時間できたからね。暇……ではないけど
