芹沢あさひ,あ、冬優子ちゃん、おはよっす！
和泉愛依,早いねー冬優子ちゃん！
黛冬優子,お・そ・い！！！
あさひ,えー？だって集合までまだ5分あるっすよ？むしろ早い方っす！
愛依,でもあさひちゃん、ここの玄関のとこでずっとカタツムリ眺めてたよね？
あさひ,ちょっと気になっただけっすよ！あと5分経ったら行こうと思ってたっす！
冬優子,あんたがそう言って時間通り来たことないじゃないの！
愛依,まあまあ、結局間に合ったんだし？結果オーライ！みたいな？
冬優子,まったく……
あさひ,愛依ちゃんもこう言ってるっすから
冬優子,あんたに言ってんのよ！
あさひ,冬優子ちゃん、どうしてそんなにピリピリしてるっすか？
冬優子,そりゃピリピリもするわよ！ストレイライトとして初めての雑誌インタビューなのよ！？ここでコケたらおしまいじゃない！なんとしてでも、ここでふゆたちを印象付けなきゃ……
あさひ,そういうものなんすかねぇ
愛依,あはは、もうあさひちゃんはちょっとずつお仕事してるもんね
冬優子,愛依だって他人事じゃないでしょ。聞いたわよ、あがり症だって？
愛依,うっ……あー、ごめん……
冬優子,別に責めてるわけじゃないけどね
愛依,で、でも、今日はインタビュアーさん1人だけっしょ？それなら多分だいじょーぶだし！
冬優子,バカね、ここは乗り切っても、どうせいつか、ライブのMCとかで詰むのが見えてるじゃない
愛依,あ……
冬優子,だから、責めてるわけじゃないって言ってるでしょ！逆にこれはチャンスなの！ここで例えばクールとか、ミステリアスとか、そういう積極的に喋らないキャラを確立すればいいのよ！
愛依,おおー！
あさひ,さすが冬優子ちゃんっす！
冬優子,あさひ！あんたもインタビューなんて答えられるの？
あさひ,そんなの、思ったことを言えばいいっすよね？
冬優子,ダメよダメ！ふゆたちはアイドルなんだから、夢を与えるような答えをしなきゃダメなの！
あさひ,難しいっすね……
冬優子,そんなの簡単よ、愛とか夢とか笑顔とか、そういうキラキラしたワードを散りばめればいいんだもの
愛依,割り切ってるよねー
冬優子,プロ意識って言いなさい！
愛依,ってあれ？もう開始の時間だけど、スタッフさん、まだ来てない系？
冬優子,ああ、その時間ならウソよ。本当はあと30分後
愛依,ええ！？
あさひ,騙したっすか！？もうちょっとでカタツムリのレースに決着がついたのに！
冬優子,うっさいうっさい！別にただウソをついたわけじゃないんだから！インタビューの練習をするの！
愛依,練習？
冬優子,そうよ。愛依はクールキャラに慣れなきゃだし、あさひがちゃんと受け答えできるかも不安だから
愛依,なるほど……！
あさひ,でも、どういう質問が来るかもわかんないっすよね？練習なんて意味あるんすか？
冬優子,抜かりないわ。さっき、スタッフさんに頼んで質問リストを貰ってきたから
愛依,すごーい！
あさひ,どうやってもらったっすか？
冬優子,は？普通に、初めてのインタビューで緊張するからくれって言ったのよ
あさひ,そんな高圧的に言ったっすか！？
冬優子,そのまま言ったわけないでしょ！ちゃんと可愛く言ったわよ！
あさひ,どんな風にっすか！
冬優子,はぁ？
あさひ,見たいっす！どんな風に頼んだっすか！？
冬優子,そ、そんなのあんたに見せてもしょうがないでしょ
あさひ,お願いっす！この通りっす！
冬優子,な、なんなのよ！しょうがないわね……こう言ったのよ……こほん
あさひ,愛依ちゃん！このペットボトル、賞味期限が11月11日っす！！！
冬優子,聞けや！！！。とにかく！！！今からあんたたちに質問するから、ちょっと答えてみなさい。愛依はクールキャラ、あさひはアイドルだってことを忘れないように
愛依,はーい
あさひ,はいっす！
冬優子,じゃあまずは……適当に……アイドルとしての夢は？を、愛依！
愛依,おっけ！えっと……。……。……。あれ……？クールな人の夢ってどんなんだろ……。ありませんは流石にまずいよね……。クールな夢……クールな……。夢……目標……すごいこと……。うーん……うーん……。……。……天下統一？
冬優子,武将か！。いきなり天下取りを宣言するな！
愛依,いやー、むずいね！
冬優子,まったく……じゃああさひ！同じ質問よ！
あさひ,了解っす！。夢は……。……。……。……なんすかね？。別に楽しいことができればいいから、夢とかはないっすけど……。そのまま言ったら冬優子ちゃんは怒るっすよね……。アイドルっぽい夢……キラキラしたワード……。キラキラ……ピカピカ……。……。……イカ漁船に乗ってみたいっす
冬優子,なんで！？。あ、アイド……い、イカぎょせ……なんで！？
愛依,冬優子ちゃんが混乱してる！
あさひ,だってイカ漁船、キラキラしてるっす！なんだか本当に興味出てきたっす！イカ漁船に乗りたいっす！
冬優子,う、うるさいうるさい！アイドルはイカ漁船に乗らない！！！
あさひ,でもマグロ漁船に乗ったアイドルもいるって聞くっすよ！
冬優子,よそはよそ！うちはうち！！！
あさひ,じゃあ逆に、冬優子ちゃんならどう答えるっすか？
冬優子,はぁ？夢？
あさひ,そうっす！やっぱり正解を見ないとイメージ湧かないっす！
冬優子,そんなの、みんなを笑顔にしたいからとか、そんなこと言っとけばいいのよ！
あさひ,もっと、本当に答える時みたいに言ってほしいっす！
冬優子,なんなのよさっきから！
あさひ,お願いっす！この通りっす！
冬優子,しょうがないわね……こほん
あさひ,愛依ちゃん！あの天井のシミ、人が踊ってるように見えるっす！！！
冬優子,聞けや！！！！！。あんたたちには何も期待できないってことがよーーーくわかったわ……！！！
愛依,ごめんね……
あさひ,ごめんなさいっす！
冬優子,ちょっと待ってなさい！
あさひ,？
愛依,？
冬優子,はい！これ！
あさひ,なんすかこれ？
愛依,メモ？
冬優子,カンペよカンペ！それぞれの質問になんて答えればいいか書いといたから、その通りに答えなさい！
愛依,なるほど！
冬優子,それよりいいと思う答えが浮かんだなら強制しないけどね。頼むから余計なことはしないでちょうだい。ひとまずはそれを読んで……
スタッフ,ストレイライトさん、そろそろお時間です！
冬優子,げっ……！？もうそんな時間……わ、わかりました〜。今行きますね！
あさひ,ユニットについて質問が来たらどうするっすか？
冬優子,その時はふゆがどうにかするから、あんたたちは相槌だけしとけばいいわ。ほら、行くわよ！
愛依,……
あさひ,……
愛依,冬優子ちゃんの切り替え、すごいよね〜
あさひ,そうっすね！かっこいいっす！
愛依,じゃ、うちらも……おっとっと
あさひ,大丈夫っすか？
愛依,あー、ごめんごめん、きんちょーしてるのかも？ってあ、メモが……
あさひ,あ、わたしのも……。はいっすー！
愛依,今いくー！
冬優子,よろしくお願いします！
あさひ,よろしくっす！
愛依,……よろしく
冬優子,はい♡冗談じゃない！アイドルなんて仮面を被ってナンボよ……。はいっ。ふゆは、もっとキラキラしたいなって思って、アイドルになりましたっ♪。嬉しいです〜。ありがとうございますっ
愛依,……はい
冬優子,トチるんじゃないわよ……
愛依,……
冬優子,ま、でも相手は1人だし、テンパることもないでしょ
愛依,……小さい頃にテレビで見たアイドルがすごくキラキラしていて、私もみんなを夢中にしたいと思ったからです
冬優子,うんうん、書いたとお……り……ん？？？
愛依,……はい
冬優子,いや、確かに書いたけど、そ、それ……あさひに書いたやつ……！ってことは
あさひ,はいっす！自己研鑽のためっす！！！
冬優子,こ、こいつらのメモ……入れ替わってる！！！！！！
あさひ,はいっす！。はいっす！
冬優子,いや合ってるわよ。あんたの見る目が正しいから自信持っていいわよ
あさひ,はいっす！
冬優子,返答の幅が狭いな！！！。ってかやばいやばいやばい！このままじゃ見た目ミステリアスな無邪気アイドル。ってかあんたら！流石におかしいって思うでしょ！
愛依,……
あさひ,……
