※ある番組の,墓友
サターニャ,墓友？
ヴィーネ,えぇ。共同墓地っていう自分と赤の他人が共に埋葬されるお墓があって、墓友は同じ墓に入る事を前提に付き合う交友関係の事を指すのよ
サターニャ,へぇ～、そういうのがあるのね
ヴィーネ,ちなみに私はガヴと共同墓地を購入したの。つまり、死んだらガヴと一緒のお墓に入れるのよ
サターニャ,アンタとガヴリールってとっくに交友関係じゃないの…。それなのに、今更墓友って？
ヴィーネ,いいのよ。墓友だろうが、交友関係は交友関係なんだし！。で、サターニャはどうするの？共同墓地、購入する？？
サターニャ,私はアンタやガヴリールと同じ墓には入らないわ。どうせだったら、別のとこで購入してやるわよ
ヴィーネ,あっ、サターニャ！……行っちゃったわね
サターニャ,はぁ～、購入手続きって大変なのね。時間が掛かっちゃったわよ。雨ね…。でも、平気ね！なにせ、傘があるから
？,困りましたねぇ～
サターニャ,んっ？
？,私としたことが傘がお忘れになるとは……。
サターニャ,あらあら、じゃあまぁ、特別に……。ほらっ、入りなさいよ
？,えっ？
サターニャ,傘を忘れたんでしょ？私ので良かったら入りなさいって事よ
？,え、えぇと…よろしいんですか？見ず知らずなのに…
サターニャ,私はこう見えても寛大なのよ。だから、遠慮はいらないわよ！
？,そうですか…。では、お言葉に甘えて
サターニャ,私は胡桃沢=サタニキア=マクドウェルよ。知り合いからは、サターニャと呼ばれてるわ
ラフィエル,サターニャさんですか。初めまして、白羽=ラフィエル=エインズワースです
サターニャ,そう……じゃあ、ラフィエルって呼ばせてもらうわね
ラフィエル,はい！
サターニャ,それでラフィエル…アンタ、同じ場所に居たってことは？
ラフィエル,はい。私もこちらの共同墓地を購入し終えて帰ろうとした矢先、雨が降ってしまいまして…
サターニャ,そういう事ね。じゃあ、共同墓地を購入した点では私と同じね
ラフィエル,では、サターニャさんも
サターニャ,もちろん。じゃなかったら、同じ場所に居てアンタとも出会わないわよ！
ラフィエル,そうですね♪
サターニャ,で、アンタがどういうのを購入したのよ？
ラフィエル,こういうのです
サターニャ,あら、私と同じとこじゃないの！
ラフィエル,えっ、そうなんですか！？これはまた不思議な巡り合わせですね！
サターニャ,そうね。でも、同じ墓だったら、これじゃあ墓友ね！
ラフィエル,墓友？
サターニャ,なんでも同じ共同墓地を購入して同じ墓に入る者同士の交友関係を、そう呼ぶって知り合いから聞いたのよ
ラフィエル,交友関係っ！？///
サターニャ,えっ、なに、どうしたの？
ラフィエル,あっ、いえ。………あのう、サターニャさん？
サターニャ,なにかしら？
ラフィエル,その、わ、私と……墓友になってくれませんか？
サターニャ,えっ？
ラフィエル,あっ、いや、もしよろしかったら…という話ですので、無理には！！？///
サターニャ,いいわよ
ラフィエル,えっ？
サターニャ,私はこういう事にも寛大なのよ。だから、墓友になってあげる！まっ、友は一人でも多い方が良いと思うしね
ラフィエル,っ//////。ありがとうございます///その、墓友としてよろしくお願いします、サターニャさん♪
サターニャ,えぇ、もちろん。
ラフィエル,えへへっ、友達、友達っ………/////
サターニャ,？………独り言かしら？？
ラフィエル,あっ、私ここでよろしいですので
サターニャ,あら、バスに乗るのね。だったら、もういいわね！
ラフィエル,傘に入れて頂きありがとうございます。その…またお会いしましょう///
サターニャ,えぇ。じゃあ、またね
ラフィエル,はい♪
サターニャ,あぁ、良い朝ね
ラフィエル,そうですね！
サターニャ,さてと、朝食を……って
ラフィエル,うふふっ♪
サターニャ,えええぇぇーーーー、なんでアンタがここにっ！！？
ラフィエル,昨日のお礼です
サターニャ,昨日？もしかして、傘に入れたことかしら？
ラフィエル,はい！
サターニャ,いや、昨日のお礼に来たって言っても、どうしていきなり？それにどうやって入ったのよ！？
ラフィエル,ふふふっ、私こう見えてもピッキングは得意なんです
サターニャ,犯罪じゃないの！！？
ラフィエル,大丈夫ですよ。だって、私とサターニャさんは墓友ですから、そこは許してくれますよね、サターニャさん？
サターニャ,アンタねぇ……
ラフィエル,どうですか、私が作った朝食のお味は？
サターニャ,うん、美味いわ！
