モバＰ,以降Ｐ表記。かぽーん
Ｐ,それにしても本当にここで良かったのか？折角の誕生日祝いなのに。ほら、東京ミートレアとか及川牧場とか。…え？ああ、うん。そりゃ確かにここは埼玉屈指のテーマパークだけど。はいはい余計な事言わずにご案内致します。ブヒィ。あ、何か落としたぞ？。…。パンフ取り寄せるくらい楽しみにしてたん？。痛い駐車場でプレイ開始しない！。痛ってぇ…背中も周囲の視線も痛いんだけど。はいはい大人しく案内しますお誕生日様。いつも通りに呼べばいいのか？。よし行くぞトッキー。だから公衆の面前で鞭はッ！
まゆ,あらぁ？Ｐさんいないんですか？
凛,うん、何か時子さんと有名な豚肉直営販売所に出掛けたんだってさ
まゆ,ああ、お誕生日様でしたねぇ
凛,邪魔しちゃ駄目だよ
まゆ,凛ちゃんみたいに吊るされたくないですからしませんよ
Ｐ,平日なのに結構混んでるな…さすが首都埼玉が世界に誇るミート・ユートピア。ああ、祝日に来ようものなら凄まじいからな、ここ。ＧＷなんかに来てみろ。即売会レベルだぞ。まずはどこから見て回る？小腹が空いてるならその辺あちこちに出店あるけど。って、もうフランクフルト買ってるし…。…え？何、刺すん？。はい嘘です冗談ですいただきます。あむあむ…うん美味い。焼きたてフランク世界一美味い。俺はやっぱここに来たら串パイナップルは欠かせないかなぁ。トッキーはあれか、酢豚のパイナップルなんか駆逐してやるってタイプか？。痛い痛い串で突くの地味に痛い。別に今日は完全プライベートなんだしそんな肩肘張らなくても。え？あ、ホントだもうバレてら。はいごめんなさい今日この人オフなんで撮るなら本人の許可を取ってくださいねー。え、サインですか？ハハッまた物好きな方ですねぇ。はいそこの人ー！罵ってくださいとかリクエストしないでー！ほらお前も応えない！。あ、すみません社員の方ですか。…えっ？いえいえ今日はプライベートで…アンタもサイン欲しいんかい。凄い騒ぎになっちゃったな。変装くらいしてくれば良かったか。あんまり意味無いかもしれないけど今からでもサングラスくらいかけておくか？。肉質がよく見えなくなるって…あっはい。わかりました。じゃあせめて髪型だけでも変えておくか。ツインテールと三つ編みと森久保ドリルどれがいい？。痛ぇ！まだその串持ってたんかい！。よし出来た。無難にポニーテール。新鮮というか違和感あるというか…いや似合わないなんて言ってないだろ。ん？ああ、向こうは野菜の直売所だよ。地元の生産者さん達がここの堆肥で育てた野菜を売ってるんだ。行ってみる？珍しい、トッキーが野菜に興味を示すとは…だからその串もう捨てなさいって。ほら見てみろよ。白菜もキャベツもみっちり詰まって重たいのなんのって。葉物もシャキシャキだし果物も瑞々しいし。ハハッ確かに。この白菜で鍋作ったら美味いだろうなぁ。うん、またそのうちにな。向こうで米も売ってるんだぞ。しかも玄米売りで注文したその場で精米してくれるんだ。いや、流石に今日は買わない…って言うか肇の実家から貰った米がまだ数トン残ってるし。え？そりゃあ家の床が抜けないように芳乃空間に収納してるけど。あ、白菜買うのか。果物はどうする？事務所にまだ引くくらいリンゴあるけど。大根も？ああ、卸して豚バラにドーンってやりたいのか。わかるわ。ほら貸しな。重たいだろ。んじゃレジで精算してくるから。え？別にいいよ経費で落とすっての。お会計お願いしまーす。えっ？ああ、じゃあそれもください。領収書？いや大丈夫です。はい、現金で。おーい買ったぞー。何か勧められるままに色々追加しちゃったな。一旦車に荷物置いてくるよ。ここで待ってなさい。迷子になるからフラフラするなよ？知らない人に声かけられても付いていくなよ？。肋骨の隙間は痛いッ！。…あれ？トッキーがいねぇ。おーい。トッキー？時子ー。トキコサマー？。ふがっ。…どこいっふぇふぁんふぁよ。……。はぁ、冷たい串パイナップルどうも。お前も食べる？食べかけだけど。…って流石に冗談だけど。…。え？ああ、あれは見ての通りお茶を売ってるんだよ。おいおい、埼玉県で狭山茶以外売られている訳が無いじゃあないか。ステージからファンを見るような眼差し向けるのやめてくれない？。はいはいお供しますよ。今日の俺は時子のオトモアイルーだからな。秒で解雇された酷ぇ。豚肉と緑茶って意外と相性いいんだよなぁ。出涸らしの茶葉乾かして豚肉と一緒に炒めたりしてさ。ほら、ソーセージにもハーブ混ぜ込むやつあるだろ。理屈としてはああいうのと同じだと思えば。ソーセージと言えばすぐそこで売ってるけど後で食べ…行動早っ！。…。…冗談だったんだけどなぁ
晴,うぃーっす…ってあれ？Ｐいねぇの？
ありす,プロデューサーさんなら生憎今日はお出掛けだそうです
晴,へぇー。で、橘は何でミノムシみたいになってんだ？
Ｐ,すいませんホットドッグ２つと豚まんも２つ。あとコーヒーとコーラと…あ、スペアリブも２つ。時子、今のうちに席取っておいてくれ。ん？ああ、もつ煮は冬季限定なんだよ。残念だったな。お待たせ。コーヒーは…あ、こっちか。今日は良い天気でよかったな。ここアスレチックもあるけど後で行ってみるか？。ハハッ、スカートだから凄い絵面になりそう。痛い痛い無言で足を踏むな痛い。ほらほら、はしゃいでないで温かいうちにお食べなさい。あむっ……うん、ホットドッグ超美味ぇ。皮パキッて音するわ美味ぇ。土日限定のスペアリブも堪らんな。肉も魚も骨に近い部分ほど美味いんだよなぁ。骨はどうしよう。アッキーのお土産にでもするか…ん？流石に行儀悪いか。さてと、豚まんはまずこうして２つに割ってある程度冷ましてからだね…。え？だからこうして冷ましてるんだけど。いやだから冷ましてるって言ってるんだけど耳にバナナでも刺さってんのかお前。フゴフゴフゴッ！！。熱いわっ！！。チクショウ良い顔で笑いやがって写メ撮ってやる。フゴフゴフゴフゴ！？
奏,あら、プロデューサーさんいないのかしら
志希,今日はデートなんだってさー。ざんね～ん♪
奏,…で、あなたは一体何をしたらそんな状況になるの
Ｐ,はい、ここが本命であり本店のミートショップでごぜーますよ。要は豚肉メインのスーパーみたいな感じかな。取り合えず入ってみれば分かるって。フフーン、どうだこの圧巻の豚肉のラインナップ！ここは工場が売り場と直結してるからハムもウィンナーも作り立てで並んでるんだぞ！。あ、もうカゴに入れ始めてるわコイツ。国際食品コンテストで何年も連続金メダル受賞してる豚肉様だからなぁ。目移りするよなぁ。…あ、全種行くのな。いや止めないけどさ。ああ、事務所とご両親の分もか。本当にトッキーはビジネス抜きだと普通の良い娘さんだよな。ハッハッ、あれだけ年少組に懐かれてる癖に。世話が焼けるのと世話を焼くのは別の話だぞ？。手がカゴで塞がってるからって蹴るな！。ほらウィンナーもこんなにあるぞ。ハーブ入りとチーズ入りにサラミタイプも…俺はやっぱりサラミかな。当然のように全種類コンプするのか…。まだ入り口付近なのにもうカゴが満タンだよ。あ、ほら試食出来るってさ。貰うだろ？。んぐんぐ…うん美味い。何だろ、ビールが欲しくなるなこれ…飲めないけど。これも全種類？え、なに？実家の店頭に並べるつもり？。痛い爪楊枝はかなり痛い！
店員,お客様。そういったプレイは家に帰ってするのが人間のルールだろう
