片桐早苗,あら泉ちゃん。今日は、さくらちゃんや亜子ちゃんは？
泉,あ、早苗さん。おはようございます。今、待ち合わせしてるところなんです
早苗,そうなんだ。ところで、泉ちゃんには年齢的にまだちょっと早いかも知れない話題なんだけどね
泉,なんでしょうか？
大石泉,15
早苗,自宅にサーバーがあったらな……って時々、思うのよね
泉,！わかります！
早苗,そうなの。でも、置く所がねえ……
泉,ええ！
早苗,常に冷やしておかないといけないし
泉,そうなんですよね！
早苗,あれ？泉ちゃんサーバーに興味あるの？
泉,もちろん私もまだ自宅には持ってないんですけど、将来的な購入の検討含めてをサーバーには関心があります
早苗,そうなんだ。これは成人後が楽しみね
泉,ところでサーバーにも、色々あるじゃないですか
早苗,え？あ、そうね。いろんなメーカーがあるわよね
泉,選ぶポイントはどこだと思いますか？
早苗,まずはやっぱり、容量
泉,大事ですよね
早苗,できるだけ、大容量のものがいいわね
泉,もちろんです！
早苗,それから、質も大事
泉,はい
早苗,信頼性のある所のがいいわね
泉,いわゆる可用性は、気になりますよね
早苗,わかってるじゃないの、泉ちゃん
泉,実は前に、実物を見る機会がありまして
早苗,ほうほう
泉,専用サーバーなんですけど、フォールトトレラントがいいなあって
早苗,？ああ、レストランのサーバーね
泉,フォールトトレラントって、レストランって略すのが通なんだ……
早苗,レストラン用のサーバーってあるのね……
泉,内部が完全に二重化してるんですよ
早苗,つまり、２種類の中身が楽しめるのね！
泉,そうなりますよね
藤原肇,あら？お２人でなんの話ですか？
泉,あ、肇さん
早苗,今ね、サーバーの話題で盛り上がっていたのよ
肇,さ……ば？ああ、鯖ですね！
泉,肇さんも、興味があるんですか？
肇,ええ。私、釣りが趣味なんですよ
泉,えっ！？釣りが？
肇,意外に思われがちなんですけど、陶芸だけじゃなくて釣りも大好きなんです
泉,本当に意外です
肇,だけど、楽しいんですよ？まず餌をまいて
泉,自分から餌をまくなんて、なかなか本格的ですね！
肇,そうですか？
泉,でも、なるほど。釣りをするなら、基本かも知れないですね
肇,はい。やはりその餌に群がってくるわけですから
泉,なるほど、なるほど
肇,まいても全然、よってこない事もありますけど
泉,ところで、釣ったらその後はどうするんですか？
肇,私は、魚拓をとってますね
泉,スクショじゃなくて魚拓を！？
肇,はい、魚拓を。スクショ……？
泉,すごい……肇さんプロだ……プロに違いないわ！
肇,とった魚拓は、後から眺めて楽しんだり
泉,それは相当な釣りの通ですね
肇,そんな……そう言われると、恥ずかしいですね
泉,そういうのって、個人プレーでやってるんですか？
肇,うーんと……そういえばこの間、七海ちゃんと釣りをしましたよ
泉,浅利さんと、ですか？
肇,結果は残念だったんだけど、とても楽しかったですね
泉,釣れなかったんですか
肇,はい。でも、２人でのんびりして
泉,そういうのもいいですね
肇,そういえば、あの七海ちゃんがいつも持っているヌイグルミさんね
泉,ああ、あの魚の
肇,お名前、サバオリくんって言うんですって
泉,サバオチくん……とはまた、ヘンって言うか……変わった名前ですね
肇,うん。一般的には良くないっていうか……恐いイメージのある言葉よね。鯖折り
泉,鯖落ちは恐いです！
相川千夏,あら、フランスの話題？
肇,え？あ、千夏さん
泉,今、サーバーの話をしていたんですけど、フランスに関係あるんですか？
千夏,ええ。フランスではね、挨拶の言葉はサヴァって言うのよ
泉,フランスではそんなにサーバーが定着しているんですか！？
千夏,そうよ。サヴァっていうのは、フランスでは元気って意味なんだから
泉,知りませんでした……
千夏,挨拶でサヴァって言われたらサヴァビアーンって返事するの
泉,そんなにもサーバーが！
大和亜季,お、みなさんで何のお話ですか？
三好紗南,盛り上がってるね
肇,あ、亜季さん。紗南ちゃん
泉,今、みんなでサーバーの話をしていたんです
亜季,サーバ……おお、サバゲーですか！？
泉,サーバー……ゲー？ゲーってなんの略ですか？
紗南,サバゲーのゲーは、ゲームのゲーだよ
泉,つまりサーバーでゲームを……そうです。その話です！
亜季,自分は、サバゲーには自信があります！
泉,そうなんですか？
紗南,こないだね、FPSをやってみてもらったんだけど、やっぱり亜季さんすごい上手だったんだ
亜季,FPSはある意味、なれたものですからな
泉,FPS……framepersecondですね！。動画を構成する個々の静止画の1秒間当たりの連続表示回数に慣れているなんて、亜季さんも相当プログラムやる人なんだ
亜季,状況に応じた判断と的確な動きが、サバゲーのキモであります
泉,FPSはやはり回数が多い方が、滑らかな動きになるんですよね
亜季,経験が判断と動きの速さにつながるというの点において、その意見には全面的に同意するところであります
紗南,？ええと、泉さんもFPSやる人なの？
泉,そうね、必要に応じて
亜季,それは今度、お相手願いたいですなあ
泉,ぜひ参考にさせてください！
紗南,うわあ。まだまだ事務所にも、知られざるゲーマー仲間がいるんだなあ
荒木比奈,なんだか盛り上がってるっスね
神谷奈緒,なんの話をしてるんだ？
泉,あ、比奈さん奈緒さんおはようございます。今、サーバーの話をしていたんですよ
比奈,サーバ……？あ、もしかして！
奈緒,サーバルちゃんのことか？
泉,あ、はい。そうですね、ちゃんをつけると可愛く感じますよね
比奈,可愛いっスよね、サーバルちゃん
奈緒,なんか残念な情報も流れてきてるけどなあ
泉,なんですか？残念な情報って？
比奈,ああ……たつき監督の件……っスね……
奈緒,たつきさんがいなくなるのはイタいよな……
泉,え？Cookie？Cookieがなくなるんですか！？
比奈,そういうことっス。アタシらもショックで
奈緒,どうなっちゃうんだろうなあ
泉,Cookieがなくなっちゃったら大変じゃないですか！
比奈,おや？泉ちゃんも、興味ある話題なんスね
奈緒,なんか意外だな
泉,だってCookieがなくなったら、ログインすらできないじゃないですか！
比奈,ログイン……あ、ソシャゲの方にも影響あるっスよね
奈緒,たつきさん、なんか版元からは危険だと思われてたみたいなんだよな
泉,確かにCookieを危険だと思っている人も少なくないです
比奈,みたいっスよね
泉,Cookieは機密性が高い情報を暗号化されていない場所に保存してることで危険と言いたいみたいですけど、でも私はそれは違うと思うんです
奈緒,というと？
泉,そもそもCookieがセキュリティに問題ある以前に、パソコンやサーバーがセキュティ対策を行っていないことが問題で、それを全部Cookieの危険性の問題にするのは間違っています！
奈緒,そうだな！たつきさんは悪くない！！
比奈,いやー、そういう視点から意見をもらえたのは嬉しいっス
泉,またこういったお話、みんなとしたいです
早苗,なんだか途中からよくわからない話もあったけど、今日は盛り上がったわね
肇,はい。楽しかったです
