パパ？？,あれ、留未穂、まだ起きていたのかい
留未穂,あれ……なんで泣いてるんだろう……もう……
フェイリス,今さら寂しくなんて……ないニャ……
ダル,ふっ、残念だな、まゆ氏。僕はそんな手には乗らない！
まゆり,ふえぇ、またリンクカード取られちゃったよう……
フェイリス,もー、まゆしぃは顔に出過ぎなのニャン
まゆり,ええー、そうなのぉ？まゆしい知らなかったよー
ダル,これで僕の勝利は決定的……。あとひとつ……フェイリスたんに勝てば、フェイリスたんの手料理……
まゆり,まだだよー、まゆしぃはまだ諦めないのです。あー、負けちゃったのです
ダル,よっしゃああああああ。じゃあさっそく、フェイリスたん、勝負だ！
フェイリス,ダルニャン、やる気満々だニャン！フェイリスは嬉しいのニャー
ダル,うおおおおおおお、フェイリスたんの上目遣いきたああああああ。でも、勝負は手加減しないのだぜッ
フェイリス,もちろんだニャン。じゃあ、はーじめーるニャーン！。ダルニャンどうしたのニャ？ダルニャンの力はその程度なのかニャ？
ダル,くおおおお、まだ負けん、まだ負けんぞおおおおお！どうしてもフェイリスたんの手料理が食べたいんだあああああ
岡部,まったく、うるさいぞダル。そもそも、そこにいるのはフェイリスではなく、秋葉留未穂だぞ
ダル,オカリンうるさい！それにフェイリスたんはフェイリスたんなんだぞ！
岡部,いやあ、違うなあ。そこにいる猫耳小娘は、紛れもなく秋葉留未穂なのだッ！
フェイリス,ちょっと凶真ー、何言ってるのニャー！フェイリスは、フェイリスなのニャ
ダル,そうだそうだー！もーまったく、オカリンのせいで集中力切れちゃうだろ！これで負けたらどうしてくれるんだッ！
フェイリス,ニャー？ダルニャン、それは違うニャ。凶真による妨害工作――混沌の囁きカオスウィスパー
ダル,くっ……、フェイリスたんに否定されるなんて……感じちゃうッ
岡部,変態は自重しろ
フェイリス,みみ……せん……？
ダル,フェイリスたん、どうかしたん？。な、なに！？じゃあ、僕が勝ったら手料理はどうなるのですか！？
フェイリス,フェイリスは負けないから大丈夫ニャ
ダル,うぐおっ
岡部,ふむ、そうか。では我々は、退散する準備をしておこう
まゆり,えへへー、フェリスちゃんのお家はとっても楽しいねー。また来たいのです
フェイリス,もちろん大歓迎だニャン！いつでも遊びに来るニャ。ニャー、これでフェイリスの勝ちニャ
ダル,うおおおお、フェイリスたんつええええええ。全く太刀打ちできないっす
フェイリス,ふふっ、もっと褒めてもいいのニャ
ダル,フェイリスたんの上目遣い……今日だけで何回目かお……もう今なら爆死してもいいお
岡部,馬鹿なこと言ってないで、早く出る準備をしろ、ダル
フェイリス,本当にゴメンなのニャー。また遊びに来てほしいニャ！
岡部,気にすることはない。当然だ。また遊びに来る。次に会う時は、俺の偉大さに畏怖を覚えるがいい
フェイリス,ニャフーン、嬉しいのニャー。フェイリスも、黄昏時にのみ存在する九番目の水路にいるとされるあの仙人の元で、修行を積んで待っているのニャ
岡部,おおそうか。じゃあまたな
フェイリス,もー、凶真は冷たいのニャー！
まゆり,フェリスちゃん、またねー
ダル,僕はこの聖地に、必ず戻ってくるお！それまで待ってるんだお！
まゆり,なんか今日のフェリスちゃん、変だったねー
ダル,うん。なんか突然雰囲気が変わった感じがあったお
まゆり,オカリンは何か知ってるー？
岡部,……いや、分からんな
まゆり,オカリンどうしたの？難しい顔してー
岡部,ん？何でもないぞ。少し小腹がすいたなあと思っていたのだ
ダル,お、じゃあ早く帰って、ラボでカップ麺でも食べるお
まゆり,ジューシーから揚げもあるよーー！！
岡部,フッ、そうだな
紅莉栖,遅い。ラボで一人私を待たせて何してたんだ。だ、だって、朝の六時にメールされても……ほとんど頭回らずに返したわけだが……
岡部,そんな朝に突然フェイリスから連絡が来たのだから、仕方なかろう。それに、まゆりもダルもちゃーんと来たのだぞ？
紅莉栖,は、橋田はフェイリスさんだからでしょ？大体……
まゆり,まあまあ、オカリン、紅莉栖ちゃんはオカリンに会えなくて寂しかったって言ってるんだから、優しくしてあげなきゃ駄目だよ？
紅莉栖,ふぇっ！？そ、そんなこと誰も言ってな……
ダル,じゃあ牧瀬氏は寂しくなかったん？
紅莉栖,そ、それは……
ダル,爆発しろ
まゆり,ほらー、オカリン分かったー？
岡部,だ、大体貴様はいったいいつまで日本にいるのだ！実験大好きっ娘が研究をおざなりにしていいのかあ？
紅莉栖,だから、学会の用事で来たって言ってんでしょ！？大体何よそれ……早く帰れって言うの？
岡部,お、俺の方から来てくれと頼んだ覚えはないが？
まゆり,オカリン！そんなこと言っちゃだめだよ。もう素直じゃないんだからあ
ダル,仲直りしたと思ったらまた喧嘩ですか……もう、手の妬ける子ねえ！
紅莉栖,……あんたに悪意はないって分かってるけど……、ちょっと出てくる
まゆり,あ、紅莉栖ちゃん！待ってー。もう、オカリン？ちゃんと素直に言わなきゃだめだよ？
ダル,まあ、この二人の夫婦喧嘩はいつものことですしおすし。どうせすぐ仲直りするっしょ
岡部,ふ、夫婦喧嘩などでは……。……俺も少し外へ出てくる
まゆり,紅莉栖ちゃんに会ったら、ちゃんな謝りなよ？
岡部,……フェイリス
フェイリス,ニャッ？凶真……
岡部,用事があるのでは、なかったのか？
フェイリス,あ、あれニャ？あれ、フェイリスの勘違いだったのニャー。ニャハハハハ
岡部,フェイリス……先ほどから様子がおかしいが、どうかしたのか？
フェイリス,……実は……。明日ファンタズムのライブに行くって言ってた友達に、ドタキャンされちゃったのニャー！。チケットが余っちゃって困ったのニャー！
岡部,な、なんだそれは。心配して損したではないか
フェイリス,ニャー！ドタキャンされる苦しみを、凶真は分かってないニャ！
岡部,ふむ、それはそうとファンタズムというと、あのFESとかいう……
フェイリス,そうニャ！あの独特で美しい歌声は聴く人の心をハッキングしちゃうんだニャ！まさか凶真も興味があるニャ！？
岡部,ふむ、まあ人並みにはな
フェイリス,じゃあ、明日一緒にライブに行くニャ！駄目かニャ？
岡部,ま、まあ、余っているというのなら、一緒に行ってやらんでもないぞ。たまたま空いている日だったからな
フェイリス,やったニャー！じゃあ詳しいことはまた後でメールするニャ！凶真とデート嬉しいニャー！
岡部,デ、デートなどと言った浮ついたものではない！
凶真が,どうかしたのか
