橘ありす,さて……、今日の午後は時間がありますね……なにをしましょうか……
ありす,……あ、そういえば新曲のサンプルをいただいたんでした。休憩しつつ聴いてましょう。……。……あ、あれ？。イヤホン、片方聴こえない……。……。壊れ……ちゃいました……。えっと、たしかあっちの棚に保証書を入れてたような……。……あった！保証期間は……。よかった……！あれ？下に小さい文字が……。はあ！？。く……、なんで保証に同伴者の指定があるんですか……！。無料交換はありがたいですが、そのためにフレデリカさんに同伴を頼むのも癪ですし……。ちなみに今日のフレデリカさんの予定は……。すでにこの展開を予見している！？
宮本フレデリカ,呼ばれて飛び出てフンフンフフーン！
ありす,呼んでないです！！！
フレデリカ,つれないねー？
ありす,どんなタイミングの良さなんですか……
フレデリカ,ありすちゃん、今からヒマかな！
ありす,一応聞くんですね
フレデリカ,なんと！あの346デンキが“りゅにゅーうゃるうぉーぴゅん”したんだよ！
ありす,1文字もまともに言えてませんけど
フレデリカ,噛んじゃった！もう一回いいかな？
ありす,いや、リニューアルオープンってことは伝わったので別に……
フレデリカ,にゃんと！あにょ346デンキぎゃ“リニューアルオープン”したんじゃよ！
ありす,さっき言えてた部分を軒並み噛んでる！！！
フレデリカ,どうかご慈悲を！
ありす,そんなに怒ってませんけど！？。……あれ？リニューアルオープンだから誘ってるんですか？イヤホンが壊れたからではなくて？
フレデリカ,え？イヤホン、壊れちゃったの？
ありす,壊れるタイミングを知ってたのかと思ってしまいましたよ
フレデリカ,いやいや～、流石に予言は、今日のフレちゃんじゃ無理だよ～
ありす,今日“の”……？
フレデリカ,そっか！じゃあちょうどいいね！
ありす,でも、リニューアルオープンって……、何が変わったんですか？
フレデリカ,売り場面積が1.005倍に！
ありす,よくその規模でリニューアルを名乗れますね！？
フレデリカ,品ぞろえも充実したんだよ！
ありす,まあ、そのあたりは現地で説明してもらうとして……
フレデリカ,うんうん！じゃあ行こっか！
ありす,そうしましょうか
フレデリカ,右手を繋ぐ？左手？
ありす,なんで手を繋ぐ前提なんですか！
フレデリカ,あ！タクシーフレデリカをご所望かな？かな！？
ありす,もう！ふざけてないで早く行きますよ！
フレデリカ,あ～、まって～！。とうちゃく～♪
ありす,はいはい、早く1階から説明していってください
フレデリカ,え！？いいの！？
ありす,どうせいきなり目的の階に行こうとしても、１階から解説させて～とか言うんでしょう？
フレデリカ,似てないね！
ありす,似せてません！
フレデリカ,この階はいろいろあるよ～！まずはこれ！
ありす,パソコンのマウスですか……、でも色が……穂乃香さんの好きなぬいぐるみの色のような……
フレデリカ,おお！勘がいいね！ちょっとクリックしてみて！
ありす,はい……。……
フレデリカ,かわいい声でしょ！
ありす,いや、卯月さんの声……
フレデリカ,かわいい声でしょ！
ありす,だから、これ卯月さんの
フレデリカ,かわいい声でしょ！！！
ありす,もう！わかりましたから！
フレデリカ,それだけじゃないよ！スクロールする時みたいにホイールを回してみて！
ありす,まだあるんですか？。うるさい！！！
フレデリカ,１個だけ売れたんだよ！
ありす,誰が買ったのか丸わかりですけど！？
フレデリカ,続いてこの電卓！
ありす,見た目は普通ですね
フレデリカ,“１”を押してみて！
ありす,はいはい。あ！志希さんの声……ですか？
フレデリカ,うん！次も押してみて！
ありす,“２”ですか。飛鳥さんですね
フレデリカ,そう！その数に対応したアイドルが読み上げてくれるんだよ！
ありす,へぇ……！これは売れそうですね！３も押してみましょう。あれ？
フレデリカ,これは美優さんだね！
ありす,……言わないんですか？
