黒井社長,以下、黒井
P,何のパーティーをするんですか？
黒井,……冬馬のバースデーパーティーだ
P,冬馬の？
御手洗翔太,以下、翔太
P,いや、俺は俺で祝ってやろうと思ってたけどさ。黒井社長、それって765プロ全員へのお誘いって事ですか？
黒井,ウィ……まさしくその通りだとも
Ｐ,……随分と派手にやるつもりなんですね？
黒井,うむ、それには理由があってだな。冬馬、明日の予定は覚えているな？
天ヶ瀬冬馬,以下、冬馬
黒井,分かっているなら良い
冬馬,よっし……それなら、レッスンに集中できるな
黒井,レッスン？自主レッスンでもするのか
冬馬,ああ、今納得いってねえ振り付けがあってさ。それを何とかするために、明日は夜まで自主レッスンする予定なんだ
黒井,朝まで？他に用事はないというのか
冬馬,ねぇよ、コイツを何とかするまで引き下がらねえって決めたんだ。おっさん待っててくれ、コイツをマスターして王者に返り咲いてやるぜ！
黒井,……お前、明日が何の日か覚えていないのか？
冬馬,ん、なんのことだ？
黒井,…………
P,そ、それじゃあ冬馬は……
黒井,ああ、自分の誕生日である事すら忘れているようだな
翔太,冬馬君、最近ずっとレッスンしてるんだよ？
伊集院北斗,以下、北斗
Ｐ,レッスン漬けなのか……？随分と真剣みたいだな
北斗,真剣にも限度がありますよ……。ちょっとは肩の力、抜いても良いと思うんですけどね
黒井,という訳で、だ！折角なら、派手にやってやろうと思ってな
翔太,黒ちゃん、誕生日に寂しそうな冬馬君放っておけなかったんだよね！
黒井,う、うるさい！そんな訳ないだろうが！
Ｐ,別に隠さなくても良いじゃないですか、良いと思いますよ？
黒井,……ふん、別に善人になりたい訳ではない。ただ、固執し過ぎて良くなる事など極稀だからな
Ｐ,息抜きも兼ねてるのか……分かりました
P,でも、なんで俺たちに？あれだけ嫌ってたじゃないですか
黒井,わ、私だってお前たちなどに頼りたくはなかったのだ！。ただ……北斗がな
P,北斗が？
黒井,どうせなら女性と祝った方が華やかだろうと言ってな
P,北斗……
北斗,事実でしょう？パーティーには華がないとね☆。それに、大人数の方が盛り上がれるだろうし
黒井,……まぁ、冬馬を祝うのだ。華々しい事に越した事はないと思ってな
翔太,それでそれで！プロデューサーさん、どう！？
P,俺は良いけど……春香、どう思う？
天海春香,以下、春香
春香,でも、皆がなんて言うか……
P,それもそうか……それじゃ、一緒にお祝いしてもいいってメンツだけ集まってお祝いするか
春香,分かりました、連絡しておきますね！。あっ、黒井社長！お願いがあるんですけど……
黒井,む、なんだ？
春香,冬馬君の誕生日ケーキ、私に作らせてもらえませんか！？
黒井,ケーキを？
春香,はい！折角のお祝いですから！
黒井,ふむ……
P,春香のケーキは絶品ですよ、俺が保証します！。……まぁ、この前は砂糖と塩間違えてましたけど
春香,わ、忘れてくださいよぅ！
北斗,黒井社長、良いんじゃないですか？。女性の手作り程、美味しいものはないですからね
黒井,北斗……うむ、そうか。では、任せるとしようか
春香,はい、任されました！
P,どこでやるかは決まってるんですか？
黒井,うむ、ウチの小会議室を貸し切って行おうと思う
P,961プロでやるんですか？
黒井,冬馬には、社長室に大事な用があると呼び出す予定なのだ。そこから案内すれば、怪しまれる事もないだろう？
P,なるほど……
春香,あのぅ、ケーキは作ったのを持っていった方が良いですか？。大人数で食べる量となると、一杯焼かないといけないかも……
翔太,なら、ウチの調理室使えばいいよ！ね、黒ちゃん！
黒井,うむ……そうだな
春香,い、良いんですか！？
Ｐ,というか、なんで会社にそんな調理室が……
黒井,弱小765プロと一緒にするんじゃあない、このくらいは当然の事だ
北斗,料理をする人がいれば、の話ですけどね
翔太,たまには冬馬君のカレーじゃないのも食べたいよねー
黒井,……まぁ、それはそれとしてだ。少なくとも、設備に関しては足りている事は保証しよう
春香,そ、それじゃあ……どんなケーキにしようかな
翔太,僕、チョコケーキが食べたいな！
