・龍驤は自身の体型に不満を持っている描写は無い,ゲーム中の設定
・龍驤は無差別おっぱい星人,本作オリジナル設定
龍驤,……。！？
龍田,捕まえた～♪
龍驤,！？！？！？
龍田,うふふ……この間はいっぱいシてもらったから……
龍驤,……！！！
龍田,お返しに、い～っぱい、可愛がってあげるからね～……
龍驤,……
龍田,あら？
龍驤,……
龍田,！？。きゃあっ！？。突然体が膨らんだと思ったら破裂した！？一体何が……！？。っ！？
龍驤,えへへぇぇぇっ……
龍田,んぁっ！？ど、どうしてっ……今のは……！？
龍驤,あぁ、これこれ
式神龍驤1,ﾆﾔﾆﾔ
式神龍驤2,ﾆﾔﾆﾔ
龍田,んんっ……ひぃぃっ！
龍驤,便利やろ？こういう使い方もあんねんで～。まぁ、簡単に破損するから戦闘には使えんけどな
龍田,ひゃあっ！？ひぃぃっ！
龍驤,さて……ウチに何しようとしてたんかな～？
龍田,っ……！！。ひゃぁぁぁぁああああんっ！！！。……あひぃっ……///
龍驤,今日は遠征はなかった筈や。入渠さしといたし、まぁ大丈夫やろ。さて、雨でも風でも無関係！。今日も揉むで～！
朝潮,……
龍驤,おっ。おーい朝潮ー！
朝潮,むっ、龍驤さんでしたか。どうしかましたか？
龍驤,ちょっとな。時間ある？そんなにはかからんから
朝潮,えぇ。何のご用でしょうか？
龍驤,ウチと一つ、勝負をせえへんか？
朝潮,！。えぇ！望むところです！
龍驤,そう、キミは受けざるを得ない……！"勝負はいつでも受けて立つ"と公言してるキミには……！。勝負を持ちかけられて、断るという選択肢はない……！
朝潮,それで、勝負というのは？
龍驤,我慢大会や。今から30数えるまでに、声を出さんかったら、キミの勝ちや。間宮で好きなモン奢ったるで！
朝潮,わかりました！いつでもどうぞ！
龍驤,よし、ではスタートや！
朝潮,！！？？
龍驤,1……2……3……
朝潮,っ……！
龍驤,4……5……6……7……
朝潮,……っ！……っ！！
龍驤,民間の一部では、"朝潮型はガチ"と言われるほど、その容姿の幼さが生々しい朝潮型……。その一番艦朝潮とて、例外ではない……ウチや睦月姉妹や暁姉妹とは違ったロリ感があるな……。それを……未発達ぱいを、征服する感覚！薄いぱいが、この手で弄り倒される感覚！。溜まりませんなぁ～……
朝潮,これ……頭が……痺れて…………気を抜いたら……すぐに声、出そう……
龍驤,21……22……にじゅうさーーーーーーーーーーーーーーーーーーーーーーーーん
朝潮,！？
龍驤,……………………にじゅうよーーーーーーーーーーーーーーーーーーーーーーん
朝潮,そ、そんな……！こっ……こんなの反則っ……！！
龍驤,"30数える"とは言うたけど、"30秒数える"とは言うてへんでー！。25……26……
朝潮,で、でも……あと3つ……
龍驤,27……28……
朝潮,きゅっ！？急に、はげっ……しくぅっ……！！！
龍驤,29……
朝潮,がまん……できなっ……！！
龍驤,さ……
朝潮,ふぁっ……ぁぁぁあっ！！
龍驤,あぁ、惜しかったなぁ。あと一つやったのになぁ～
朝潮,う……あ……
龍驤,では負けた朝潮には罰ゲームなー！
朝潮,！？
龍驤,うりうりうりー！
朝潮,ぅあっ！？んっ！くぁぁっ！！
龍驤,もう我慢する事もないってか！でももうちょっと抑えんと周りにばれるでー
朝潮,んぅっ！あぁんっ！！
龍驤,あぁ、聞こえてへんな。んじゃ！
朝潮,んあああああっ！。ひぃっ……ひぃぃっ……
