依田芳乃,つまりー、ツクヨミがウケモチに会いに行った際にー、ウケモチが口から食料を出し接待したのが、この度の異常気象の始まりでしてー
杜野凛世,……わかりました
如月千早,けどねぇ……
真壁瑞希,何故、真壁達を指名で？
高森藍子,……
芳乃,ほー。それはー。卑猥な行動を取るアマノスズメ＝おっぱいがおっきい
四人,やっぱりか！！
夢の中で、護衛艦,くらま
日本神話について,極めて
園田智代子,もうすぐ夏葉ちゃんのお誕生日だね
西城樹里,あぁ……もうそんな時期か。しっかし、お盆のシーズン生まれとは変な時に生まれたなぁ
凛世,人は生まれと親は選べません。でも人格の成り立ちはそれからでも遅くはありません。つまり凛世とプロデューサ
小宮果穂,はいはーい。じゃあ、その日はいっぱい夏葉さんをお祝いしないとね！
有栖川夏葉,ちょっと？みんなでおしゃべりしてないでレッスンはどうしたの？
智代子,それが……
凛世,この暑さでエアコンが壊れてしまい、レッスン場が
樹里,サウナより暑くなっちまってるんだよなぁ
果穂,プロデューサーからしばらくはビジュアルのみって言われてて……
夏葉,ボーカルレッスンはどうしたのよ？
樹里,同じく暑さで器材故障中だとさ
凛世,誰か……呼んでる？
智代子,えっ？凛世ちゃん？
夏葉,ちょっとどこへ
樹里,凛世……？
智代子,消えた……？
瑞希,……うまくいきません
福田のり子,暑さでマジックのタネが壊れたか？
高坂海美,外が暑すぎるせいでプールも使えないからねぇ
高山紗代子,はーりー君もダウンしてますし……
中谷育,これじゃあ、みんなダウンちゃうよ
千早,瑞希はいるかしら？
瑞希,真壁ならここに……壁ならそこに
みんな,……突っ込みづらいなぁ
千早,ちょっと呼び出しがあったみたいだけど、そっちは
瑞希,あ……何か来ましたね
海美,え？何か来た？
のり子,誰か来たか？
千早,大丈夫よ。迎えなら
紗代子,えっ？何これ……床が
育,これって、いつも静香ちゃん達がワープしてくものかな？
最上静香,事務所についたかしら？
育,え？ほんとに静香ちゃん？
芳乃,申し訳ございませぬー、千早殿と瑞希殿を迎えにきましたー
瑞希,しゅっぱつ
千早,じゃあよろしくね
静香,お気をつけてー
のり子,いったい……
紗代子,なんだったのかしら……
静香,あ、皆さんに淡雪と団子のおみやげですよ
育,わーい
芳乃,というわけでー、アマテラスの力を抑えるのにツクヨミの助けが必要でしてー
藍子,あのー、芳乃ちゃん？
芳乃,はいー？
藍子,なんで私たちアイドルがやらなくちゃだめなのかなぁ？
芳乃,それはー、アマノウズメが日ノ本で最初に結婚した夫婦なのですがー
凛世,つまり、プロデューサー様と凛世は夫婦になるのは確定ということですね！
瑞希,プロデューサーと……(///)
千早,夫婦……(///)
三人,(///)
藍子,えっと、でもそうすると私は
芳乃,処女でも非処女でも関係なく、小さいことは希少価値があるのでしてー
藍子,はぁ……
凛世,……。藍子さん……
藍子,凛世……さん？
凛世,あ……えと、藍子のプロデューサーさんとはまぐわいの関係ですか？
藍子,ぶぅー！！
千早,っ！！？
瑞希,ほほぅ
藍子,あ、あのね……その
凛世,大丈夫です。秘密は墓まで持って行きますので
瑞希,ん……
千早,……
藍子,あー、えーと。ど、同棲して……ます(///)
凛世,……凛世もいつかはプロデューサー様と
芳乃,いちゃらぶ話はそこまででしてー
緒方智絵里,道案内は、ジモッティーな私こと大天使チエリエルがご案内だよ
千早,えっと、智絵里さんってそんなキャラでしたか？
智絵里,いっけなーい、えへ
千早,……作り過ぎよ
瑞希,きゃらですね
芳乃,冗談はさておき出発でしてー
千早,で、お伊勢さんまで行ってどうするのかしら？
真壁,サシでタイマンですか……？
藍子,さすがにそれは……
凛世,プロデューサー様と夫婦になる為なら、神にも戦いを挑みましょう
智絵里,あの……そういうわけじゃなくて…えっと……
芳乃,それですがー
真壁,意外に簡単ですね
藍子,そこに至るまでの道中が大変とかですか？
芳乃,いえいえ、普通に伊勢神宮の内宮まで参るだけでしてー
凛世,それなら、プロデューサーの帰宅までには夕餉の支度できそうです
芳乃,奉納後は何が起こるか、予想もつきませんがー
藍子,……え？
芳乃,ではー、まずは牛と馬を入手するのでしてー
藍子,えっと一匹まるごとですか？
芳乃,いえいえー
二階堂千鶴,ふぅ、今日はお盆だし、お客さんもあんまり来ないなぁ
千鶴,はーい、いらっしゃいませー
