モバＰ,以降Ｐ表記？次は必ず…見てなさい
ちひろ,お疲れ様です。終わりましたか？
Ｐ,ええ、大体のネタスレ巡回は
ちひろ,働けよ
Ｐ,失礼な。仕事のほうは出社前に終わらせましたよ
ちひろ,何しに来たんだよ。…まぁいいです。私も丁度片付いたところですし、たまには飲みにいきませんか？
Ｐ,ちひろさんに飲まされるのは煮え湯と苦汁でしょうかね
ちひろ,ここに貴様の作ったばかりのガンプラがあります
Ｐ,やめろォ！完成したばかりの小日向ベアッガイ！！
ちひろ,まったくもう。暑い日が続きますし気を使って誘ったらこの憎まれ口ですよ
Ｐ,単にちひろさんに飲み仲間がいないだけ…あっスンマセン謝りますからプラモ離して
ちひろ,ほんとにもう…。じゃあ着替えてきますから
Ｐ,またいつもの店ですか？
ちひろ,ええ、そのつもりですけど。何か？
Ｐ,いや、今日はあそこのスタンプカード持ってきて無いなぁ、って
ちひろ,私が持ってますから大丈夫ですよ。それじゃあお疲れ様です
Ｐ,はい。お疲れさまでした。じゃあまた明日
ちひろ,また後で！
Ｐ,すいませーん。２名、席空いてます？
店員,いらっしゃい。すぐに案内する
ちひろ,世間はまだ夏休みだからでしょうかね。結構混んでますね
Ｐ,夏休みかぁ…遥か昔にそんなものもあったような気がしますね
店員,こちらの席に座るといい。お冷とおしぼりとお通しを持ってくるのが居酒屋のルールだろう
Ｐ,なんだろう、凄く聞き覚えのある声の店員さん
ちひろ,座敷が空いてて良かったですね。荷物こっちにまとめて置いておきましょうか？
Ｐ,お構いなく
店員,待たせたな。お冷とおしぼり。それと本日のお通しだ
ちひろ,あ、先に飲み物の注文いいですか？
店員,イッテイーヨ
ちひろ,生中１つ。あと、どうせコーラですよね？コーラお願いします
店員,マッテローヨ
Ｐ,明日も仕事なんですから程々にお願いしますよ
ちひろ,ちゃあんと節度ある飲み方しますから大丈夫ですよ。あっ、お通し玉子豆腐ですね
Ｐ,個人的にワサビが乗せられてるのがポイント高いですね
店員,飲み物、お待たせした。生中は
Ｐ,そっちの守銭奴です
店員,コーラの注文は
ちひろ,そこのハイライトうっすいのです
店員,ではごゆっくり
ちひろ,それじゃあ、本日もお仕事お疲れ様でしたという事で
Ｐ,かんぱーい
ちひろ,かんぱーい
Ｐ,痛い痛いグラスが冷たい痛い
ちひろ,ぷはぁーっ
Ｐ,この１杯のために社畜してる
ちひろ,アンタほとんどゲームとガンプラで遊んでるじゃないですか
Ｐ,失礼な！アイドルでも遊んでますよ！
ちひろ,そこはせめてアイドルと
Ｐ,まずは何を頼みます？最初は手堅く枝豆とかにしましょうか
ちひろ,スルーしなさんな。豆腐サラダにしようかと思ってたんですけどお通しで豆腐が出てきちゃいましたし…。あ、この海老サラダなんてどうですか？
Ｐ,おっ、サラダ頼む私女子っぽいアピールですか
ちひろ,絶版にしてやろうか
Ｐ,ヒィッ
ちひろ,おつまみ系にもう１つ２つ欲しいところですね…チーズの盛り合わせとかどうです？
Ｐ,ああ、この前及川牧場からアホみたいにチーズが送られてきたので…
ちひろ,じゃあ、この漬物の盛り合わせは…
Ｐ,先日つかさからアホみたいな量の漬物のおすそ分けが
ちひろ,食べ物に困らなくて良いですね、プロデューサーさんて
Ｐ,本当ですよ。肇の実家からはお米貰うし時子ん家からは肉が送られるし他にもドーナツとか焼きまんじゅうとかパンとか焼きまんじゅうとか…
ちひろ,失業しても食には不自由しそうにないですね
Ｐ,不吉なことを。生涯現役でいるつもりなんですけど
ちひろ,いいじゃないですか。例えクビになっても養ってくれそうな相手がゴロゴロいる訳ですし
Ｐ,ハハッ、割と洒落にならない
ちひろ,すいませーん。注文お願いしますー
店員,はいよー。ノリノリで行っちゃうぜー
ちひろ,じゃあ、この海老サラダと塩キャベツと…
Ｐ,チャンジャといぶりがっこください
店員,はい喜んでー
ちひろ,あっ、お刺身の盛り合わせが安いですね。じゃあコレもお願いします
店員,おっ、乗せられちゃう？
Ｐ,取り合えずはそれで
店員,あいよー
ちひろ,このお店ってお刺身にはたまり醤油を出すのが良いですよね
Ｐ,わかるわ
ちひろ,プロデューサーさん結構珍しいもの頼んでましたね。いぶりがっこって何でしたっけ
Ｐ,乱暴な説明すると燻製した沢庵です
ちひろ,へぇ。美味しそうですね
Ｐ,ちよっとクセがあるかもしれませんけど、その分ハマるとヤバいですよ
ちひろ,まるでどこかの社畜さんみたいですねぇ
Ｐ,所属アイドル達ほどクセは無いっすわ
ちひろ,あ、多少の自覚はあったんですね
Ｐ,少なくともアンタよりは一般人のつもりなんですけど
ちひろ,ちょ、私を何だと思ってるんですか！！
Ｐ,ちょ、自分を何だと思い込んでるんですか！
ちひろ,キォオラッ！
Ｐ,カトォ！
ちひろ,サラダ取り分けますね。塩キャベツは各々適当に摘まめばいいですよね
Ｐ,ちょっと待ってください。さっきの中段崩拳で奥歯が割れたんで……あ、治りました
ちひろ,どの口が一般人だとかほざいてるんですか
Ｐ,塩ダレと塩昆布とキャベツのコンボってもう最強ですよね
ちひろ,この前行ったお店は蒸しキャベツに塩昆布混ぜて味噌ダレつけて食べましたよね。アレ凄く美味しかったですよねぇ
Ｐ,確かに美味かったですけど２５歳児とキャッツとバブル婦警の介抱に忙しかった記憶のほうが強くて
ちひろ,プロデューサーさん、あんまり飲まないから自然と酔っ払いの介抱役になっちゃうんですよね
Ｐ,そうですね。誰かさんは早々と酔い潰れたフリしますし
ちひろ,～～っ
Ｐ,口笛吹けないんかい
ちひろ,いぶりがっこ貰いますねー
Ｐ,どうぞ。って言う前に食ってやがる
ちひろ,あっ、確かにちょっと味と匂いにクセはありますけど美味しいですね！ご飯や日本酒が進みそう
