トレ,今日のレッスンはここまで！お疲れ様！。明日もレッスンあるからね。しっかり体調を整えるように
奈緒,うーん、今日も疲れたなァー
凛,うん、最近忙しくなってきたもんね
奈緒,そうだなァ。トライアドプリムスとしての活動も増えてきたしなー
加蓮,私、昔はレッスンとかめんどくさくてサボっちゃったりしたけど、今ではこんなに充実してる...
奈緒,加蓮は人一倍頑張り屋さんだからなァー。そこんところはプロデューサーもちゃんと見ていると思うぞ
加蓮,そうかなー...？そうだと、うれしいな...
凛,奈緒もプロデューサーにちゃんと見てもらいたいくせに
奈緒,なっ、なんだよっ！！そ、そんなわけねェだろっ！！！まったくバカバカしい...
凛,そんなに照れちゃってー、まったく奈緒はかわいいなぁー
奈緒,と、年上をからかうなァーっ！！...あ、そうだ
加蓮,なに？
奈緒,よかったらその...この後、アタシの部屋でアニメ鑑賞会をしないか？
凛,アニメ鑑賞会...？以前も確かやったよね
加蓮,やったね。えっと、何見たんだっけ？
奈緒,秒速5センチ○ートルだよ。1時間だけで手軽だったしな
凛,普段アニメあまり見ないけど、背景がきれいで見入っちゃったよ
加蓮,ぬるぬる動いてたねー。
奈緒,3つの話で構成されてて、それぞれタイトルまでついてるんだ
凛,えっと、3つめのタイトルが秒速5センチ○ートルだったよね
奈緒,そうだなァー。あとの1つめと2つめのタイトルなんだか覚えてるか？
加蓮,うーん...あ、思い出した！1つめのタイトルは桜花抄だったよね？
奈緒,おぉ、よく覚えていたな。その調子で2つめのタイトルも頼むよ
凛,うん。...ダメだ、思い出せないや
奈緒,随分早いな、おい
加蓮,確か6文字で、最後の文字がトだった気がするんだよね...
奈緒,加蓮って結構記憶力あるんだな
加蓮,ん、それほどでもないよ
凛,私、分かったかもしれない...
加蓮,え、本当？
奈緒,お、凛。何だ、言ってみろ
凛,ホシミアオトでしょ？
奈緒,コスモナウトな
加蓮,ねぇ...プロデューサーも一緒にアニメ見てくれるかどうか誘ってみようよ
凛,あ、それいいかもね
奈緒,なっ、一緒にだとっ！？い、嫌に決まっているだろっ！！！大体女の子だけが集まるのに、プ、プロデューサーが入るなんて...
凛,満更でもないくせに
奈緒,だぁーかぁーらぁー、...年上からかうのはやめろって言ってんだろォ！？
凛,プロデューサーってアニメ見たりするのかなぁ
奈緒,聞いてねェし！！...んー、ま、まァ、プロデューサーもアニメ好きだし、よくそのことで話したりするよ
加蓮,じゃぁ、誘ったっていいじゃん。
奈緒,わかーった、わかったからっ！！さ、誘えばいいんだろっ！？誘えばっ！！
凛,奈緒、よろしくね？
奈緒,え、ア、アタシだけでプロデューサーを誘えと！？3人で一緒に誘うんじゃないのかっ！？
凛,年上、でしょ？
奈緒,あァーもうっ！！なんで、そこで年上を使うんだァ～～っ！！！！
加蓮,私たちは近くのコンビニでお菓子やジュース買ってから、奈緒の部屋に行くね
凛,良い報告、待ってるよ
奈緒,～～～っ！！！お、覚えてろよっ！！！
加蓮,それ、よくある捨て台詞だよ
奈緒,う、うっさい！！そんなのわかってるわっ！！！
P,お～、奈緒か。お疲れ～
奈緒,お、おぅ、プロデューサーこそお疲れ
P,最近暑くなってきたしな、レッスンとか無理しすぎるなよ？
奈緒,それなら加蓮にでも言ってやれ。アタシは大丈夫だからさ
P,そんなわけないだろ。もちろん加蓮のことも心配だが、奈緒や凛。それに、他のアイドルたちの体調管理を努めるのもオレの仕事だからな
奈緒,プロデューサー...あ、やっべ、大事なことを忘れてた
P,ん？どうした、何か用事でもあるのか？
奈緒,い、いや無いんだけどさァ...ちょ、ちょっとな...
P,そうか、んじゃオレは作業に戻ろうかな。最近トライアドプリムスが好調で、たくさん仕事の依頼が来ているしな
奈緒,そ、そうか...こ、ここまで来れたのはプロデューサーのおかげだしな...べ、別に感謝なんてしてないんだからなっ！！！
P,おーおー、奈緒からそんな言葉が聞けるとは思わなかったよ。耳福耳福
奈緒,ちょっ、おまっ！...って、耳福とか初めて聞いたぞ...
P,まぁまぁ、んじゃ冷蔵庫に麦茶あるから自由に取っていいからな
奈緒,おぅ、分かった...って、違うっ！！
P,おいおい、一体何だっていうんだ...
奈緒,プ、プロデューサー...よ、良かったら、これからアタシの部屋でアニメでも見ないか...？
P,お、いいね。行きたいね。んで、何見るんだ？
