荒木比奈,そうっスかね？
雫,そうですよ
モバＰ,よう、珍しい二人だな
比奈,あ、プロデューサー
Ｐ,なんの話をしてたんだ？
雫,牛さんの話ですー
Ｐ,牛……
比奈,可愛いと思いまス？牛
Ｐ,いや、特別思ったことはないな
比奈,そうっスよね
雫,可愛いのにー
Ｐ,犬や猫が可愛いのは分かるんだが、牛はな……
比奈,ピンとこないっス
雫,えー、比奈さんから話を振ってきたんじゃないですか
比奈,いやいや、アタシは農業高校が舞台の漫画ある――って言っただけっスよ
Ｐ,錬金術の方が俺は好きだったな
比奈,今も今で面白いとは思いまスけど
雫,もぉー、今は牛さんの話をしてるんです！
Ｐ,だって牛のことよく知らないし
比奈,同じくっス
雫,外見だけでも、つぶらな瞳に細い尻尾、それに反してたくましい肉体……とっても可愛いじゃないですか
Ｐ,そう言われても、実物を見る機会がないからな
比奈,画面越しの世界っスね
雫,……そうだ、実際を見てしまえば良いんですよー。そうすれば牛さんの可愛さが分かるはずです
Ｐ,はっはっは、実際に見れるなら見てみたいもんだ
雫,なら一緒に見に行きましょー
Ｐ,オフが重なれば別に構わんが、近くに牧場なんてあったっけ？
雫,及川牧場に招待しまーす！なんと電車で二時間ですよ
Ｐ,あー……まあ、それくらいなら
比奈,帰ってきたら、体験談をアタシに聞かせてほしいっスよ
雫,比奈さんも来るんですよ？
比奈,え、アタシも頭数に入ってたんっスか
雫,もちろんですー。牛さんの可愛さは、多くの人に知ってもらいたいですから
比奈,まあ、漫画のネタになりそうだし……良いっスかね
雫,決まりですね。普段は見れないもの、見せてあげますよー。私は先に行って準備をしておきますから。これ、うちの場所と電話番号です。分からなかったら電話してください。牛さんと一緒に待ってますよー
Ｐ,普段見れないものってなんだろうな？
比奈,牛のことじゃないっスか
Ｐ,もしかして、雫が牛の格好をして
比奈,反応に困るボケはやめてほしいっスよ
Ｐ,だって他に思いつかないし
比奈,雫ちゃんのことどう見てるんでスか……
Ｐ,牧場で普段見れない――そうか、キャトルミューティレーションだ
比奈,それ見せられたらトラウマものっスけど
Ｐ,ならミステリー・サークルだな
比奈,宇宙人から離れることはできないんでスか
Ｐ,こういうことなら、菜々を連れてくるべきだったな……
比奈,ウサミン星人がグレイ型とは思いたくないっス
Ｐ,菜々の頭が左右に別れて、中から大きな黒目をした銀色の生物が
比奈,菜々さんにちくりまスよ？
Ｐ,おっと、もう駅に着くじゃないか！あれ、なんの話をしてたんだっけなぁ？
比奈,白々しいっスね……
雫,ようこそ、及川牧場へー
Ｐ,今日はよろしくな、雫。そうえば、格好はこのままで良いのか
比奈,アタシなんかいつものジャージなんっスけど……
雫,構いませんよ。あ、なんならツナギとか着てみます？
Ｐ,比奈、着てみたらどうだ？
比奈,そこはプロデューサーが着るべきっスよ。青いツナギ
Ｐ,ここは公園じゃなくて牧場だからな
雫,よく分かりませんけど、牛さんを連れてきますねー。雄の太郎君です
牛,もぉー
Ｐ,い、意外とでかいな……
比奈,えっと、触っても良いっスか
雫,ゆっくり優しく、撫でてあげてくださいねー
比奈,……牛とか初めて触ったス
Ｐ,味もみておけよ
雫,この子は食用じゃありませんよ？
比奈,冗談の一つみたいなもんっスよ
Ｐ,ところで雫、牛といえば牛乳なわけだが
雫,用意してますよー。今日搾ったばかりの牛乳です！ちゃんと殺菌してありますから、飲んでください
Ｐ,なんかよく分からんけど美味い
比奈,そのコメントはどうなんでスか
Ｐ,じゃあ目から光線でも出せば良いのか
比奈,出せるんならぜひとも見たいっスね
雫,さて、今日は特別なものを見せちゃいますよー
Ｐ,特別か……やっぱり雫の牛コス
比奈,本人の前で言ったらだめっスよ
雫,今からみてもらうのは――牛さんの元気な姿です！
Ｐ,え、今は元気じゃないのか
雫,いえ、元気ですよ。だからもぉーっと元気な姿を見てもらいます
比奈,牛の元気な姿……走り回ったりするんっスかね？
Ｐ,もしかして闘牛か！
比奈,ここで出来るものなんっスか
雫,違いますよー。元気な姿を見せてくれるのは、もちろん太郎君ですー
牛,もぉー
Ｐ,太郎と……闘牛？
雫,もぉー、違います。ちょっと待っててくださいねー
Ｐ,比奈、なんだと思う？
比奈,プロレスでもするんじゃないでスか
Ｐ,太郎に超人パワーがあるとは思えんが
牛,もぉー
雫,――よいしょっと。お待たせしました。これを使います
Ｐ,なにこれ。こんな大きいの、よく持ってこれたな……
比奈,首の無い木馬……でスかね？
Ｐ,新体操で使いそうだな
比奈,それじゃあ跳び箱っスか
Ｐ,雫、これは何だ？
雫,これは、擬雌台ですよー
Ｐ,……いや、さっぱり分からんぞ
雫,簡単に言うと、雌の牛を模した台なんです
比奈,全然牛に見えないっス
Ｐ,そもそも何に使う物なんだ？
雫,牛さんの交尾です
Ｐ・比奈,え
雫,もっと言うと、牛さんの精液を搾取するための器具なんです。擬雌台と――この人工膣を使って、牛さんを元気にするんですよー。普段は人の前ではしないんですけど、二人は特別に見せてあげますね
Ｐ,……なあ、俺はどうしたら良いと思う？
比奈,見てあげれば良いんじゃないっスか
Ｐ,担当アイドルの精液搾取とか、どんな気持ちで見れば良いんだよ！
比奈,少なくとも、やましい気持ちは持つべきではないっスね
Ｐ,む、無茶だ……
雫,どうかしましたー？
Ｐ,い、いや、雫はそんなこともしてるんだな、とな
雫,意外でした？でも、私はこれが一番得意なんですよー。ほら、太郎ー、おいでおいでー
牛,もぉー
雫,それじゃあ、太郎、元気出していこうねー
Ｐ,……太郎が擬雌台に覆いかぶさったな
比奈,……細くて尖ってるのが見えまスね
雫,よしよし、良い子良い子。さあ、おちんちんに被せますよー
牛,もぉー
雫,太郎は今日も元気が良いね
Ｐ,……太郎が、その、腰を振ってるな
比奈,……し、雫ちゃんの持ってるアレに振ってまスね
牛,もぉー
雫,あ、出しましたね。……ありがとー、太郎。はい、あとはこの精液を冷凍保存してお終いです。牛さんは牛の一突きって言葉があるくらい、早く出す動物なんですよ。そんなところも可愛いですー
Ｐ,そ、そうなんだ……
雫,あとこの搾取方法は、雌の牛さんと交尾をしたことがない牛さんにしか使えないんです。やっぱり本物が良いんですね。他の採取方法だと、肛門に腕を突き入れて、直接刺激する方法もありますよー。比奈さん、漫画の参考になります？
比奈,そ、そうっスね。ありがたい知識っス……
雫,ちなみにこの人工膣は二層になってて、お湯を注いで牛さんが気持ちの良い温度になるよう、調節して使ってるんですよー。それで――。今日は牛さんの可愛さを知ってもらえて良かったですー。今度は豚さんも見てほしいですね。鶏さんも良いかもしれません。Ｐさん、比奈さん、また来てくださいねー
Ｐ,なあ、比奈
比奈,なんっスか、プロデューサー
Ｐ,俺、しばらく雫とまともに話せないかも
比奈,アタシもちょっと難しそうっス
Ｐ・比奈,はぁ……
雫,牛さんが見たい？
龍崎薫,うん！雫お姉ちゃんなら、見せてもらえるところ知ってるかなーって
佐々木千枝,皆で見に行きたいって話になりまして、お願いできますか
雫,良いですよー。牛さんの可愛さを分かってくれるなら、大歓迎ですから。――そうだ、皆にも特別に、普段見れないものを
Ｐ・比奈,ストーップ！
