光の勇者,以下、勇者
地の四天王,む？おお、そうだったそうだった！
大地の魔女,以下、地女
勇者,自分で言うんじゃねえ！。っつーか、服くらい着ろ！
地女,良いではないか、減るものでもなし
勇者,色っぽいポーズ決めんな！
地女,やれやれ、朝から元気だな
勇者,……っていうか、なんで元の姿に戻ってたんだよ？
地女,む？おお、昨晩は闇の魔王様がお忍びで来ていてな？。それで、まあ……なっ？わかるだろう？
勇者,ああもう、お前本当何なの！？
地女,今は、大地の魔女――お前達の仲間だ
勇者,……本当に、頼むぞ
地女,うむ、祝福の聖女と、剣の乙女の事は任せておけ
勇者,……本当の、本当に頼むからな
地女,光の勇者よ、お前には世話になっている。それに俺は、このパーティーが気に入っているのだ。俺に出来る事ならば、喜んでやろうではないか
勇者,……四天王の言葉とは思えないよな、本当に
祝福の聖女(以下、聖女),あの……お話って、何ですか？
地女,まあまあ！まずは、ケーキを食べるぞ！
聖女,……
地女,この店のケーキは、街でも評判なのだ！。――ケーキは、悩みごとを解決してはくれん。だが、食べれば幸せな気分になるだろう？
聖女,……大地の魔女さん。……私が悩んでるのに、気付いてたんですね
地女,当たり前だろう？
聖女,えっ？
地女,加入して日が浅いが、もうパーティーの仲間なのだからな！。……ままっ、そんな事はどうでも良い！。ケーキはいくつ食べる？二つか？三つでも良いぞ！
聖女,ひ、一つで十分です。……すみません、ご迷惑をおかけして
地女,むう？
聖女,私のために、こんな事まで……
地女,何を言っているのだ。今日は、ケーキを食べて女子トークをしに来ただけ。迷惑だとは、微塵も考えてはいないぞ。……食べ終わって、美味しかった、との礼は受け取るがな！
聖女,……ふふっ。……ありがとう、ございます
地女,お前が話したいというなら、聞くのもやぶさかではない
聖女,……
地女,言えないというのなら、それもまた良し
聖女,……大地の魔女さん
地女,ただ、礼を言われる時は、笑っていて欲しいものだな！。最近の作り笑いでない……先程のような、自然な笑顔で
聖女,……うふふっ。美味しくてお礼を言うって、決まってるんですね！。……少しだけ、相談しても良いですか？
地女,うむ！かかってくるが良い！
聖女,これは……私の友達二人の話なんですが
地女,二人？
聖女,私の友達二人が……悪い、一人の男に弄ばれてるんです。けれど……二人共、その男を信じているんです。私は……その事を告げるべきなんでしょうか？
地女,……とんだ悪人が居たものだな！！。何処の痴れ者だ、その男は！
聖女,それは……約束なので、言えないんです
地女,ふむ……そうなのか
聖女,二人共、私を信頼して……相手が誰か教えてくれたんです
地女,……祝福の聖女。お前は、よっぽどその二人に信頼されているのだなぁ
聖女,……はい。お互い、立場があるけれど……とっても仲良しなんです
地女,どちらも、得難い友人という訳か
聖女,……はい
地女,……ならば、答えは決まっている。祝福の聖女よ。その事で悩むのは、もうやめるのだ
聖女,……。えっ？
地女,お前の悩みとは、そもそも他人の恋愛
聖女,だ、だけどっ！
地女,それにな？祝福の聖女よ
聖女,……何ですか
地女,その二人が、男を信じ切っているのならば……。女同士の、壮絶な戦いが始まるかも知れんぞ？
聖女,あり得……無いとも言い切れない！！
地女,だから、放っておくのが一番なのだ
聖女,でも……私は、どうしたら……
地女,何を言っているのだ？そんなものは決まっている
聖女,えっ？
地女,まず、食べるケーキを選ぶ！。甘い物無くして、女子トークとは言えないからな！
聖女,……。あ……あはははっ！。……何も解決してないけど、ちょっと気が楽になりました
地女,うむ！それは良かった！
聖女,でも……また、その事で悩むと思います
地女,難儀な性格だな
聖女,その時は……また、お話を聞いて貰えますか？
地女,任せておけ！
聖女,そ……それと、ですね……？。あの……お姉ちゃん、って呼んでもいいですか……？
剣の乙女,以下、乙女
乙女,……くっ。……お姉様
地女,うむ！大地の魔女のお姉様なのだ！
乙女,……どうして、此処に？
地女,迷っていたら、辿り着いた……というのは、どうだ？
乙女,……
地女,まあ、それは冗談としてだ。剣を振るう時には、迷うな。お前の剣技には、迷いは似合わない
乙女,……お姉様。あ……あのっ！
地女,む？何だ？
乙女,大地の魔女のお姉様……！。お姉さまは、私に何か隠していませんか！？
地女,うむ！。お前には、沢山の事を隠しているぞ！
乙女,えっ、あ……いえ、あのっ！？。そんなに開き直られると……え、ええっ！？
地女,誰でも、隠し事の十や二十はあるものだろう？
乙女,一つや二つ、ではなく！？
地女,ふはは！恐れ入ったか！
乙女,多すぎます！何を隠しているんですか！？
地女,剣の乙女よ、とりあえず一つ教えよう！。隠し事のある女というのは、何故か魅力的なのだ！
乙女,何か違います、お姉様！。私の質問への答えとしては、何か違います！
地女,違ったか？
乙女,違うわよ！私が聞いたのは、秘密！秘訣じゃないわ！
地女,おおっ、やはりお前は敬語よりそっちの方がいいな！
乙女,きゅ、急に何を……
地女,それで？この大地の魔女の何が知りたい？。遠慮せずに、何でも聞くが良い！
乙女,な、何が……って……。……
地女,さあ、遠慮するな！答えるとは限らんがな！
乙女,……ふふっ、何よそれ？
地女,年長者として、出来る限りは答えよう！
乙女,……やめておくわ。だって、隠し事が魅力なら……えっ！？。まっ、待って！？年長者って言った！？
地女,む？言っていなかったか？
乙女,だって、どう見ても私より年下じゃないの！
地女,魔法で姿を変えているのだ
乙女,ま……待って……！えっ、ちょっと……！
地女,どうした？頭が痛いのか？
乙女,あ、貴女は……一体、何者なの？。どうして、此処に居るの？
地女,大地の魔女は、迷う少女を助けに来た。仲間を助けるのは、当然の事だからな！
乙女,しょ……少女って……！///
地女,剣の乙女よ、お前に聞こう！
乙女,……私に、何を？
地女,そんなものは、決まっている！
乙女,……
地女,最近、お前の剣には迷いが見られる！。その理由、話して貰うぞ！。さあ……ガールズトークの始まりなのだ！
乙女,……。へっ？。ねえ……全然、何もわかってなかったの？
地女,ああ、サッパリな！
乙女,……
地女,わからない事は聞く！ふはは、素直だろう！
乙女,……ふふっ。あっ、あはははっ！何よ、それ！。ふふふっ、あはっ、あははははっ！
地女,むう……？。どうして笑っているのだ……？。――と、言う訳だ！二人共、元気になったぞ！
勇者,……お前、凄いな
地女,光の勇者よ、もっと褒め称えても構わんぞ！
勇者,いや……素直に凄いと思った
地女,――祝福の聖女の悩み。一瞬だけ、俺のことかとも思ったがな？。俺は、ヤっちゃった数は二人ではきかぬ！。それに、酔ってただけで、弄んだつもりはない！。――だから、どこかのクズの話なのだ！
勇者,いや、お前の方がクズだろう！？
地女,光の勇者よ、俺の事よりも、聖女に笑顔が戻った事を喜べ
勇者,……俺が聞いても、大丈夫としか言ってくれなかったからな
地女,愛する者に心配をかけまいと……健気ではないか
勇者,あ、愛するって……う、うるせえよ！///
地女,――剣の乙女の迷い。あれは恐らく……まあ、何だ。……年齢に関する事だな。ほら……今の俺の見た目は美少女だろう？。だから、まあ、色々とな？気を付けていこうな？
勇者,……ああ、そうだな
地女,それに……安心ばかりもしてられん
勇者,お前は、安心してる暇なんか全く無いと思うぞ
地女,それを言うならば、お前もだぞ？光の勇者よ
勇者,……あん？
地女,光の勇者よ！。祝福の聖女に、お前からキスをし――。――舌を入れるのだ！
勇者,……。…………。はっ？。まっ、待て！待て待て待て待て！何だそれ！？
地女,いやぁ！女子トークをしてたら、つい……な？
勇者,つい！？何でだ！？どうしてそうなった！？
地女,うむ！。なんか、楽しくなっちゃってな？。――次は、勇者からキスをしてくると予言しよう！。――それも、とても熱いキスだ！。そう言って、盛り上がっちゃったのだ
勇者,何してくれてんだよお前はよおおおおお！？
地女,光の勇者よ、お前も男だろう！
勇者,だけど、お前……！
