スレタイの,なっちゃん
P,くっ、この、そら！
凛,………
P,うおおっ！……だー、また負けた！。凛はスマブラ強いなあ
凛,でも今のはこっちも危なかったよ。どうする？リベンジする？
P,当然。次こそ俺のCFが華麗に勝利を――
ちひろ,おっほん！二人とも、もう始業時間は過ぎていますよ？
P,え？
凛,本当だ。ちょっとゲームに集中し過ぎたね
ちひろ,親睦を深めるのは結構ですけど、やることはきっちりやってくださいね
凛,はい
P,すみません。さて、凛もレッスンに行ったし、俺も仕事頑張るか。今日は……そうだ、スカウトをやるんでしたね
ちひろ,ええ。うちももう少しアイドルを増やしたいと考えているので。プロデューサーさん、金の卵を見つけてきてくださいね
P,任せてください。こう見えても俺、女の子を見る目には自信があるんです
ちひろ,見る目があっても説得できなかったら意味ないですよ？
P,そこはケセラセラの精神で
ちひろ,前向きなのはよろしいですが、給料には響きますからね
P,………。突然すみません。わたくしこういう者なのですが、よろしければアイドルを――。あ……そうですか。はい、お時間取らせて申し訳ありませんでした。……はあ
凛,あ、いた。本当にスカウトやってるんだ
P,凛。どうしてここに？
凛,レッスン終わって暇だったから、様子を見に来たんだけど……その顔だと、あまりうまくいってないみたいだね
P,ただいま絶賛10連敗中
凛,うわあ
P,ま、覚悟はしてたから。いきなりアイドルに興味ありませんかって言われて、簡単にうなずく人なんてそうはいないし
凛,それはそうだけど。ねえ、私も一緒にいていい？
P,いいけど、疲れないか？
凛,飽きたら帰るから
P,なら、好きにしたらいい。……よし、頑張るぞ！。………。おっ。凛、あの女性は何歳だと思う。俺は23
凛,私は25
P,よし、では早速――。25だった。ついでにスカウトも断られた
凛,これで私の3勝2敗だね
P,くそう、次こそは
凛,……って、なんか趣旨変わってない？
P,ちゃんと美人にしか声はかけてないから大丈夫だ。スカウトという目的は忘れていない
凛,前から思ってたけど、プロデューサーって子供っぽいよね
P,楽しいことが好きなのは否定しない……っと。あそこの人、よさそうじゃないか
凛,ここからじゃ後ろ姿しか見えないよ
P,いや、しかしあのスタイルとオーラ。きっと美人に違いない。行ってみよう
凛,すごい自信……
P,すみません。ちょっとよろしいでしょうか
女性,はい？
凛,うわ、ほんとに美人だ
P,わたくしこういう者なのですが、アイドルに興味はおありで……。……あれ？
凛,？プロデューサー、どうしたの？
P,いや、その
女性,アイドルですか。ふふ、プロデューサーのお仕事、頑張ってるみたいですね
P,……なっちゃん？
凛,なっちゃん……？プロデューサー、知り合いなの
女性,はい。P君の高校時代の同級生の。なっちゃんこと、鷹富士茄子かこ
P,とりあえず、そこにかけてくれ
茄子,ふふっ。なんだか社会人みたいな振る舞いですね
P,みたいじゃなくて、一応れっきとした社会人なんだが
茄子,そうなんですよね。私の記憶の中のP君は、気ままな不良学生のままだから……うーん、やっぱり違和感があります
凛,プロデューサー、不良だったんだ。もしかして髪染めてたりとか？
P,それはやってないが……まあ、結構自由に生きていた覚えはある
凛,今も割と自由だよね。暇を見つけては遊んでるし
茄子,なんだ、やっぱり変わってないんですね
P,人間、そう簡単には変わらないもんだ。ましてまだ高卒3年目だしな
茄子,あら？私はP君に出会って、いろいろと変化があったと自覚していますけど
凛,……そのあたりも含めて、プロデューサーがどうやって鷹富士さんと知り合ったのか聞きたいんだけど。そもそも、こんなきれいな人プロデューサーにはもったいないよ
P,付き合ってるわけじゃないんだからいいだろ。友達になることすら許されないのか
茄子,仲いいんですね。アイドルの子と
P,これは単に遠慮がないだけと言うんだ
茄子,仲がいいから遠慮もなくなるんじゃないですか？……ええと、私達の馴れ初めのお話でしたっけ
P,確か最初に会話したのが高2の時だから……もう4年前か。……数学の授業は眠くなるな。腹が痛いふりして保健室にでも……いや、それは昨日使った手だ。さすがに連続はばれる
教師,ではこの問題を……鷹富士、前に出てやってみろ
茄子,はい
P,俺の後ろの席から立ち上がったその女子は、黒板の前に立ってすらすらと解答を書いていく
教師,正解だ。戻っていいぞ
茄子,はい
P,席に戻ったそいつは、再びシャーペンを手に取って先生の解説を聞き始める。すごいなお前。俺、今の問題全然わからなかった
茄子,………
P,……聞こえてる？
茄子,……授業中です。話しかけないでください
P,お、おう。すまん。じゃあ休み時間にでも
茄子,休み時間になっても、私にはあなたと会話する理由が特にないのですが
P,………。そいつはかわいらしい見た目をしていたが、とにかく愛想がない奴だった。別に俺に対してだけじゃない。男女問わず、全員に対して線を引いたコミュニケーションしかとろうとしない。最低限の最低限しか会話をしない。当然ながら、校内で友達はいないようだった。噂に聞いた話じゃ、とんでもない幸運の持ち主だとかなんとか。少し寝坊したせいで、電車に乗りこむのがギリギリになってしまった。結局最後尾の車両にしか乗れなかったか。ここだと駅に降りた後が遠いんだよなあ。……ん？。満員電車の中。隣に立つ女子に見覚えが。鷹富士だよな。おはよう
茄子,……おはようございます
P,いつもこの車両に乗ってるのか
茄子,そうですけど
P,ふーん
茄子,………
P,会話が途切れてしまった。何か話すことはないだろうか。えっと……鷹富士はさ、好きな食べ物とかあるのか
茄子,………はあ？
P,い、いや。なんとなく気になったから
茄子,無理に話をつなげようとして、何か楽しいですか
P,黙ったままいるよりは、楽しいな
茄子,そうですか。私は楽しくないです
P,……そっすか
茄子,できれば、今後も話しかけないでもらえると助かります
P,取りつく島もない。おっす
茄子,………
P,睨むなよ
茄子,どうしてわざわざ私と同じ車両に？
P,後ろの席のやつとは、ある程度話せる仲になっておきたいと思ってさ
茄子,理由は
P,授業中や休み時間に暇を潰せるだろ
茄子,……はあ
P,心の底からウザそうだな
茄子,理解しているなら、私が今何を望んでいるかもわかりますよね
P,わかるが、俺に従う理由はない
茄子,………
P,その後、適当に話を振ってみたがすべて無視された。ひとつ聞きたいんだけどさ
茄子,………
P,鷹富士は、何をしている時楽しいんだ？
茄子,なんですか、いきなり
P,いつもつまらなそうな顔してるから、気になった
茄子,………。もし
P,もし？。その日初めて俺と視線を合わせた鷹富士は、どこか寂しげな表情で口を開いた
茄子,もし、何もかもが望んだ通りになるほどの幸運にまとわりつかれたら、あなたはどう思いますか
P,幸運？それって、お前について噂になってる……
茄子,あれは本当です。私は生まれつき、異常についているんです
P,ついてる……それって、たとえば商店街の福引きで一等を必ず引けるとか？
茄子,たとえがえらく庶民的ですね……でも正解です。私は福引きを引けば大当たりを引けます
P,いいことじゃないか。うらやましい
茄子,……そう思いますか？
P,違うのか
茄子,なんでもいい方向に転んでしまうこと、それがわかってしまうこと。結構、いやですよ。こうなればいいなと思えば、それが実現してしまう。困ったことがあれば、何かが起きて解決してしまう
P,自分の運について語る鷹富士は、いつになく饒舌だった
茄子,たとえば、今朝の電車はいつも以上に混んでいますよね
P,そうだな
茄子,このままだと、学校前の駅で人混みを抜けてホームに降りるのが大変そうですよね
P,押し潰されるの覚悟で進まなくちゃならんだろうな
茄子,ええ。でもそうはなりません。私にはわかります
P,え？。それからしばらくして、急に俺達の周りの客だけが次々と駅で降り始めた。そして、俺達が降りる駅に着いた時には、ちょうど出入り口へ続くように通路ができあがっていた
茄子,ラッキーだと思いましたか？
P,あ、ああ……
茄子,些細なことですけど、これも私の幸運が引き寄せた結果です。他にも、宝くじを買えば大金を手に入れることもできるでしょう
P,……そうか。つまり鷹富士には、結果が見えてしまっているんだな？
茄子,ええ、そういうことです。人生で努力しようがしまいが、なぜか運が私の味方をする。何をしてもうまくいくことが決まっている。そんな状態で、何を楽しめっていうんですか。結末が見えているミステリー小説を読み続けるようなものですよ。味気なくて、あっけなくて、つまらない
P,鷹富士……
茄子,なんですか。何か言いたいことでも？
P,いや……。とりあえず、駅着いたから降りようぜ
茄子,………
P,なんだよそのため息
茄子,別に、なんでもないです
P,その後、何日かの間は鷹富士と並んで電車に揺られる日々が続いた。いくらか話題を提供してみたものの、すべて無視か軽く流されるだけで効果はなし。仲良くなる方法とか、まったく思いつきもしない。運が良すぎる女の子。でも、当の本人はそれを気に入っていない様子。どう接すればいいのか考えていくうちに、なんかだんだん疲れてきた。今日、いつもより混んでるな
茄子,そうですね。でも、私達が降りる頃には空いていますよ
P,鷹富士の言った通り、だんだんと俺達の周りだけ人がいなくなっていく。数日前と同じ。これも幸運というやつなんだろうか。………。着いたな。駅
茄子,ええ
P,………
茄子,……？あの、ホームに降りないと
P,………
茄子,あなたがそこをどいてくれないと、私も降りられないのですが
P,なあ、鷹富士。学校、サボるか
茄子,はあ？……ああ、ドア閉まっちゃった
P,この電車、終点は横浜の中華街だよな。よし、とりあえず何するかは横浜についてから考えよう
茄子,な、なにを勝手な……どうして急にサボるだなんて
P,なんかいろいろ考えすぎて疲れた。朝からこんなんじゃ、学校行っても勉強に身が入らん
茄子,身が入っていないのはいつものことでしょう。居眠りばかりしているくせに
P,まあそれはそれとしてだ
茄子,………
P,鷹富士は、学校サボったことあるか？
茄子,……いいえ。サボりどころか、皆勤中ですが
P,ならちょうどいいじゃないか。サボって遊ぶのはなかなか楽しいぞ。どうせ皆勤賞とか興味ないタイプだろ？
茄子,………
P,あ、ナナ先生？今日ちょっと体調が悪いから欠席します。あと鷹富士も欠席します。……明日はちゃんと学校行くから！。とりあえず先生への連絡は済んだ
茄子,かなり強引に見えましたけど
P,まあいいじゃないか。それと、駄菓子屋のおばちゃんに神奈川の名所を聞いた結果。江ノ島を推されたので、今日はそこで遊ぼうと思う
茄子,江ノ島？横浜市内じゃないですよ？
P,でも、せっかくおばちゃんが教えてくれたんだし。俺一度行ってみたかったんだよな。鷹富士は行ったことあるのか？
茄子,ないですけど……
P,よし！じゃあ目的地は江ノ島で決まりだ。どの路線に乗ればいいか調べないとな
茄子,……楽しそうですね
P,楽しいさ。他のクラスメイトが教室で座っている間に、こっちは遠出して観光できるんだからな
茄子,……子どもみたい
P,高校生は子どもだ
凛,不良じゃん
茄子,不良ですね
P,昔のことだし、時効だ時効
