なんか,フヒ、フヒヒ、森久保ともりくぼ？もりくぼは森久保と違う？
清美,なっ、なななにをしてるんですか！！超☆風紀委員の権限でこれは没収します！
比奈,あぁ！なにをするッス！？離すッスよ！。その薄い本を返してくださいッス！
清美,いやです！
比奈,いくら冴島さんでも超☆風紀委員でも許さないでスよ！
清美,そもそもどうして事務所でそんなもの読んでるんですか！はれんちです！
比奈,そんなの、プロデューサーがエアコミケで買ってきたのを借りたからッスよ！
清美,プ、プロデューサーがぁ！？
比奈,ほんとでスよ！ね、プロデューサー！
モバＰ,あぁ、ほんとだぞ。ほかにもたくさんある
清美,買うのは１００歩譲ってありだとしても事務所に持ってこないでください！風紀が乱れます！。ほら、そこの机の下で森久保さんが膝抱えて動いてません！
乃々,もりくぼなんていません…もう帰るぅ…
モバＰ,帰るな帰るな
乃々,やーでーすぅ…
清美,ほら、森久保さんやさっき出て行った>>13さんみたいにそういうはれんちなのを嫌がる人もいるんですよ！？
モバＰ,まぁまぁ、確かに人の目を気にしなさすぎたな。申し訳ない
比奈,そうでスね…でもほかのみんなは出てるから大丈夫だと思ったんでスよ…
清美,私みたいにレッスンの途中で休憩しに戻ってくることもあるんですから反省してください！
比奈,うぅ…わかったッス…。でも、冴島さんも興味ないわけではないんでしょう？
清美,はっ、はぁ！？
比奈,だってさっきから手に持ったその本をちらちら見てるじゃないでスか
清美,そそ、それは…だって…その…
比奈,恥じる必要はないでス。風紀は大衆の中にいるときに守るもので個人でいるときは己がルールなんでスよ！。人間誰しもスケベ心なしで生きられませんからね！
清美,…ﾊｯ！それっぽいこと言われてぐらつきましたがそうはいきませんよ！。これはお返しします！それでは私はレッスンに戻りますので！
比奈,…あー、冴島さんをこっちがわに引き込もうとする作戦は失敗でスね
モバＰ,押しに押したら押し切れそうだけどな
比奈,それよりも冴島さんの初々しいムッツリ感に気を取られたッス
モバＰ,お前はいろいろと清々しいな
比奈,いちいち気にしてたらここではやってけないでスからね。それはそうと、乃々さんがいるここで聞くのもなんでスがＰさんはこの本みたいなこと乃々さんにしたいです？
乃々,！？
モバＰ,はっは、アイドルに手を出したらだめな俺にそれを聞くか
比奈,やはり気になりまスしね。それにこれはただの純愛系ってわけでもないでスし
モバＰ,純愛系も好きだがそれみたいな暗い惰性みたいなのもたまにはいいかなーって
乃々,……
比奈,なるほど、そんなもんでスか
モバＰ,そんなもんだ。それに、いつもはもっと積極的だもんな？
乃々,！？………むーりぃー
