手紙,挑戦状
P,…よくわからんけどなんかドッキリ仕掛けられることになったぞ。しかし事前に告知するってどういうことだろう？それほど仕掛けに自信があるってことなのか？。まぁいいや、さっさと事務所に行こう。おはようございまーす
ちひろ,おはようございます！
P,ちょい。何してんのちひろさん
ちひろ,何って、手紙見てないんですか？今日はアイドルの皆さんがPさんにドッキリを仕掛けるので私が撮影役を…
P,いや知ってますけど…うーん…？
ちひろ,あ、もしかして心配してますか？大丈夫ですこの映像は身内だけで使うのでテレビとかで使うことは絶対にありませんので！安心して撮られてくださいね！
P,そりゃそうでしょ、ただのおじさんをテレビに出すなんて…けど…。ますますどういうことだ？ドッキリは隠しカメラとかでこっそり撮るはずなのに…？なぜこんな堂々と…？
ちひろ,さてドッキリはドッキリですがお仕事はお仕事ですよ！カメラを回してますがPさんは気にせず仕事してください！
P,わかりましたよ…もう…では今日のスケジュールどうなってますか教えてください
ちひろ,えーと、今日の予定は智絵里ちゃんが朝からドラマの収録があるので一旦うちに寄ることになってるみたいですね。それから李衣菜ちゃんがラジオの収録、加蓮ちゃんが街でロケ、美穂ちゃんがグラビア撮影、まゆちゃんは用がないですが遊びに来ることになってます
P,スケジュール確認ありがとうございます…はぁ、どのタイミングでドッキリ仕掛けてくるんだろ…
ちひろ,ふふふ、私も期待してますよ。と、噂をすれば影ですね。ほらお出迎えしてあげてください！
P,わかりました…えっと、最初に来るのは…
智絵理,おはようございます、Pさん
P,おぉ智絵里。おはよう
ちひろ,智絵里ちゃんおはようございます！
P,ドラマの調子はどう？撮影は上手く行ってる？
智絵理,はい…皆さんいい人で優しくしてくれますし、順調です！
P,そりゃよかった
智絵理,Pさんも今日のお仕事頑張ってください！あ、これジュース…差し入れです
P,おっ気が利くな、ありがとう
智絵理,えへへ…
P,…？
智絵理,？
P,…はっ！？。ちひろさんは既にカメラを回していた…そしてこの智絵里のなんかそわそわしてる？。なるほど読めたぞ！こいつお茶になにか仕組んでるな！？そしてそれを飲む姿をカメラに収めようと…！。しかし相手は智絵里だ、某ケミカルや某眼鏡天才とは違ってそこまで酷いものは入れてない…はず。智絵里もきっと期待してるだろうし、ここは覚悟を決めて飲むのがベターな選択！。…。…。うんまぁい…？
智絵理,…
P,？？？？？？？？？？？？。え、えっと…？そろそろ撮影の時間だし、今日も頑張ってな…？
智絵理,…少し、悲しいです
P,！？！？！？。バカな！？普通のジュースだったぞ！？なぜだ！？なぜ彼女は悲しんでいる！？
ちひろ,おーっとドッキリ第一弾は大成功！しかし智絵里ちゃんは悲しそう！元気出して！
智絵里,確かに難易度高いかもしれないですけど…でも…悲しいです…くすん…
P,成功しているのか！？どういうことだ！？バッドコミュニケーション！？どうして！？
ちひろ,さぁさぁカメラの前で醜態をさらしてしまったPさん！この失敗を糧に次こそは頑張ってくださいね！
P,おう！負けねえぞ？？？？？？？？？？？？？？？？？？
ちひろ,さーPさんも何が起こっているのかよくわかってない様子ですが第二弾いってみましょー！
季衣菜,おはよーございまーす、ちょっとだけ遊びにきたよー
P,おーす未来のロックシンガー、ラジオの収録はどうした？
季衣菜,今からですよ、実は事務所にギター忘れちゃって…
P,それで取りに来たの？しかしラジオの収録にギターって、別に映るわけでもあるまいし
季衣菜,こーゆーのは気分が大切なんです！あった方が絶対ロックですって！
P,そもそも事務所に肝心のギター忘れる方がロックじゃないような
季衣菜,と、とにかく私は今からラジオ局に向かうんで！。あ、そうだ、いつも頑張ってるPさんに！差し入れ！
P,…。またジュース…。さっきは智絵里がジュースの中に仕掛けを入れ忘れただけなのかもしれない。李衣菜は意外とこの手のことはしっかりしてるし、今度こそきっと何かあるはず…。…。おいしい…
季衣菜,…。じゃあ、行ってきますんで…ロックじゃないんですね、Pさん…
P,！？！？！？！？！？！？！？
ちひろ,またもやドッキリ大成功！李衣菜ちゃん今の気持ちをPさんにぶつけてやってあげましょう！
李衣菜,…割とショックです。アホなPさん。アホジューサー
P,そんなっ、バカなっ！？そんな！？なんで！？どうして！？
ちひろ,うーん女の子を2人も泣かせてしまうなんて罪な人間ですね！これは後でかな子ちゃんとみくから折檻されちゃうかも！？
P,変なナレーション入れるのやめてくれません！？これでも真面目に考えてるんですよ！？
ちひろ,さぁさぁさぁ3度目の正直行ってみましょう！次は2人まとめてやってくるそうですよ！どうぞ！
P,ああああ、このままじゃまた同じ過ちを…
加連,ほいP、ジュース
美穗,Pさん！ジュ、ジュースです！
P,早くない！？。え！？何！？しかもまたジュース！？
加連,いやだってPならすぐ気が付くって信じてるし。ほら飲んで
P,待って心の準備がまだ
美穗,ごめんなさい！飲んでください！！
P,あっ２本は無理ぃ…。…。…やっぱりおいしい
加連,…
美穗,…
加蓮,まっさか本当に気が付かないなんて。バカじゃないの！？
美穂,せ、責めないであげようよ、こっちもちょっと突飛すぎたよ…
P,えっ、えっ…ごめん
加蓮,いいよ別に、アタシたちが知ったことじゃないし。ばーか
P,うぅ…
ちひろ,さぁさぁさぁ加蓮ちゃんを失意の底に叩き落としたPさん！どんな気持ち？ねえ今どんな気持ちですか！？
P,俺の力不足が憎いよぉ…！
美穂,と、とりあえず私たちはお仕事行ってくるんで！きっと帰ってくるまでには気付けますよね！？
P,善処します…。…
ちひろ,…本当にまだ気づいてないんですか？
P,はい…何かヒントください…
さひろ,そんなものはないです！自分で考えてください！
P,うう…ちっひの悪魔…鬼…
ちひろ,………なるほどこれ結構ショックですね。…はい。じゃあ最後。まゆちゃんです。どうぞ
P,なんかちひろさんテンション低くなってません？
ちひろ,誰のせいだと思ってるんですか
ほゆ,Pさーん、来ましたよぉ♪
P,ううまゆ…この俺を慰めてぇ…
ほゆ,はい♪このほゆの特製ジュースを飲んで元気になってください
P,またジュース…？うぇぇ…。…ん？ほゆ？
まゆ,あっ
P,智絵理…季衣菜…加連…美穗…さひろ…ほゆ…。わかったぁあああああああああああああああ！！！名前ええええええええええええ！！！
まゆ,おめでとうございます！まゆで気づいてくれるなんて、やはりPさんとまゆの愛がナンバーワンですねぇ！
ちひろ,いや思いっきりほゆって名乗って気づかせてたじゃないですか。ほぼズルですよあんなん
智絵里,やっと気づいてくれたんですね！
李衣菜,遅いですよ！もー！
加蓮,いや流石に遅すぎ。もっと早く気付いてほしかったな
美穂,まぁまぁ、無事にわかったんだし、許してあげよう？
まゆ,抜けてるところもPさんの魅力だと思いますよぉ
P,すまん…本当にすまん…
