池袋晶葉,奈緒、良い道具の条件とはなんだろうね？
神谷奈緒,また唐突だな・・・えーと良い道具の条件？
奈緒,そりゃあ使いやすい、とかじゃないのか？
晶葉,その通り、より詳細に言うならば・・・。誰でも使える、そして誰が使っても同じ効果を得られるという２つの点が肝要だ。すなわち弘法筆を選ばず、ではなく、誰でも弘法になれる筆こそが理想的な良い道具であると言える
奈緒,うーん、確かにそんな便利なのがあったら理想的ではあるな。・・・
龍崎薫,わー！この子すごー！！
小人,～～♪
赤城みりあ,すごいね！ちゃんと踊ってる～！
晶葉,さて、君はアニメを嗜むそうだが
奈緒,あ、あぁ、まあな・・・ってか誰から聞いたんだ、ソレ？
晶葉,誰からもなにも、助手や比奈との会話を聞いていれば嫌でも察せてしまうのだが・・・
奈緒,そ、そうか・・・
晶葉,ではロボットアニメ、特にリアルロボット系と呼ばれるジャンルのものを見たことはあるかな？
奈緒,一応あるぞ。メジャー所をつまみ食いした程度だけど
晶葉,それらの観賞中にこう思ったことはないだろうか？。どうやってロボットを操縦しているのか？。本当にそんな操作で操縦できるのか？と
奈緒,あぁ～・・・それはあるな。でもそこをツッコむのは不粋ってもんじゃないか？。そんなことイチイチ気にしてたら楽しめないぞ
晶葉,いやな、私とてロマンを解する感性は持ち合わせているさ。ご都合主義の王道展開だとか、主人公専用のピーキーな機体だとか・・・フィクションとしてなら、そういうのは私も嫌いではない。ただロボットを研究、製作する立場からするとどうしても気になってしまう部分があるのも事実なのだ
奈緒,ははっ、まあ晶葉らしいな。・・・
薫,こんなダンスでもついてこれる～？
小人,～～♪
みりあ,あ、そのダンス可愛いね！
晶葉,ともあれ、ロボットの操縦についてだ。あまり詳しくなくて恐縮だが、ロボットアニメの金字塔、機動戦士ガンダムを例に挙げてみれば。あれのコックピットは、パイロットが座る椅子、足元にペダル、肘掛けにトリガー付きのレバー、さらにキーボードという感じだったと記憶している。他にも細かい計器類があったと思うが、主に使うのはペダルとレバー、トリガーだろう
奈緒,あぁ、そんな感じだったな。アタシもうろ覚えだけど
晶葉,たったそれだけのインターフェースで如何にして、人型ロボットの自由自在な操作を実現しているのか？
奈緒,確かにアタシもそこはツッコみたいと思ったことがないワケじゃないな。レバーをグワァー！ってやるだけで敵のコックピットにピンポイントでビームサーベル突き刺したりさ、どうやってんだソレ？ってなるよな
晶葉,射撃ならまだしも剣を自在に振り回すのにレバー入力のみというのはいささか無理があると言わざるを得ないな。描写が省略されているだけで、本当は他の操作もしているのかもしれないが・・・
奈緒,うーん・・・例えばさ、格闘ゲームみたいに特定のコマンドで技が出るようになってるとかならどうだ？
晶葉,うむ、それが最も現実的かもしれないな。だがな、人型ロボットの最大の利点とは汎用性だ。銃や剣、盾などの多様な武装を使用するのみならず、荷物を運んだり物を投げたり複雑な地形を踏破したり・・・。様々なアクションをこなしてこその人型ロボットだ
奈緒,まあ攻撃するだけなら戦車とか戦闘機でいいだろって話になるもんなぁ・・・
晶葉,例えば剣を振るにしても面・胴・小手など様々な動きがあるし、劇中のように敵のコックピットを狙うとあれば角度の微調整なども必須だろう。先ほどの汎用的なアクションも加えれば、奈緒の言ったコマンド式ではその数が膨大に膨れ上がってしまう。かと言ってコマンドを絞ると今度はアクションの多様性が失われ、人型ロボットの利点が損なわれてしまうな
奈緒,そこはホラ、細かいとこはコンピュータが良い感じにフォローしてくれるんじゃないか？
晶葉,ふむ、それも中々良い案だ。人型ロボットが実用化されている時代であればコンピュータも相応に高い性能を得ているだろう。機体のバランス制御や敵のロックオン、指先の細かい動作などパイロットの手が回らない部分をコンピュータが補っているであろうことは想像に難くないな。あとは、そうだな・・・操作モードの切り替え機能などはどうだろう？。銃を装備しているときは射撃モード、剣を装備しているときは格闘モードといった具合に。同じコマンドでも使用する武装に応じてアクションが変化するわけだ
奈緒,スタイルチェンジ的なヤツか。格ゲーでもたまにそういうキャラがいるな
晶葉,これならばコマンド数を絞りつつアクションの多様性を維持できるだろう
奈緒,あり得そうだな、ソレ。精密作業モードみたいなのがあれば晶葉が言ってた荷物の運搬なんかにも対応できそうだし。他にも全身の関節をロックして狙撃モード！なんてのはどうだ？
晶葉,ほほう、それは中々ロマンのある運用だな！。機動力を犠牲にして精密さを上げる、一撃で仕留めなければ潜伏場所がバレて・・・
奈緒,やるかやられるか・・・そういう緊張感のあるシーンは熱いよなぁ！
晶葉,うむ、まったくだ
奈緒,・・・・・・おっと、つい熱く語っちまった。まあ、色々考えてみると、アニメみたいなロボットアクションも案外イケそうな気がしてきたぞ
晶葉,うむ、実際ガンダムのようなロボットが作られないことには断言は出来ないが、不可能ではないのかもしれないな。しかしながら・・・だ。不可能ではないのだとしても、操縦方法が一朝一夕で身に付くほど簡単ではないことは間違いないだろう
奈緒,そりゃ～メチャクチャ複雑になるだろうな
晶葉,ロボットの使用目的が建設工事や土木作業などならまだしも。命懸けで戦うことを前提とするなら、実戦に耐えうるだけの訓練を施すのに数ヶ月以上の時間を要することは想像に難くない。さらに複数人での部隊運用ともなれば年単位での訓練が必要となるかもしれないな
奈緒,普通に考えたらアニメの主人公みたいにいきなり実戦で大活躍なんてのはまず無理だもんなぁ
晶葉,さて、ここで冒頭の質問に戻るわけだが・・・
奈緒,お、おぅ・・・そう来たか。良い道具の条件だっけ？
