何か,漫画や小説ではまぁまぁ見たことあるけど、現実だと実用性が皆無なもの
P,百合子！これが正しい順番で配線を切ると解除される爆弾だ！
百合子,！！。これが、物語の終盤に様々な謎を解読していった伏線が回収されるときに使われる爆弾ですね。そして最後の一本の答えだけが見つからず、最終的に想い人に自分の運命を託して･･･
P,おーい百合子ー
百合子,ハッ！私また妄想の世界に飛んじゃってましたか！？。･･･そもそも、どうしてこの爆弾魔は正しい順番で配線を切ったら解除できるようにしたんでしょう
P,なんでだろうな･･･。全く意味が見出せない･･･。
百合子,どうしても解除できなくなってしまった時のために、セーフティーを作っておいたとか？。そして爆弾魔以外には解除できないようにしたかったとか
P,それ、指紋認証とかパスワードとかで良くない？
百合子,きっとそういうのが無かった時代の産物なんですよ！
P,えぇ･･･。ということで、こちらの爆弾も同様の仕組みで解除できます。失敗したら爆発します。
百合子,爆発って･･･劇場でそんな危ないことしませんよね？
P,うちのダイナマイターを舐めない方がいいぞ？。ちなみに時間制限もついてる
百合子,ひぃっ！ど、どうやって解除すればいいんですかぁ！
P,正しい順番で配線を切ればいいんだよ
百合子,だからそれをどうやって！
P,こちらに前回の期末試験の数学の問題があります
百合子,えっ
P,一回やった問題なんだから、勿論解けるよなぁ？百合子ちゃん？。ちゃんと時間制限もあるから頑張ってね
百合子,ひぃぃぃ！！頑張ります！。････。････。････。････。････できましたっ！一本目は①の白です！
P,一問目から時間かかりすぎじゃない？大丈夫？
百合子,きっ、切ります･･･っ！！
P,････
百合子,････
P,････
百合子,ふぅ～、なんとか正解みたいですね！
P,そうこうしている間にも時間は進んでいくぞ
百合子,うわぁっ！やらなきゃ！。･･･。･･･。･･･。･･･ﾌﾟﾛﾃﾞｭｰｻｰｻｧﾝ･･･
P,だからあれほどテストの後は復習しなさいって言ったでしょうが！
百合子,うわーん、爆発しちゃうー！誰か助けてー！
P,もうちょっと、もうちょっとだから頑張って！
瑞希,･･･どうされましたか
百合子,瑞希さん！数学教えて下さい！助けて！爆弾が爆発しちゃうんです！
瑞希,･･･状況がよく分かりませんが。任された。
P,今度はちゃんと自分で解けるようになるんだぞ。
瑞希,･･･それではこう整理して考えてみましょう。
百合子,あ、なるほど！分かりました！。次の問題の答えは⑥の紫！これです！。つ、ついに次が最後の一本･･･。青色か、赤色･･･
瑞希,それではラストなのでノーヒントでいってみましょう。･･･ファイト。
百合子,えぇっ！そんなぁっ！
瑞希,ここまでの問題の解き方で出来るハズ･･･だぞ。
P,ちなみに後4分です
百合子,じ、時間が･･･！！！。････！！。････！！。･･･。･･･あっ、ちがう･･･。･･･
P,あと1分です
百合子,あぁっ！もう時間が足りない･･･っ！こうなったら･･･！。瑞希さん！瑞希さんの好きな色はなんですか！
瑞希,･･･私のイメージカラーは、青です
百合子,青ですねっ！じゃあ赤を！
瑞希,ですが、私は情熱的な赤が好きです
百合子,わぁっ！！危ないっ！！じゃあ青ですね！
瑞希,あっ、残す色を残すのですか。･･･勘違い。
百合子,どっちですかぁ！
P,あと10秒です
瑞希,切るカードは･･･、ジョーカー。
百合子,ジョーカー！？どれ！？
P,５、４、３･･･
百合子,あぁぁぁぁもうダメえぇぇぇ！！！
瑞希,つまり、何も切らない。
P,１、０･･･
百合子,ひいいぃっっっ！！！！。････！！。････あ、あれ･･･？爆発しない･･･？
P,･･･瑞希、気付いていたか
瑞希,えへん。
百合子,どういうことですかっ！？
P,順番どおりに切ったことを感知するのとか大変だから、ハズレを切ったら爆発する仕組みにしていました
百合子,な、なぁんだぁ～･･･ビックリしたぁ～･･･
瑞希,何となく気付いていたぞ、えへん･･･。･･･え、爆発･･･？
P,危なかったな百合子、青を切っていたら劇場どころかこの辺一体が吹き飛んでたぞ
百合子,怖かったですよ～
P,この形式にすれば百合子ももうちょっと勉強するようになるかもな
百合子,すっごく疲れたのでもう辞めてください！
瑞希,･･･あの、爆発とは･･･？
P,百合子！これが選ばれし者にしか抜けない勇者の剣だ！！
百合子,！！。本当ですか！？心なしか輝いて見えますね！
P,そうだろう、高かったからなコレ
百合子,えっ？
P,いや何でもない。うーんどこかに比較的力の強いアイドルは･･･。うーん、どこかに比較的全うな力の強さのアイドルは･･･
のり子,おっ、なにその剣、かっこいいね！
P,のり子！良いところに！。ちょっとこの剣を抜いてみてくれるか
のり子,え？この剣抜けるの？
百合子,選ばれし勇者には抜けるらしいですよ！
P,選ばれし勇者なら抜けるぞ
のり子,あぁ、そういう感じ？よーしじゃあアタシが抜いちゃうよー！。えいっ、むっ、ぬぬぬぬぬぬ！！！。っはぁー！無理ぃー！絶対抜けるようになってないでしょコレ！
P,ふっふっふっふ･･･、貸してみなさい
のり子,いやいや、抜けそうな気配なかったから。無理だよコレ
P,ふんっ
のり子,！？
百合子,！？
P,ふっふっふっふ･･･
のり子,えぇっ！？どうなってんの！？
百合子,すごいっ！本当に選ばれし者にしか抜けない勇者の剣だったんですね！。ハッ、ということはプロデューサーさんは勇者ということ･･･？もしかしてこれまで身分を隠して劇場に潜伏していた亡国の末裔で･･･
P,ふっふっふっふ･･･。百合子も挑戦してみるか？
百合子,はいっ！やってみます！。ん、やっぱり抜けない！ピクリともしません！
のり子,えぇ～、なんか仕組みがあるんじゃないのー
P,選ばれし者ですから
百合子,選ばれし者なんです！
のり子,なんで百合子まで威張ってるのさ･･･
P,えー、ネタばらしをしますと。ここにスイッチがあって、ここに足をかけるとストッパーが外れる。これで楽に剣が抜けるので、多少力を入れるフリをすればOK
のり子,あっ、本当だ。気付かなかった。
百合子,私も、私もやっていいですか！？
P,もちろんいいぞ。あっ、じゃあ俺今度は剣抜けないヒトやるね
百合子,お願いします
のり子,？？
P,うおぉぉぉ～！！！！！･･･ハァハァ、村で一番力自慢の俺でも抜けないなんて･･･
のり子,いやそんな細身で何言ってんのさ
P,もう残りは百合子だけか。この村にも勇者は居なかったか･･･
百合子,い、一応挑戦してもいいですか？。でも、そうだよね。ただの農婦の私に勇者の剣が抜けるわけが･･･
のり子,茶番がすごい
百合子,えいっ！
P,な、なにぃぃぃ～～～！？！？
百合子,ぬ、抜けたっ！？私が、勇者！？
P,そんな訳が無い！何かの間違いだ！きっと俺の力で抜けかけていたんだ！
のり子,百合子よりプロデューサーの方がノリノリだよね
百合子,楽しかったです。ありがとうございます。
P,いえいえ。百合子！これがさびたカギ、これがまほうのカギ、これがさいごのカギだ！
百合子,！！。すごく綺麗なカギですね！どこの鍵ですか？
P,知らんっ！
百合子,えぇっ！？
P,劇場の倉庫の棚にあった鍵だ！もしかしたら小道具で使ったやるかもしれん！
百合子,そんなぁ！じゃあさっきの名前は一体！？
P,このカギは何となく錆びてるし、このカギは何となく色が綺麗だし、このカギは何となくオールラウンダー
百合子,分かります。序盤、中盤、終盤って感じですね。まほうのカギはきっと、新しいワールドに移動するときに必要なカギですね
P,何故こんなカギが倉庫に･･･？
百合子,とにかく、使ってみましょう。じゃあさびたカギから･･･。そもそも鍵穴に入らない･･･
P,そうとう余裕のあるところじゃないと入らなさそうだな
百合子,最初の村の村長のドアとか
P,村長さんを何だと思ってるの？
百合子,ふふふ･･･
P,急にどうした百合子
百合子,まほうのカギの使い方は分かりますよ！こうやって！
P,なっ！？空気に向かってカギを！？
百合子,こうですっ！
P,･･･
百合子,･･･
P,･･･
百合子,･･･。･･･いま、異世界への扉が開きました。
P,そうだな
百合子,折角なのでさいごのカギも･･･。そもそもさいごのカギって何でしょうね？なにがさいごなんでしょうね。
P,さぁ？全てのドアの最期とかじゃない？
百合子,殺さないであげて下さい･･･。･･･では。！？開いた！？
P,えっ！？
百合子,ここ、事務所のドアですよね！？なんで開くんですか！？
P,え、ごめん本当？あれ、本当だカギがかけれる。これはもしや･･･。･･･
百合子,応接室のドアも！？まさか本物のさいごのカギ！？！？
P,あー･･･
百合子,どうしましょう！ついに私たち伝説のアイテムを見つけちゃったんですか！？。すごい！一体なんＧで売れるんでしょう！
P,ちょっとごめんね
百合子,プロデューサーさん？一体どこに電話を？
P,もしもし美咲ちゃん？マスターキーの管理の確認させてもらって良い？
百合子,えっ、あの、さいごのカギって･･･
P,ごめん百合子、ちょっと真面目な話しなきゃいけなくなっちゃった
百合子,あ、ハイ･･･
P,百合子！これがピアノ線を自由に出し入れ出来るグローブだ！
百合子,！！
P,クククク･･･
百合子,かっこいいです！早く見せてください！
P,ちょっと危ないから離れててね
百合子,はい
P,クククク･･･
百合子,･･･
P,･･･ｯｼ！
百合子,おぉ～～！！！
P,･･･ﾌﾝｯ！ﾄｱｯ！
百合子,おぉぉぉ～～～！！！！！
P,･･･ふっ
百合子,すごいです！かっこいいです！。スマートに敵を排除するヒットマンみたいでした！間違いなく普段はクールで、淡々と仕事をこなすタイプですね！
P,あまり騒ぎ立てるなよ
百合子,キャー！。私も！私もやってみたいです！
P,よし、じゃあ危ないから使い方を説明するぞ。まずこのグローブを嵌めまして
百合子,おぉ～！
P,デフォルトではロック状態になっています
百合子,ですね
P,あ、危ないから俺が離れてから手振り回してね
百合子,はい
P,そして第3関節のウラがスイッチになっていて、中指を曲げると押すことが出来る
百合子,ふむふむ
P,中指を曲げたまま、手を振ると遠心力で先に錘のついたピアノ線が飛び出す
百合子,えいっ。！！。すごい、すごいかっこいいです！
P,百合子、危ないから
百合子,はい
P,この状態がリリース状態。これで適度な長さに伸ばしたらまたロックして固定
百合子,ふむふむ
P,そして、手首のボタンを押すと巻き取りだ
百合子,おぉ～！
P,じゃあ、俺は離れてるから
百合子,はい！。･･･。･･･お前か。･･･。いつも退屈なモノだ。ゴミ掃除など･･･。･･･覚悟はいいか？。･･･！！。すごいっ！すごくかっこいいです！プロデューサーさん！見てください！
P,お願いだから巻き取ってからにして、危ないから。
百合子,あ、はい。でもピアノ線って、やっぱり硬いんですね。漫画みたいに綺麗にしならなくて、アレは相当早いスピードで振ってるんですね
P,百合子、危ないって
百合子,巻き取るときのポーズも考えなくっちゃ
P,うおっ！
百合子,線の伸ばし方ももっとこう、スタイリッシュな感じで
P,ひいっ！
百合子,没収されました
P,当然です。百合子！これが3つの割れた石版を嵌めこむと開く扉だ！
百合子,！！
P,これがその石版のうちの一欠けらだ。
百合子,なんだか遺跡めいたものを感じます！
P,もう二つは、この事務室のどこかに眠っている･･･
百合子,なっ！？この事務室にそんな秘密が！？
P,百合子にこの謎が溶けるかな･･･？
百合子,私に解けない謎はありません！絶対に解いてみせます！。･･･と言っても、結構大きいので簡単に見つかりました。
P,ククク･･･、やはり直径20cmはデカ過ぎたか･･･
百合子,私が、この扉にかかった呪いを解いてみせます！。･･･ふぅ。
P,ククク･･･、やはり厚みが2cmもあると結構重そうだな･･･。手伝うね
百合子,ありがとうございます。これで･･･最後っ！！。なっ、光が･･･！！。扉が･･･開く･･･っ！。････
P,･･･
百合子,特に何もないんですね
P,扉の製作で精一杯でした
百合子,でもこれ、すごいですね。どうなってるんですか？
P,実は三箇所の欠片の窪みに合わせて、ここが押し込まれるようになっています
百合子,あっ、ほんとだ
P,なので指でココを押し込んでも扉が開いてしまいます
百合子,うわっ！まぶしっ！近いとこんなに眩しいんですね！。･･･
P,･･･
百合子,指でスイッチを押したら開いちゃう扉って
P,･･･まぁ、みなまで言うな。ところでこれらの制作費って、経費で落ち
美咲,落ちませんっ！！
