モバマス,アニメ
武内P,神崎さんの新しい衣装のデザインを、フィリア学院の生徒の方に担当していただくことになりました
未央,フィリア学院っていうと……去年できた服飾の専門学校だよね？
卯月,コンクールですごい成績を収めた人達も通っているそうです。去年は女の子の生徒だけだったらしいですけど、今年から男女共学になったって聞きました
凛,そんな学校あったんだ。蘭子は知ってた？
蘭子,む……我が魔導書には記されていないようね
未央,一度校舎見たら忘れないと思うよー。さすが芸術の学校！って感じだった
みく,でも、どうして蘭子チャンの衣装を生徒の子に任せることになったの？
李衣菜,確かに。学生ってことは、まだいろいろ修行中なんじゃないの？だったらプロに任せたほうが
武内P,……実は、この案は今西部長から提示されたものでして
未央,部長さんから？
武内P,はい。部長のお知り合いに、独特の感性を持った芸術家の卵がいるそうです。それが、今回衣装のデザインを依頼した女生徒の方なんです。舞踏会をより魅力あるものにするため、若いデザイナーの力を借りてみてはどうか――部長はそうおっしゃっていました
みく,常務に対抗するための新戦力ってことかにゃ？
武内P,対抗、というのは微妙ですが……概ね、その通りです
蘭子,私の新たな形態を生み出す者……フフフ、魂が呼応しているわ
武内P,近日中に事務所を訪れる予定です。その時に、会えるかと思います
蘭子,うむ！かの者もまた、瞳を持ちしモノであることを願うぞ
李衣菜,私達と年近いだろうし、どんな子なのか気になるね
小倉朝日,346プロダクション、ですか？
桜小路ルナ,そこに所属するアイドルの、ライブで使用する衣装のデザインを依頼された
ルナ,近いうちに直接プロダクションに足を運ぶ予定だから、欲しいアイドルのサインがあれば考えておくといい
朝日,わかりました。しかし、私はアイドルにはあまり詳しくないもので……
花之宮瑞穂,最近はアイドルがブームだから、テレビとかにも可愛い子がたくさん出ているわ
ユルシュール・フルール・ジャンメール,わたくしも何度か見たことがありますわ。確かにビジュアルはなかなかのものでしたが、それでもこのわたくしには及びませんわね。オーッホッホ！
柳ヶ瀬湊,ていうか珍しいね？ルナがそんなに嫌そうな顔見せずに外出するなんて
ルナ,依頼主の男性とは昔からの知り合いなんだ。気さくで面倒見のいい人だから、私もある程度は信頼を置いている
朝日,ルナ様が、男性に信頼を……
ルナ,ああ、心配しなくてもその男性は50代だ。私が浮気するようなことはないぞ
朝日,そ、そんな心配はしていませんっ
ルナ,そうか？
朝日,当然です。ルナ様は誠実で純潔なお方ですから。私はルナ様が隠れて浮気をするなどといったことは考えたこともありません
ルナ,……フフ、君は相変わらず人を褒めるのが上手だな。可愛いやつめ
朝日,ありがとうございます。お優しいルナ様
湊,あちゃー。また二人だけの空間ができあがっちゃってるよ
ユルシュール,こういうのを、日本語では……ナカがいっぱいと言うのでしたわね
瑞穂,正しくは、お腹いっぱい、ね
今西部長,やあ。よく来てくれたね、桜小路くん
ルナ,お久しぶりです
部長,また背が伸びたんじゃないかい？
ルナ,……それは、ちびっこい私への嫌味ですか
部長,いやいや、そういうわけじゃない。単純に前に会った時より大きくなったと思っただけだよ
ルナ,まあ、同年代の者より伸び幅が小さいだけで、身長が伸びたことは事実ですが
部長,気を悪くしないでもらえるとありがたいね。……ところで、そこにいる彼女は
ルナ,従者の小倉です。しばらく前から雇っています
部長,ほう、そうかね。いや、とても可愛らしい子だと思って、つい尋ねてしまった。君の従者でなければ、すぐにでもアイドルにならないかと声をかけていたところだよ
ルナ,……ほう？それはそれは、きっと小倉も光栄でしょう。なんなら本当にアイドルにしてしまっても
朝日,～～っ！
部長,……ものすごい勢いで首を横に振っているようだけど
ルナ,照れているだけです。しかし、かまわなかったのですか？職場に私の友人を連れてきて
部長,学生の君に仕事を頼むんだ。そのくらいのことならまったく問題ないよ
ルナ,ありがとうございます。彼女達もアイドルというものに興味があったらしく、喜んでいました
部長,今は千川くんに案内を任せているから……そろそろシンデレラプロジェクトの部屋に着くころじゃないかな
ルナ,確か、今回の衣装を着る女性もそこに所属しているんでしたか
部長,神崎くんには、彼女のプロデューサーと一緒に別室に来るよう伝えてある。君もあとでそこに向かってほしい
ルナ,はい。よかったじゃないか、朝日。君はどうやらアイドルとしてやっていけるだけの風貌があるらしい
朝日,その話はおやめいただけないでしょうか
ルナ,瑞穂あたりに話せば、本気でデビューに向けて動き始めるかもしれないな
朝日,お許しください……アイドルが性別詐称なんてシャレになりません
ルナ,それがだな。確か最近そういった事例が本当にあったようで――
朝日,と、ところでルナ様！この後お会いになる神崎さんという方についてはご存知なのでしょうか！
ルナ,露骨に話題を逸らして来たな……まあ、今回はこのくらいで許しておいてやろう。君の質問に対する答えだが、ノーだ。彼女のライブの映像なども見ようと思えば見られたが、見ていない
朝日,それは、どうしてでしょうか
ルナ,ライブの衣装を見てしまうと、どうしてもその衣装のイメージと彼女自身のイメージが混ざりやすくなってしまうからな。今回の衣装は私がデザインするのだから、できるだけ余分なイメージは頭に残したくない。だから、これから直接この眼で、ありのままの彼女を見ることにする
朝日,なるほど。ルナ様らしい良いお考えだと思います
ルナ,ん。では行こう。神崎蘭子の待つ部屋へ
凛,スイスって言うと……エーデルワイス？
ユルシュール,その通りですわ。我が祖国を象徴する美しさを持った花、それがエーデルワイスなのですわ
凛,確かに、きれいな花だよね
ユルシュール,凛は話がわかる人ですわね。私と同じく犬を飼っているようですし、気が合うのかもしれませんわ。わたくしのモトカレと凛のハナコ、いつか挨拶をさせたいですわ
凛,も、元カレ？
ユルシュール,わたくしの飼い犬の名前ですわ
凛,なんで犬にモトカレなんて名前つけてるんだろう……
瑞穂,わあ、おいしそうなマカロン！
かな子,よかったら、食べますか？
瑞穂,いいんですか？
かな子,もちろん♪
瑞穂,では喜んで……あっ、でも最近少しカロリー摂取を控えようかと考えていて
かな子,少しくらいなら、おいしいから大丈夫ですよ。無理をしすぎると身体にも悪いですし
瑞穂,……ですよね。おいしいから大丈夫ですよね♪
みりあ,すごーい！じゃあ本当にお嬢様なんだ！
湊,えへへ。ていっても、私は他の子達に比べるといろいろ格が足りないっていうか
莉嘉,いーじゃんカクなんて。アタシ達から見たらどっちも同じだよ☆
湊,そ、そうかな。よーし、気分がいいからお姉さんが一緒に遊んであげよう！
みりあ,わーい！
莉嘉,やったね！
ルナ,失礼します
武内P,はじめまして、桜小路さん。私は、神崎蘭子さんのプロデューサーを務めている者です
ルナ,はじめまして。桜小路ルナです
朝日,この大きな男の人がプロデューサーかぁ。すると、彼の背後にいる女の子が――。……あれ？あの人の容姿、ルナと……
武内P,神崎さん。こちらの方が、今回の衣装のデザインを担当してくださる桜小路ルナさんです
蘭子,………
武内P,……神崎さん？
蘭子,っ！は、はいっ
朝日,神崎さんの反応が遅れた理由は、おそらくルナの容姿を凝視していたから、だと思う。ルナの白すぎる素肌や紅い瞳、そして銀の髪は、初見の人にとっては奇異なものに映ることが多い。もちろん、僕は彼女のそれらすべてが美しく、愛おしいと思っているけれど
蘭子,クク、我が名は……じゃなかった。は、はじめましてっ。神崎蘭子、です
ルナ,よろしくお願いします
蘭子,はいっ……お願いします
ルナ,プロデューサー殿。早速ですが、彼女を少しお借りしても？
武内P,かまいません。私はこの後席を外しますが……神崎さん、よろしいでしょうか
蘭子,う、うむ。独りでも闇の力は発揮されん
ルナ,……闇の力？
武内P,それでは、失礼します
ルナ,………
蘭子,………
朝日,………なんだか空気が重い
ルナ,朝日
朝日,はい、なんでしょうか
ルナ,神崎さんの緊張をほぐすために君がなんとかしろ。ほら、マンチェスター仕込みのジョークとか、なにかあるだろ
朝日,ええっ！？わ、私がですか？
ルナ,無茶振りに応えてこそ私のメイドだ
朝日,そんな……
蘭子,……？
朝日,た、確かにこのまま話が進まないのは互いにとって良くないことのはず。ここは僕が、場を和ませられるような一言を……。………。や、やる気マンゴスチンですっ！
蘭子,………
ルナ,………。おい、まさか今ので終わりじゃないだろうな
朝日,申し訳ありません……
ルナ,アホか君は。そんなくだらない言葉遊びで笑いがとれるわけが
蘭子,ふふっ……マンゴスチン……ぷっ
朝日,ウケてる！？
ルナ,奇跡だ……世の中わからないことだらけだな
朝日,ええと……お二人の年齢はさほど離れていないようですし、少しフランクな口調を心がけてみるのはいかがでしょうか
ルナ,それが君のもうひとつの策か。まあさっきのよりはマシだな。さて、神崎さん。潤滑なコミュニケーションのため、堅苦しい言葉遣いはなしにしようと思う。いいだろうか
蘭子,は、はい。大丈夫、です
ルナ,では早速。衣装のデザインをするにあたって、あなたのことをよく知っておこうと考えているんだが……
蘭子,あ、あのっ！
ルナ,ん？
蘭子,その……あなたの……えっと
朝日,神崎さんの言葉はしどろもどろだったけれど、僕もルナも彼女の言いたいことはなんとなく理解できた
