※,コントっつーか漫才じゃね？
翔鶴,第五航空戦隊所属、翔鶴と申します。本日はよろしくお願いします
瑞鶴,挨拶カタいって翔鶴姉、もっと気楽にさぁ
加賀,あなたはもっと気を張ることを覚えるべきね……大体どうして私が五航戦と一緒に出なければならないのかしら
翔鶴,そう言わないでください加賀さん、今回は瑞鶴がどうしてもお礼をしたいと言って聞かなかったんですから
瑞鶴,……別に、普段の借りくらいは返そうと思っただけだし
加賀,あなたたち……
翔鶴,現実には無理でも、お芝居で加賀さんの夢を叶えてあげたいって
加賀,……そうまで言うなら、少しだけ期待するわね
瑞鶴,ほら、加賀さん前から言ってたでしょ？一度でいいから紅白に出て歌ってみたいって
加賀,一度も言っていないし歌う気もないわ
瑞鶴,でもさ、一時期出撃すると加賀さんの歌が流れてたじゃない？
加賀,どうして敵に遭遇する度に歌わされていたのかは置いておくとして、そうだったわね
瑞鶴,その時どうだった？歌うの、楽しくなかった？
加賀,それは……歌は嫌いではないけれど
翔鶴,私達、紅白みたいな大舞台は用意できなくても、加賀さんのために一生懸命準備したんです。どうか歌っていただけませんか？
加賀,……わかったわ、一曲だけね
瑞鶴,やったぁ！
翔鶴,では私が司会と演出、瑞鶴がADを担当しますので、加賀さんは歌手の役をお願いしますね
加賀,AD、って……結構本格的なのね
瑞鶴,加賀さん、出番次なので準備お願いしまーす
加賀,は、はい……さすがに少し緊張するわね
翔鶴,いつも通りで大丈夫ですよ、私もお手伝いしますから
瑞鶴,本番5秒前、4、3、……
慕いし艦,ひと
一隻,ひとり
加賀,こ
瑞鶴,ちょっとストップ一旦曲止めてー
加賀,え？
瑞鶴,おじいちゃん、今収録中だから入ってきちゃダメだからねー
加賀,徘徊老人が侵入する場所って、どこで収録しているのよ
翔鶴,興奮するのは分かりますけれど、きちんと観覧席にお座りになってくださいね
加賀,……ごめんなさい、ファンの方をそんな風に言ってはいけなかったわね
翔鶴,那珂ちゃんのライブは奥のDステージでやっていますので
加賀,アイドルオタクだったの？私のファンではなくて？
翔鶴,申し訳ありません、今後はセキュリティチェックを徹底させますので……最初の入りからお願いできますか？
加賀,そういう問題ではない気もするけれど……本当に大丈夫？
翔鶴,加賀さんに気持ちよく歌っていただくため、全力を尽くします！ね、瑞鶴？
瑞鶴,もちろんよ！
加賀,……わかったわ、準備してちょうだい
瑞鶴,本番5秒前、4、3、……
翔鶴,夜の波間に響かせる片野の海の電いなづま
昏く往き交う雷鳴の誘,いざな
加賀,こ
瑞鶴,ストップ！曲止めて！
加賀,またなの？
瑞鶴,すいません車入りまーす
加賀,なに？野外だったの？
翔鶴,あ、警察の方ですか…いえ、届け出とかはちょっとしてないんですけれど……
加賀,しかも無許可なのね？
翔鶴,はい、はい……30分以内に終わらせるなら今回は大丈夫だそうです
瑞鶴,よし、セーフね
加賀,アウトよ
翔鶴,すみませんこちらの不手際で……もう一度最初からお願いしてよろしいでしょうか？
加賀,まあ、然るべき手続きはきちんとしてもらいたかったけれど、起きてしまったことは仕方ないわ。やり直すしかないでしょう
翔鶴,ありがとうございます！瑞鶴、急いで準備お願い
瑞鶴,オッケー翔鶴姉！本番5秒前、4、3、……
翔鶴,朧月夜に誘われて泪なみだ
加賀,こ
瑞鶴,ストップストップ！一旦ストップで！
加賀,……今度は何？
瑞鶴,だから何度も言ってるでしょ、そういう風には放送できないのよ！
加賀,なんだか揉めているみたいだけれど
翔鶴,私達もジャーナリストの端くれ、政府の圧力に屈するわけにはいきません！
加賀,これ、歌番組よね？
瑞鶴,こっちには表現の自由があんのよ、おととい来やがれっての！
翔鶴,大丈夫です加賀さん、何があっても私達がお守りしますから！
加賀,頼もしいセリフではあるけれど、まずは私の歌い出しを守ってほしいわ
翔鶴,本当に申し訳ありません！私はともかく瑞鶴ならいくら殴っても構いませんから！
加賀,平然と妹を差し出したわよこの子
翔鶴,間違えました、瑞鶴はともかく私ならいくら殴っても構いませんから！
加賀,言い直されても手は上げないわ
瑞鶴,じゃあ怒ってないのね？
加賀,頭にきてもすぐに殴らないだけよ、人をチンピラ扱いしないでもらえる？
翔鶴,とにかく準備し直しますので、少しだけお待ちください
加賀,本当に頼むわよ……
瑞鶴,本番5秒前、4、3、……
翔鶴,夕闇時の陽炎は橋立港みなと
加賀,こ
瑞鶴,ストップ！音楽すぐに止めて！
加賀,さっきから私こしか歌っていないのだけれど
瑞鶴,加賀さん、絶対に向こうの人とは目を合わせないで
加賀,そんなに危ない人が来る場所なのここは？
翔鶴,はい、ええ、はい……取引の前には撤収する予定ですので
加賀,今さらっと取引って言ったわね
翔鶴,加賀さん、少々まずいので急いで終わらせましょう
加賀,少々どころじゃなくまずいことくらいわかるわよ
翔鶴,トラブル続きでお詫びの言葉もありません……
瑞鶴,ごめん加賀さん、せっかく歌おうとしてるのに何度も台無しにしちゃって
加賀,いえ、あなたたちも頑張っているとは思うのよ？前奏中の前口上とか……
翔鶴,嬉しいです！番組のTwitterで募集をかけた甲斐がありました！
加賀,ごめんなさい、たった今褒められるところがなくなったわ
翔鶴,でしたら、汚名はどうかステージで返上させてください！
加賀,……ええ、そうしてもらいたいわね、本当に
瑞鶴,本番5秒前、4、3、……
加賀,ちょっと曲止めて。今のは何？
翔鶴,MCカガーの紹介ですけど
加賀,MCハマーみたいに言うのをやめなさい
瑞鶴,デトロイトじゃ知らない人はいない伝説のラッパーが今更何よ
加賀,やたらと治安の悪さを匂わせてたけれど国内じゃなかったのね、それとフリースタイルバトルで名声を博した覚えはないわ
翔鶴,そんな、いったい何が不満なんですか！？
加賀,あえて言うなら全部よ。とにかく普通に歌わせてくれるならそれで……
翔鶴,大変、もう取引の時間だわ！
加賀,だからどうしてそんな危険な場所で収録していたの？
瑞鶴,警察と政府の派遣した軍隊とで、三つ巴の睨み合いになってるよ！
加賀,どこの世紀末よ、デトロイト市民に謝りなさい
