山花作治,７７
春。朝、とある住宅街。一軒家。塀の門には,山花
テロップ,山花作治７７
テレビ,本日の特集は、IoTです。IoTとは、InternetofThingsの略で……
山花,ふん。デジタルだとか、ITだとか……。どんどん世の中が複雑になっていくな……。…………。秋絵……。お前が死んでから、俺は一人ぼっちになってしまったよ……。こらっ、静かにせんか！！みんなの迷惑になるだろうが！！
男の子たち,すいませーーーん
山花,全く……。このボウズどもは、家でどんなしつけを受けているんだ……
喪黒,いやぁ、バスの中でのさっきの一喝……。あれは本当に、胸がスカッとしましたよ
山花,まあ、その……。私は当たり前のことをやったまでですから……
喪黒,ほう……。山花さんは、小学校の元用務員だったのですか？
山花,そうですよ。だから、さっきは昔の癖が出てしまって……
喪黒,それで、バスの中で子供を叱ったというわけですね？
山花,はい
喪黒,どうやら、山花さんはくそ真面目で曲がったことが嫌いなお方のようですなぁ
山花,私は昔から、周りにそうよく言われてきました
喪黒,それでもって、あなたは自分にも他人にも厳しい性格でしょう？
山花,おっしゃる通りです。私のことを理解してくれたのは妻だけでしたが、妻は数年前に亡くなりました
喪黒,では、今のあなたは一人暮らしですか？それじゃあ、寂しいでしょう……
山花,寂しくないと言えば嘘になりますよね
喪黒,山花さん。老後を生きるのなら、話し相手や生きがいくらいは持った方がいいですよ
山花,今の私は、死ぬまでそんなものとは無縁でしょう。それもこれも、今までの自分の生き方がもたらした結果ですから……
喪黒,分かりました……。あなたのために、私が何とかしましょう
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
山花,これは、ウォータープルーフの名刺……
喪黒,そうです
山花,それにしても、ココロのスキマ、お埋めしますというのは……？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
山花,は、はあ……
喪黒,山花さん。あなたが話し相手や生きがいを持ついい方法がありますよ
山花,何ですか？それは……
喪黒,菊を育てることです。菊を育てるというのは、あなたのいい趣味になるはずですよ
山花,菊を育てる……。ああ……。用務員だったころ、小学校の庭園で菊を育てていたことがありました
喪黒,そうですか。ならば……。菊を育てることは、今の山花さんになおさら向いているでしょうねぇ
山花,うーーーん……
喪黒,自分の手でじっくり育てることにより、菊に対して親しみがわくはずです
山花,確かに……
喪黒,しかも、菊は春に植え付けを行い、秋に開花を楽しむ植物なのですから……
山花,そうかもしれませんね……
喪黒,山花さん、菊を育てる気になりましたか？
山花,はい。あなたがそこまでおっしゃるのなら、騙されたと思って……
BAR,魔の巣
山花,菊の苗のカタログですか……。結構、豊富な種類の菊を扱っていますね
喪黒,山花さん。この中から、お好きな種類の苗をお選びください
山花,分かりました。じゃあ、私はこれにします……
喪黒,あなたが選んだ苗は、宅急便で自宅に届きますよ
山花,この苗を、私はじっくり育てるのですね
喪黒,そうです。ただし、山花さんには約束していただきたいことがあります
山花,約束！？
喪黒,はい。私は、あなたに話し相手と生きがいを与えるために菊の栽培を提案しました
山花,わ、分かりました……。喪黒さん
配達員たち,山花さん、宅急便でーーす！！
山花,これが菊の育て方……。ずいぶん詳しいな……。用務員のころを思い出してしまったよ。ここにある苗が、秋には満開の花を咲かせるのか……。秋絵。俺はある人物に勧められて、菊を栽培することになったんだ。まるで、実の孫ができたかのような気分だ……。えーーと……。これが菊の肥料か……。大きくなれよ。お前たちが花を咲かせる日を、俺は待っているからな。喪黒さんに言われるまでもなく、菊は丹精込めて育てるつもりだ……。どうだ……。なかなか、りりしい姿になっただろう？。はーーい、山花です
喪黒,こんにちは、山花さん
山花,ああ、喪黒さん。お久しぶりです
喪黒,山花さん。どうやら、菊の栽培はあなたのいい趣味になったようですねぇ
山花,ええ。おかげさまで、あいつらが育つのは私の生きがいになりました
喪黒,当然ながら、菊の花はあなたの話し相手にもなったでしょう？
山花,はい。今までの私は孤独でしたけど、現在ではあいつらが話し相手になってくれて本当に楽しいんです
喪黒,よかったですなぁ、山花さん
山花,あいつらは、まさに私の実の孫のような存在です。あの菊の花は、本当にかわいくてたまりません
喪黒,どうやら、山花さんは私との約束を守っているようですねぇ。今のところは……
山花,そりゃあ、もう……。菊の栽培なしに、今の私の人生は考えられません
喪黒,山花さん。年を取ってから、生きがいを持つというのはいいことですよ
山花,ええ。喪黒さんのおかげで、私は幸せな老後の人生を送れそうです。本当に感謝していますよ
喪黒,これはこれは、実に恐縮です……。このままいけば、あなたの菊は満開の花を咲かせてくれるでしょう
山花,大丈夫ですよ。私は、あいつらを大切に育てていますから……
喪黒,だといいんですがねぇ……
山花,おお。ようやく色づいてくれたか。もう少しだ。もう少しで、花を咲かせそうだな。頑張れよ。家の庭に、菊の花があるんです！！私が大切に育てたあいつらが！！
消防士たち,おじいちゃん、落ち着いてください！！
山花,離してください！！私は菊の花を取りに行きたいんです！！。ウ……、ウウウ……。ウオオオオオオオ……！！！
親戚の子供,ピーマン嫌ーーい
山花,こら！好き嫌いをせず、ちゃんと食べなさい！
親戚の夫,全く……。親戚の老人を引き取るなんて、気苦労が多すぎるよ
親戚の妻,ホント……。こっちにとっちゃ、災難もいいところね！
喪黒,やぁ、山花さん
BAR,魔の巣
山花,喪黒さん……。私が丹精込めて育てた菊が、みんな焼けてしまいました……！！
喪黒,それはお気の毒ですなぁ……。山花さん……
山花,私は家を失った上に、話し相手も生きがいも失ってしまいました！！
喪黒,いやはや……。あなたのご心労、察するに余りあります
山花,それにですよ……。今の私は、親戚一家のもとで居候をしているんですが……
喪黒,大変ですねぇ……
山花,ああ……。これから先、どうやって生きていけばいいのか……。もう、私は世の中が何もかも嫌になりましたよ
喪黒,分かりました……。私が何とかしましょう。山花さん、私に着いて来てください。着きましたよ。山花さん
山花,喪黒さん。ここで一体、何をするんですか……？
喪黒,山花さん。あなたは、世の中が何もかも嫌になったのですよね？
山花,はい。今の私は生きる望みが全くありませんし、世の中にもうんざりしています
喪黒,山花さん。あなたの望み、今すぐかなえてあげますよ
山花,えっ！？
喪黒,さあ、山花さん……。私の手をじーっと見つめてください
山花,ギャアアアアアアアアア！！！。喪黒さん……。何となく気分が落ち着いてきたんですけど……。何が起きたんですか？
喪黒,山花さん。あなたはたった今、人間から菊の花に変身したのですよ
山花,私は菊の花になったんですか？
喪黒,そうです。あなたは金色の特殊な菊になったのですから、永遠の命を保ち続けることができます
山花,そうですか……。そりゃあ、いいですね……
喪黒,しかも、山の奥で咲いているのですから、一般人に見つかることはありません
山花,それはありがたいですね……。私の望みが、これ以上なくいい形でかなったのですから……
喪黒,どういたしまして……
山花,ねぇ、喪黒さん……。人間って本当に醜い生き物ですね。過ちやいさかいを繰り返し、欲望に振り回されて……
喪黒,ええ。人間は誰もが皆、心にスキマを抱えているのですよ。だから、私の仕事はなくならないのです
山花,恥ずかしながら、菊になる前の私もそうでした。でも……。今の私は大自然と一体化できて、本当に心が安らかですよ
喪黒,老人は様々な経験や知恵を持っていますが……。一方で、彼らは好奇心の喪失や虚しさも同時に抱えています
