女奴隷,
オーク,チッ、もう壊れちまったか
ゴブリンシャーマン,壊れないように媚薬を使って快楽漬けにしたのでは？
オーク,ダメだな、人間は脆過ぎて媚薬で誤魔化した程度じゃ耐えられねぇ
ゴブリンシャーマン,それでは耐え切れるように媚薬に効果を追加しますか？
オーク,そんなことができるのか？
ゴブリンシャーマン,できますよ、そもそもその媚薬自体が効果付与の魔法薬の一種ですし
オーク,えっ、それ初耳なんだけど
ゴブリンシャーマン,都合よく快感だけを高める薬とか魔法以外ありえないでしょ
オーク,たしかに
ゴブリンシャーマン,それで、どうしましょうか
オーク,じゃあまずは体力上限の増加かな？
ゴブリンシャーマン,そうですね、貧弱な人間の体力は心許ないですから
オーク,あと長く持たせるために回復も入れて欲しい、なんでかガンガンダメージ入ってくんだよな
ゴブリンシャーマン,そりゃオークさんのは正しく凶器ですし……はい、体力増加と自動回復入りました
オーク,うおっ！？媚薬が輝きだしたぞ！！
ゴブリンシャーマン,複数効果付与の魔法薬は高ランクになりますから、その証拠ですよ
オーク,効果の追加が成功したってことか。ありゃ、でももう輝きが弱くなってないか？
ゴブリンシャーマン,あー……付与に使う魔力が多すぎて魔法薬の魔力が枯渇しちゃってますね
オーク,ダメじゃんそれ
リッチ,お困りのようだな！
ゴブリンシャーマン,あなたはこのダンジョンで一番の魔術ヲタクと名高い、リッチさん！
リッチ,フフフ、そう褒めるでない
オーク,いや褒めてないけど
リッチ,こういう場合は、薬には起動用の僅かな魔力だけを込めて服用者の魔力を消費して発動させるのじゃ
ゴブリンシャーマン,でもこれ人間用ですよ？
オーク,そうそう、時々でてくるバケモノ級以外は人間って魔力はからっきしだろ
リッチ,そこで更なる裏技じゃ。魔力増加の付与も一緒に追加する！
オーク,おおっ！
ゴブリンシャーマン,でもそれ付与が複雑になり過ぎますけど成功するんですか？
リッチ,そこが魔術師の腕の見せ所よな！
オーク,しかし、リッチがここまでノリノリで協力してくれるとはな
ゴブリンシャーマン,アンデッドだし媚薬なんて興味なさそうですもんね
オーク,ナニもとっくに腐り落ちて骨しか残ってないもんな
リッチ,まあ単純に魔術的なやり甲斐があるのと……ワシも男だしロマンは解するよ？
オーク,アンタみたいなリッチがいてくれて本当に良かった……！
リッチ,さてと、これからどうする？
ゴブリンシャーマン,えっ、まだ完成じゃないんですか？
リッチ,類似系統の付与魔法はある程度まで一本化して処理を軽減できるんじゃよ。例えば体力増加と魔力増加は結構近い
オーク,えーっと、じゃあ長持ちさせるために防御力強化とか？
リッチ,それなら一緒に攻撃力強化も付与できるぞ
ゴブリンシャーマン,いや攻撃力強化してどうするんですか
リッチ,攻撃力強化とは即ち筋力の強化、つまり……
ゴブリンシャーマン,つまり？
リッチ,締りが良くなる
オーク,リッチさん……！
リッチ,それでどうする？
オーク,お願いします！！！
リッチ,そうじゃな、あとは……精神異常耐性なんかどうじゃ？
ゴブリンシャーマン,あれって混乱や魅力をレジストする効果付与だったのでは
リッチ,実は狂化も防げる。まあデメリット持ちのバフとして使う狂化をわざわざレジストする機会がないからあまり知られていないがの
オーク,つまり、快楽漬けに狂って壊れるのも？
リッチ,当然防げる
オーク,リッチさん……！
リッチ,ついでに快感増加に近い系統の付与、感覚拡大とか反応速度向上とかも追加しちゃおうかのう！
オーク,狂えない中で感覚研ぎ澄まされて感じまくるとか最高ッスね！
リッチ,あと性病対策に耐毒も追加して、これで輪姦するときも心配無しじゃ！
ゴブリンシャーマン,至れり尽くせりですね！
リッチ,これらをワシの魔術研究のノウハウの粋を集めて一つにまとめあげ……完成じゃ！
オーク,おおおおおおッ！！！
ゴブリンシャーマン,やりましたねオークさん！
ゴブリン,オークの旦那、女騎士を捉えて参りやした！
オーク,ナイスタイミングだ！
女騎士,くっ……殺せ！
オーク,殺しはしない、お前はこれから一生俺たちの性奴隷として生きていくんだよ
女騎士,な、何だその薬は……うっ、体が熱い！？
オーク,そいつはなぁ
リッチ,……まだ、生きておるかお主ら？
オーク,な、なんとか……
ゴブリンシャーマン,作っているときは夢中で気づかなかったですが……
リッチ,ワシらは……もしかすると……
オーク,とんでもないバケモノを産み出してしまったのかも知れない……
