しかしある日私はとうとうこいつを,汚して
誰かが叫んだ。,泥棒！
これで私も,立派
ふと、後ろから,おい
アンチョビ,お前、バイクの運転が相当速いみたいだな。見込みがあるぞ。ん？このりんごか？お前が捨てたからもったいないと思ってな。30秒ルールだ。細かいことは気にするな。3秒も30秒も変わらん。それよりもお前、戦車道をやってみないか？。そうそう私はドゥーチェ・アンチョビ。アンツィオ戦車道チームの隊長だ。未経験を気にする必要はないぞ。お前はまだ一年生だろう？。これからならなんだって始められるぞ！。まぁ立ち話もなんだし、私たちの部室に行って一息つこうじゃないか。さあ、ほら！。つー……いったぁ……。そのパンチ、気に入ったぞ！。その有り余るエネルギーを戦車にぶつけてみないか？。お前のそのガッツがあれば、きっとどんな壁でも乗り越えられる。どうだ？。それじゃあ、早速だが釜を暖め始めないとな！。りんごのお礼にお前に特製のピザをご馳走してやるからな！。それじゃあまずはそこの薪を釜に投入してくれ。なに？作り方が分からないって？。それなら丁度いい！アンツィオ流のピザの作り方を教えてやる。これさえマスターすればもう他のピザなんて食べられなくなるぞ！。さていただこう！。お前ペパロニは好きか？好きならたくさん乗ってるやつを取っていいぞ。ピリっと辛いのが美味いよな！。いや気にするな。これはお前のためのピザだ。どうだ？美味いだろう？。そろそろ戦車道やりたくなってきたんじゃないか？。なんでって、腹が減ってはなんとやら。食事も大切な戦車道だからだ！。他の隊員？それなら去年の三年生が卒業して全員いなくなったぞ。だから私が今の隊長。よしペパロニ！お前を副隊長に任命しよう！。お前の名前だよ。ペパロニが好きだからペパロニでいいだろう？。お前のベスパの乗り方には見所がある。それにマシンを大切にすることも知っている。お前の才能は戦車道に絶対活きるだろう。いや私が活かしてやる！。だから私と一緒に――
同じクラスの,やつ
彼女は私のことを,ペパロニ
やつは私の意図を察したようだが、,いらない
アンチョビ,遅かったなペパロニ。さぁ始めようか。私たちの戦車道を！
ペパロニ,私がこの戦車に乗れるんですか？
アンチョビ,そうだぞ。まずはこっちのタンケッテからだな
ペパロニ,ちょっと難しそうっすね……
アンチョビ,なぁに、戦車がお前に何もかも教えてくれるさ！。そのためにはまず中も外も綺麗にしてやらないとな！。金がないから全部自分たちでやるぞ！
カルパッチョ,カルパッチョです。アンチョビ隊長から名前をいただきました。よろしくお願いします
ペパロニ,よ、よろしく……
アンチョビ,新しい隊員も増えたことだし、これでまた一歩我々の勝利に近づいたぞ！。さあ今日は宴だ！
ペパロニ,この車ちょっと遅いっすね
アンチョビ,うるさいなぁ。しょうがないだろう、これしか買えなかったんだから
カルパッチョ,かわいくて素敵な車だと思いますよ、ねぇさん
ペパロニ,そこ寒いっすよ、ねぇさん
アンチョビ,何言ってんだ！これが気持ちいいんだろうが！。ここからの眺めはまるで戦車に乗っているときみたいだぞ！。よし、動かしてみろ
カルパッチョ,ペパロニ、大丈夫？
ペパロニ,あっ……ああ、大丈夫！
アンチョビ,アーヴァンティ！
カルパッチョ,今のところ機関系に異常ありません
アンチョビ,どうだペパロニ！戦車の調子は？
ペパロニ,す、すげぇ……
アンチョビ,なんだって？
ペパロニ,すげぇ……すげぇよねぇさん！。私たちの戦車が動いてる。動いてるぞ！
アンチョビ,そうだ、すごいだろう！これが戦車だ！。さあみんなが見てるぞ！。ハッハッハッハ！いいぞペパロニ、最高の気分だ！
ペパロニ,最高っす！
カルパッチョ,この先で転回して車庫に戻ってください
アンチョビ,さぁ次は試合だぞ！
