美城常務,ふむ、全員集まったようだな。では、月初のプロジェクトクローネ会議を行う
常務,まあ会議と言っても、それぞれの今月の活動方針を、決定している範囲で確認するだけのものだ。肩の力は抜いてくれてかまわない。全員で一堂に会する機会はあまりないだろうからな、情報交換の場としても良いだろう。……今回はアナスタシアがラブライカの都合で不参加なのは残念だが。支障がなければ来月以降も開催するつもりなので、念頭に置くように。……ここまでで何か質問は？
宮本フレデリカ,はいっ！
常務,どうした？
フレデリカ,おやつはいくらまでですか！
神谷奈緒,それ聞く必要ある！？
常務,良い質問だ
北条加蓮,どのあたりが？
常務,結論から言わせてもらうと、……5ドルだ
渋谷凛,外貨！？
フレデリカ,太っ腹～♪
常務,そして、バナナはおやつに……
フレデリカ,……
大槻唯,……
塩見周子,……
奈緒,えっなにこの空気
常務,……入らない
フレ周唯,イエーイ！！！！
奈緒,そんなに！？
速水奏,……
凛,奏も！？
鷺沢文香,神に感謝いたします……
橘ありす,文香さん！？
常務,では、本題に入ろう
フレデリカ,バナナ美味しい！
加蓮,持ってたの！？
常務,食べ終わった皮は道明寺と白菊がいない場所で処分するように
フレデリカ,はーい！
奈緒,優しいけども！
常務,まず、宮川
フレデリカ,へい！
凛,誰
常務,そしてはやみず
奏,はい
加蓮,誰
常務,最後に砂糖見
周子,はーい
奈緒,だから誰！？
常務,君たち３人は、別部署の城ヶ崎美嘉・一ノ瀬志希と期間限定でクインテットを組んで活動してもらう
フレデリカ,ワオ！クインテット！
周子,クインテットとして、すごい楽しみなクインテットだねー
奏,そうね、このクインテットなら、他のクインテットに負けないくらいクインテットとしての完成度を高めたクインテットになると思うわ
凛,クインテットクインテットうるさいな！
奈緒,もはや言いたいだけだろ！
常務,コンセプトとしては、ハイティーンの持つオトナの魅力を前面に押し出すことになる
フレデリカ,ふむふむ
常務,楽曲もすでに完成している。……キ、キスの……歌だ……
加蓮,なぜ照れる
周子,おー
奏,キスのハーモニーを奏でるクインテット……悪くないクインテットになりそうね
奈緒,クインテット引っ張るなぁ！
