櫻井桃華(22),大掃除、残っているのは...床の拭き掃除かしら？
桃華,あした～ま～た～あえる～よね～♪。こうしていると、昔の合宿を思い出しますわね...お寺、雑巾がけ...そして志希さん、響子さん...。...思い出はこのくらいにしておきましょう、あんなに怖い響子さんはもう思い出したくありませんもの。...こんな時間にどちら様かしら。...ありすさん？
橘ありす(22),...
桃華,ありすさん、急にどうs...ってお酒臭い！！
ありす,...桃華さん
桃華,はい？
ありす,名前で呼ばないでください、橘です！
桃華,...
ありす,ではお邪魔します
桃華,何がではなんですの！？ってその前にせめて靴をお脱ぎなさい！せっかく掃除したのに！！
ありす,とうっ
桃華,ああもう、シーツも今日洗ったばかりなのに...！
ありす,...この枕、すごく桃華さんの匂いがします
桃華,ま、枕カバーはまだ替えてませんの！嗅がないで！
ありす,あっ、そういえば桃華さんにお土産があるんでした
桃華,もう、今度は何を...ってお酒じゃありませんの！
ありす,それでは桃華さん、かんぱーい！
桃華,しかも今飲むんですの！？
ありす,何ですか、桃華お嬢様は私の買ってきた安酒は飲めないって言うんですかぁ！？
桃華,な、なんてめんどくさい...！。こんなのの相手はわたくし1人ではどうにもなりません、救援を...！。...開いてますわ
千枝(21),ハァ、ハァ...お邪魔します...
桃華,千枝さん、そんなに急いで...よく来てくださいましたわね
千枝,だって、二人が心配で...。それに、今日はもう用事もないしね...そんなことより、鍵開けっ放しなんて不用心だよ？
桃華,
千枝,...うわあ、これは
ありす,Zzz...
桃華,...急に抱きついてきたと思ったら、そのまま寝落ちしましたの
千枝,だから動けなかったんだ、お疲れ様...
ありす,んん...？
千枝,あ、起きた
ありす,...千枝、さん？
千枝,うん、久しぶりだねありすちゃん
ありす,ええ、本当に久しぶりです。...なので、再会を祝して飲みましょう！今日は私の奢りです！
千枝,ええ～...？
桃華,まだ酔いは抜けてませんのね...。...では、目も覚めたところで。ありすさん
ありす,はい？
桃華,何が、ありましたの？。なんでもないなんて言わせませんわよ？
ありす,うっ...
千枝,うん、私もそれはないと思うな
ありす,...どうしてそう言いきれるんですか
千枝,だって、ありすちゃんは昔からしっかり者だもん。だから、ちゃんと自制できるはずだし。何の理由もないのにここまで酔うなんておかしいよ。...確かに、酔うとめんどくさいけどね
桃華,千枝さんの言う通りですわ。わたくし達、もう何年の付き合いだと思ってますの？。あなたが本来真面目で貞淑な女性であることは、よーく知ってますもの。...まぁ、酔うとめんどくさいのですが
ありす,酔った私はそんなに面倒ですかそうですか。...実は、私。今日、モバPさんに告白してきたんです
桃華,...
千枝,...
桃華,まぁ、そんなところでしょうね…
千枝,それで、またフラれちゃったんだね...
ありす,なんで！そんなに！物分かりがいいんですか！？
千枝,だって...ね？
桃華,この流れ、もう何回目ですの？
ありす,告白ですか？今回で72回目になりました！
千枝,どうして自慢げなんだろ...
桃華,それは連敗記録ですのよ...？。で、今回はどうして告白を？
ありす,よく聞いてくれました！！！
桃華,うるさい！近い！お酒臭い！
ありす,今日はPさんと二人でお仕事だったんですが、衣装が薄手だったので肌寒くて...。そうしたらですね、自分の寒さも顧みず上着を貸してくれたんです！
ももちえ,ああ～...
千枝,いかにもあの人がやりそうな話だけど...
桃華,PちゃまもPちゃまですわ、相変わらず平気でそんなことをするんですもの...
ありす,そして私は想いを抑えられず。愛してます、結婚してください！幸せにしますから！！と告白を...
千枝,段階飛ばしすぎじゃないかな？
桃華,なんてチョロい女なんでしょう...
千枝,ありすちゃん、いつからこんなキャラになったんだっけ？
桃華,...6年前、ありすさんの16歳の誕生日以来ずっとこの調子ですわ
千枝,あっ、あのときの...思い出したよ
桃華,ええ、いきなりPさん、4年間お待たせしました！ってウエディングドレス着て婚姻届持って事務所に来たときは正気を疑いましたわ…
ありす,そう！そこなんですよ！！。10年前の！ウエディングドレスの撮影のとき！待てますか？って聞いたら！待ってるって答えたくせに！！
千枝,主語も何もないそんな曖昧な約束を...
桃華,ちゃんとその仕事の後ありすさんが着替えるのを。それにしても、よく諦めませんわね？
ありす,諦められるわけないじゃないですか！
桃華,でも、もうわたくし達も大人ですし...現実を受け入れることも必要ですわ。だって、Pちゃまは。もう、たった一人の女性のモノになったんですから...
ありす,.........それは
桃華,ね？そろそろ素直に祝福して差し上げませんこと？
ありす,でも...でも！
桃華,...いい加減にしないと、わたくしも怒りますわよ？。だって、今のあなたのその態度はあまりにもPちゃまと...その奥様に失礼ですもの。そう...。こんな夜中に、あなたを心配して駆けつけてくれた彼女に、ね？
千枝,...
ありす,...確かに、その通りです。千枝さん、すみません...そして、心配してくれてありがとうございます。ああ、旧姓・佐々木さんとお呼びしたほうがよかったですか？
千枝,...
桃華,素直に感謝するつもりありませんわねあなた！！
ありす,いやいやいや、まったくあのときは驚きましたよ。あれは記念すべき40回目の告白のとき...。...ってね
桃華,あのときは本気で事務所の崩壊を覚悟しましたわ...
千枝,あ、あのときは急な話でほんとにごめんね...
桃華,いえ、仕方ないことだと思いますわよ
ももちえ,だって、グダグダしてたらぜったいゴネる人達が出てくるから...
ありす,仕方ないとはなんですか！私はまだ納得してませんよ！
ももちえ,そう、ありすさん(ちゃん)みたいな...
桃華,で、少し...いえ、だいぶ揉めてなんとか騒ぎは沈静化したわけですが
千枝,...表面上はね、でも実際には
ありす,なんですか
千枝,まだまだ敵は多いのが現状だよ…
桃華,心中お察ししますわ...
ありす,...そんなこと言って、ねぇ桃華さん？
桃華,？
ありす,もうネタはあがってるんですよ。そんな自分は安全ですみたいな顔して...実は未だにPさんを狙ってるってことは
桃華,！？
千枝,
桃華,な、なんのこtありすちゃん、詳しく
ありす,そうですね、桃華さんもこの手の話はいくつもありますが...。これは桃華さんが成人してすぐ、laRoseraieがPさんも呼んでお祝いの会を開いたときの話です
桃華,ちょっ！？なぜありすさんがそれをうん、続けて？
ありす,桃華さんはそのとき初めてお酒を飲んだそうで、かなり酔ってしまったそうですね？。まぁそれはいいんですよ、問題はそこではなく...。...そのときの映像です、フレデリカさんがくれました。...どうですか？
桃華,...。...
千枝,...ふーん
桃華,ひ、表情がない...！
ありす,それだけじゃありませんよ。千枝さん、ここにどうやって来ましたか？
千枝,二人が心配で、走って来たけど...
ありす,時間、どのくらいかかりました？
千枝,3分くらいだよ、桃華ちゃんのお部屋近いもんね
ありす,そこです！
千枝,...えーと？
ありす,近すぎるとは思いませんか？。今の千枝さんの家から...つまり、Pさんの家から！桃華さんの家まで！
桃華,
千枝,そういえば、桃華ちゃんがここに引っ越してきたのってわりと最近だけど...まさか
ありす,そう、そのまさかです！わざわざ近くに引っ越して来たんですよこの人！
桃華,も、もう許して...
ありす,まぁ実は私と...他にも何人か近くに引っ越して来てますけどね
千枝,...まあいいよ、どっちももう済んだ話だし...それに桃華ちゃんには昔からお世話になってるから、ね？
桃華,ち、千枝さん...！
ありす,ﾁｯ、つまらないですね...
千枝,んー？
ありす,はい、なんでもないです！。...というか、千枝さんまだ全然飲んでないじゃないですか！
千枝,あ、それは...
桃華,本当に一口も飲んでませんわね...もしかして体調が優れませんの？
千枝,そ、そうじゃなくて...実は...
ももあり,実は？
千枝,...で、できちゃって///
ももあり,...はい？
千枝,だから！赤ちゃんができたの！だからお酒はもう飲めないの！///
ももあり,.........。ええええええ！？！？！？
