ゴブリン,あ、あぁ～ッ！
ゴブリンスレイヤー,はい、今日の依頼は終わり。お疲れさまでした
依頼人,うぅ……あ、ありがとうございました……
ゴブリンスレイヤー,よいしょ……よいしょ……
女神官,ご、ゴブリンスレイヤーさんが、自分の部屋で何か新しいアイテムを作っている！？
ゴブリンスレイヤー,ふぅ……こんなものですかね……。もっと楽にゴブリンと戦えるように頑張らないと……
女神官,ご、ゴブスらぁ……！
ゴブリンスレイヤー,ひゃあッ！？。ど、ドサクサにまぎれて匂いを嗅がないでください！
女神官,ご、ごめんなさいゴブリンスレイヤーさん……！
ゴブリンスレイヤー,べ、別に、ゴブリン用の装備を作るくらい普通です……。それが私のお仕事なんですから……。それに、奴らはバカだがマヌケじゃないから。こ、こうですか？
女神官,そう！それじゃあ今から神の奇跡するからね！ゴブリンスレイヤーさんのやわらかおててにドッピュするからね！ちゃんと受け止めてね！
ゴブリンスレイヤー,えっ、えっ？
女神官,ウオーッ！いと慈悲深き地母神よ！ぷにぷにおててに出すぞ！
チノ,ひゃあッ！
女神官,くっ、ふぅ……！す、すっごい濃い奇跡が出たぁーッ！
ゴブリンスレイヤー,ほんとうです……で、でもなんで……？
女神官,それはですね……ゴブリンスレイヤーさんの気持ちが、私に伝わったからです！あなたの他人を思いやる優しさがね！
ゴブリンスレイヤー,私のやさしさ……
女神官,そう！だから、テクニックなんて、二の次なんだよ！ゴブリン退治は、上手い人にやってもらうより、好きな人にやってもらうのが一番気持ちいいんだよ！
ゴブリンスレイヤー,す、好きって……はわわ……あ、あの……もうちょっとだけ、練習に付き合ってもらってもいいですか？
女神官,もちろんです！
