秘書艦の霞,かすみ
瑞鶴,やっぱりお子様にはホラーは早いわよねー
暁,あ、暁は大人のレディーだから怖くないし！
瑞鶴,じゃあ一緒に見る？大人のレディーならこんなもの怖くないわよねー
暁,へ、へっちゃらだし！
瑞鶴,じゃあ、今から見ましょ。提督さん、これ、借りてくね
提督,ああ
霞,程々にしておきなさいよ
瑞鶴,分かってるって
暁,ひっく、ぐすっ、しれいか～ん
電,酷いのです
雷,そうよそうよ！
響,ウラー！
瑞鶴,わ、悪かったわよ…
霞,…程々にしておくようにって言ったはずだけど
瑞鶴,悪かったってば
霞,あたしじゃなくて暁に謝りなさいよ
瑞鶴,…そうね。暁、その…
暁,瑞鶴さんなんてきらい、だいっきらい
瑞鶴,ぐっ、だからその…
暁,いじわる、ばか、ひこーかんぱんむね！
瑞鶴,なっ、胸は関係ないじゃない！だ、だいたい、暁も悪いのよ、怖いのに強がったりするから！
響,暁のせいだっていうのかい？
瑞鶴,そ、そうよ。あれくらいで泣くなんて弱虫過ぎよ！
雷,酷いわ！
提督,瑞鶴、そのくらいに…
瑞鶴,あーはいはい、悪かったわよ、ごめんなさい。これでいいでしょ
卯月,どうしたぴょん？
響,…了解した。
電,暁お姉ちゃん、部屋に戻るのです
暁,うん
卯月,それはちょっとやり過ぎだと思うぴょん
霞,卯月はいたずらをする側だと思ってたけど？
提督,そうだな
卯月,うーちゃんにいい考えがあるぴょん！任せるぴょん！
霞,…一応聞いてあげるわ。言ってみなさい
瑞鶴,うー、トイレトイレ。ホラーなんか見るんじゃなかった…。さすがにちょっと怖いかも。…。さっさと済ませて帰りましょ。ううっ、やっぱりちょっと怖い。ひゃっ。ど、動物よね。脅かさないでよ、もう。う、ここを通らなくちゃいけないんだっけ…。噂なんて嘘に決まってるじゃない。数え間違いよ。1、2、3、4、ほら、ちゃんと4番目に…。えっ。ひっ。きゃああああ！
文月,瑞鶴さん、ど～したの？
瑞鶴,お、おば、おばおばおば、おばけ～
文月,怖くない、怖くない。よしよし、いい子、いい子
瑞鶴,ふぇ～ん
文月,あれ、卯月ちゃん。ど～したの？
卯月,むー。うーちゃん渾身の仕掛けが不発で不完全燃焼だぴょん
瑞鶴,…つまり、全部いたずらだったってわけ？
卯月,そうだぴょん。内容は卯月が考えたぴょん
霞,暁の気持ちを分からせるっていう理由があったから許可したけど少しやり過ぎたかしら？
川内,熟練見張員、使ってみたかったんだよねー
島風,私、速かったでしょー、にひひっ
霞,川内は見張り役、卯月は立案と脅かし役、島風は眠れなかったみたいだから連れて来たわ
提督,空調とかの舞台装置は明石に頼んだらしいな
文月,あたしは遠征の報告の帰りに通りかかっただけだよ～。ちょっとねむい～
霞,ああ、迷惑かけて悪かったわね、文月。先に帰っていいわよ
文月,は～い。おやすみぃ…
瑞鶴,むー、暁の件は私が悪かったけど何もここまでしなくても…
霞,暁はもっと怖かったと思うけど。ガチ泣きしてたじゃない
瑞鶴,ぐっ、悪かったと思うわ…
霞,その後の逆切れも駄目ね。子供の言うことにマジになってどうすんのよ。鳳翔さんと翔鶴にお説教をお願いしてあるから
瑞鶴,はい…
霞,まあ反省してるならいいわ。暁にも謝っておきなさい
瑞鶴,分かったわ。…そういえば六駆の子達は参加してないの？。あはは…。反省してます…。でも、本当に怖かったわよ。開かずの間からお化け役が出てきた時は本気で驚いたわ
霞,聞いてないわよ？だいたいあの部屋、鍵が掛けてあるじゃない
瑞鶴,えっ、でも確かに扉が開いて…
卯月,鍵を開けたりする技術は持ってないぴょん。うーちゃんを何だと思ってるぴょん
霞,じゃあ誰がやったのよ？
卯月,うーちゃんではないぴょん。直接脅かし損ねてうーちゃん欲求不満だぴょん
島風,知らなーい
川内,私もやってないよ
提督,本当にお化けが出たんだったりしてな、ははっ。なあ、霞、今夜一緒に寝てくれないか？
島風,霞も秘書艦だから一人部屋…
霞,いいから！じゃあ、おやすみ。行くわよ、島風！
島風,う、うん
瑞鶴,えっ。えっ、えっ
川内,…今日は夜戦はいいや
提督,早く寝てしまおう。じゃあ瑞鶴、おやすみ
瑞鶴,えっ、えっ、ええ～！？
翔鶴,トイレに一緒について来て欲しい？
瑞鶴,お願い、翔鶴ねえ
翔鶴,暁ちゃんにちゃんと謝ったの？
瑞鶴,そ、それは、その…気まずくて
翔鶴,ちゃんと謝ることのできない子なんて知りません
瑞鶴,翔鶴ねえ～
翔鶴,そんな甘えた声を出しても駄目です
瑞鶴,翔鶴ねえ～～
弥生,日頃の行い…。前にも開かずの間を使っていたずらしてたのがばれたから…。噂にもなってたし…。自業自得…。頑張って…
卯月,納得いかないぴょーん！
