友紀[,同窓会!?…うんうん！行く行く！
友紀,うそ？みんなもこっち来るって？。野球部全員来れるの？先生は？。あー、そりゃそうだよね。まあ、先生には宮崎に帰った時に会いに行けばいっか。うん！いやー、楽しみだな！
―――友紀,ングング…プハーーー！！
友紀,いやー、今日もキャッツの勝利でビールがうまい！。え？いいのいいの！今はアイドルユッキじゃなくてプライベートだから！。おじさーん！生もう一杯！。それにしてもみんな結構野球続けてるんだねー。あんまり変わってなくて逆に驚いたよ。え？あたしが変わりすぎだって？あはは！そりゃそうだ！
―――友紀,あー、そんなことあったあった！あんた絶対後輩ちゃんのこと好きだったでしょ！
友紀,え？あたし？いやー、ははは…まあ、あたしはそういうのは、ね？。何それ！露骨にホッとして！あんた達だって似たようなもんじゃん！そもそもアイドルだし！。あ、そうだ。今ふと思い出したんだけどさ。〇〇さ、卒業式の後、あれ、なんだったの？。え？いや、なんか姫川！俺とバッテリーを組んでくれ！とかいうからさ。そのまま二人でキャッチボールしたんだけど…。どうせだったらみんなで紅白戦でもしたほうが良かったんじゃないの？。あれ？どうしたの？みんなしてコソコソして。そういや昔よくそんなことあったよね。男子だけであたしに聞こえないように話してさ！。あ、ひょっとして…みんな、そういう関係なの？。平気平気！あたしそういうの理解ある方だし！。え？何？みんなトイレ？あー、いいよ。いってらっしゃーい。ついでに生頼んどいて。……。………。あ、そうだ。プロデューサーにメールしよ。…。…。お。…はいはい。わかってますよー…。堅物め…ちょっとからかってやろうかな。ちょっと失礼…。…。あ、おかえりー。生頼んでくれた？
―――友紀,ふいー。ごめんね、送ってもらっちゃって…
友紀,この辺まででいいよ。みんなカラオケで待ってるでしょ？。え？あたしの歌？。あー…あたしは別にいいんだけどな…。プロデューサーにあんま目立つことはするな！って言われてるからさー…。ほんっと堅物なんだよ！…飲むな！騒ぐな！酔っ払うな！ってさ！。まあ、心配してくれてるんだろうけどさ…。…ま、いっか！誰も歩いてないし。いいっていいって！…ちょっとだけね。～～～～♪。はい、おしまい。…えへへ。なんか照れるね。え？キャッツ魂こめてじゃないのかって？。うーん…確かに名曲だけどさ。今ここでそれはなくない？しっとりとした歌のほうが、さ。なんかいいでしょ？。まーね。あたしだってオトナになったんだよ。ふう…風が気持ち良いね。楽しくて飲み過ぎちゃったよ。ん？。あはは。どしたの。すっごいマジな顔。…え？…ごめん、今、なんて。…あ、ちょっと待って。もしもしプロデューサー？…あー。ごめん。携帯しまったままだった。うん。うん。わかってる。大丈夫。…酔ってないって。だから、平気だってば。え？だから酔ってないって！大丈夫だから！もー…。ええっ！？…今どこなの？………あ、もういい。こっちから見えたから。おーい！こっちだよー！…もー。そんなに心配しなくても平気だよ。…え？あ…あー！あー！あれ？ウソだよ！ウ・ソ！あはは！ひっかかってる！。いたっ！ちょ、ちょっとやめてよ！友達も見てるんだからさ！。うー…あ、ごめんね。この人あたしのプロデューサー。カッコ悪いでしょ？パ・リーグとセ・リーグの違いもわからなかったんだよ！。あ、いたた。ごめんなさいごめんなさい。あ、ごめんね。それで、さっきなんて――。え？いいの？それならいいけど。ねえ、またみんなで集まろうよ！今日はすっごく楽しかった！。うん！〇〇の大学の試合も今度観に行くからね！。それじゃね！。――――――プロデューサー、別に手なんて貸さなくても歩けるってば…。――――――――――――今度さ、プロデューサーも一緒に神宮行こうよ。結構楽しいよ…
―――美優,ふふ、あなた達と飲むのも久しぶりね。
美優,…私が同窓会に来るのがそんなに意外だった？。そうね…確かに…変わったんだと思うわ。…うん。結婚してる人も多かったわね。やっぱり、このくらいの歳になると焦りだすものなのかしら。え？私？。違う違う、あれはそんなのじゃないわ。こんな年増がアイドルなんてやってるのが物珍しくてからかってるだけよ。私のことなんて誰も覚えていないもの…あなた達とだって、東京で偶然会わなければきっと…。そんなことないわよ。…一番振り向いて欲しい人には振り向いてもらえないし…
―――美優,……え？はい。なんですか？
美優,あ、でも今はちょっと――。ごめんなさい…あの、お気持ちだけで――。――え？もったいないって？。もう、そんな値踏みするようなこと言ったらさっきの人に失礼よ。何よそれ。人を客寄せのパンダみたいに…。え？どういうこと？。…あの時声をかけてきた人と？本当に？おめでとう！よかったわね！。…うん。…うん。絶対式には行くから…。はあ…いいなあ…。あ、ごめんね。違う違う。ふふ、内緒。…まあ、今は同じ方向を向いて頑張ってる――それだけでもいいのかしらね。
―――礼子,素敵なお店ね。意外じゃない？あなたがこんな場所を知ってるなんて。
礼子,ええ、あなたにお任せするわ。…そうね。さすがにこの歳になると同窓会に来るメンバーも少なくなってくるわね。仕方ないわ。みんな、色々あるもの。仕事とか…家庭とか…。過去を振り返る必要がないくらい今が輝いてるから？…それとも、その逆、かしらね。振り返って見るには…過去はあまりにもまぶしすぎるもの。…ごめんなさい。あなたはそんなことないわよね。今をときめくベンチャー企業の若社長さん。…私？。ふふ。どうかしらね。…。――あら、ありがとう。素敵な色ね。…。…珍しいカクテルね。指輪が沈めてあるなんて。随分と古典的な手段…あなたのそういう愚直なところ。嫌いじゃないわ。…そうね。あと、5年…いえ、3年早く聞かせてくれていたら、ね…。…さっきの質問だけど。同窓会に来ない理由…もうひとつあるわ。昔とまったく違う自分になったから…。…ごめんなさい。これは…飲めないわ。今日は楽しかったわ。ありがとう。…。私も、もう、同窓会には来ないかもしれないわね…。…さようなら
―――菜々,…
菜々,……あ、こんなとこにも菜々が写ってます…。…気が付かなかったなあ…。…。………この頃はJKなんて言わなかったんですよね…。…。…。…先生…お元気でしょうか…。…。ふふ。頑張れウサミン！アイドルにメルヘンチェンジだ！か……。うん、菜々は頑張ってますよ。頑張って、ます。…。…あ。そろそろ二次会が始まる時間ですね…。…。かんぱーい…。…。…ｸﾞｽ。うっ…うぅ……
―――菜々,…
菜々,あ…満月……。菜々はみんなに会えないけど…みんなは菜々のこと見てくれてるかな…
