キース,今日の訓練はこれで終了だ、解散しろ…
サシャ,やっと終わりました…
コニー,月の終わりは堪えるぜ…
サシャ,さぁて晩御飯の時間です！
コニー,切り替え早ぇなぁ
サシャ,コニー、急いで食べに行きましょう！
コニー,知ってるか？飯ってのは逃げねぇんだぞ。だから急ぐ必要もねぇよ
サシャ,…。……私は…。…………もうこれ以上見たくないんですよ…
コニー,は？
サシャ,いいから早く行きましょう！
コニー,お、おい！引っ張るな、こっちは疲れてんだよ
サシャ,コニー！！
コニー,…………ああうるせぇな、どうしちまったんだ
サシャ,…どうもしてませんから、ほら
コニー,わかったよ…
マルコ,あ、待ってくれよ、僕も一緒に行く！
ジャン,ふぅ、きつかったな今日は…
ライナー,大丈夫か？フラついてるようだが
ジャン,対人格闘訓練に手を抜かないようにしてから体が休まらなくてな、正直ここまできついとは思わなかった
ライナー,そのようだな。勢いだけでどうこうなるものじゃないからな
ジャン,そんなことはわかってる、お前に言われなくてもな
ライナー,そうか。まあそう気張らないことだ、途中で挫折するジャンの姿なんて俺は見たくないからな
ジャン,…。そうだな…
ベルトルト,僕もそう思うよ
ジャン,ベルトルト、お前もか
ベルトルト,ジャンは少し張り切り過ぎだよ。まだ訓練兵として時間はたくさんあるんだからもう少しゆっくりしていい
ジャン,そういうもんか……？
ライナー,ああ、そういうもんだ、憲兵団に入るのならもっと抑えてもジャンにとっては十分なくらいだ
ジャン,憲兵団……
ライナー,どうした？
ジャン,いや、俺は本当に憲兵団に入るべきなのかと思ってよ…
ベルトルト,ジャンは内地で暮らしたいんじゃなかったのかい？
ジャン,内地…？ああ、そうだな………俺は内地で暮らすんだ……。そうだ…そう憲兵団なんだ、なんで俺が調査兵団なんかに……。俺が選択を誤るなんてことはないんだ……お前らもそう思うよな………？
ライナー,…。もういいだろジャン、お前は疲れているんだ、今日はもう休め。もうすぐ休暇もある
ベルトルト,…
ジャン,なんか悪いな…精神的な面でもお前に支えてもらうなんてよ
ライナー,気にするな。俺たちも食堂に行くが、来るか？
ジャン,いや、お前の言う通り、今日はもう休んで寝ることにする
ライナー,そうか、お疲れさん
ジャン,じゃあな
ベルトルト,…悪く思わないでくれよ、ジャン
ユミル,おいクリスタ
クリスタ,
ユミル,おい？
クリスタ,
ユミル,聞いてんのか？
クリスタ,あ！ご、ごめん…なに？
ユミル,ったく、訓練なんて意識が朦朧とするまで本気でやらなくてもいいんだぞ、お前の場合
クリスタ,だめだよ…私はもっとがんばらなきゃいけないの…。もっと…もっと…がんばらないと…
ユミル,……。これ以上がんばったらぶっ倒れてそのうち死ぬぞ
クリスタ,え！？し、死ぬ？………あ、うん…。でも、それくらいやらないと…
ユミル,はぁ？私は冗談で言ったつもりだったんだけどな
クリスタ,……そうだよね、ごめん
ユミル,ったく、どいつもこいつもなんなんだ…。死ぬのが好きなんて変わった趣味をお持ちなんてな…
クリスタ,え？
ユミル,気にすんな、独り言だ
クリスタ,ユミルまで……？
ユミル,よせよ、私をあいつと一緒にするな
クリスタ,うん……
ミカサ,エレン、隣に座ってもいい？
エレン,ああ、早く座れよ
ミカサ,ありがとう
サシャ,！。あ、私もう食べ終わっちゃいました、えへへ
コニー,相変わらず食べるのも早ぇのな
マルコ,僕も、ごちそうさまでした
コニー,最近はマルコも早いな
サシャ,コニー、全然食べてないじゃないですか…
コニー,いや、だってよ…ｍ
サシャ,疲れているんですよね！？じゃあ私が食べてあげます！
マルコ,僕も手伝うからさ！
コニー,なんだよお前ら、別に俺一人で食べ……
サシャ,……。コニー………
マルコ,今はサシャの言うことを聞いてあげなよ
コニー,………。……わかった、やるよ
サシャ,ありがとうございます
マルコ,コニーも食べ終わったことだし、早く出ようよ
サシャ,はい。ほらコニー、もう寮に帰りましょう
コニー,ああ…。いつまで続くんだよこんなこと……
ライナー,ベルトルト、今日の俺の調子はどうだった？
ベルトルト,いつにも増して良かったんじゃないかな、もう上位は安定してきただろう
ライナー,いや、訓練のことじゃなくてだな…
ベルトルト,ああ、そっちか。……まだ少し捨て切れてない部分がある気はするけど、以前に比べたら遥かに良くなっているよ
ライナー,そうか…あれでもまだ意志の弱いところがあったか、すまんな
ベルトルト,全然かまわないさ、僕も前より冷や汗をかく機会も減ったから
ライナー,ほう、お前が冗談を言えるくらいになったわけだ。まあ何にせよあのままだったら俺は半端なクソ野郎になっていたことだろう
ベルトルト,僕たちは兵士でも半端なクソ野郎でもない、戦士だ
ライナー,そうだ、戦士だ。これでもうおかしくならずに済む
ベルトルト,ああ、僕たちはこれでいい
ミカサ,エレン、口元に食べかすがついてる
エレン,お？
アルミン,またか………
アニ,………
ミカサ,ほら、だらしない
エレン,いつもすまねぇな
ミカサ,やはりエレンは私がそばにいないとダメ、早死にする恐れがある
エレン,それとこれとは関係ねぇだろ
ミカサ,そんなことない。日頃の不注意が災難を招くこともある
エレン,相変わらず説教くせぇなお前は
ミカサ,エレンのためだから
エレン,オレのためっていうならもっとオレが喜びそうなことしてくれよ
ミカサ,エレンの喜びそうなこと……。何をしたらエレンは喜ぶの？
エレン,それを聞いたら意味ないだろ
ミカサ,でも…本当に思い浮かばなくて
エレン,そうかぁ…。オレが…………喜ぶことか…。……………………。なあミカサ………。オレが今まで生きた中で楽しかったことって………なんだろうな？
ミカサ,え…？。？。さっき言った通り……スプーンを落とすなんてエレンは本当に不注意。
アニ,悪いね、ミカサ
ミカサ,？
アニ,え、ちょっと
ミカサ,アニ…何をしてるの？これはエレンが使っていたもの……放して
アニ,は？いや、私のなんだけど…
ミカサ,あなたが何を言っているのかわからない
アニ,私も………そっくりそのまま返すよ
ミカサ,早く手を放して
アニ,そっちがね
ミカサ,ほら、エレンも返してくれと言っている
アニ,…………。ミカサ、あんたは…いつまでそうやって…
ミカサ,これくらいの世話くらいどうってことはないから
アニ,いや、そうじゃなくて……あんたは……
アルミン,アニ、やめなよ
アニ,………。………わかってる、わかってるさ。悪かったよミカサ、これはエレンのだ
ミカサ,わかってくれたのならかまわない
アニ,ん？。………ミカサ、泣いてる？
ミカサ,……なぜ？私が泣く理由なんかない
アニ,いや………でも涙が………
ミカサ,え…………？
アルミン,。アニ！もういいからミカサのことはほっといてあげてよ！！
アニ,！。アルミン………。ご、ごめん…本当悪かったよ………
アルミン,…。いや、僕の方こそ熱くなり過ぎた…。ミカサがあまりにエレンを気遣うから嫉妬していたみたいだ、あはは
アニ,だといいね…
ミカサ,スプーンは取り返した、はいエレ…………………。？。エレン……？。エレンは…どこ？。ねぇアルミン………エレンは？もう帰ってしまったの？
アルミン,ミカサ、エレンならもういないよ…………。もうこれを言うのは何回目だ………
ミカサ,確かに…皿が片づけてある
アルミン,…！！！。ミカサ！そうじゃないんだ、だって…！。さっきから君の隣には誰も座っていないんだ
