みほ,対戦車道？まさか戦車に生身で立ち向かうアレですか？
桃,会長！やめときましょうよ！命あっての物種です！
柚子,そうですよ！死んだら元も子もないですよ！
杏,大丈夫、特殊なカーボンでコーティングしてあるから平気だって
桃,意味わからん…
華,西さんは喜々として自爆してそうで怖いですね
杏,じゃあこれより副隊長の河嶋が磯辺ちゃんの八九式を相手に実技の模範を示すから
桃,ええっ！
杏,じゃあ磯辺ちゃん、手加減なしでお願い。榴弾撃ったり機銃掃射したりして構わないから
典子,あの…いいんですか？
杏,大丈夫、特殊なカーボンでコーティングしてあるから平気だって
桃,それ、何回聞いても意味わかんないんですけど！
典子,えーっと、河嶋先輩はどこかな
忍,あの掩蔽壕のどこかだと思うけど
あけび,あ、いた！
妙子,えっと、本当に撃っちゃっていいのかな？
桃,ひぃぃぃ、見つかった！。あいつら本当に機銃掃射してきたあ！。こ、こうなったらやってやる！うおおお！
典子,あ、轢いた…
あけび,轢いたね…
妙子,どうしよう…轢いちゃった…
忍,うぷっ…おええええ！
柚子,ひぃぃぃっ！桃ちゃんが挽肉に！
桃,びええええん！痛かったよ怖かったよ柚子ちゃん助けてえ！
柚子,あ…あれ？なんであれで生きてるの？
杏,だから言ったでしょ、特殊なカーボンでコーティングしてあるから平気だって。河嶋が失敗したので、今度は隊長である西住ちゃんが見本を…ってあれ？みんなどこ行ったの？
柚子,桃ちゃんがハラワタぶちまけたの見て、全員逃げました
杏,なんだよもー、みんな意気地がないなあ。仕方がない、こうなったら我々だけでも…
桃,もうやだー！
