モバP(以下P表記),午前の営業、みんなバッチリこなしてくれたようで。TV出演組と夕方営業組はこれからですが、解散時刻は各々の自由なのでそのお弁当食べたらあがってもらって結構ですよ
西川保奈美,はい
P,バレンタインっていいですよね。女の子たちがお菓子を振る舞う姿を見るだけで癒されます。何より企画しやすいし外れないってのが胃に優しい
保奈美,そうね
P,甘いの好きですし、営業先の余り物を分けてくれるのも嬉しいです。みんな分けてくれるので、室内が甘い匂いでむせそうになるのがたまに傷ですけど
保奈美,ふーん
P,それでですね、保奈美さん。どうか私めに保奈美さんのチョコをお恵みいただけませんか？
保奈美,駄目ね
P,なんで！どうして！画面の中のあなたはこんな色っぽい顔して渡してくれるのに！
保奈美,早速ぶっこんできたわね。画面の中なら誰だって誰にだってそんな顔するわよ
P,やめて！なんかエロい！
保奈美,まぁ、そうね。どうして駄目なのか。教えて欲しい？
P,この流れで聞くのはなんかちょっと怖いですけど、はい
保奈美,ちょっと考えればすぐわかる事よ。凄く簡単なこと。私に風物詩SRなんてあったかしら？
P,そんなん関係ないやん！！
保奈美,なぜ関西弁
P,だってバレンタインは全員分限定ボイスが付いてたじゃないですか！全員分！
保奈美,テキストはあったけどボイスは付いてないでしょ？
P,鍛えられてるので幻聴もお手のもんですよ！
保奈美,どこから突っ込めばいいのかしらね？。夕美さんや乃々ちゃんたちもそろそろ戻ってくるんでしょ？昨日みんなで作ってたチョコの余りでも乞えばいいじゃないの
P,いや、流石に余ってないですよ。握手会とブッティングさせて手作りのチョコを渡すイベントにしたんですから。そんなもんファンからしたら垂涎モンですよ、残さず狩り取られてますって
保奈美,まぁ予定数のみ隠さず出してたらそうなっちゃうでしょうね
P,でしょ？でも保奈美さんなら！海外メーカーのチョコの宣伝に行ってきた保奈美さんなら！期待するに決まってるじゃないですか！
保奈美,Pさん、あのね？一つ言わせて欲しいんだけど
P,なんでしょう、できれば甘い声でプレゼントして欲しいです！
保奈美,あんな高いのPさんに買ってくる訳ないでしょ？
P,畜生ガッデムッ！！
保奈美,あとついでに試食してきたわ。何度か食べた事あるけど、やっぱりブランドメーカーは違うわね。舌触りとか、口溶けとか
P,羨ましい食レポやめてください！今度志保とパフェレポさせますよ！
保奈美,それ嫌がらせなの？
P,W2センチ増やしてかな子と同じにしてやる
保奈美,最近ピンヒールも履くようになったのよね。アレってやろうと思えば人に風穴開けれるのかしら？
P,謝りますからやめてください。特訓後はW61になっちゃうんですよね、保奈美さんは
保奈美,アレよね。堂々とプロフィールを女の子に突きつけるなんてギルティでしかないわよね。死刑が妥当かしら
P,ははは、目が据わってらっしゃる
保奈美,これも全て事務所の環境が悪いのよ。手作りお菓子が常備してある事務所なんて抗えるわけないじゃない……
P,といいつつ食後にかな子お手製チョコクッキーを摘んでいる保奈美さん
保奈美,なにか？
P,いやまぁ作りすぎたからってこんなに貰っちゃうと消費するのに困りますよねわかるわかる。じゃあもうそれ一枚でいいのでください
保奈美,Pさん自分の分あるじゃない
P,ありますけど。そうじゃないんです。保奈美さんのチョコが欲しいんです
保奈美,じゃあ今から買ってくる代わりに来週のボディチェック延期してくれる？
P,あ、それ実はブラフで本当の実施日は明後日になります抜き打ちで
保奈美,ローファーの踵でも踏み方で肉抉れるって知ってる？
P,抜き打ちだったのバラしてあげたのに！！。くそう、世界は俺に試練しか与えない
保奈美,いいじゃない、別に。他の子達からいっぱい貰ってるんだから
P,本当に欲しい物はいつだって手に入らないものなんですね……
保奈美,お金積んだって手に入らない物はあるもの
P,無情なるこの世界……せめて復刻の報いがあらんことを……。それで、保奈美さん
保奈美,なぁに？
P,どうしてさっきからずっと、そんな機嫌悪いんです？
保奈美,どうしてだと思う？
P,あの、申し訳ありませんが皆目検討がつきませんで……情けないですが
保奈美,そう。別にPさんが悪いわけじゃないのよ？根本的には、だけど
P,原因は俺、というわけですよね。参ったなぁ……どうすれば許してもらえます？
保奈美,自分で考えたらいかがですか？
P,更に怒らせてしまった…聞き方間違えたかな……
森久保乃々,お、お仕事、終わったんですけど……
P,お、森久保。お疲れさん。どうだった？他の連中は？
森久保,みなさんキッチン借りてまだ何か作ってるんですけど……森久保は疲れて先に…もう帰って寝たいんですけど
