双葉杏,あ～……
杏,レッスン終わってからソファに横になったのがいけなかったなー……。……帰るのめんどくさい
P,お疲れ様です。って、双葉さん、またお休みされているんですか？
杏,おつかれ～。レッスンはサボってないんだからいいじゃんか～
P,それはまあ、そうですが……
杏,じゃあウチまで運んで？
P,アイドルが男に運ばれてるなんて問題になりますから……
杏,ケチ～。……あれ？その手に持ってるの、何？ストラップ？
P,ああ、これですか？先程、廊下に落ちているのを拾ったんです。持ち主がわかるまで持っていようかな、と
杏,なにそれ？……金色で……ピラミッド？
P,のような形ですね、こちらの面には、なにやら目のような文様がありまして
杏,……あっ！そ、それ！
P,双葉さん、このストラップに見覚えが？
杏,逆だよ逆！尖ったほうが下なの！
P,へえ……、そうなんですか
杏,ってかプロデューサー、見たことないの？それ、遊戯王の千年パズルのストラップじゃん
P,いやぁ、そういうモノには疎くて……お恥ずかし……うっ……がっ……
杏,！？
P,ぐっ……がっ……
杏,ち、ちょっとプロデューサー！？
P,うぅ……
杏,プロデューサー！！どうしたの！？ねえ！
P,……
杏,ぷ、プロデューサー……？
P,！！！！！
杏,うわあ！！！！！
P,……
杏,……
P,ここからはオレが相手になるぜ！
杏,！？。え？ど、どうしたの？
P,杏子！無事だったのか！
杏,なんか呼び方に違和感がない！？
P,そんなところで何してるんだ？
杏,い、いや、休憩してたんだけど……
P,ならサ店に行くぜ！
杏,何で！？。こ、この口調は……もしかしなくても……
P,いくぜ！相棒！
杏,誰が相棒だ！
P,そういえば、みんなはどこにいるんだ？
杏,その"みんな"ってのが誰を指すのかわからないけど……
P,おいおい、忘れたとは言わせないぜ！例えば――
城ヶ崎美嘉,お疲れー★レッスンあがったよー
P,城ヶ崎くん！！！
杏,城之内くんみたいに呼ぶな！！！
美嘉,え？く、くん？
杏,あー、ごめん、今ちょっとおかしくて
P,おかしい？ふふっ……笑わせるぜ！
杏,まずその音はどこから出てるの！？
美嘉,な、なんでこんな感じになっちゃったの……？
杏,まあ、流れというか……
