みく(猫),何で、しっぽが生えてるにゃ？何で四本足で歩いてるにゃ？何で言葉がしゃべれないにゃ！(猫語)
みく,確かにみくは猫ドルにゃ。でも、まさか猫になるなんて………ある意味猫ドルの最終究極形態にゃ！。でも、この恰好じゃ誰もみくだってわからないにゃ。それどころかアイドルとしてやっていけないにゃ………。何で猫になったかわからないけど、どうしよ。このままだと、みくにゃん蒸発！なんて根も葉もない記事書かれてそのまま芸能界からフェードアウトしちゃうにゃ！。とりあえずPちゃんを探さなきゃ。何でこんな時に限って誰もいないにゃ。何で事務所にみくしかいないにゃ！
凛,ただいまー。あー疲れたー。プロデューサー………誰もいない？
みく,しぶにゃんにゃ！凛ちゃんが帰ってきたにゃ！助けてにゃ！解決法なんも思いつかないけど助けてにゃ！
凛,何この猫？みくが連れてきたの？ミニオンみたいな声で寄ってくる
みく,伝わらないの？みくが完全に猫だから？どうしよ………
凛,お腹、空いてるの？キャットフードなんてないし、今あるのは杏の飴くらいしか………楓さんが杏のために買ってきたあんず飴………ふっ
みく,うわぁ一人で笑ってるにゃあ………
凛,食べる？杏のあんず飴。ふっ………ふっ………！
みく,何か………凛ちゃんの見てはいけない一面を見てしまった気がするにゃ
凛,さすがに食べないか。ねぇ、プロデューサー見なかった？変な口調が特徴的なんだけど
みく,今度は話しかけてきたにゃ。でもわかるにゃあ。つい話しかけちゃうよね
凛,まあ、答えるはずないよね。にしても、かわいい………肉球もぷにぷに
みく,く、すぐった、いにゃ！
凛,にゃーん。柔らかい………にゃんにゃんにゃーん
みく,いつもの凛ちゃんから想像がつかないような笑顔でにゃんにゃん言ってるにゃ。かわいいけど………猫キャラがぁ
凛,にゃんにゃん？気持ちいいかにゃ？
みく,ぐはぁアイデンティティが！ん？
P＆ちひろ,………
みく,二人が………プロ仕様としか思えないカメラと機材で撮ってるにゃ
凛,にゃんにゃー、どうしたの？いきなり鳴き出して………プロデューサーとちひろさん？
ちひろ,やばい！ばれましたよ！
P,見つかった！冷静に冷静に！おかえりー。俺たち今帰ってきたところなのよねー今！
凛,………見た？
ちひろ,見たって、何をですか？ね、プロデューサーさん
P,杏の………あんず飴
ちひろ,ぶふー！
凛,いつから！いつから見てたの！
P,ってところから♡
凛,か、カメラ！？撮ったの？撮ったの！？
ちひろ,違うのよ凛ちゃん！私たち、ほら！事務所に猫がいるでしょ。珍しいからちょっと動画に収めようと思ってたら凛ちゃんが来たのよ
P,そういうこと！だから猫を撮ってたら凛がはいいってきたって形になったの。理解してくれた？
凛,この豪奢なカメラ使って？
P＆ちひろ,………
凛,消して
P,カメラ持って逃げてくださいちひろさん！ここは俺が食い止めます！
ちひろ,了解しました！まずは回収できなくします！
凛,ちょ、待って！こらぁああ！
みく,うわぁ………
凛,復唱
P＆みく,誓います。今一連の出来事は白昼夢です。記憶の片隅にも置かず、歴史の黒に葬り、今後決して同じ過ちを起こさないことを、ここに誓います………誓います
凛,まったく………何でうちの職員はこんなに変な人ばっかりなんだろ
P,まあその変人の世話になってるアイドルの一人よね凛は。もしかしたら他人のこと言えないかもよ
凛,冗談は口調だけにして。まったく何で帰ってきてそうそう汗かかなくちゃいけないんだか
ちひろ,見てくださいプロデューサーさん。さっきの凛ちゃん。このアングルだとすごい笑顔が映えますよ
P,いいですね～。後で俺にも送っておいてください
凛,泣くよ
P,い、いいじゃない。さっきの凛。とっても魅力的だったのに
凛,………ありがと。ところで話題になった猫のことなんだけど
P,あ、この猫でしょ
みく,放すにゃ！首根っこ掴まないでよ！
P,ミニオンみたいな鳴き声の猫ね
ちひろ,どこから入ってきたんでしょうか。毛色もいいですし、野良猫ではなさそうですね
凛,わからないですけど、多分みくが連れてきたんじゃないんですか
P,あの子が猫を連れてくるねぇ………ただでさえいろんなアイドルに猫キャラとしてアイデンティティを奪われそうになってるのに本物の猫持ってきたら完全にアイデンティティクライシスが起きちゃうんじゃない
みく,さすがに猫にアイデンティティを取られたなんて思わないにゃ！
P,威勢のいい猫ね。えっと………メスか
みく,！
P,うぎゃあ！顔が！ひっかかれた！
凛,プロデューサー、最低
ちひろ,今のはちょっと無いですね
P,何でですか！雄雌の確認しただけですよ！
凛,確認の仕方がヤラシイ
ちひろ,猫だってひっかきますよ
P,こんな畜生に恥辱の念などありませんよ
みく,くらえ！こら！
P,ちょ、すっげぇ暴れ始めた！痛い！
みく,閉じ込められたにゃ
